J-Date,Date,Adj Close,Ticker,Ticker(4)
1383-10-26,2005-01-15,618,آباد,ABAD
1383-10-27,2005-01-16,649,آباد,ABAD
1383-10-28,2005-01-17,681,آباد,ABAD
1383-11-07,2005-01-26,715,آباد,ABAD
1383-11-11,2005-01-30,742,آباد,ABAD
1383-11-12,2005-01-31,776,آباد,ABAD
1383-11-13,2005-02-01,795,آباد,ABAD
1383-11-14,2005-02-02,783,آباد,ABAD
1383-11-17,2005-02-05,787,آباد,ABAD
1383-11-18,2005-02-06,802,آباد,ABAD
1383-11-19,2005-02-07,788,آباد,ABAD
1383-11-20,2005-02-08,778,آباد,ABAD
1383-11-21,2005-02-09,810,آباد,ABAD
1383-11-24,2005-02-12,850,آباد,ABAD
1383-11-25,2005-02-13,892,آباد,ABAD
1383-11-26,2005-02-14,931,آباد,ABAD
1383-11-27,2005-02-15,910,آباد,ABAD
1383-11-28,2005-02-16,884,آباد,ABAD
1383-12-03,2005-02-21,841,آباد,ABAD
1383-12-04,2005-02-22,806,آباد,ABAD
1383-12-05,2005-02-23,804,آباد,ABAD
1383-12-08,2005-02-26,831,آباد,ABAD
1383-12-09,2005-02-27,872,آباد,ABAD
1383-12-10,2005-02-28,900,آباد,ABAD
1383-12-11,2005-03-01,910,آباد,ABAD
1383-12-12,2005-03-02,895,آباد,ABAD
1383-12-15,2005-03-05,900,آباد,ABAD
1383-12-16,2005-03-06,901,آباد,ABAD
1383-12-17,2005-03-07,921,آباد,ABAD
1383-12-18,2005-03-08,967,آباد,ABAD
1383-12-19,2005-03-09,992,آباد,ABAD
1383-12-22,2005-03-12,983,آباد,ABAD
1383-12-23,2005-03-13,1032,آباد,ABAD
1383-12-24,2005-03-14,1084,آباد,ABAD
1383-12-25,2005-03-15,1134,آباد,ABAD
1383-12-26,2005-03-16,1143,آباد,ABAD
1384-01-06,2005-03-26,1141,آباد,ABAD
1384-01-07,2005-03-27,1176,آباد,ABAD
1384-01-08,2005-03-28,1149,آباد,ABAD
1384-01-09,2005-03-29,1096,آباد,ABAD
1384-01-10,2005-03-30,1092,آباد,ABAD
1384-01-14,2005-04-03,1082,آباد,ABAD
1384-01-15,2005-04-04,1063,آباد,ABAD
1384-01-16,2005-04-05,1051,آباد,ABAD
1384-01-17,2005-04-06,1048,آباد,ABAD
1384-01-21,2005-04-10,1074,آباد,ABAD
1384-01-22,2005-04-11,1083,آباد,ABAD
1384-01-23,2005-04-12,1097,آباد,ABAD
1384-01-24,2005-04-13,1152,آباد,ABAD
1384-01-27,2005-04-16,1209,آباد,ABAD
1384-01-28,2005-04-17,1236,آباد,ABAD
1384-01-29,2005-04-18,1174,آباد,ABAD
1384-01-30,2005-04-19,1135,آباد,ABAD
1384-01-31,2005-04-20,1135,آباد,ABAD
1384-02-03,2005-04-23,1190,آباد,ABAD
1384-02-04,2005-04-24,1221,آباد,ABAD
1384-02-05,2005-04-25,1256,آباد,ABAD
1384-02-11,2005-05-01,1227,آباد,ABAD
1384-02-12,2005-05-02,1169,آباد,ABAD
1384-02-13,2005-05-03,1169,آباد,ABAD
1384-02-14,2005-05-04,1204,آباد,ABAD
1384-02-17,2005-05-07,1212,آباد,ABAD
1384-02-18,2005-05-08,1194,آباد,ABAD
1384-02-19,2005-05-09,1239,آباد,ABAD
1384-02-20,2005-05-10,1300,آباد,ABAD
1384-02-21,2005-05-11,1365,آباد,ABAD
1384-02-24,2005-05-14,1433,آباد,ABAD
1384-02-25,2005-05-15,1498,آباد,ABAD
1384-02-26,2005-05-16,1568,آباد,ABAD
1384-02-27,2005-05-17,1646,آباد,ABAD
1384-02-28,2005-05-18,1728,آباد,ABAD
1384-03-02,2005-05-23,1718,آباد,ABAD
1384-03-03,2005-05-24,1754,آباد,ABAD
1384-03-04,2005-05-25,1686,آباد,ABAD
1384-03-07,2005-05-28,1767,آباد,ABAD
1384-03-08,2005-05-29,1761,آباد,ABAD
1384-03-09,2005-05-30,1706,آباد,ABAD
1384-03-10,2005-05-31,1623,آباد,ABAD
1384-03-11,2005-06-01,1542,آباد,ABAD
1384-03-16,2005-06-06,1514,آباد,ABAD
1384-03-17,2005-06-07,1543,آباد,ABAD
1384-03-18,2005-06-08,1547,آباد,ABAD
1384-03-21,2005-06-11,1511,آباد,ABAD
1384-03-22,2005-06-12,1574,آباد,ABAD
1384-03-23,2005-06-13,1613,آباد,ABAD
1384-03-24,2005-06-14,1692,آباد,ABAD
1384-03-25,2005-06-15,1744,آباد,ABAD
1384-03-28,2005-06-18,1783,آباد,ABAD
1384-03-29,2005-06-19,1695,آباد,ABAD
1384-03-30,2005-06-20,1715,آباد,ABAD
1384-03-31,2005-06-21,1715,آباد,ABAD
1384-04-01,2005-06-22,1781,آباد,ABAD
1384-04-04,2005-06-25,1692,آباد,ABAD
1384-04-05,2005-06-26,1610,آباد,ABAD
1384-04-06,2005-06-27,1536,آباد,ABAD
1384-04-07,2005-06-28,1460,آباد,ABAD
1384-04-08,2005-06-29,1388,آباد,ABAD
1384-04-11,2005-07-02,1319,آباد,ABAD
1384-04-12,2005-07-03,1253,آباد,ABAD
1384-04-13,2005-07-04,1258,آباد,ABAD
1384-04-14,2005-07-05,1259,آباد,ABAD
1384-04-15,2005-07-06,1288,آباد,ABAD
1384-04-18,2005-07-09,1322,آباد,ABAD
1384-04-20,2005-07-11,1381,آباد,ABAD
1384-04-21,2005-07-12,1428,آباد,ABAD
1384-04-22,2005-07-13,1395,آباد,ABAD
1384-04-25,2005-07-16,1327,آباد,ABAD
1384-04-26,2005-07-17,1277,آباد,ABAD
1384-04-27,2005-07-18,1221,آباد,ABAD
1384-04-28,2005-07-19,1163,آباد,ABAD
1384-04-29,2005-07-20,1215,آباد,ABAD
1384-05-01,2005-07-23,1217,آباد,ABAD
1384-05-02,2005-07-24,1265,آباد,ABAD
1384-05-03,2005-07-25,1328,آباد,ABAD
1384-05-04,2005-07-26,1358,آباد,ABAD
1384-05-05,2005-07-27,1412,آباد,ABAD
1384-05-08,2005-07-30,1396,آباد,ABAD
1384-05-09,2005-07-31,1362,آباد,ABAD
1384-05-10,2005-08-01,1358,آباد,ABAD
1384-05-11,2005-08-02,1366,آباد,ABAD
1384-05-12,2005-08-03,1367,آباد,ABAD
1384-05-15,2005-08-06,1371,آباد,ABAD
1384-05-16,2005-08-07,1370,آباد,ABAD
1384-05-17,2005-08-08,1350,آباد,ABAD
1384-05-18,2005-08-09,1343,آباد,ABAD
1384-05-19,2005-08-10,1366,آباد,ABAD
1384-05-22,2005-08-13,1366,آباد,ABAD
1384-05-23,2005-08-14,1364,آباد,ABAD
1384-05-24,2005-08-15,1360,آباد,ABAD
1384-05-25,2005-08-16,1340,آباد,ABAD
