J-Date,Date,Adj Close,Ticker,Ticker(4)
1401-02-28,2022-05-18,9928,سآبیک,ABIK
1401-02-31,2022-05-21,10422,سآبیک,ABIK
1401-03-01,2022-05-22,10941,سآبیک,ABIK
1401-03-02,2022-05-23,11484,سآبیک,ABIK
1401-03-03,2022-05-24,12051,سآبیک,ABIK
1401-03-04,2022-05-25,12651,سآبیک,ABIK
1401-03-07,2022-05-28,13283,سآبیک,ABIK
1401-03-08,2022-05-29,13940,سآبیک,ABIK
1401-03-09,2022-05-30,13372,سآبیک,ABIK
1401-03-16,2022-06-06,13429,سآبیک,ABIK
1401-03-22,2022-06-12,13687,سآبیک,ABIK
1401-03-23,2022-06-13,14363,سآبیک,ABIK
1401-03-24,2022-06-14,13838,سآبیک,ABIK
1401-03-25,2022-06-15,13571,سآبیک,ABIK
1401-03-28,2022-06-18,12868,سآبیک,ABIK
1401-03-29,2022-06-19,12788,سآبیک,ABIK
1401-03-30,2022-06-20,13206,سآبیک,ABIK
1401-03-31,2022-06-21,12699,سآبیک,ABIK
1401-04-01,2022-06-22,12450,سآبیک,ABIK
1401-04-04,2022-06-25,12050,سآبیک,ABIK
1401-04-05,2022-06-26,11783,سآبیک,ABIK
1401-04-06,2022-06-27,11925,سآبیک,ABIK
1401-04-07,2022-06-28,11845,سآبیک,ABIK
1401-04-08,2022-06-29,11702,سآبیک,ABIK
1401-04-11,2022-07-02,11249,سآبیک,ABIK
1401-04-12,2022-07-03,11889,سآبیک,ABIK
1401-04-13,2022-07-04,11605,سآبیک,ABIK
1401-04-14,2022-07-05,11533,سآبیک,ABIK
1401-04-15,2022-07-06,11471,سآبیک,ABIK
1401-04-18,2022-07-09,11231,سآبیک,ABIK
1401-04-20,2022-07-11,10857,سآبیک,ABIK
1401-04-21,2022-07-12,10946,سآبیک,ABIK
1401-04-22,2022-07-13,10857,سآبیک,ABIK
1401-04-25,2022-07-16,10866,سآبیک,ABIK
1401-04-26,2022-07-17,10724,سآبیک,ABIK
1401-04-28,2022-07-19,10750,سآبیک,ABIK
1401-04-29,2022-07-20,10875,سآبیک,ABIK
1401-05-01,2022-07-23,10812,سآبیک,ABIK
1401-05-02,2022-07-24,10768,سآبیک,ABIK
1401-05-03,2022-07-25,10305,سآبیک,ABIK
1401-05-04,2022-07-26,10234,سآبیک,ABIK
1401-05-05,2022-07-27,10243,سآبیک,ABIK
1401-05-08,2022-07-30,9967,سآبیک,ABIK
1401-05-09,2022-07-31,9700,سآبیک,ABIK
1401-05-10,2022-08-01,9753,سآبیک,ABIK
1401-05-11,2022-08-02,9807,سآبیک,ABIK
1401-05-12,2022-08-03,10341,سآبیک,ABIK
1401-05-15,2022-08-06,10581,سآبیک,ABIK
1401-05-18,2022-08-09,10261,سآبیک,ABIK
1401-05-19,2022-08-10,10127,سآبیک,ABIK
1401-05-22,2022-08-13,10368,سآبیک,ABIK
1401-05-23,2022-08-14,10074,سآبیک,ABIK
1401-05-24,2022-08-15,10190,سآبیک,ABIK
1401-05-25,2022-08-16,10056,سآبیک,ABIK
1401-05-26,2022-08-17,9851,سآبیک,ABIK
1401-05-29,2022-08-20,10279,سآبیک,ABIK
1401-05-30,2022-08-21,10047,سآبیک,ABIK
1401-05-31,2022-08-22,10145,سآبیک,ABIK
1401-06-01,2022-08-23,10359,سآبیک,ABIK
1401-06-02,2022-08-24,10483,سآبیک,ABIK
1401-06-05,2022-08-27,10421,سآبیک,ABIK
1401-06-06,2022-08-28,10492,سآبیک,ABIK
1401-06-07,2022-08-29,10430,سآبیک,ABIK
1401-06-08,2022-08-30,10581,سآبیک,ABIK
1401-06-09,2022-08-31,10510,سآبیک,ABIK
1401-06-12,2022-09-03,10207,سآبیک,ABIK
1401-06-13,2022-09-04,10270,سآبیک,ABIK
1401-06-14,2022-09-05,10198,سآبیک,ABIK
1401-06-15,2022-09-06,10287,سآبیک,ABIK
1401-06-16,2022-09-07,10305,سآبیک,ABIK
1401-06-19,2022-09-10,10270,سآبیک,ABIK
1401-06-20,2022-09-11,10118,سآبیک,ABIK
1401-06-21,2022-09-12,10163,سآبیک,ABIK
1401-06-22,2022-09-13,10323,سآبیک,ABIK
1401-06-23,2022-09-14,10261,سآبیک,ABIK
1401-06-27,2022-09-18,10154,سآبیک,ABIK
1401-06-28,2022-09-19,10092,سآبیک,ABIK
1401-06-29,2022-09-20,10074,سآبیک,ABIK
1401-06-30,2022-09-21,10092,سآبیک,ABIK
1401-07-02,2022-09-24,9647,سآبیک,ABIK
1401-07-04,2022-09-26,9798,سآبیک,ABIK
1401-07-06,2022-09-28,9967,سآبیک,ABIK
1401-07-09,2022-10-01,9584,سآبیک,ABIK
1401-07-10,2022-10-02,9620,سآبیک,ABIK
1401-07-11,2022-10-03,9656,سآبیک,ABIK
1401-07-12,2022-10-04,9647,سآبیک,ABIK
1401-07-16,2022-10-08,9593,سآبیک,ABIK
1401-07-17,2022-10-09,9593,سآبیک,ABIK
1401-07-18,2022-10-10,9682,سآبیک,ABIK
1401-07-19,2022-10-11,9798,سآبیک,ABIK
1401-07-20,2022-10-12,9807,سآبیک,ABIK
1401-07-23,2022-10-15,9807,سآبیک,ABIK
1401-07-24,2022-10-16,9834,سآبیک,ABIK
1401-07-25,2022-10-17,9834,سآبیک,ABIK
1401-07-26,2022-10-18,9842,سآبیک,ABIK
1401-07-27,2022-10-19,9825,سآبیک,ABIK
1401-07-30,2022-10-22,9691,سآبیک,ABIK
1401-08-01,2022-10-23,9967,سآبیک,ABIK
1401-08-02,2022-10-24,9842,سآبیک,ABIK
1401-08-03,2022-10-25,9611,سآبیک,ABIK
1401-08-04,2022-10-26,9593,سآبیک,ABIK
