J-Date,Date,Adj Close,Ticker,Ticker(4)
1401-02-28,2022-05-18,10034,وآفر,AFRP
1401-02-31,2022-05-21,10321,وآفر,AFRP
1401-03-02,2022-05-23,10018,وآفر,AFRP
1401-03-03,2022-05-24,10082,وآفر,AFRP
1401-03-04,2022-05-25,9795,وآفر,AFRP
1401-03-07,2022-05-28,9509,وآفر,AFRP
1401-03-08,2022-05-29,9238,وآفر,AFRP
1401-03-09,2022-05-30,9541,وآفر,AFRP
1401-03-10,2022-05-31,9620,وآفر,AFRP
1401-03-11,2022-06-01,9429,وآفر,AFRP
1401-03-16,2022-06-06,9445,وآفر,AFRP
1401-03-17,2022-06-07,9334,وآفر,AFRP
1401-03-18,2022-06-08,9238,وآفر,AFRP
1401-03-21,2022-06-11,9206,وآفر,AFRP
1401-03-22,2022-06-12,9079,وآفر,AFRP
1401-03-23,2022-06-13,8919,وآفر,AFRP
1401-03-24,2022-06-14,8919,وآفر,AFRP
1401-03-25,2022-06-15,9047,وآفر,AFRP
1401-03-28,2022-06-18,8760,وآفر,AFRP
1401-03-29,2022-06-19,8999,وآفر,AFRP
1401-03-30,2022-06-20,9015,وآفر,AFRP
1401-03-31,2022-06-21,9015,وآفر,AFRP
1401-04-01,2022-06-22,9079,وآفر,AFRP
1401-04-04,2022-06-25,8872,وآفر,AFRP
1401-04-05,2022-06-26,8665,وآفر,AFRP
1401-04-06,2022-06-27,8410,وآفر,AFRP
1401-04-07,2022-06-28,8442,وآفر,AFRP
1401-04-08,2022-06-29,8330,وآفر,AFRP
1401-04-11,2022-07-02,8187,وآفر,AFRP
1401-04-12,2022-07-03,8059,وآفر,AFRP
1401-04-13,2022-07-04,8155,وآفر,AFRP
1401-04-14,2022-07-05,8012,وآفر,AFRP
1401-04-15,2022-07-06,7868,وآفر,AFRP
1401-04-18,2022-07-09,7645,وآفر,AFRP
1401-04-20,2022-07-11,7438,وآفر,AFRP
1401-04-21,2022-07-12,7661,وآفر,AFRP
1401-04-22,2022-07-13,7677,وآفر,AFRP
1401-04-25,2022-07-16,7836,وآفر,AFRP
1401-04-26,2022-07-17,7645,وآفر,AFRP
1401-04-28,2022-07-19,7645,وآفر,AFRP
1401-04-29,2022-07-20,7534,وآفر,AFRP
1401-05-01,2022-07-23,7327,وآفر,AFRP
1401-05-02,2022-07-24,7263,وآفر,AFRP
1401-05-03,2022-07-25,7040,وآفر,AFRP
1401-05-04,2022-07-26,6833,وآفر,AFRP
1401-05-05,2022-07-27,7056,وآفر,AFRP
1401-05-08,2022-07-30,6817,وآفر,AFRP
1401-05-09,2022-07-31,6721,وآفر,AFRP
1401-05-10,2022-08-01,6578,وآفر,AFRP
1401-05-11,2022-08-02,6498,وآفر,AFRP
1401-05-12,2022-08-03,6451,وآفر,AFRP
1401-05-15,2022-08-06,6721,وآفر,AFRP
1401-05-18,2022-08-09,6642,وآفر,AFRP
1401-05-19,2022-08-10,6514,وآفر,AFRP
1401-05-22,2022-08-13,6674,وآفر,AFRP
1401-05-23,2022-08-14,6674,وآفر,AFRP
1401-05-24,2022-08-15,6881,وآفر,AFRP
1401-05-25,2022-08-16,7008,وآفر,AFRP
1401-05-26,2022-08-17,6976,وآفر,AFRP
1401-05-29,2022-08-20,6721,وآفر,AFRP
1401-05-30,2022-08-21,6594,وآفر,AFRP
1401-05-31,2022-08-22,6498,وآفر,AFRP
1401-06-01,2022-08-23,6721,وآفر,AFRP
1401-06-02,2022-08-24,6801,وآفر,AFRP
1401-06-05,2022-08-27,6928,وآفر,AFRP
1401-06-06,2022-08-28,7056,وآفر,AFRP
1401-06-07,2022-08-29,7040,وآفر,AFRP
1401-06-08,2022-08-30,7088,وآفر,AFRP
1401-06-09,2022-08-31,7056,وآفر,AFRP
1401-06-12,2022-09-03,7008,وآفر,AFRP
1401-06-13,2022-09-04,7056,وآفر,AFRP
1401-06-14,2022-09-05,6944,وآفر,AFRP
1401-06-19,2022-09-10,6785,وآفر,AFRP
1401-06-20,2022-09-11,6610,وآفر,AFRP
1401-06-21,2022-09-12,6674,وآفر,AFRP
1401-06-22,2022-09-13,6658,وآفر,AFRP
1401-06-23,2022-09-14,6610,وآفر,AFRP
1401-06-27,2022-09-18,6419,وآفر,AFRP
1401-06-28,2022-09-19,6482,وآفر,AFRP
1401-06-29,2022-09-20,6419,وآفر,AFRP
1401-06-30,2022-09-21,6482,وآفر,AFRP
1401-07-02,2022-09-24,6196,وآفر,AFRP
1401-07-04,2022-09-26,6068,وآفر,AFRP
1401-07-06,2022-09-28,6196,وآفر,AFRP
1401-07-09,2022-10-01,5950,وآفر,AFRP
1401-07-10,2022-10-02,5963,وآفر,AFRP
1401-07-11,2022-10-03,6020,وآفر,AFRP
1401-07-12,2022-10-04,6011,وآفر,AFRP
1401-07-16,2022-10-08,6052,وآفر,AFRP
1401-07-17,2022-10-09,5896,وآفر,AFRP
1401-07-18,2022-10-10,5925,وآفر,AFRP
1401-07-19,2022-10-11,6173,وآفر,AFRP
1401-07-20,2022-10-12,6323,وآفر,AFRP
1401-07-23,2022-10-15,6269,وآفر,AFRP
1401-07-24,2022-10-16,6164,وآفر,AFRP
1401-07-25,2022-10-17,6151,وآفر,AFRP
1401-07-26,2022-10-18,6119,وآفر,AFRP
1401-07-27,2022-10-19,6116,وآفر,AFRP
1401-07-30,2022-10-22,6068,وآفر,AFRP
1401-08-01,2022-10-23,5919,وآفر,AFRP
1401-08-02,2022-10-24,5813,وآفر,AFRP
1401-08-03,2022-10-25,5762,وآفر,AFRP
1401-08-04,2022-10-26,5648,وآفر,AFRP
1401-08-07,2022-10-29,5543,وآفر,AFRP
1401-08-08,2022-10-30,5555,وآفر,AFRP
1401-08-09,2022-10-31,5603,وآفر,AFRP
1401-08-10,2022-11-01,5664,وآفر,AFRP
1401-08-11,2022-11-02,5520,وآفر,AFRP
1401-08-14,2022-11-05,5737,وآفر,AFRP
1401-08-15,2022-11-06,5689,وآفر,AFRP
1401-08-16,2022-11-07,5845,وآفر,AFRP
1401-08-17,2022-11-08,5590,وآفر,AFRP
1401-08-18,2022-11-09,5562,وآفر,AFRP
1401-08-21,2022-11-12,5654,وآفر,AFRP
1401-08-22,2022-11-13,5622,وآفر,AFRP
1401-08-23,2022-11-14,5657,وآفر,AFRP
1401-08-24,2022-11-15,5683,وآفر,AFRP
1401-08-25,2022-11-16,5852,وآفر,AFRP
1401-08-28,2022-11-19,5893,وآفر,AFRP
1401-08-29,2022-11-20,6040,وآفر,AFRP
1401-08-30,2022-11-21,6205,وآفر,AFRP
1401-09-01,2022-11-22,6333,وآفر,AFRP
1401-09-02,2022-11-23,6132,وآفر,AFRP
1401-09-05,2022-11-26,6349,وآفر,AFRP
1401-09-06,2022-11-27,6374,وآفر,AFRP
1401-09-07,2022-11-28,6517,وآفر,AFRP
1401-09-08,2022-11-29,6680,وآفر,AFRP
1401-09-09,2022-11-30,6603,وآفر,AFRP
1401-09-12,2022-12-03,6435,وآفر,AFRP
1401-09-13,2022-12-04,6642,وآفر,AFRP
1401-09-14,2022-12-05,6642,وآفر,AFRP
1401-09-15,2022-12-06,6817,وآفر,AFRP
1401-09-16,2022-12-07,6897,وآفر,AFRP
1401-09-19,2022-12-10,6705,وآفر,AFRP
1401-09-20,2022-12-11,6865,وآفر,AFRP
1401-09-21,2022-12-12,6817,وآفر,AFRP
1401-09-22,2022-12-13,6976,وآفر,AFRP
1401-09-23,2022-12-14,7024,وآفر,AFRP
1401-09-26,2022-12-17,7056,وآفر,AFRP
1401-09-27,2022-12-18,7199,وآفر,AFRP
1401-09-28,2022-12-19,7183,وآفر,AFRP
1401-09-29,2022-12-20,7104,وآفر,AFRP
1401-09-30,2022-12-21,7135,وآفر,AFRP
1401-10-03,2022-12-24,7295,وآفر,AFRP
1401-10-04,2022-12-25,7454,وآفر,AFRP
1401-10-05,2022-12-26,7645,وآفر,AFRP
