J-Date,Date,Adj Close,Ticker,Ticker(4)
1390-05-05,2011-07-27,307,افرا,AFRZ
1390-05-08,2011-07-30,322,افرا,AFRZ
1390-05-09,2011-07-31,339,افرا,AFRZ
1390-05-10,2011-08-01,355,افرا,AFRZ
1390-05-11,2011-08-02,370,افرا,AFRZ
1390-05-12,2011-08-03,389,افرا,AFRZ
1390-05-15,2011-08-06,408,افرا,AFRZ
1390-05-16,2011-08-07,429,افرا,AFRZ
1390-05-17,2011-08-08,450,افرا,AFRZ
1390-05-18,2011-08-09,472,افرا,AFRZ
1390-05-19,2011-08-10,493,افرا,AFRZ
1390-05-22,2011-08-13,518,افرا,AFRZ
1390-05-23,2011-08-14,544,افرا,AFRZ
1390-05-24,2011-08-15,571,افرا,AFRZ
1390-05-25,2011-08-16,599,افرا,AFRZ
1390-05-26,2011-08-17,600,افرا,AFRZ
1390-05-29,2011-08-20,565,افرا,AFRZ
1390-05-30,2011-08-21,537,افرا,AFRZ
1390-06-01,2011-08-23,544,افرا,AFRZ
1390-06-02,2011-08-24,571,افرا,AFRZ
1390-06-05,2011-08-27,577,افرا,AFRZ
1390-06-06,2011-08-28,562,افرا,AFRZ
1390-06-07,2011-08-29,562,افرا,AFRZ
1390-06-08,2011-08-30,543,افرا,AFRZ
1390-06-12,2011-09-03,562,افرا,AFRZ
1390-06-13,2011-09-04,543,افرا,AFRZ
1390-06-14,2011-09-05,525,افرا,AFRZ
1390-06-15,2011-09-06,557,افرا,AFRZ
1390-06-16,2011-09-07,558,افرا,AFRZ
1390-06-19,2011-09-10,562,افرا,AFRZ
1390-06-20,2011-09-11,569,افرا,AFRZ
1390-06-21,2011-09-12,560,افرا,AFRZ
1390-06-22,2011-09-13,560,افرا,AFRZ
1390-06-23,2011-09-14,558,افرا,AFRZ
1390-06-26,2011-09-17,561,افرا,AFRZ
1390-06-27,2011-09-18,553,افرا,AFRZ
1390-06-28,2011-09-19,555,افرا,AFRZ
1390-06-29,2011-09-20,551,افرا,AFRZ
1390-06-30,2011-09-21,562,افرا,AFRZ
1390-07-03,2011-09-25,562,افرا,AFRZ
1390-07-04,2011-09-26,562,افرا,AFRZ
1390-07-05,2011-09-27,581,افرا,AFRZ
1390-07-06,2011-09-28,581,افرا,AFRZ
1390-07-09,2011-10-01,577,افرا,AFRZ
1390-07-10,2011-10-02,578,افرا,AFRZ
1390-07-11,2011-10-03,607,افرا,AFRZ
1390-07-12,2011-10-04,624,افرا,AFRZ
1390-07-13,2011-10-05,633,افرا,AFRZ
1390-07-16,2011-10-08,637,افرا,AFRZ
1390-07-17,2011-10-09,630,افرا,AFRZ
1390-07-18,2011-10-10,626,افرا,AFRZ
1390-07-19,2011-10-11,625,افرا,AFRZ
1390-07-20,2011-10-12,600,افرا,AFRZ
1390-07-23,2011-10-15,575,افرا,AFRZ
1390-07-24,2011-10-16,555,افرا,AFRZ
1390-07-25,2011-10-17,555,افرا,AFRZ
1390-07-26,2011-10-18,581,افرا,AFRZ
1390-07-27,2011-10-19,588,افرا,AFRZ
1390-07-30,2011-10-22,588,افرا,AFRZ
1390-08-01,2011-10-23,607,افرا,AFRZ
1390-08-02,2011-10-24,579,افرا,AFRZ
1390-08-03,2011-10-25,592,افرا,AFRZ
1390-08-04,2011-10-26,590,افرا,AFRZ
1390-08-07,2011-10-29,579,افرا,AFRZ
1390-08-08,2011-10-30,590,افرا,AFRZ
1390-08-09,2011-10-31,573,افرا,AFRZ
1390-08-10,2011-11-01,580,افرا,AFRZ
1390-08-11,2011-11-02,558,افرا,AFRZ
1390-08-14,2011-11-05,581,افرا,AFRZ
1390-08-15,2011-11-06,551,افرا,AFRZ
1390-08-17,2011-11-08,527,افرا,AFRZ
1390-08-18,2011-11-09,550,افرا,AFRZ
1390-08-21,2011-11-12,550,افرا,AFRZ
1390-08-22,2011-11-13,547,افرا,AFRZ
1390-08-23,2011-11-14,545,افرا,AFRZ
1390-08-25,2011-11-16,544,افرا,AFRZ
1390-08-28,2011-11-19,549,افرا,AFRZ
1390-08-29,2011-11-20,545,افرا,AFRZ
1390-08-30,2011-11-21,518,افرا,AFRZ
1390-09-01,2011-11-22,524,افرا,AFRZ
1390-09-02,2011-11-23,529,افرا,AFRZ
1390-09-05,2011-11-26,504,افرا,AFRZ
1390-09-06,2011-11-27,497,افرا,AFRZ
1390-09-07,2011-11-28,477,افرا,AFRZ
1390-09-08,2011-11-29,486,افرا,AFRZ
1390-09-09,2011-11-30,492,افرا,AFRZ
1390-09-12,2011-12-03,498,افرا,AFRZ
1390-09-13,2011-12-04,485,افرا,AFRZ
1390-09-16,2011-12-07,504,افرا,AFRZ
1390-09-19,2011-12-10,502,افرا,AFRZ
1390-09-20,2011-12-11,493,افرا,AFRZ
1390-09-21,2011-12-12,497,افرا,AFRZ
1390-09-22,2011-12-13,477,افرا,AFRZ
1390-09-23,2011-12-14,457,افرا,AFRZ
1390-09-26,2011-12-17,444,افرا,AFRZ
1390-09-27,2011-12-18,457,افرا,AFRZ
1390-09-28,2011-12-19,461,افرا,AFRZ
1390-09-29,2011-12-20,457,افرا,AFRZ
1390-09-30,2011-12-21,454,افرا,AFRZ
1390-10-03,2011-12-24,468,افرا,AFRZ
1390-10-04,2011-12-25,448,افرا,AFRZ
1390-10-05,2011-12-26,426,افرا,AFRZ
1390-10-06,2011-12-27,448,افرا,AFRZ
1390-10-07,2011-12-28,450,افرا,AFRZ
1390-10-10,2011-12-31,450,افرا,AFRZ
1390-10-11,2012-01-01,430,افرا,AFRZ
1390-10-12,2012-01-02,450,افرا,AFRZ
1390-10-13,2012-01-03,450,افرا,AFRZ
1390-10-14,2012-01-04,431,افرا,AFRZ
1390-10-17,2012-01-07,431,افرا,AFRZ
1390-10-18,2012-01-08,449,افرا,AFRZ
1390-10-19,2012-01-09,450,افرا,AFRZ
1390-10-20,2012-01-10,435,افرا,AFRZ
1390-10-21,2012-01-11,432,افرا,AFRZ
1390-10-25,2012-01-15,445,افرا,AFRZ
1390-10-26,2012-01-16,413,افرا,AFRZ
1390-10-27,2012-01-17,420,افرا,AFRZ
1390-10-28,2012-01-18,408,افرا,AFRZ
1390-11-01,2012-01-21,412,افرا,AFRZ
1390-11-03,2012-01-23,431,افرا,AFRZ
1390-11-05,2012-01-25,438,افرا,AFRZ
1390-11-08,2012-01-28,438,افرا,AFRZ
1390-11-09,2012-01-29,446,افرا,AFRZ
1390-11-10,2012-01-30,425,افرا,AFRZ
1390-11-11,2012-01-31,422,افرا,AFRZ
1390-11-12,2012-02-01,422,افرا,AFRZ
1390-11-15,2012-02-04,433,افرا,AFRZ
1390-11-16,2012-02-05,435,افرا,AFRZ
1390-11-17,2012-02-06,414,افرا,AFRZ
1390-11-18,2012-02-07,403,افرا,AFRZ
1390-11-19,2012-02-08,413,افرا,AFRZ
1390-11-23,2012-02-12,381,افرا,AFRZ
1390-11-25,2012-02-14,379,افرا,AFRZ
1390-11-26,2012-02-15,375,افرا,AFRZ
1390-11-29,2012-02-18,393,افرا,AFRZ
1390-11-30,2012-02-19,404,افرا,AFRZ
1390-12-01,2012-02-20,424,افرا,AFRZ
1390-12-02,2012-02-21,445,افرا,AFRZ
1390-12-03,2012-02-22,442,افرا,AFRZ
1390-12-06,2012-02-25,439,افرا,AFRZ
1390-12-07,2012-02-26,427,افرا,AFRZ
1390-12-08,2012-02-27,426,افرا,AFRZ
1390-12-09,2012-02-28,433,افرا,AFRZ
1390-12-10,2012-02-29,446,افرا,AFRZ
1390-12-13,2012-03-03,436,افرا,AFRZ
1390-12-14,2012-03-04,412,افرا,AFRZ
1390-12-15,2012-03-05,431,افرا,AFRZ
1390-12-16,2012-03-06,452,افرا,AFRZ
1390-12-17,2012-03-07,474,افرا,AFRZ
1390-12-20,2012-03-10,487,افرا,AFRZ
1390-12-21,2012-03-11,462,افرا,AFRZ
1390-12-22,2012-03-12,439,افرا,AFRZ
1390-12-23,2012-03-13,450,افرا,AFRZ
1390-12-24,2012-03-14,417,افرا,AFRZ
1390-12-27,2012-03-17,417,افرا,AFRZ
1390-12-28,2012-03-18,438,افرا,AFRZ
1391-01-05,2012-03-24,458,افرا,AFRZ
1391-01-06,2012-03-25,466,افرا,AFRZ
1391-01-07,2012-03-26,445,افرا,AFRZ
1391-01-08,2012-03-27,441,افرا,AFRZ
1391-01-09,2012-03-28,423,افرا,AFRZ
1391-01-14,2012-04-02,421,افرا,AFRZ
1391-01-15,2012-04-03,422,افرا,AFRZ
1391-01-16,2012-04-04,401,افرا,AFRZ
1391-01-19,2012-04-07,401,افرا,AFRZ
1391-01-20,2012-04-08,412,افرا,AFRZ
1391-01-21,2012-04-09,405,افرا,AFRZ
1391-01-22,2012-04-10,397,افرا,AFRZ
1391-01-23,2012-04-11,393,افرا,AFRZ
1391-01-26,2012-04-14,396,افرا,AFRZ
1391-01-27,2012-04-15,378,افرا,AFRZ
1391-01-28,2012-04-16,381,افرا,AFRZ
1391-01-29,2012-04-17,397,افرا,AFRZ
1391-01-30,2012-04-18,415,افرا,AFRZ
1391-02-02,2012-04-21,397,افرا,AFRZ
1391-02-03,2012-04-22,412,افرا,AFRZ
1391-02-04,2012-04-23,392,افرا,AFRZ
1391-02-05,2012-04-24,389,افرا,AFRZ
1391-02-09,2012-04-28,409,افرا,AFRZ
1391-02-10,2012-04-29,401,افرا,AFRZ
1391-02-11,2012-04-30,411,افرا,AFRZ
1391-02-13,2012-05-02,412,افرا,AFRZ
1391-02-16,2012-05-05,399,افرا,AFRZ
1391-02-17,2012-05-06,399,افرا,AFRZ
1391-02-18,2012-05-07,419,افرا,AFRZ
1391-02-19,2012-05-08,440,افرا,AFRZ
1391-02-20,2012-05-09,460,افرا,AFRZ
1391-02-23,2012-05-12,482,افرا,AFRZ
1391-02-24,2012-05-13,477,افرا,AFRZ
1391-02-25,2012-05-14,487,افرا,AFRZ
1391-02-26,2012-05-15,484,افرا,AFRZ
1391-03-01,2012-05-21,502,افرا,AFRZ
1391-03-02,2012-05-22,498,افرا,AFRZ
1391-03-03,2012-05-23,482,افرا,AFRZ
1391-03-06,2012-05-26,471,افرا,AFRZ
1391-03-07,2012-05-27,493,افرا,AFRZ
1391-03-08,2012-05-28,470,افرا,AFRZ
1391-03-09,2012-05-29,449,افرا,AFRZ
1391-03-10,2012-05-30,464,افرا,AFRZ
