J-Date,Date,Adj Close,Ticker,Ticker(4)
1400-11-17,2022-02-06,309672,وامیر,AIMP
1400-11-18,2022-02-07,318933,وامیر,AIMP
1400-11-19,2022-02-08,328492,وامیر,AIMP
1400-11-20,2022-02-09,338300,وامیر,AIMP
1400-11-23,2022-02-12,355177,وامیر,AIMP
1400-11-24,2022-02-13,346016,وامیر,AIMP
1400-11-25,2022-02-14,350398,وامیر,AIMP
1400-11-27,2022-02-16,348058,وامیر,AIMP
1400-11-30,2022-02-19,347361,وامیر,AIMP
1400-12-01,2022-02-20,339445,وامیر,AIMP
1400-12-02,2022-02-21,344871,وامیر,AIMP
1400-12-03,2022-02-22,344622,وامیر,AIMP
1400-12-04,2022-02-23,344523,وامیر,AIMP
1400-12-07,2022-02-26,337304,وامیر,AIMP
1400-12-08,2022-02-27,336657,وامیر,AIMP
1400-12-09,2022-02-28,336009,وامیر,AIMP
1400-12-11,2022-03-02,335412,وامیر,AIMP
1400-12-14,2022-03-05,328292,وامیر,AIMP
1400-12-15,2022-03-06,333221,وامیر,AIMP
1400-12-16,2022-03-07,333221,وامیر,AIMP
1400-12-17,2022-03-08,332972,وامیر,AIMP
1400-12-18,2022-03-09,325753,وامیر,AIMP
1400-12-21,2022-03-12,331778,وامیر,AIMP
1400-12-22,2022-03-13,321870,وامیر,AIMP
1400-12-23,2022-03-14,320028,وامیر,AIMP
1400-12-24,2022-03-15,313356,وامیر,AIMP
1400-12-25,2022-03-16,312859,وامیر,AIMP
1400-12-28,2022-03-19,303499,وامیر,AIMP
1401-01-06,2022-03-26,294736,وامیر,AIMP
1401-01-07,2022-03-27,280448,وامیر,AIMP
1401-01-09,2022-03-29,275967,وامیر,AIMP
1401-01-10,2022-03-30,267901,وامیر,AIMP
1401-01-14,2022-04-03,275917,وامیر,AIMP
1401-01-15,2022-04-04,281443,وامیر,AIMP
1401-01-16,2022-04-05,286322,وامیر,AIMP
1401-01-17,2022-04-06,294139,وامیر,AIMP
1401-01-20,2022-04-09,302802,وامیر,AIMP
1401-01-21,2022-04-10,303549,وامیر,AIMP
1401-01-22,2022-04-11,310071,وامیر,AIMP
1401-01-23,2022-04-12,315248,وامیر,AIMP
1401-01-24,2022-04-13,321073,وامیر,AIMP
1401-01-27,2022-04-16,330483,وامیر,AIMP
1401-01-28,2022-04-17,340341,وامیر,AIMP
1401-01-29,2022-04-18,347062,وامیر,AIMP
1401-01-30,2022-04-19,344523,وامیر,AIMP
1401-01-31,2022-04-20,346514,وامیر,AIMP
1401-02-04,2022-04-24,332226,وامیر,AIMP
1401-02-05,2022-04-25,327994,وامیر,AIMP
1401-02-06,2022-04-26,322368,وامیر,AIMP
1401-02-07,2022-04-27,337254,وامیر,AIMP
1401-02-10,2022-04-30,340241,وامیر,AIMP
1401-02-11,2022-05-01,336706,وامیر,AIMP
1401-02-12,2022-05-02,338548,وامیر,AIMP
1401-02-17,2022-05-07,327098,وامیر,AIMP
1401-02-18,2022-05-08,324310,وامیر,AIMP
1401-02-19,2022-05-09,337105,وامیر,AIMP
1401-02-20,2022-05-10,343477,وامیر,AIMP
1401-02-21,2022-05-11,346863,وامیر,AIMP
1401-02-24,2022-05-14,361649,وامیر,AIMP
1401-02-25,2022-05-15,371607,وامیر,AIMP
1401-02-26,2022-05-16,382261,وامیر,AIMP
1401-02-27,2022-05-17,386742,وامیر,AIMP
