J-Date,Date,Adj Close,Ticker,Ticker(4)
1381-09-30,2002-12-21,5,فایرا,ALIR
1381-12-27,2003-03-18,16,فایرا,ALIR
1382-01-11,2003-03-31,15,فایرا,ALIR
1382-02-01,2003-04-21,15,فایرا,ALIR
1382-10-16,2004-01-06,3,فایرا,ALIR
1383-02-14,2004-05-03,10,فایرا,ALIR
1386-03-21,2007-06-11,35,فایرا,ALIR
1386-03-22,2007-06-12,36,فایرا,ALIR
1386-03-23,2007-06-13,37,فایرا,ALIR
1386-03-26,2007-06-16,37,فایرا,ALIR
1386-03-27,2007-06-17,38,فایرا,ALIR
1386-03-29,2007-06-19,37,فایرا,ALIR
1386-03-30,2007-06-20,37,فایرا,ALIR
1386-04-02,2007-06-23,37,فایرا,ALIR
1386-04-03,2007-06-24,37,فایرا,ALIR
1386-04-04,2007-06-25,36,فایرا,ALIR
1386-04-05,2007-06-26,36,فایرا,ALIR
1386-04-06,2007-06-27,35,فایرا,ALIR
1386-04-09,2007-06-30,36,فایرا,ALIR
1386-04-10,2007-07-01,36,فایرا,ALIR
1386-04-11,2007-07-02,36,فایرا,ALIR
1386-04-12,2007-07-03,36,فایرا,ALIR
1386-04-20,2007-07-11,32,فایرا,ALIR
1386-04-23,2007-07-14,33,فایرا,ALIR
1386-04-24,2007-07-15,33,فایرا,ALIR
1386-04-25,2007-07-16,33,فایرا,ALIR
1386-04-26,2007-07-17,34,فایرا,ALIR
1386-04-27,2007-07-18,35,فایرا,ALIR
1386-04-30,2007-07-21,35,فایرا,ALIR
1386-04-31,2007-07-22,35,فایرا,ALIR
1386-05-01,2007-07-23,35,فایرا,ALIR
1386-05-02,2007-07-24,36,فایرا,ALIR
1386-05-03,2007-07-25,36,فایرا,ALIR
1386-05-07,2007-07-29,36,فایرا,ALIR
1386-05-08,2007-07-30,36,فایرا,ALIR
1386-05-09,2007-07-31,36,فایرا,ALIR
1386-05-10,2007-08-01,36,فایرا,ALIR
1386-05-13,2007-08-04,36,فایرا,ALIR
1386-05-14,2007-08-05,37,فایرا,ALIR
1386-05-15,2007-08-06,37,فایرا,ALIR
1386-05-16,2007-08-07,37,فایرا,ALIR
1386-05-17,2007-08-08,37,فایرا,ALIR
1386-05-21,2007-08-12,37,فایرا,ALIR
1386-05-22,2007-08-13,37,فایرا,ALIR
1386-05-23,2007-08-14,38,فایرا,ALIR
1386-05-24,2007-08-15,38,فایرا,ALIR
1386-05-27,2007-08-18,38,فایرا,ALIR
1386-05-28,2007-08-19,39,فایرا,ALIR
1386-05-29,2007-08-20,39,فایرا,ALIR
1386-05-30,2007-08-21,39,فایرا,ALIR
1386-05-31,2007-08-22,40,فایرا,ALIR
1386-06-03,2007-08-25,40,فایرا,ALIR
1386-06-04,2007-08-26,40,فایرا,ALIR
1386-06-05,2007-08-27,39,فایرا,ALIR
1386-06-06,2007-08-28,38,فایرا,ALIR
1386-06-10,2007-09-01,38,فایرا,ALIR
1386-06-11,2007-09-02,39,فایرا,ALIR
1386-06-12,2007-09-03,39,فایرا,ALIR
1386-06-13,2007-09-04,39,فایرا,ALIR
1386-06-14,2007-09-05,39,فایرا,ALIR
1386-06-17,2007-09-08,38,فایرا,ALIR
1386-06-18,2007-09-09,38,فایرا,ALIR
1386-06-19,2007-09-10,39,فایرا,ALIR
