J-Date,Date,Adj Close,Ticker,Ticker(4)
1384-02-25,2005-05-15,438,فمراد,ALMR
1384-02-26,2005-05-16,460,فمراد,ALMR
1384-03-17,2005-06-07,571,فمراد,ALMR
1384-03-18,2005-06-08,599,فمراد,ALMR
1384-03-21,2005-06-11,629,فمراد,ALMR
1384-03-22,2005-06-12,661,فمراد,ALMR
1384-03-23,2005-06-13,684,فمراد,ALMR
1384-03-24,2005-06-14,718,فمراد,ALMR
1384-03-25,2005-06-15,753,فمراد,ALMR
1384-03-28,2005-06-18,788,فمراد,ALMR
1384-03-29,2005-06-19,749,فمراد,ALMR
1384-03-30,2005-06-20,744,فمراد,ALMR
1384-03-31,2005-06-21,781,فمراد,ALMR
1384-04-01,2005-06-22,820,فمراد,ALMR
1384-04-14,2005-07-05,779,فمراد,ALMR
1384-04-15,2005-07-06,740,فمراد,ALMR
1384-04-18,2005-07-09,703,فمراد,ALMR
1384-04-20,2005-07-11,672,فمراد,ALMR
1384-04-21,2005-07-12,687,فمراد,ALMR
1384-04-22,2005-07-13,688,فمراد,ALMR
1384-04-25,2005-07-16,681,فمراد,ALMR
1384-04-26,2005-07-17,680,فمراد,ALMR
1384-04-27,2005-07-18,679,فمراد,ALMR
1384-04-28,2005-07-19,676,فمراد,ALMR
1384-04-29,2005-07-20,687,فمراد,ALMR
1384-05-01,2005-07-23,686,فمراد,ALMR
1384-05-02,2005-07-24,690,فمراد,ALMR
1384-05-03,2005-07-25,693,فمراد,ALMR
1384-05-04,2005-07-26,692,فمراد,ALMR
1384-05-05,2005-07-27,704,فمراد,ALMR
1384-05-08,2005-07-30,707,فمراد,ALMR
1384-05-09,2005-07-31,708,فمراد,ALMR
1384-05-10,2005-08-01,705,فمراد,ALMR
1384-05-11,2005-08-02,705,فمراد,ALMR
1384-05-12,2005-08-03,710,فمراد,ALMR
1384-05-15,2005-08-06,708,فمراد,ALMR
1384-05-16,2005-08-07,712,فمراد,ALMR
1384-05-18,2005-08-09,712,فمراد,ALMR
1384-05-19,2005-08-10,711,فمراد,ALMR
1384-05-22,2005-08-13,711,فمراد,ALMR
1384-05-24,2005-08-15,701,فمراد,ALMR
1384-05-25,2005-08-16,701,فمراد,ALMR
1384-05-30,2005-08-21,709,فمراد,ALMR
1384-05-31,2005-08-22,714,فمراد,ALMR
1384-06-01,2005-08-23,728,فمراد,ALMR
1384-06-02,2005-08-24,730,فمراد,ALMR
1384-06-05,2005-08-27,730,فمراد,ALMR
1384-06-06,2005-08-28,730,فمراد,ALMR
1384-06-07,2005-08-29,724,فمراد,ALMR
1384-06-08,2005-08-30,724,فمراد,ALMR
1384-06-12,2005-09-03,720,فمراد,ALMR
1384-06-13,2005-09-04,719,فمراد,ALMR
1384-06-14,2005-09-05,719,فمراد,ALMR
1384-06-23,2005-09-14,715,فمراد,ALMR
1384-06-26,2005-09-17,706,فمراد,ALMR
1384-06-27,2005-09-18,705,فمراد,ALMR
1384-06-28,2005-09-19,705,فمراد,ALMR
1384-07-03,2005-09-25,704,فمراد,ALMR
1384-07-17,2005-10-09,700,فمراد,ALMR
1384-07-24,2005-10-16,685,فمراد,ALMR
1384-08-01,2005-10-23,683,فمراد,ALMR
1384-08-02,2005-10-24,659,فمراد,ALMR
1384-08-16,2005-11-07,626,فمراد,ALMR
1384-08-18,2005-11-09,595,فمراد,ALMR
1384-08-22,2005-11-13,594,فمراد,ALMR
1384-08-23,2005-11-14,593,فمراد,ALMR
1384-08-25,2005-11-16,592,فمراد,ALMR
1384-09-05,2005-11-26,591,فمراد,ALMR
1384-09-06,2005-11-27,596,فمراد,ALMR
1384-09-08,2005-11-29,589,فمراد,ALMR
1384-09-12,2005-12-03,587,فمراد,ALMR
1384-09-13,2005-12-04,585,فمراد,ALMR
1384-09-14,2005-12-05,605,فمراد,ALMR
1384-09-20,2005-12-11,611,فمراد,ALMR
1384-09-21,2005-12-12,604,فمراد,ALMR
1384-09-22,2005-12-13,606,فمراد,ALMR
1384-09-23,2005-12-14,604,فمراد,ALMR
1384-09-26,2005-12-17,609,فمراد,ALMR
1384-09-28,2005-12-19,608,فمراد,ALMR
1384-09-29,2005-12-20,603,فمراد,ALMR
1384-10-10,2005-12-31,601,فمراد,ALMR
1384-10-11,2006-01-01,601,فمراد,ALMR
1384-10-14,2006-01-04,604,فمراد,ALMR
1384-10-17,2006-01-07,625,فمراد,ALMR
1384-10-24,2006-01-14,625,فمراد,ALMR
1384-11-12,2006-02-01,617,فمراد,ALMR
1384-11-15,2006-02-04,602,فمراد,ALMR
1384-11-16,2006-02-05,608,فمراد,ALMR
1384-11-17,2006-02-06,613,فمراد,ALMR
1384-11-23,2006-02-12,604,فمراد,ALMR
1384-11-24,2006-02-13,606,فمراد,ALMR
1384-11-30,2006-02-19,606,فمراد,ALMR
1384-12-09,2006-02-28,594,فمراد,ALMR
1384-12-16,2006-03-07,593,فمراد,ALMR
1385-01-23,2006-04-12,583,فمراد,ALMR
1385-02-27,2006-05-17,574,فمراد,ALMR
1385-02-30,2006-05-20,585,فمراد,ALMR
1385-02-31,2006-05-21,597,فمراد,ALMR
1385-03-01,2006-05-22,608,فمراد,ALMR
1385-03-02,2006-05-23,608,فمراد,ALMR
1385-03-03,2006-05-24,616,فمراد,ALMR
1385-03-07,2006-05-28,621,فمراد,ALMR
1385-03-17,2006-06-07,571,فمراد,ALMR
1385-03-29,2006-06-19,571,فمراد,ALMR
1385-03-30,2006-06-20,564,فمراد,ALMR
1385-04-04,2006-06-25,569,فمراد,ALMR
1385-04-05,2006-06-26,577,فمراد,ALMR
1385-04-06,2006-06-27,586,فمراد,ALMR
1385-04-07,2006-06-28,597,فمراد,ALMR
1385-04-10,2006-07-01,599,فمراد,ALMR
1385-04-11,2006-07-02,611,فمراد,ALMR
1385-04-12,2006-07-03,614,فمراد,ALMR
1385-04-13,2006-07-04,620,فمراد,ALMR
1385-05-18,2006-08-09,607,فمراد,ALMR
1385-05-21,2006-08-12,607,فمراد,ALMR
1385-05-24,2006-08-15,607,فمراد,ALMR
1385-06-05,2006-08-27,595,فمراد,ALMR
1385-06-06,2006-08-28,598,فمراد,ALMR
1385-06-12,2006-09-03,598,فمراد,ALMR
1385-06-19,2006-09-10,610,فمراد,ALMR
1385-06-20,2006-09-11,610,فمراد,ALMR
1385-06-21,2006-09-12,610,فمراد,ALMR
1385-06-26,2006-09-17,607,فمراد,ALMR
1385-06-27,2006-09-18,606,فمراد,ALMR
1385-06-29,2006-09-20,613,فمراد,ALMR
1385-07-01,2006-09-23,613,فمراد,ALMR
1385-08-01,2006-10-23,613,فمراد,ALMR
1385-08-16,2006-11-07,613,فمراد,ALMR
1385-09-04,2006-11-25,612,فمراد,ALMR
1385-09-05,2006-11-26,611,فمراد,ALMR
1385-09-06,2006-11-27,611,فمراد,ALMR
1385-09-07,2006-11-28,613,فمراد,ALMR
1385-09-08,2006-11-29,613,فمراد,ALMR
1385-09-13,2006-12-04,613,فمراد,ALMR
1385-09-15,2006-12-06,613,فمراد,ALMR
1385-09-29,2006-12-20,612,فمراد,ALMR
1385-10-02,2006-12-23,614,فمراد,ALMR
1385-10-05,2006-12-26,614,فمراد,ALMR
1385-10-06,2006-12-27,614,فمراد,ALMR
1385-11-30,2007-02-19,614,فمراد,ALMR
1385-12-01,2007-02-20,614,فمراد,ALMR
1385-12-06,2007-02-25,614,فمراد,ALMR
1385-12-15,2007-03-06,613,فمراد,ALMR
1386-01-11,2007-03-31,613,فمراد,ALMR
1386-01-27,2007-04-16,613,فمراد,ALMR
1386-02-10,2007-04-30,601,فمراد,ALMR
1386-02-11,2007-05-01,601,فمراد,ALMR
1386-02-22,2007-05-12,601,فمراد,ALMR
1386-02-23,2007-05-13,601,فمراد,ALMR
1386-05-07,2007-07-29,541,فمراد,ALMR
1386-05-09,2007-07-31,539,فمراد,ALMR
1386-05-17,2007-08-08,538,فمراد,ALMR
1386-09-26,2007-12-17,244,فمراد,ALMR
1386-09-27,2007-12-18,247,فمراد,ALMR
1386-09-28,2007-12-19,247,فمراد,ALMR
1386-10-05,2007-12-26,247,فمراد,ALMR
1386-10-10,2007-12-31,247,فمراد,ALMR
1386-10-11,2008-01-01,248,فمراد,ALMR
1386-10-15,2008-01-05,248,فمراد,ALMR
1386-10-25,2008-01-15,248,فمراد,ALMR
1386-10-26,2008-01-16,248,فمراد,ALMR
1386-11-01,2008-01-21,248,فمراد,ALMR
1386-11-07,2008-01-27,253,فمراد,ALMR
1386-11-15,2008-02-04,253,فمراد,ALMR
1386-11-23,2008-02-12,253,فمراد,ALMR
1387-01-24,2008-04-12,253,فمراد,ALMR
1387-02-03,2008-04-22,254,فمراد,ALMR
1387-02-08,2008-04-27,254,فمراد,ALMR
1387-02-09,2008-04-28,254,فمراد,ALMR
1387-02-15,2008-05-04,255,فمراد,ALMR
1387-02-16,2008-05-05,255,فمراد,ALMR
1387-02-21,2008-05-10,255,فمراد,ALMR
1387-02-24,2008-05-13,255,فمراد,ALMR
1387-02-31,2008-05-20,255,فمراد,ALMR
1387-04-16,2008-07-06,221,فمراد,ALMR
1387-04-17,2008-07-07,221,فمراد,ALMR
1387-04-18,2008-07-08,221,فمراد,ALMR
1387-04-22,2008-07-12,221,فمراد,ALMR
1387-09-10,2008-11-30,220,فمراد,ALMR
1387-11-27,2009-02-15,214,فمراد,ALMR
1387-12-17,2009-03-07,214,فمراد,ALMR
1387-12-18,2009-03-08,213,فمراد,ALMR
1387-12-24,2009-03-14,225,فمراد,ALMR
1387-12-26,2009-03-16,222,فمراد,ALMR
1387-12-27,2009-03-17,215,فمراد,ALMR
1388-01-08,2009-03-28,216,فمراد,ALMR
1388-01-16,2009-04-05,220,فمراد,ALMR
1388-02-27,2009-05-17,222,فمراد,ALMR
1388-04-09,2009-06-30,227,فمراد,ALMR
1388-04-10,2009-07-01,227,فمراد,ALMR
1388-07-28,2009-10-20,209,فمراد,ALMR
1388-07-29,2009-10-21,225,فمراد,ALMR
1388-08-02,2009-10-24,227,فمراد,ALMR
1388-08-03,2009-10-25,215,فمراد,ALMR
1388-09-02,2009-11-23,167,فمراد,ALMR
1388-09-03,2009-11-24,186,فمراد,ALMR
1388-09-04,2009-11-25,173,فمراد,ALMR
1388-09-09,2009-11-30,168,فمراد,ALMR
1388-09-11,2009-12-02,180,فمراد,ALMR
1388-09-14,2009-12-05,180,فمراد,ALMR
1388-09-18,2009-12-09,180,فمراد,ALMR
1388-09-21,2009-12-12,181,فمراد,ALMR
1388-09-22,2009-12-13,187,فمراد,ALMR
1388-09-23,2009-12-14,187,فمراد,ALMR
1388-09-24,2009-12-15,190,فمراد,ALMR
1388-09-28,2009-12-19,190,فمراد,ALMR
1388-10-21,2010-01-11,190,فمراد,ALMR
1389-01-22,2010-04-11,179,فمراد,ALMR
1389-01-23,2010-04-12,159,فمراد,ALMR
1389-02-07,2010-04-27,160,فمراد,ALMR
1389-02-11,2010-05-01,160,فمراد,ALMR
1389-02-12,2010-05-02,163,فمراد,ALMR
1389-02-21,2010-05-11,163,فمراد,ALMR
1389-02-29,2010-05-19,164,فمراد,ALMR
1389-03-19,2010-06-09,164,فمراد,ALMR
1389-03-24,2010-06-14,165,فمراد,ALMR
1389-03-29,2010-06-19,165,فمراد,ALMR
1389-06-17,2010-09-08,166,فمراد,ALMR
1389-06-21,2010-09-12,166,فمراد,ALMR
1389-06-29,2010-09-20,166,فمراد,ALMR
1389-07-25,2010-10-17,167,فمراد,ALMR
1389-07-26,2010-10-18,167,فمراد,ALMR
1389-07-28,2010-10-20,167,فمراد,ALMR
1389-09-02,2010-11-23,167,فمراد,ALMR
1389-09-10,2010-12-01,167,فمراد,ALMR
1389-09-17,2010-12-08,154,فمراد,ALMR
1389-10-05,2010-12-26,153,فمراد,ALMR
1389-11-19,2011-02-08,153,فمراد,ALMR
1389-12-01,2011-02-20,159,فمراد,ALMR
1389-12-07,2011-02-26,159,فمراد,ALMR
1389-12-09,2011-02-28,159,فمراد,ALMR
1389-12-14,2011-03-05,159,فمراد,ALMR
1389-12-16,2011-03-07,161,فمراد,ALMR
1389-12-18,2011-03-09,166,فمراد,ALMR
1390-01-20,2011-04-09,159,فمراد,ALMR
1390-01-24,2011-04-13,159,فمراد,ALMR
1390-02-14,2011-05-04,159,فمراد,ALMR
1390-03-25,2011-06-15,159,فمراد,ALMR
1390-03-28,2011-06-18,159,فمراد,ALMR
1390-03-30,2011-06-20,159,فمراد,ALMR
1390-06-22,2011-09-13,158,فمراد,ALMR
1390-09-23,2011-12-14,153,فمراد,ALMR
1391-01-23,2012-04-11,188,فمراد,ALMR
1391-01-26,2012-04-14,188,فمراد,ALMR
1391-01-27,2012-04-15,188,فمراد,ALMR
1391-01-28,2012-04-16,188,فمراد,ALMR
1391-01-29,2012-04-17,188,فمراد,ALMR
1391-01-30,2012-04-18,188,فمراد,ALMR
1391-02-03,2012-04-22,188,فمراد,ALMR
1391-02-04,2012-04-23,188,فمراد,ALMR
1391-02-05,2012-04-24,188,فمراد,ALMR
1391-02-09,2012-04-28,188,فمراد,ALMR
1391-02-10,2012-04-29,189,فمراد,ALMR
1391-02-11,2012-04-30,189,فمراد,ALMR
1391-02-12,2012-05-01,189,فمراد,ALMR
1391-02-16,2012-05-05,189,فمراد,ALMR
1391-02-18,2012-05-07,189,فمراد,ALMR
1391-02-19,2012-05-08,190,فمراد,ALMR
1391-02-20,2012-05-09,191,فمراد,ALMR
1391-02-25,2012-05-14,192,فمراد,ALMR
1391-03-16,2012-06-05,194,فمراد,ALMR
1391-03-17,2012-06-06,194,فمراد,ALMR
