J-Date,Date,Adj Close,Ticker,Ticker(4)
1380-12-19,2002-03-10,1033,فالوم,ALTP
1380-12-27,2002-03-18,1085,فالوم,ALTP
1381-01-17,2002-04-06,1112,فالوم,ALTP
1381-01-25,2002-04-14,1140,فالوم,ALTP
1381-02-02,2002-04-22,1168,فالوم,ALTP
1381-02-08,2002-04-28,1197,فالوم,ALTP
1381-02-14,2002-05-04,1227,فالوم,ALTP
1381-02-17,2002-05-07,1258,فالوم,ALTP
1381-02-22,2002-05-12,1289,فالوم,ALTP
1381-02-29,2002-05-19,1322,فالوم,ALTP
1381-04-09,2002-06-30,2537,فالوم,ALTP
1381-04-10,2002-07-01,2601,فالوم,ALTP
1381-04-11,2002-07-02,2600,فالوم,ALTP
1381-04-12,2002-07-03,2595,فالوم,ALTP
1381-04-15,2002-07-06,2530,فالوم,ALTP
1381-04-17,2002-07-08,2467,فالوم,ALTP
1381-04-18,2002-07-09,2405,فالوم,ALTP
1381-04-19,2002-07-10,2345,فالوم,ALTP
1381-04-22,2002-07-13,2286,فالوم,ALTP
1381-04-23,2002-07-14,2343,فالوم,ALTP
1381-04-24,2002-07-15,2342,فالوم,ALTP
1381-05-20,2002-08-11,2067,فالوم,ALTP
1381-05-23,2002-08-14,2064,فالوم,ALTP
1381-05-26,2002-08-17,2032,فالوم,ALTP
1381-05-27,2002-08-18,1981,فالوم,ALTP
1381-05-29,2002-08-20,1932,فالوم,ALTP
1381-05-30,2002-08-21,1883,فالوم,ALTP
1381-06-06,2002-08-28,1883,فالوم,ALTP
1381-06-11,2002-09-02,1876,فالوم,ALTP
1381-06-12,2002-09-03,1816,فالوم,ALTP
1381-06-16,2002-09-07,1837,فالوم,ALTP
1381-06-17,2002-09-08,1837,فالوم,ALTP
1381-06-20,2002-09-11,1823,فالوم,ALTP
1381-06-23,2002-09-14,1823,فالوم,ALTP
1381-06-31,2002-09-22,1745,فالوم,ALTP
1381-07-01,2002-09-23,1699,فالوم,ALTP
1381-07-02,2002-09-24,1665,فالوم,ALTP
1381-07-06,2002-09-28,1630,فالوم,ALTP
1381-07-07,2002-09-29,1607,فالوم,ALTP
1381-07-09,2002-10-01,1607,فالوم,ALTP
1381-07-14,2002-10-06,1619,فالوم,ALTP
1381-07-15,2002-10-07,1619,فالوم,ALTP
1381-07-16,2002-10-08,1619,فالوم,ALTP
1381-07-17,2002-10-09,1619,فالوم,ALTP
1381-07-20,2002-10-12,1653,فالوم,ALTP
1381-07-21,2002-10-13,1658,فالوم,ALTP
1381-07-22,2002-10-14,1653,فالوم,ALTP
1381-07-23,2002-10-15,1655,فالوم,ALTP
1381-07-27,2002-10-19,1653,فالوم,ALTP
1381-07-28,2002-10-20,1655,فالوم,ALTP
1381-07-29,2002-10-21,1665,فالوم,ALTP
1381-08-01,2002-10-23,1673,فالوم,ALTP
1381-08-04,2002-10-26,1722,فالوم,ALTP
1381-08-05,2002-10-27,1780,فالوم,ALTP
1381-08-06,2002-10-28,1798,فالوم,ALTP
1381-08-08,2002-10-30,1888,فالوم,ALTP
1381-08-11,2002-11-02,1889,فالوم,ALTP
1381-08-12,2002-11-03,1983,فالوم,ALTP
1381-08-25,2002-11-16,440,فالوم,ALTP
1381-08-26,2002-11-17,463,فالوم,ALTP
1381-08-27,2002-11-18,486,فالوم,ALTP
1381-08-28,2002-11-19,510,فالوم,ALTP
1381-08-29,2002-11-20,535,فالوم,ALTP
1381-09-02,2002-11-23,562,فالوم,ALTP
1381-09-03,2002-11-24,548,فالوم,ALTP
1381-09-04,2002-11-25,548,فالوم,ALTP
1381-09-05,2002-11-26,548,فالوم,ALTP
1381-09-09,2002-11-30,551,فالوم,ALTP
1381-09-10,2002-12-01,551,فالوم,ALTP
1381-09-11,2002-12-02,551,فالوم,ALTP
1381-09-12,2002-12-03,548,فالوم,ALTP
1381-09-13,2002-12-04,539,فالوم,ALTP
1381-09-16,2002-12-07,539,فالوم,ALTP
1381-09-17,2002-12-08,528,فالوم,ALTP
1381-09-18,2002-12-09,501,فالوم,ALTP
1381-09-19,2002-12-10,482,فالوم,ALTP
1381-09-20,2002-12-11,505,فالوم,ALTP
1381-09-24,2002-12-15,505,فالوم,ALTP
1381-09-26,2002-12-17,505,فالوم,ALTP
1381-09-27,2002-12-18,528,فالوم,ALTP
1381-09-30,2002-12-21,546,فالوم,ALTP
1381-10-01,2002-12-22,546,فالوم,ALTP
1381-10-02,2002-12-23,546,فالوم,ALTP
1381-10-03,2002-12-24,550,فالوم,ALTP
1381-10-04,2002-12-25,550,فالوم,ALTP
1381-10-07,2002-12-28,574,فالوم,ALTP
