J-Date,Date,Adj Close,Ticker,Ticker(4)
1380-01-14,2001-04-03,28,دامین,AMIN
1380-01-18,2001-04-07,28,دامین,AMIN
1380-01-22,2001-04-11,28,دامین,AMIN
1380-01-27,2001-04-16,28,دامین,AMIN
1380-02-04,2001-04-24,28,دامین,AMIN
1380-02-08,2001-04-28,28,دامین,AMIN
1380-02-15,2001-05-05,28,دامین,AMIN
1380-02-17,2001-05-07,28,دامین,AMIN
1380-02-22,2001-05-12,28,دامین,AMIN
1380-02-25,2001-05-15,28,دامین,AMIN
1380-03-07,2001-05-28,29,دامین,AMIN
1380-04-17,2001-07-08,23,دامین,AMIN
1380-04-19,2001-07-10,24,دامین,AMIN
1380-04-23,2001-07-14,24,دامین,AMIN
1380-04-24,2001-07-15,24,دامین,AMIN
1380-04-25,2001-07-16,24,دامین,AMIN
1380-04-26,2001-07-17,24,دامین,AMIN
1380-05-07,2001-07-29,26,دامین,AMIN
1380-05-08,2001-07-30,27,دامین,AMIN
1380-05-13,2001-08-04,28,دامین,AMIN
1380-05-16,2001-08-07,28,دامین,AMIN
1380-05-20,2001-08-11,29,دامین,AMIN
1380-05-24,2001-08-15,29,دامین,AMIN
1380-05-31,2001-08-22,30,دامین,AMIN
1380-06-03,2001-08-25,30,دامین,AMIN
1380-06-05,2001-08-27,31,دامین,AMIN
1380-06-06,2001-08-28,31,دامین,AMIN
1380-06-10,2001-09-01,31,دامین,AMIN
1380-06-12,2001-09-03,31,دامین,AMIN
1380-06-13,2001-09-04,31,دامین,AMIN
1380-06-14,2001-09-05,31,دامین,AMIN
1380-06-17,2001-09-08,31,دامین,AMIN
1380-06-18,2001-09-09,32,دامین,AMIN
1380-06-19,2001-09-10,32,دامین,AMIN
1380-06-20,2001-09-11,32,دامین,AMIN
1380-06-21,2001-09-12,32,دامین,AMIN
1380-06-24,2001-09-15,32,دامین,AMIN
1380-06-25,2001-09-16,32,دامین,AMIN
1380-06-26,2001-09-17,32,دامین,AMIN
1380-06-28,2001-09-19,32,دامین,AMIN
1380-06-31,2001-09-22,32,دامین,AMIN
1380-07-02,2001-09-24,32,دامین,AMIN
1380-07-03,2001-09-25,32,دامین,AMIN
1380-07-04,2001-09-26,32,دامین,AMIN
1380-07-07,2001-09-29,32,دامین,AMIN
1380-07-08,2001-09-30,32,دامین,AMIN
1380-07-10,2001-10-02,32,دامین,AMIN
1380-07-11,2001-10-03,32,دامین,AMIN
1380-07-14,2001-10-06,33,دامین,AMIN
1380-07-16,2001-10-08,33,دامین,AMIN
1380-07-17,2001-10-09,33,دامین,AMIN
1380-07-21,2001-10-13,33,دامین,AMIN
1380-07-22,2001-10-14,33,دامین,AMIN
1380-07-24,2001-10-16,33,دامین,AMIN
1380-07-25,2001-10-17,33,دامین,AMIN
1380-07-28,2001-10-20,33,دامین,AMIN
1380-07-30,2001-10-22,33,دامین,AMIN
