J-Date,Date,Adj Close,Ticker,Ticker(4)
1398-08-01,2019-10-23,854,وآوا,ANIZ
1398-08-04,2019-10-26,897,وآوا,ANIZ
1398-08-06,2019-10-28,942,وآوا,ANIZ
1398-08-08,2019-10-30,989,وآوا,ANIZ
1398-08-11,2019-11-02,1038,وآوا,ANIZ
1398-08-12,2019-11-03,1090,وآوا,ANIZ
1398-08-13,2019-11-04,1144,وآوا,ANIZ
1398-08-14,2019-11-05,1201,وآوا,ANIZ
1398-08-18,2019-11-09,1261,وآوا,ANIZ
1398-08-19,2019-11-10,1324,وآوا,ANIZ
1398-09-05,2019-11-26,1459,وآوا,ANIZ
1398-09-06,2019-11-27,1522,وآوا,ANIZ
1398-09-09,2019-11-30,1598,وآوا,ANIZ
1398-09-10,2019-12-01,1677,وآوا,ANIZ
1398-09-11,2019-12-02,1761,وآوا,ANIZ
1398-09-12,2019-12-03,1849,وآوا,ANIZ
1398-09-13,2019-12-04,1941,وآوا,ANIZ
1398-09-16,2019-12-07,2038,وآوا,ANIZ
1398-09-17,2019-12-08,2133,وآوا,ANIZ
1398-09-18,2019-12-09,2201,وآوا,ANIZ
1398-09-20,2019-12-11,2426,وآوا,ANIZ
1398-09-23,2019-12-14,2298,وآوا,ANIZ
1398-09-24,2019-12-15,2232,وآوا,ANIZ
1398-09-25,2019-12-16,2120,وآوا,ANIZ
1398-09-26,2019-12-17,2226,وآوا,ANIZ
1398-09-27,2019-12-18,2316,وآوا,ANIZ
1398-09-30,2019-12-21,2411,وآوا,ANIZ
1398-10-01,2019-12-22,2520,وآوا,ANIZ
1398-10-02,2019-12-23,2623,وآوا,ANIZ
1398-10-03,2019-12-24,2740,وآوا,ANIZ
1398-10-04,2019-12-25,2877,وآوا,ANIZ
1398-10-07,2019-12-28,3020,وآوا,ANIZ
1398-10-08,2019-12-29,3171,وآوا,ANIZ
1398-10-09,2019-12-30,3329,وآوا,ANIZ
1398-10-10,2019-12-31,3496,وآوا,ANIZ
1398-10-11,2020-01-01,3511,وآوا,ANIZ
1398-10-14,2020-01-04,3671,وآوا,ANIZ
1398-10-18,2020-01-08,3504,وآوا,ANIZ
1398-10-21,2020-01-11,3497,وآوا,ANIZ
1398-10-22,2020-01-12,3672,وآوا,ANIZ
1398-10-23,2020-01-13,3855,وآوا,ANIZ
1398-10-24,2020-01-14,4048,وآوا,ANIZ
1398-10-25,2020-01-15,4250,وآوا,ANIZ
1398-10-28,2020-01-18,4411,وآوا,ANIZ
1398-10-29,2020-01-19,4632,وآوا,ANIZ
1398-10-30,2020-01-20,4863,وآوا,ANIZ
1398-11-01,2020-01-21,5106,وآوا,ANIZ
1398-11-02,2020-01-22,5361,وآوا,ANIZ
1398-11-06,2020-01-26,5911,وآوا,ANIZ
1398-11-07,2020-01-27,5944,وآوا,ANIZ
1398-11-08,2020-01-28,6169,وآوا,ANIZ
1398-11-12,2020-02-01,5848,وآوا,ANIZ
1398-11-13,2020-02-02,5725,وآوا,ANIZ
1398-11-14,2020-02-03,5439,وآوا,ANIZ
1398-11-15,2020-02-04,5167,وآوا,ANIZ
1398-11-16,2020-02-05,4909,وآوا,ANIZ
1398-11-19,2020-02-08,4664,وآوا,ANIZ
1398-11-20,2020-02-09,4897,وآوا,ANIZ
1398-11-21,2020-02-10,4865,وآوا,ANIZ
1398-11-23,2020-02-12,4851,وآوا,ANIZ
1398-11-26,2020-02-15,4729,وآوا,ANIZ
1398-11-27,2020-02-16,4535,وآوا,ANIZ
1398-11-28,2020-02-17,4360,وآوا,ANIZ
1398-11-29,2020-02-18,4271,وآوا,ANIZ
1398-11-30,2020-02-19,4505,وآوا,ANIZ
1398-12-03,2020-02-22,4660,وآوا,ANIZ
1398-12-04,2020-02-23,4823,وآوا,ANIZ
1398-12-05,2020-02-24,4749,وآوا,ANIZ
1398-12-06,2020-02-25,4761,وآوا,ANIZ
1398-12-07,2020-02-26,4562,وآوا,ANIZ
1398-12-10,2020-02-29,4398,وآوا,ANIZ
1398-12-11,2020-03-01,4645,وآوا,ANIZ
1398-12-12,2020-03-02,4730,وآوا,ANIZ
1398-12-13,2020-03-03,4697,وآوا,ANIZ
1398-12-14,2020-03-04,4975,وآوا,ANIZ
1398-12-17,2020-03-07,4677,وآوا,ANIZ
1398-12-19,2020-03-09,4529,وآوا,ANIZ
1398-12-20,2020-03-10,4634,وآوا,ANIZ
1398-12-21,2020-03-11,4814,وآوا,ANIZ
1398-12-24,2020-03-14,4572,وآوا,ANIZ
1398-12-25,2020-03-15,4467,وآوا,ANIZ
1398-12-26,2020-03-16,4623,وآوا,ANIZ
1398-12-27,2020-03-17,4402,وآوا,ANIZ
1398-12-28,2020-03-18,4654,وآوا,ANIZ
1399-01-05,2020-03-24,4669,وآوا,ANIZ
1399-01-06,2020-03-25,4859,وآوا,ANIZ
1399-01-09,2020-03-28,5047,وآوا,ANIZ
1399-01-10,2020-03-29,5084,وآوا,ANIZ
1399-01-11,2020-03-30,5025,وآوا,ANIZ
1399-01-16,2020-04-04,5336,وآوا,ANIZ
1399-01-17,2020-04-05,5543,وآوا,ANIZ
1399-01-18,2020-04-06,5650,وآوا,ANIZ
1399-01-19,2020-04-07,5421,وآوا,ANIZ
