J-Date,Date,Adj Close,Ticker,Ticker(4)
1397-06-20,2018-09-11,558,نطرین,ANQZ
1397-06-21,2018-09-12,586,نطرین,ANQZ
1397-06-24,2018-09-15,615,نطرین,ANQZ
1397-06-25,2018-09-16,646,نطرین,ANQZ
1397-06-26,2018-09-17,678,نطرین,ANQZ
1397-06-27,2018-09-18,712,نطرین,ANQZ
1397-06-31,2018-09-22,747,نطرین,ANQZ
1397-07-01,2018-09-23,785,نطرین,ANQZ
1397-07-02,2018-09-24,824,نطرین,ANQZ
1397-07-03,2018-09-25,865,نطرین,ANQZ
1397-07-04,2018-09-26,908,نطرین,ANQZ
1397-07-07,2018-09-29,954,نطرین,ANQZ
1397-07-08,2018-09-30,1001,نطرین,ANQZ
1397-07-09,2018-10-01,1051,نطرین,ANQZ
1397-07-10,2018-10-02,1104,نطرین,ANQZ
1397-07-15,2018-10-07,996,نطرین,ANQZ
1397-07-16,2018-10-08,1034,نطرین,ANQZ
1397-07-17,2018-10-09,1036,نطرین,ANQZ
1397-07-18,2018-10-10,1030,نطرین,ANQZ
1397-07-21,2018-10-13,975,نطرین,ANQZ
1397-07-22,2018-10-14,1036,نطرین,ANQZ
1397-07-23,2018-10-15,1076,نطرین,ANQZ
1397-07-24,2018-10-16,1079,نطرین,ANQZ
1397-07-25,2018-10-17,1045,نطرین,ANQZ
1397-07-28,2018-10-20,1051,نطرین,ANQZ
1397-07-29,2018-10-21,1013,نطرین,ANQZ
1397-07-30,2018-10-22,991,نطرین,ANQZ
1397-08-01,2018-10-23,970,نطرین,ANQZ
1397-08-02,2018-10-24,977,نطرین,ANQZ
1397-08-05,2018-10-27,1010,نطرین,ANQZ
1397-08-06,2018-10-28,1043,نطرین,ANQZ
1397-08-07,2018-10-29,1013,نطرین,ANQZ
1397-08-09,2018-10-31,1022,نطرین,ANQZ
1397-08-12,2018-11-03,1012,نطرین,ANQZ
1397-08-13,2018-11-04,1010,نطرین,ANQZ
1397-08-14,2018-11-05,1022,نطرین,ANQZ
1397-08-15,2018-11-06,1003,نطرین,ANQZ
1397-08-19,2018-11-10,989,نطرین,ANQZ
1397-08-20,2018-11-11,1039,نطرین,ANQZ
1397-08-21,2018-11-12,1021,نطرین,ANQZ
1397-08-22,2018-11-13,997,نطرین,ANQZ
1397-08-23,2018-11-14,1019,نطرین,ANQZ
1397-08-26,2018-11-17,1011,نطرین,ANQZ
1397-08-27,2018-11-18,1011,نطرین,ANQZ
1397-08-28,2018-11-19,1017,نطرین,ANQZ
1397-08-29,2018-11-20,1017,نطرین,ANQZ
1397-08-30,2018-11-21,1034,نطرین,ANQZ
1397-09-03,2018-11-24,1020,نطرین,ANQZ
1397-09-05,2018-11-26,1004,نطرین,ANQZ
1397-09-06,2018-11-27,1007,نطرین,ANQZ
1397-09-07,2018-11-28,1000,نطرین,ANQZ
1397-09-10,2018-12-01,970,نطرین,ANQZ
1397-09-11,2018-12-02,993,نطرین,ANQZ
1397-09-12,2018-12-03,988,نطرین,ANQZ
1397-09-13,2018-12-04,969,نطرین,ANQZ
1397-09-14,2018-12-05,977,نطرین,ANQZ
1397-09-17,2018-12-08,1017,نطرین,ANQZ
1397-09-18,2018-12-09,1022,نطرین,ANQZ
1397-09-19,2018-12-10,1017,نطرین,ANQZ
1397-09-21,2018-12-12,1032,نطرین,ANQZ
1397-09-24,2018-12-15,1055,نطرین,ANQZ
1397-09-25,2018-12-16,1038,نطرین,ANQZ
1397-09-26,2018-12-17,1033,نطرین,ANQZ
1397-09-27,2018-12-18,1011,نطرین,ANQZ
1397-09-28,2018-12-19,1015,نطرین,ANQZ
1397-10-01,2018-12-22,991,نطرین,ANQZ
1397-10-02,2018-12-23,1011,نطرین,ANQZ
1397-10-03,2018-12-24,1011,نطرین,ANQZ
1397-10-04,2018-12-25,1021,نطرین,ANQZ
1397-10-05,2018-12-26,1004,نطرین,ANQZ
1397-10-08,2018-12-29,1000,نطرین,ANQZ
1397-10-09,2018-12-30,999,نطرین,ANQZ
1397-10-10,2018-12-31,988,نطرین,ANQZ
1397-10-11,2019-01-01,1006,نطرین,ANQZ
1397-10-12,2019-01-02,975,نطرین,ANQZ
1397-10-15,2019-01-05,991,نطرین,ANQZ
