J-Date,Date,Adj Close,Ticker,Ticker(4)
1399-03-07,2020-05-27,14619,آریا,APOZ
1399-03-10,2020-05-30,15350,آریا,APOZ
1399-03-11,2020-05-31,15382,آریا,APOZ
1399-03-12,2020-06-01,15444,آریا,APOZ
1399-03-13,2020-06-02,16216,آریا,APOZ
1399-03-17,2020-06-06,17027,آریا,APOZ
1399-03-18,2020-06-07,17878,آریا,APOZ
1399-03-19,2020-06-08,18772,آریا,APOZ
1399-03-20,2020-06-09,19710,آریا,APOZ
1399-03-21,2020-06-10,19855,آریا,APOZ
1399-03-24,2020-06-13,19984,آریا,APOZ
1399-03-25,2020-06-14,20229,آریا,APOZ
1399-03-26,2020-06-15,20488,آریا,APOZ
1399-03-27,2020-06-16,20747,آریا,APOZ
1399-03-31,2020-06-20,21032,آریا,APOZ
1399-04-01,2020-06-21,21445,آریا,APOZ
1399-04-02,2020-06-22,21806,آریا,APOZ
1399-04-03,2020-06-23,22151,آریا,APOZ
1399-04-04,2020-06-24,22662,آریا,APOZ
1399-04-07,2020-06-27,22820,آریا,APOZ
1399-04-15,2020-07-05,23187,آریا,APOZ
1399-04-16,2020-07-06,23615,آریا,APOZ
1399-04-17,2020-07-07,24161,آریا,APOZ
1399-04-18,2020-07-08,24549,آریا,APOZ
1399-04-21,2020-07-11,25348,آریا,APOZ
1399-04-22,2020-07-12,25817,آریا,APOZ
1399-04-23,2020-07-13,26333,آریا,APOZ
1399-04-24,2020-07-14,26795,آریا,APOZ
1399-04-25,2020-07-15,27664,آریا,APOZ
1399-04-28,2020-07-18,27937,آریا,APOZ
1399-04-29,2020-07-19,28784,آریا,APOZ
1399-04-30,2020-07-20,29385,آریا,APOZ
1399-04-31,2020-07-21,29949,آریا,APOZ
1399-05-01,2020-07-22,30578,آریا,APOZ
1399-05-04,2020-07-25,31036,آریا,APOZ
1399-05-05,2020-07-26,31682,آریا,APOZ
1399-05-06,2020-07-27,32458,آریا,APOZ
1399-05-07,2020-07-28,33793,آریا,APOZ
1399-05-08,2020-07-29,34843,آریا,APOZ
1399-05-11,2020-08-01,35593,آریا,APOZ
1399-05-12,2020-08-02,36605,آریا,APOZ
1399-05-13,2020-08-03,37476,آریا,APOZ
1399-05-14,2020-08-04,38419,آریا,APOZ
1399-05-15,2020-08-05,39586,آریا,APOZ
1399-05-19,2020-08-09,40627,آریا,APOZ
1399-05-20,2020-08-10,42249,آریا,APOZ
1399-05-22,2020-08-12,44081,آریا,APOZ
1399-05-25,2020-08-15,46285,آریا,APOZ
1399-05-26,2020-08-16,48599,آریا,APOZ
1399-05-27,2020-08-17,46147,آریا,APOZ
1399-05-28,2020-08-18,45379,آریا,APOZ
1399-05-29,2020-08-19,43110,آریا,APOZ
1399-06-01,2020-08-22,40955,آریا,APOZ
1399-06-02,2020-08-23,38907,آریا,APOZ
1399-06-03,2020-08-24,37501,آریا,APOZ
1399-06-04,2020-08-25,39239,آریا,APOZ
1399-06-05,2020-08-26,41926,آریا,APOZ
1399-06-10,2020-08-31,39378,آریا,APOZ
1399-06-11,2020-09-01,37409,آریا,APOZ
1399-06-12,2020-09-02,35539,آریا,APOZ
1399-06-15,2020-09-05,36704,آریا,APOZ
1399-06-16,2020-09-06,34484,آریا,APOZ
1399-06-17,2020-09-07,33872,آریا,APOZ
1399-06-18,2020-09-08,32219,آریا,APOZ
1399-06-19,2020-09-09,33909,آریا,APOZ
1399-06-22,2020-09-12,35472,آریا,APOZ
1399-06-23,2020-09-13,37246,آریا,APOZ
1399-06-24,2020-09-14,39108,آریا,APOZ
1399-06-25,2020-09-15,41063,آریا,APOZ
1399-06-26,2020-09-16,43116,آریا,APOZ
1399-06-29,2020-09-19,45272,آریا,APOZ
1399-06-30,2020-09-20,42261,آریا,APOZ
1399-06-31,2020-09-21,44927,آریا,APOZ
1399-07-01,2020-09-22,45573,آریا,APOZ
1399-07-02,2020-09-23,47789,آریا,APOZ
1399-07-05,2020-09-26,45587,آریا,APOZ
1399-07-06,2020-09-27,44496,آریا,APOZ
1399-07-07,2020-09-28,42751,آریا,APOZ
1399-07-08,2020-09-29,44390,آریا,APOZ
1399-07-09,2020-09-30,46108,آریا,APOZ
1399-07-12,2020-10-03,45091,آریا,APOZ
1399-07-13,2020-10-04,43501,آریا,APOZ
1399-07-14,2020-10-05,42233,آریا,APOZ
1399-07-16,2020-10-07,44393,آریا,APOZ
1399-07-19,2020-10-10,42679,آریا,APOZ
1399-07-20,2020-10-11,43514,آریا,APOZ
1399-07-21,2020-10-12,44377,آریا,APOZ
1399-07-22,2020-10-13,44961,آریا,APOZ
1399-07-23,2020-10-14,43370,آریا,APOZ
1399-07-27,2020-10-18,41533,آریا,APOZ
1399-07-28,2020-10-19,39460,آریا,APOZ
1399-07-29,2020-10-20,40484,آریا,APOZ
1399-07-30,2020-10-21,41115,آریا,APOZ
1399-08-03,2020-10-24,39014,آریا,APOZ
1399-08-05,2020-10-26,38192,آریا,APOZ
1399-08-06,2020-10-27,37157,آریا,APOZ
1399-08-07,2020-10-28,38610,آریا,APOZ
1399-08-10,2020-10-31,40129,آریا,APOZ
1399-08-11,2020-11-01,38089,آریا,APOZ
1399-08-12,2020-11-02,39104,آریا,APOZ
1399-08-14,2020-11-04,40814,آریا,APOZ
1399-08-17,2020-11-07,38823,آریا,APOZ
1399-08-18,2020-11-08,36888,آریا,APOZ
1399-08-19,2020-11-09,38742,آریا,APOZ
1399-08-20,2020-11-10,38931,آریا,APOZ
1399-08-21,2020-11-11,40563,آریا,APOZ
1399-08-24,2020-11-14,41535,آریا,APOZ
1399-08-25,2020-11-15,41149,آریا,APOZ
1399-08-26,2020-11-16,41627,آریا,APOZ
1399-08-27,2020-11-17,42285,آریا,APOZ
1399-08-28,2020-11-18,42413,آریا,APOZ
1399-09-01,2020-11-21,40242,آریا,APOZ
1399-09-02,2020-11-22,41198,آریا,APOZ
1399-09-03,2020-11-23,40410,آریا,APOZ
1399-09-04,2020-11-24,39178,آریا,APOZ
1399-09-05,2020-11-25,41210,آریا,APOZ
1399-09-08,2020-11-28,42615,آریا,APOZ
1399-09-09,2020-11-29,44359,آریا,APOZ
1399-09-10,2020-11-30,44734,آریا,APOZ
1399-09-11,2020-12-01,45017,آریا,APOZ
1399-09-12,2020-12-02,44870,آریا,APOZ
1399-09-15,2020-12-05,45964,آریا,APOZ
1399-09-16,2020-12-06,47703,آریا,APOZ
1399-09-17,2020-12-07,46225,آریا,APOZ
1399-09-18,2020-12-08,45806,آریا,APOZ
1399-09-19,2020-12-09,45195,آریا,APOZ
1399-09-22,2020-12-12,46816,آریا,APOZ
1399-09-23,2020-12-13,46700,آریا,APOZ
1399-09-24,2020-12-14,45141,آریا,APOZ
1399-09-25,2020-12-15,43033,آریا,APOZ
1399-09-26,2020-12-16,44706,آریا,APOZ
1399-09-29,2020-12-19,45948,آریا,APOZ
1399-09-30,2020-12-20,46792,آریا,APOZ
1399-10-01,2020-12-21,45550,آریا,APOZ
1399-10-02,2020-12-22,45831,آریا,APOZ
1399-10-03,2020-12-23,45470,آریا,APOZ
1399-10-06,2020-12-26,46077,آریا,APOZ
1399-10-07,2020-12-27,45966,آریا,APOZ
1399-10-08,2020-12-28,45473,آریا,APOZ
1399-10-09,2020-12-29,45293,آریا,APOZ
1399-10-10,2020-12-30,44266,آریا,APOZ
1399-10-13,2021-01-02,46126,آریا,APOZ
1399-10-22,2021-01-11,44517,آریا,APOZ
1399-10-23,2021-01-12,43180,آریا,APOZ
1399-10-24,2021-01-13,41040,آریا,APOZ
1399-10-27,2021-01-16,39050,آریا,APOZ
1399-10-29,2021-01-18,37724,آریا,APOZ
1399-10-30,2021-01-19,39533,آریا,APOZ
1399-11-01,2021-01-20,41383,آریا,APOZ
1399-11-04,2021-01-23,43415,آریا,APOZ
1399-11-05,2021-01-24,42479,آریا,APOZ
1399-11-06,2021-01-25,41398,آریا,APOZ
1399-11-07,2021-01-26,39692,آریا,APOZ
1399-11-08,2021-01-27,39917,آریا,APOZ
1399-11-11,2021-01-30,41296,آریا,APOZ
1399-11-12,2021-01-31,39572,آریا,APOZ
1399-11-13,2021-02-01,38399,آریا,APOZ
1399-11-14,2021-02-02,38330,آریا,APOZ
1399-11-15,2021-02-03,36911,آریا,APOZ
1399-11-18,2021-02-06,36664,آریا,APOZ
1399-11-19,2021-02-07,37613,آریا,APOZ
1399-11-20,2021-02-08,38371,آریا,APOZ
1399-11-21,2021-02-09,39426,آریا,APOZ
1399-11-25,2021-02-13,40745,آریا,APOZ
1399-11-26,2021-02-14,39511,آریا,APOZ
1399-11-27,2021-02-15,38828,آریا,APOZ
1399-11-28,2021-02-16,38100,آریا,APOZ
1399-11-29,2021-02-17,37497,آریا,APOZ
1399-12-02,2021-02-20,37448,آریا,APOZ
1399-12-03,2021-02-21,36879,آریا,APOZ
1399-12-04,2021-02-22,36166,آریا,APOZ
1399-12-05,2021-02-23,37354,آریا,APOZ
1399-12-06,2021-02-24,36073,آریا,APOZ
1399-12-09,2021-02-27,35974,آریا,APOZ
1399-12-10,2021-02-28,35151,آریا,APOZ
1399-12-11,2021-03-01,36418,آریا,APOZ
1399-12-12,2021-03-02,37735,آریا,APOZ
1399-12-13,2021-03-03,37724,آریا,APOZ
1399-12-16,2021-03-06,37372,آریا,APOZ
1399-12-17,2021-03-07,38094,آریا,APOZ
1399-12-18,2021-03-08,39998,آریا,APOZ
1399-12-19,2021-03-09,39981,آریا,APOZ
1399-12-20,2021-03-10,40459,آریا,APOZ
1399-12-23,2021-03-13,42762,آریا,APOZ
1399-12-24,2021-03-14,41888,آریا,APOZ
1399-12-25,2021-03-15,43515,آریا,APOZ
1399-12-26,2021-03-16,44372,آریا,APOZ
1399-12-27,2021-03-17,45338,آریا,APOZ
1400-01-07,2021-03-27,44844,آریا,APOZ
1400-01-08,2021-03-28,44599,آریا,APOZ
1400-01-10,2021-03-30,44993,آریا,APOZ
1400-01-11,2021-03-31,44007,آریا,APOZ
1400-01-14,2021-04-03,43465,آریا,APOZ
1400-01-15,2021-04-04,42598,آریا,APOZ
1400-01-16,2021-04-05,42967,آریا,APOZ
1400-01-17,2021-04-06,42504,آریا,APOZ
1400-01-18,2021-04-07,41780,آریا,APOZ
1400-01-21,2021-04-10,41054,آریا,APOZ
1400-01-22,2021-04-11,40234,آریا,APOZ
1400-01-23,2021-04-12,41908,آریا,APOZ
1400-01-24,2021-04-13,43717,آریا,APOZ
1400-01-25,2021-04-14,43564,آریا,APOZ
1400-01-28,2021-04-17,43085,آریا,APOZ
1400-01-29,2021-04-18,42242,آریا,APOZ
1400-01-30,2021-04-19,42716,آریا,APOZ
1400-01-31,2021-04-20,41903,آریا,APOZ
1400-02-01,2021-04-21,41962,آریا,APOZ
1400-02-04,2021-04-24,41567,آریا,APOZ
1400-02-05,2021-04-25,40410,آریا,APOZ
1400-02-06,2021-04-26,42558,آریا,APOZ
1400-02-07,2021-04-27,42711,آریا,APOZ
1400-02-08,2021-04-28,43219,آریا,APOZ
1400-02-11,2021-05-01,43307,آریا,APOZ
1400-02-12,2021-05-02,42938,آریا,APOZ
1400-02-13,2021-05-03,42109,آریا,APOZ
1400-02-15,2021-05-05,42425,آریا,APOZ
1400-02-18,2021-05-08,41889,آریا,APOZ
1400-02-19,2021-05-09,41895,آریا,APOZ
1400-02-20,2021-05-10,43845,آریا,APOZ
1400-02-21,2021-05-11,44606,آریا,APOZ
1400-02-22,2021-05-12,44288,آریا,APOZ
1400-02-25,2021-05-15,44680,آریا,APOZ
1400-02-26,2021-05-16,45712,آریا,APOZ
1400-02-29,2021-05-19,45174,آریا,APOZ
1400-03-01,2021-05-22,43060,آریا,APOZ
1400-03-02,2021-05-23,41086,آریا,APOZ
1400-03-03,2021-05-24,41811,آریا,APOZ
1400-03-04,2021-05-25,43247,آریا,APOZ
1400-03-05,2021-05-26,43528,آریا,APOZ
1400-03-08,2021-05-29,45473,آریا,APOZ
1400-03-09,2021-05-30,46736,آریا,APOZ
1400-03-10,2021-05-31,47019,آریا,APOZ
1400-03-11,2021-06-01,47256,آریا,APOZ
1400-03-12,2021-06-02,48045,آریا,APOZ
1400-03-17,2021-06-07,47707,آریا,APOZ
1400-03-18,2021-06-08,46991,آریا,APOZ
1400-03-19,2021-06-09,47808,آریا,APOZ
1400-03-22,2021-06-12,47301,آریا,APOZ
1400-03-23,2021-06-13,47864,آریا,APOZ
1400-03-24,2021-06-14,47238,آریا,APOZ
1400-03-25,2021-06-15,47205,آریا,APOZ
1400-03-26,2021-06-16,47053,آریا,APOZ
1400-03-29,2021-06-19,47188,آریا,APOZ
1400-03-30,2021-06-20,46445,آریا,APOZ
1400-03-31,2021-06-21,46890,آریا,APOZ
1400-04-01,2021-06-22,46935,آریا,APOZ
1400-04-02,2021-06-23,47870,آریا,APOZ
1400-04-05,2021-06-26,48923,آریا,APOZ
1400-04-06,2021-06-27,48196,آریا,APOZ
1400-04-07,2021-06-28,48938,آریا,APOZ
1400-04-08,2021-06-29,50557,آریا,APOZ
1400-04-09,2021-06-30,51710,آریا,APOZ
1400-04-12,2021-07-03,51412,آریا,APOZ
1400-04-13,2021-07-04,52093,آریا,APOZ
1400-04-14,2021-07-05,51417,آریا,APOZ
1400-04-15,2021-07-06,51576,آریا,APOZ
1400-04-16,2021-07-07,51305,آریا,APOZ
1400-04-19,2021-07-10,50770,آریا,APOZ
1400-04-20,2021-07-11,50792,آریا,APOZ
1400-04-21,2021-07-12,50820,آریا,APOZ
1400-04-22,2021-07-13,50567,آریا,APOZ
1400-04-23,2021-07-14,50618,آریا,APOZ
1400-04-26,2021-07-17,50247,آریا,APOZ
1400-04-27,2021-07-18,49573,آریا,APOZ
1400-04-28,2021-07-19,50961,آریا,APOZ
1400-05-04,2021-07-26,51254,آریا,APOZ
1400-05-05,2021-07-27,51238,آریا,APOZ
1400-05-06,2021-07-28,53669,آریا,APOZ
1400-05-09,2021-07-31,56207,آریا,APOZ
1400-05-10,2021-08-01,57702,آریا,APOZ
1400-05-11,2021-08-02,58000,آریا,APOZ
1400-05-12,2021-08-03,58412,آریا,APOZ
1400-05-13,2021-08-04,61053,آریا,APOZ
1400-05-16,2021-08-07,60962,آریا,APOZ
1400-05-17,2021-08-08,60981,آریا,APOZ
1400-05-18,2021-08-09,61429,آریا,APOZ
1400-05-19,2021-08-10,64377,آریا,APOZ
1400-05-20,2021-08-11,67000,آریا,APOZ
1400-05-23,2021-08-14,66406,آریا,APOZ
1400-05-24,2021-08-15,67410,آریا,APOZ
1400-05-31,2021-08-22,69538,آریا,APOZ
1400-06-01,2021-08-23,67573,آریا,APOZ
1400-06-02,2021-08-24,68083,آریا,APOZ
1400-06-03,2021-08-25,67010,آریا,APOZ
1400-06-06,2021-08-28,66874,آریا,APOZ
1400-06-07,2021-08-29,63642,آریا,APOZ
1400-06-08,2021-08-30,61784,آریا,APOZ
1400-06-09,2021-08-31,62944,آریا,APOZ
1400-06-10,2021-09-01,64492,آریا,APOZ
1400-06-13,2021-09-04,67009,آریا,APOZ
1400-06-14,2021-09-05,66447,آریا,APOZ
1400-06-15,2021-09-06,64639,آریا,APOZ
1400-06-16,2021-09-07,63717,آریا,APOZ
1400-06-17,2021-09-08,64476,آریا,APOZ
1400-06-20,2021-09-11,64251,آریا,APOZ
1400-06-21,2021-09-12,62815,آریا,APOZ
1400-06-22,2021-09-13,60731,آریا,APOZ
1400-06-23,2021-09-14,62370,آریا,APOZ
1400-06-24,2021-09-15,61444,آریا,APOZ
1400-06-27,2021-09-18,58850,آریا,APOZ
1400-06-28,2021-09-19,58250,آریا,APOZ
1400-06-29,2021-09-20,57887,آریا,APOZ
1400-06-30,2021-09-21,56283,آریا,APOZ
1400-06-31,2021-09-22,58225,آریا,APOZ
1400-07-03,2021-09-25,59167,آریا,APOZ
1400-07-04,2021-09-26,59977,آریا,APOZ
1400-07-06,2021-09-28,60590,آریا,APOZ
1400-07-07,2021-09-29,63698,آریا,APOZ
1400-07-10,2021-10-02,66347,آریا,APOZ
1400-07-11,2021-10-03,65213,آریا,APOZ
1400-07-12,2021-10-04,65750,آریا,APOZ
1400-07-14,2021-10-06,65715,آریا,APOZ
1400-07-17,2021-10-09,63642,آریا,APOZ
1400-07-18,2021-10-10,63924,آریا,APOZ
1400-07-19,2021-10-11,63028,آریا,APOZ
1400-07-20,2021-10-12,60928,آریا,APOZ
