J-Date,Date,Adj Close,Ticker,Ticker(4)
1380-01-05,2001-03-25,146,شپترو,APTP
1380-01-06,2001-03-26,146,شپترو,APTP
1380-01-07,2001-03-27,146,شپترو,APTP
1380-01-08,2001-03-28,146,شپترو,APTP
1380-01-18,2001-04-07,146,شپترو,APTP
1380-01-19,2001-04-08,146,شپترو,APTP
1380-01-21,2001-04-10,146,شپترو,APTP
1380-01-22,2001-04-11,146,شپترو,APTP
1380-01-25,2001-04-14,146,شپترو,APTP
1380-01-26,2001-04-15,145,شپترو,APTP
1380-01-28,2001-04-17,145,شپترو,APTP
1380-01-29,2001-04-18,143,شپترو,APTP
1380-02-01,2001-04-21,143,شپترو,APTP
1380-02-02,2001-04-22,143,شپترو,APTP
1380-02-03,2001-04-23,143,شپترو,APTP
1380-02-10,2001-04-30,140,شپترو,APTP
1380-02-11,2001-05-01,136,شپترو,APTP
1380-02-12,2001-05-02,135,شپترو,APTP
1380-02-15,2001-05-05,134,شپترو,APTP
1380-02-16,2001-05-06,134,شپترو,APTP
1380-02-17,2001-05-07,140,شپترو,APTP
1380-02-18,2001-05-08,143,شپترو,APTP
1380-02-25,2001-05-15,143,شپترو,APTP
1380-02-26,2001-05-16,144,شپترو,APTP
1380-02-29,2001-05-19,143,شپترو,APTP
1380-02-30,2001-05-20,144,شپترو,APTP
1380-02-31,2001-05-21,143,شپترو,APTP
1380-03-02,2001-05-23,142,شپترو,APTP
1380-03-05,2001-05-26,142,شپترو,APTP
1380-03-06,2001-05-27,140,شپترو,APTP
1380-03-07,2001-05-28,140,شپترو,APTP
1380-03-08,2001-05-29,140,شپترو,APTP
1380-03-09,2001-05-30,140,شپترو,APTP
1380-03-12,2001-06-02,133,شپترو,APTP
1380-03-13,2001-06-03,140,شپترو,APTP
1380-03-16,2001-06-06,142,شپترو,APTP
1380-03-19,2001-06-09,140,شپترو,APTP
1380-03-21,2001-06-11,142,شپترو,APTP
1380-03-22,2001-06-12,142,شپترو,APTP
1380-03-23,2001-06-13,142,شپترو,APTP
1380-03-26,2001-06-16,136,شپترو,APTP
1380-03-27,2001-06-17,136,شپترو,APTP
1380-04-25,2001-07-16,119,شپترو,APTP
1380-04-26,2001-07-17,125,شپترو,APTP
1380-04-27,2001-07-18,127,شپترو,APTP
1380-04-30,2001-07-21,127,شپترو,APTP
1380-04-31,2001-07-22,127,شپترو,APTP
1380-05-01,2001-07-23,127,شپترو,APTP
1380-05-02,2001-07-24,127,شپترو,APTP
1380-05-03,2001-07-25,126,شپترو,APTP
1380-05-06,2001-07-28,123,شپترو,APTP
1380-05-07,2001-07-29,122,شپترو,APTP
1380-05-08,2001-07-30,123,شپترو,APTP
1380-05-09,2001-07-31,123,شپترو,APTP
1380-05-10,2001-08-01,125,شپترو,APTP
1380-05-13,2001-08-04,126,شپترو,APTP
1380-05-14,2001-08-05,125,شپترو,APTP
1380-05-15,2001-08-06,125,شپترو,APTP
1380-05-16,2001-08-07,124,شپترو,APTP
1380-05-17,2001-08-08,124,شپترو,APTP
1380-05-20,2001-08-11,121,شپترو,APTP
1380-05-21,2001-08-12,123,شپترو,APTP
1380-05-22,2001-08-13,122,شپترو,APTP
1380-05-23,2001-08-14,122,شپترو,APTP
1380-05-24,2001-08-15,122,شپترو,APTP
1380-05-27,2001-08-18,122,شپترو,APTP
1380-05-28,2001-08-19,123,شپترو,APTP
1380-05-29,2001-08-20,122,شپترو,APTP
1380-05-30,2001-08-21,122,شپترو,APTP
1380-05-31,2001-08-22,122,شپترو,APTP
1380-06-03,2001-08-25,122,شپترو,APTP
1380-06-04,2001-08-26,122,شپترو,APTP
1380-06-05,2001-08-27,122,شپترو,APTP
1380-06-06,2001-08-28,122,شپترو,APTP
1380-06-07,2001-08-29,122,شپترو,APTP
1380-06-10,2001-09-01,121,شپترو,APTP
1380-06-11,2001-09-02,121,شپترو,APTP
1380-06-12,2001-09-03,120,شپترو,APTP
1380-06-17,2001-09-08,120,شپترو,APTP
1380-06-18,2001-09-09,120,شپترو,APTP
1380-06-19,2001-09-10,120,شپترو,APTP
1380-06-20,2001-09-11,119,شپترو,APTP
1380-06-21,2001-09-12,119,شپترو,APTP
1380-06-24,2001-09-15,119,شپترو,APTP
1380-06-25,2001-09-16,119,شپترو,APTP
1380-06-28,2001-09-19,118,شپترو,APTP
1380-06-31,2001-09-22,118,شپترو,APTP
1380-07-01,2001-09-23,118,شپترو,APTP
1380-07-02,2001-09-24,117,شپترو,APTP
1380-07-03,2001-09-25,117,شپترو,APTP
1380-07-04,2001-09-26,117,شپترو,APTP
1380-07-07,2001-09-29,115,شپترو,APTP
1380-07-08,2001-09-30,113,شپترو,APTP
1380-07-10,2001-10-02,113,شپترو,APTP
1380-07-11,2001-10-03,113,شپترو,APTP
1380-07-14,2001-10-06,110,شپترو,APTP
1380-07-15,2001-10-07,110,شپترو,APTP
1380-07-16,2001-10-08,105,شپترو,APTP
1380-07-24,2001-10-16,105,شپترو,APTP
1380-07-25,2001-10-17,105,شپترو,APTP
1380-07-28,2001-10-20,105,شپترو,APTP
1380-07-29,2001-10-21,107,شپترو,APTP
1380-07-30,2001-10-22,109,شپترو,APTP
1380-08-01,2001-10-23,115,شپترو,APTP
1380-08-02,2001-10-24,115,شپترو,APTP
1380-08-05,2001-10-27,116,شپترو,APTP
1380-08-06,2001-10-28,115,شپترو,APTP
1380-08-07,2001-10-29,116,شپترو,APTP
1380-08-08,2001-10-30,116,شپترو,APTP
1380-08-09,2001-10-31,116,شپترو,APTP
1380-08-13,2001-11-04,118,شپترو,APTP
1380-08-14,2001-11-05,118,شپترو,APTP
1380-08-15,2001-11-06,119,شپترو,APTP
1380-08-16,2001-11-07,119,شپترو,APTP
1380-08-19,2001-11-10,119,شپترو,APTP
1380-08-20,2001-11-11,119,شپترو,APTP
