J-Date,Date,Adj Close,Ticker,Ticker(4)
1392-12-24,2014-03-15,323,وآرین,ARNP
1392-12-25,2014-03-16,302,وآرین,ARNP
1392-12-26,2014-03-17,282,وآرین,ARNP
1392-12-27,2014-03-18,280,وآرین,ARNP
1392-12-28,2014-03-19,265,وآرین,ARNP
1393-01-06,2014-03-26,265,وآرین,ARNP
1393-01-16,2014-04-05,259,وآرین,ARNP
1393-01-17,2014-04-06,260,وآرین,ARNP
1393-01-18,2014-04-07,260,وآرین,ARNP
1393-01-19,2014-04-08,254,وآرین,ARNP
1393-01-20,2014-04-09,255,وآرین,ARNP
1393-01-23,2014-04-12,259,وآرین,ARNP
1393-01-24,2014-04-13,254,وآرین,ARNP
1393-01-25,2014-04-14,254,وآرین,ARNP
1393-01-26,2014-04-15,254,وآرین,ARNP
1393-01-27,2014-04-16,258,وآرین,ARNP
1393-01-30,2014-04-19,245,وآرین,ARNP
1393-01-31,2014-04-20,259,وآرین,ARNP
1393-02-01,2014-04-21,246,وآرین,ARNP
1393-02-02,2014-04-22,259,وآرین,ARNP
1393-02-03,2014-04-23,259,وآرین,ARNP
1393-02-06,2014-04-26,259,وآرین,ARNP
1393-02-07,2014-04-27,257,وآرین,ARNP
1393-02-08,2014-04-28,259,وآرین,ARNP
1393-02-09,2014-04-29,259,وآرین,ARNP
1393-02-10,2014-04-30,256,وآرین,ARNP
1393-02-13,2014-05-03,259,وآرین,ARNP
1393-02-14,2014-05-04,249,وآرین,ARNP
1393-02-15,2014-05-05,248,وآرین,ARNP
1393-02-16,2014-05-06,254,وآرین,ARNP
1393-02-17,2014-05-07,254,وآرین,ARNP
1393-02-20,2014-05-10,248,وآرین,ARNP
1393-02-22,2014-05-12,248,وآرین,ARNP
1393-02-24,2014-05-14,244,وآرین,ARNP
1393-02-27,2014-05-17,246,وآرین,ARNP
1393-02-28,2014-05-18,243,وآرین,ARNP
1393-02-29,2014-05-19,243,وآرین,ARNP
1393-02-31,2014-05-21,240,وآرین,ARNP
1393-03-03,2014-05-24,240,وآرین,ARNP
1393-03-04,2014-05-25,246,وآرین,ARNP
1393-03-05,2014-05-26,241,وآرین,ARNP
1393-03-07,2014-05-28,241,وآرین,ARNP
1393-03-10,2014-05-31,242,وآرین,ARNP
1393-03-11,2014-06-01,240,وآرین,ARNP
1393-03-12,2014-06-02,241,وآرین,ARNP
1393-03-13,2014-06-03,269,وآرین,ARNP
1393-03-17,2014-06-07,250,وآرین,ARNP
1393-03-18,2014-06-08,248,وآرین,ARNP
1393-03-19,2014-06-09,244,وآرین,ARNP
1393-03-20,2014-06-10,248,وآرین,ARNP
1393-03-21,2014-06-11,254,وآرین,ARNP
1393-03-27,2014-06-17,233,وآرین,ARNP
1393-03-28,2014-06-18,215,وآرین,ARNP
1393-03-31,2014-06-21,220,وآرین,ARNP
1393-04-01,2014-06-22,215,وآرین,ARNP
