J-Date,Date,Adj Close,Ticker,Ticker(4)
1383-11-12,2005-01-31,944,پارتا,ARTZ
1383-11-13,2005-02-01,944,پارتا,ARTZ
1383-11-14,2005-02-02,944,پارتا,ARTZ
1383-11-18,2005-02-06,944,پارتا,ARTZ
1383-11-19,2005-02-07,944,پارتا,ARTZ
1383-11-20,2005-02-08,944,پارتا,ARTZ
1383-11-21,2005-02-09,944,پارتا,ARTZ
1383-11-24,2005-02-12,944,پارتا,ARTZ
1383-12-03,2005-02-21,943,پارتا,ARTZ
1383-12-04,2005-02-22,937,پارتا,ARTZ
1383-12-05,2005-02-23,932,پارتا,ARTZ
1383-12-08,2005-02-26,939,پارتا,ARTZ
1383-12-09,2005-02-27,944,پارتا,ARTZ
1383-12-12,2005-03-02,944,پارتا,ARTZ
1383-12-15,2005-03-05,945,پارتا,ARTZ
1384-05-23,2005-08-14,774,پارتا,ARTZ
1384-05-24,2005-08-15,774,پارتا,ARTZ
1384-05-25,2005-08-16,775,پارتا,ARTZ
1384-05-26,2005-08-17,775,پارتا,ARTZ
1384-05-30,2005-08-21,775,پارتا,ARTZ
1384-05-31,2005-08-22,775,پارتا,ARTZ
1384-06-01,2005-08-23,775,پارتا,ARTZ
1384-06-02,2005-08-24,775,پارتا,ARTZ
1384-06-05,2005-08-27,776,پارتا,ARTZ
1384-06-06,2005-08-28,776,پارتا,ARTZ
1384-06-07,2005-08-29,776,پارتا,ARTZ
1384-06-08,2005-08-30,776,پارتا,ARTZ
1384-06-12,2005-09-03,776,پارتا,ARTZ
1384-06-14,2005-09-05,776,پارتا,ARTZ
1384-06-15,2005-09-06,776,پارتا,ARTZ
1384-06-20,2005-09-11,776,پارتا,ARTZ
1384-06-21,2005-09-12,776,پارتا,ARTZ
1384-06-23,2005-09-14,776,پارتا,ARTZ
1384-06-26,2005-09-17,776,پارتا,ARTZ
1384-06-27,2005-09-18,776,پارتا,ARTZ
1384-07-04,2005-09-26,776,پارتا,ARTZ
1384-07-10,2005-10-02,776,پارتا,ARTZ
1384-07-26,2005-10-18,776,پارتا,ARTZ
1384-08-09,2005-10-31,776,پارتا,ARTZ
1384-08-11,2005-11-02,776,پارتا,ARTZ
1384-09-02,2005-11-23,772,پارتا,ARTZ
1384-09-05,2005-11-26,772,پارتا,ARTZ
1384-09-08,2005-11-29,772,پارتا,ARTZ
1384-09-12,2005-12-03,772,پارتا,ARTZ
1384-09-13,2005-12-04,773,پارتا,ARTZ
1384-09-14,2005-12-05,809,پارتا,ARTZ
1384-09-15,2005-12-06,845,پارتا,ARTZ
1384-09-19,2005-12-10,887,پارتا,ARTZ
1384-09-20,2005-12-11,886,پارتا,ARTZ
1384-09-21,2005-12-12,885,پارتا,ARTZ
1384-09-22,2005-12-13,885,پارتا,ARTZ
1384-10-10,2005-12-31,882,پارتا,ARTZ
1384-10-11,2006-01-01,881,پارتا,ARTZ
1384-10-12,2006-01-02,881,پارتا,ARTZ
1384-10-13,2006-01-03,880,پارتا,ARTZ
1384-10-17,2006-01-07,879,پارتا,ARTZ
1384-10-26,2006-01-16,878,پارتا,ARTZ
1384-11-04,2006-01-24,877,پارتا,ARTZ
