J-Date,Date,Adj Close,Ticker,Ticker(4)
1400-05-17,2021-08-08,11610,وامین,ATAP
1400-05-18,2021-08-09,11404,وامین,ATAP
1400-05-19,2021-08-10,11424,وامین,ATAP
1400-05-20,2021-08-11,11540,وامین,ATAP
1400-05-23,2021-08-14,11493,وامین,ATAP
1400-05-24,2021-08-15,11520,وامین,ATAP
1400-05-31,2021-08-22,11554,وامین,ATAP
1400-06-01,2021-08-23,11513,وامین,ATAP
1400-06-02,2021-08-24,11593,وامین,ATAP
1400-06-03,2021-08-25,11632,وامین,ATAP
1400-06-06,2021-08-28,11576,وامین,ATAP
1400-06-07,2021-08-29,11698,وامین,ATAP
1400-06-08,2021-08-30,11747,وامین,ATAP
1400-06-09,2021-08-31,11848,وامین,ATAP
1400-06-10,2021-09-01,11708,وامین,ATAP
1400-06-13,2021-09-04,11713,وامین,ATAP
1400-06-14,2021-09-05,11716,وامین,ATAP
1400-06-15,2021-09-06,11720,وامین,ATAP
1400-06-17,2021-09-08,11776,وامین,ATAP
1400-06-20,2021-09-11,11729,وامین,ATAP
1400-06-21,2021-09-12,11490,وامین,ATAP
1400-06-22,2021-09-13,11703,وامین,ATAP
1400-06-23,2021-09-14,11739,وامین,ATAP
1400-06-24,2021-09-15,11693,وامین,ATAP
1400-06-27,2021-09-18,11449,وامین,ATAP
1400-06-28,2021-09-19,11441,وامین,ATAP
1400-06-29,2021-09-20,11538,وامین,ATAP
1400-06-30,2021-09-21,11639,وامین,ATAP
1400-06-31,2021-09-22,11640,وامین,ATAP
1400-07-03,2021-09-25,11622,وامین,ATAP
1400-07-04,2021-09-26,11784,وامین,ATAP
1400-07-06,2021-09-28,11649,وامین,ATAP
1400-07-07,2021-09-29,11631,وامین,ATAP
1400-07-10,2021-10-02,11690,وامین,ATAP
1400-07-11,2021-10-03,11625,وامین,ATAP
1400-07-12,2021-10-04,11739,وامین,ATAP
1400-07-14,2021-10-06,11631,وامین,ATAP
1400-07-17,2021-10-09,11649,وامین,ATAP
1400-07-18,2021-10-10,11649,وامین,ATAP
1400-07-19,2021-10-11,11635,وامین,ATAP
1400-07-20,2021-10-12,11649,وامین,ATAP
1400-07-21,2021-10-13,11690,وامین,ATAP
1400-07-24,2021-10-16,11758,وامین,ATAP
1400-07-25,2021-10-17,11776,وامین,ATAP
1400-07-26,2021-10-18,11649,وامین,ATAP
1400-07-27,2021-10-19,11645,وامین,ATAP
1400-07-28,2021-10-20,11722,وامین,ATAP
