J-Date,Date,Adj Close,Ticker,Ticker(4)
1380-01-20,2001-04-09,331,خاهن,ATIR
1380-01-21,2001-04-10,331,خاهن,ATIR
1380-01-22,2001-04-11,331,خاهن,ATIR
1380-01-25,2001-04-14,332,خاهن,ATIR
1380-01-26,2001-04-15,333,خاهن,ATIR
1380-01-27,2001-04-16,334,خاهن,ATIR
1380-01-29,2001-04-18,341,خاهن,ATIR
1380-02-01,2001-04-21,353,خاهن,ATIR
1380-02-02,2001-04-22,353,خاهن,ATIR
1380-02-03,2001-04-23,353,خاهن,ATIR
1380-02-04,2001-04-24,353,خاهن,ATIR
1380-02-05,2001-04-25,353,خاهن,ATIR
1380-02-08,2001-04-28,349,خاهن,ATIR
1380-02-09,2001-04-29,349,خاهن,ATIR
1380-02-10,2001-04-30,344,خاهن,ATIR
1380-02-11,2001-05-01,344,خاهن,ATIR
1380-02-12,2001-05-02,344,خاهن,ATIR
1380-02-15,2001-05-05,344,خاهن,ATIR
1380-02-16,2001-05-06,345,خاهن,ATIR
1380-02-17,2001-05-07,350,خاهن,ATIR
1380-02-18,2001-05-08,358,خاهن,ATIR
1380-02-19,2001-05-09,362,خاهن,ATIR
1380-02-22,2001-05-12,362,خاهن,ATIR
1380-02-23,2001-05-13,363,خاهن,ATIR
1380-02-25,2001-05-15,367,خاهن,ATIR
1380-02-26,2001-05-16,379,خاهن,ATIR
1380-02-29,2001-05-19,386,خاهن,ATIR
1380-02-30,2001-05-20,380,خاهن,ATIR
1380-02-31,2001-05-21,361,خاهن,ATIR
1380-03-06,2001-05-27,349,خاهن,ATIR
1380-03-07,2001-05-28,349,خاهن,ATIR
1380-03-08,2001-05-29,344,خاهن,ATIR
1380-03-09,2001-05-30,340,خاهن,ATIR
1380-03-12,2001-06-02,340,خاهن,ATIR
1380-03-13,2001-06-03,338,خاهن,ATIR
1380-03-19,2001-06-09,332,خاهن,ATIR
1380-03-21,2001-06-11,333,خاهن,ATIR
1380-03-22,2001-06-12,335,خاهن,ATIR
1380-03-23,2001-06-13,336,خاهن,ATIR
1380-03-26,2001-06-16,336,خاهن,ATIR
1380-03-27,2001-06-17,335,خاهن,ATIR
1380-03-29,2001-06-19,329,خاهن,ATIR
1380-03-30,2001-06-20,331,خاهن,ATIR
1380-04-02,2001-06-23,331,خاهن,ATIR
1380-04-03,2001-06-24,331,خاهن,ATIR
1380-04-04,2001-06-25,332,خاهن,ATIR
1380-04-06,2001-06-27,332,خاهن,ATIR
1380-04-09,2001-06-30,332,خاهن,ATIR
1380-04-10,2001-07-01,331,خاهن,ATIR
1380-04-11,2001-07-02,331,خاهن,ATIR
1380-04-12,2001-07-03,331,خاهن,ATIR
1380-04-13,2001-07-04,331,خاهن,ATIR
1380-04-16,2001-07-07,330,خاهن,ATIR
1380-04-17,2001-07-08,327,خاهن,ATIR
1380-04-18,2001-07-09,322,خاهن,ATIR
1380-04-19,2001-07-10,322,خاهن,ATIR
1380-04-20,2001-07-11,317,خاهن,ATIR
1380-04-23,2001-07-14,316,خاهن,ATIR
1380-06-18,2001-09-09,265,خاهن,ATIR
1380-06-19,2001-09-10,264,خاهن,ATIR
1380-06-21,2001-09-12,250,خاهن,ATIR
