J-Date,Date,Adj Close,Ticker,Ticker(4)
1393-06-17,2014-09-08,21,وآتوس,ATSP
1393-06-24,2014-09-15,14,وآتوس,ATSP
1393-06-26,2014-09-17,14,وآتوس,ATSP
1393-06-29,2014-09-20,14,وآتوس,ATSP
1393-06-30,2014-09-21,14,وآتوس,ATSP
1393-07-02,2014-09-24,14,وآتوس,ATSP
1393-07-12,2014-10-04,14,وآتوس,ATSP
1393-07-14,2014-10-06,14,وآتوس,ATSP
1393-07-15,2014-10-07,14,وآتوس,ATSP
1393-07-19,2014-10-11,20,وآتوس,ATSP
1393-07-26,2014-10-18,24,وآتوس,ATSP
1393-07-29,2014-10-21,24,وآتوس,ATSP
1393-07-30,2014-10-22,21,وآتوس,ATSP
1393-08-06,2014-10-28,17,وآتوس,ATSP
1393-08-07,2014-10-29,15,وآتوس,ATSP
1393-08-21,2014-11-12,23,وآتوس,ATSP
1393-09-02,2014-11-23,17,وآتوس,ATSP
1393-09-03,2014-11-24,17,وآتوس,ATSP
1393-09-04,2014-11-25,25,وآتوس,ATSP
1393-09-18,2014-12-09,19,وآتوس,ATSP
1393-09-24,2014-12-15,19,وآتوس,ATSP
1393-09-25,2014-12-16,14,وآتوس,ATSP
1393-09-29,2014-12-20,15,وآتوس,ATSP
1393-10-06,2014-12-27,17,وآتوس,ATSP
1393-10-07,2014-12-28,17,وآتوس,ATSP
1393-10-10,2014-12-31,15,وآتوس,ATSP
1393-10-13,2015-01-03,15,وآتوس,ATSP
1393-10-20,2015-01-10,14,وآتوس,ATSP
1393-10-21,2015-01-11,15,وآتوس,ATSP
1393-10-23,2015-01-13,14,وآتوس,ATSP
1393-10-30,2015-01-20,14,وآتوس,ATSP
1393-11-06,2015-01-26,14,وآتوس,ATSP
1393-11-20,2015-02-09,12,وآتوس,ATSP
1394-01-23,2015-04-12,12,وآتوس,ATSP
1394-07-18,2015-10-10,13,وآتوس,ATSP
1394-08-06,2015-10-28,16,وآتوس,ATSP
1394-09-09,2015-11-30,14,وآتوس,ATSP
1394-09-17,2015-12-08,14,وآتوس,ATSP
1394-09-29,2015-12-20,14,وآتوس,ATSP
1394-10-15,2016-01-05,16,وآتوس,ATSP
1394-10-28,2016-01-18,16,وآتوس,ATSP
1394-11-19,2016-02-08,16,وآتوس,ATSP
1394-11-25,2016-02-14,19,وآتوس,ATSP
1394-12-19,2016-03-09,14,وآتوس,ATSP
1395-01-21,2016-04-09,15,وآتوس,ATSP
1395-01-25,2016-04-13,14,وآتوس,ATSP
1395-02-07,2016-04-26,16,وآتوس,ATSP
1395-02-19,2016-05-08,14,وآتوس,ATSP
1395-03-04,2016-05-24,13,وآتوس,ATSP
1395-04-02,2016-06-22,13,وآتوس,ATSP
1395-04-12,2016-07-02,13,وآتوس,ATSP
1395-05-17,2016-08-07,15,وآتوس,ATSP
1395-05-25,2016-08-15,15,وآتوس,ATSP
1395-06-08,2016-08-29,15,وآتوس,ATSP
1395-08-02,2016-10-23,15,وآتوس,ATSP
1395-08-10,2016-10-31,15,وآتوس,ATSP
1395-10-22,2017-01-11,12,وآتوس,ATSP
1395-11-16,2017-02-04,12,وآتوس,ATSP
1395-12-09,2017-02-27,8,وآتوس,ATSP
1395-12-23,2017-03-13,9,وآتوس,ATSP
1395-12-25,2017-03-15,10,وآتوس,ATSP
1395-12-28,2017-03-18,11,وآتوس,ATSP
1396-01-06,2017-03-26,12,وآتوس,ATSP
1396-01-07,2017-03-27,13,وآتوس,ATSP
1396-01-08,2017-03-28,15,وآتوس,ATSP
1396-01-09,2017-03-29,16,وآتوس,ATSP
1396-01-14,2017-04-03,15,وآتوس,ATSP
1396-01-15,2017-04-04,17,وآتوس,ATSP
1396-01-16,2017-04-05,18,وآتوس,ATSP
1396-01-19,2017-04-08,18,وآتوس,ATSP
1396-01-20,2017-04-09,17,وآتوس,ATSP
1396-01-21,2017-04-10,19,وآتوس,ATSP
1396-01-23,2017-04-12,20,وآتوس,ATSP
1396-01-26,2017-04-15,22,وآتوس,ATSP
1396-01-27,2017-04-16,24,وآتوس,ATSP
1396-01-28,2017-04-17,25,وآتوس,ATSP
1396-01-29,2017-04-18,23,وآتوس,ATSP
1396-01-30,2017-04-19,21,وآتوس,ATSP
1396-02-02,2017-04-22,24,وآتوس,ATSP
1396-02-03,2017-04-23,26,وآتوس,ATSP
1396-02-04,2017-04-24,29,وآتوس,ATSP
1396-02-06,2017-04-26,32,وآتوس,ATSP
1396-02-09,2017-04-29,34,وآتوس,ATSP
1396-02-10,2017-04-30,33,وآتوس,ATSP
1396-02-11,2017-05-01,31,وآتوس,ATSP
1396-02-12,2017-05-02,32,وآتوس,ATSP
1396-02-13,2017-05-03,31,وآتوس,ATSP
1396-02-16,2017-05-06,33,وآتوس,ATSP
1396-02-17,2017-05-07,32,وآتوس,ATSP
1396-02-18,2017-05-08,32,وآتوس,ATSP
1396-02-19,2017-05-09,33,وآتوس,ATSP
1396-02-20,2017-05-10,34,وآتوس,ATSP
1396-02-23,2017-05-13,34,وآتوس,ATSP
1396-02-24,2017-05-14,33,وآتوس,ATSP
1396-02-25,2017-05-15,33,وآتوس,ATSP
1396-02-26,2017-05-16,33,وآتوس,ATSP
1396-02-27,2017-05-17,34,وآتوس,ATSP
1396-02-30,2017-05-20,36,وآتوس,ATSP
1396-02-31,2017-05-21,35,وآتوس,ATSP
1396-03-01,2017-05-22,37,وآتوس,ATSP
1396-03-02,2017-05-23,38,وآتوس,ATSP
1396-03-03,2017-05-24,40,وآتوس,ATSP
1396-03-06,2017-05-27,35,وآتوس,ATSP
1396-03-07,2017-05-28,34,وآتوس,ATSP
1396-03-08,2017-05-29,36,وآتوس,ATSP
1396-03-09,2017-05-30,34,وآتوس,ATSP
1396-03-10,2017-05-31,39,وآتوس,ATSP
1396-03-13,2017-06-03,43,وآتوس,ATSP
1396-03-16,2017-06-06,40,وآتوس,ATSP
1396-03-17,2017-06-07,40,وآتوس,ATSP
1396-03-20,2017-06-10,40,وآتوس,ATSP
1396-03-21,2017-06-11,40,وآتوس,ATSP
1396-03-22,2017-06-12,36,وآتوس,ATSP
1396-03-23,2017-06-13,39,وآتوس,ATSP
1396-03-24,2017-06-14,39,وآتوس,ATSP
1396-03-27,2017-06-17,38,وآتوس,ATSP
1396-03-28,2017-06-18,38,وآتوس,ATSP
1396-03-29,2017-06-19,41,وآتوس,ATSP
1396-03-30,2017-06-20,40,وآتوس,ATSP
1396-03-31,2017-06-21,37,وآتوس,ATSP
1396-04-03,2017-06-24,39,وآتوس,ATSP
1396-04-04,2017-06-25,38,وآتوس,ATSP
1396-04-10,2017-07-01,38,وآتوس,ATSP
1396-04-11,2017-07-02,37,وآتوس,ATSP
1396-04-12,2017-07-03,36,وآتوس,ATSP
1396-04-13,2017-07-04,37,وآتوس,ATSP
1396-04-14,2017-07-05,33,وآتوس,ATSP
1396-04-17,2017-07-08,34,وآتوس,ATSP
1396-04-18,2017-07-09,32,وآتوس,ATSP
1396-04-19,2017-07-10,31,وآتوس,ATSP
1396-04-20,2017-07-11,31,وآتوس,ATSP
1396-04-21,2017-07-12,31,وآتوس,ATSP
1396-04-24,2017-07-15,29,وآتوس,ATSP
1396-04-25,2017-07-16,31,وآتوس,ATSP
1396-04-26,2017-07-17,31,وآتوس,ATSP
1396-05-03,2017-07-25,38,وآتوس,ATSP
1396-05-04,2017-07-26,42,وآتوس,ATSP
1396-05-07,2017-07-29,45,وآتوس,ATSP
1396-05-08,2017-07-30,50,وآتوس,ATSP
1396-05-09,2017-07-31,55,وآتوس,ATSP
1396-05-10,2017-08-01,61,وآتوس,ATSP
1396-05-15,2017-08-06,67,وآتوس,ATSP
1396-05-16,2017-08-07,73,وآتوس,ATSP
1396-05-17,2017-08-08,66,وآتوس,ATSP
1396-05-18,2017-08-09,68,وآتوس,ATSP
1396-05-21,2017-08-12,61,وآتوس,ATSP
1396-05-22,2017-08-13,61,وآتوس,ATSP
1396-05-23,2017-08-14,61,وآتوس,ATSP
1396-05-24,2017-08-15,57,وآتوس,ATSP
1396-05-25,2017-08-16,64,وآتوس,ATSP
1396-05-28,2017-08-19,63,وآتوس,ATSP
1396-05-29,2017-08-20,62,وآتوس,ATSP
1396-05-30,2017-08-21,61,وآتوس,ATSP
1396-05-31,2017-08-22,68,وآتوس,ATSP
1396-06-01,2017-08-23,61,وآتوس,ATSP
1396-06-04,2017-08-26,63,وآتوس,ATSP
1396-06-05,2017-08-27,59,وآتوس,ATSP
1396-06-06,2017-08-28,59,وآتوس,ATSP
1396-06-07,2017-08-29,59,وآتوس,ATSP
1396-06-08,2017-08-30,59,وآتوس,ATSP
1396-06-11,2017-09-02,57,وآتوس,ATSP
1396-06-12,2017-09-03,55,وآتوس,ATSP
1396-06-13,2017-09-04,53,وآتوس,ATSP
1396-06-14,2017-09-05,52,وآتوس,ATSP
1396-06-15,2017-09-06,54,وآتوس,ATSP
1396-06-19,2017-09-10,52,وآتوس,ATSP
1396-06-20,2017-09-11,51,وآتوس,ATSP
1396-06-21,2017-09-12,56,وآتوس,ATSP
1396-06-22,2017-09-13,50,وآتوس,ATSP
1396-06-25,2017-09-16,49,وآتوس,ATSP
1396-06-26,2017-09-17,48,وآتوس,ATSP
1396-06-27,2017-09-18,49,وآتوس,ATSP
1396-06-28,2017-09-19,49,وآتوس,ATSP
1396-06-29,2017-09-20,52,وآتوس,ATSP
1396-07-01,2017-09-23,55,وآتوس,ATSP
1396-07-02,2017-09-24,55,وآتوس,ATSP
1396-07-03,2017-09-25,52,وآتوس,ATSP
1396-07-04,2017-09-26,51,وآتوس,ATSP
1396-07-05,2017-09-27,51,وآتوس,ATSP
1396-07-10,2017-10-02,49,وآتوس,ATSP
1396-07-11,2017-10-03,51,وآتوس,ATSP
1396-07-12,2017-10-04,50,وآتوس,ATSP
1396-07-15,2017-10-07,55,وآتوس,ATSP
1396-07-16,2017-10-08,58,وآتوس,ATSP
1396-07-17,2017-10-09,59,وآتوس,ATSP
1396-07-18,2017-10-10,62,وآتوس,ATSP
1396-07-19,2017-10-11,63,وآتوس,ATSP
1396-07-22,2017-10-14,63,وآتوس,ATSP
1396-07-23,2017-10-15,69,وآتوس,ATSP
1396-07-24,2017-10-16,73,وآتوس,ATSP
1396-07-25,2017-10-17,80,وآتوس,ATSP
1396-07-26,2017-10-18,82,وآتوس,ATSP
1396-07-29,2017-10-21,90,وآتوس,ATSP
1396-07-30,2017-10-22,87,وآتوس,ATSP
1396-08-01,2017-10-23,84,وآتوس,ATSP
1396-08-02,2017-10-24,85,وآتوس,ATSP
1396-08-03,2017-10-25,91,وآتوس,ATSP
1396-08-06,2017-10-28,85,وآتوس,ATSP
1396-08-07,2017-10-29,92,وآتوس,ATSP
1396-08-08,2017-10-30,96,وآتوس,ATSP
1396-08-09,2017-10-31,95,وآتوس,ATSP
1396-08-10,2017-11-01,89,وآتوس,ATSP
1396-08-13,2017-11-04,98,وآتوس,ATSP
1396-08-14,2017-11-05,99,وآتوس,ATSP
1396-08-15,2017-11-06,91,وآتوس,ATSP
1396-08-16,2017-11-07,87,وآتوس,ATSP
1396-08-17,2017-11-08,85,وآتوس,ATSP
1396-08-20,2017-11-11,81,وآتوس,ATSP
1396-08-21,2017-11-12,80,وآتوس,ATSP
1396-08-22,2017-11-13,77,وآتوس,ATSP
1396-08-23,2017-11-14,79,وآتوس,ATSP
1396-08-24,2017-11-15,77,وآتوس,ATSP
1396-08-27,2017-11-18,77,وآتوس,ATSP
1396-08-29,2017-11-20,73,وآتوس,ATSP
1396-08-30,2017-11-21,72,وآتوس,ATSP
1396-09-01,2017-11-22,72,وآتوس,ATSP
1396-09-04,2017-11-25,69,وآتوس,ATSP
1396-09-05,2017-11-26,68,وآتوس,ATSP
1396-09-07,2017-11-28,74,وآتوس,ATSP
1396-09-08,2017-11-29,74,وآتوس,ATSP
1396-09-11,2017-12-02,70,وآتوس,ATSP
1396-09-12,2017-12-03,70,وآتوس,ATSP
1396-09-13,2017-12-04,69,وآتوس,ATSP
1396-09-14,2017-12-05,69,وآتوس,ATSP
1396-09-18,2017-12-09,69,وآتوس,ATSP
1396-09-19,2017-12-10,66,وآتوس,ATSP
1396-09-20,2017-12-11,68,وآتوس,ATSP
1396-09-21,2017-12-12,67,وآتوس,ATSP
1396-09-22,2017-12-13,65,وآتوس,ATSP
1396-09-25,2017-12-16,72,وآتوس,ATSP
1396-09-26,2017-12-17,73,وآتوس,ATSP
1396-09-27,2017-12-18,71,وآتوس,ATSP
1396-09-28,2017-12-19,70,وآتوس,ATSP
1396-09-29,2017-12-20,67,وآتوس,ATSP
1396-10-02,2017-12-23,68,وآتوس,ATSP
1396-10-03,2017-12-24,74,وآتوس,ATSP
1396-10-04,2017-12-25,71,وآتوس,ATSP
1396-10-05,2017-12-26,72,وآتوس,ATSP
1396-10-06,2017-12-27,71,وآتوس,ATSP
1396-10-09,2017-12-30,67,وآتوس,ATSP
1396-10-10,2017-12-31,64,وآتوس,ATSP
1396-10-11,2018-01-01,68,وآتوس,ATSP
1396-10-12,2018-01-02,61,وآتوس,ATSP
1396-10-13,2018-01-03,66,وآتوس,ATSP
1396-10-16,2018-01-06,69,وآتوس,ATSP
1396-10-17,2018-01-07,67,وآتوس,ATSP
1396-10-18,2018-01-08,67,وآتوس,ATSP
1396-10-19,2018-01-09,66,وآتوس,ATSP
1396-10-20,2018-01-10,64,وآتوس,ATSP
1396-10-23,2018-01-13,67,وآتوس,ATSP
1396-10-24,2018-01-14,69,وآتوس,ATSP
1396-10-25,2018-01-15,70,وآتوس,ATSP
1396-10-26,2018-01-16,69,وآتوس,ATSP
1396-10-27,2018-01-17,66,وآتوس,ATSP
1396-10-30,2018-01-20,61,وآتوس,ATSP
1396-11-01,2018-01-21,69,وآتوس,ATSP
1396-11-02,2018-01-22,66,وآتوس,ATSP
1396-11-03,2018-01-23,66,وآتوس,ATSP
1396-11-04,2018-01-24,65,وآتوس,ATSP
1396-11-07,2018-01-27,65,وآتوس,ATSP
1396-11-08,2018-01-28,63,وآتوس,ATSP
1396-11-09,2018-01-29,68,وآتوس,ATSP
1396-11-10,2018-01-30,68,وآتوس,ATSP
1396-11-11,2018-01-31,65,وآتوس,ATSP
1396-11-14,2018-02-03,67,وآتوس,ATSP
1396-11-15,2018-02-04,69,وآتوس,ATSP
1396-11-16,2018-02-05,73,وآتوس,ATSP
1396-11-17,2018-02-06,69,وآتوس,ATSP
1396-11-18,2018-02-07,74,وآتوس,ATSP
1396-11-21,2018-02-10,72,وآتوس,ATSP
1396-11-23,2018-02-12,69,وآتوس,ATSP
1396-11-24,2018-02-13,69,وآتوس,ATSP
1396-11-25,2018-02-14,66,وآتوس,ATSP
1396-11-28,2018-02-17,65,وآتوس,ATSP
1396-11-29,2018-02-18,69,وآتوس,ATSP
1396-11-30,2018-02-19,68,وآتوس,ATSP
1396-12-02,2018-02-21,69,وآتوس,ATSP
1396-12-05,2018-02-24,65,وآتوس,ATSP
1396-12-06,2018-02-25,62,وآتوس,ATSP
1396-12-07,2018-02-26,65,وآتوس,ATSP
1396-12-08,2018-02-27,64,وآتوس,ATSP
1396-12-09,2018-02-28,64,وآتوس,ATSP
1396-12-12,2018-03-03,64,وآتوس,ATSP
1396-12-13,2018-03-04,65,وآتوس,ATSP
1396-12-14,2018-03-05,65,وآتوس,ATSP
1396-12-15,2018-03-06,64,وآتوس,ATSP
1396-12-16,2018-03-07,69,وآتوس,ATSP
1396-12-19,2018-03-10,67,وآتوس,ATSP
1396-12-20,2018-03-11,69,وآتوس,ATSP
1396-12-21,2018-03-12,67,وآتوس,ATSP
1396-12-22,2018-03-13,66,وآتوس,ATSP
1396-12-23,2018-03-14,63,وآتوس,ATSP
1396-12-26,2018-03-17,64,وآتوس,ATSP
1396-12-27,2018-03-18,64,وآتوس,ATSP
1396-12-28,2018-03-19,64,وآتوس,ATSP
1397-01-05,2018-03-25,66,وآتوس,ATSP
1397-01-06,2018-03-26,65,وآتوس,ATSP
1397-01-07,2018-03-27,65,وآتوس,ATSP
1397-01-08,2018-03-28,65,وآتوس,ATSP
1397-01-14,2018-04-03,63,وآتوس,ATSP
1397-01-15,2018-04-04,64,وآتوس,ATSP
1397-01-18,2018-04-07,63,وآتوس,ATSP
1397-01-19,2018-04-08,63,وآتوس,ATSP
1397-01-20,2018-04-09,61,وآتوس,ATSP
1397-01-21,2018-04-10,60,وآتوس,ATSP
1397-01-22,2018-04-11,55,وآتوس,ATSP
1397-01-26,2018-04-15,53,وآتوس,ATSP
1397-01-27,2018-04-16,55,وآتوس,ATSP
1397-01-28,2018-04-17,54,وآتوس,ATSP
1397-01-29,2018-04-18,55,وآتوس,ATSP
1397-02-01,2018-04-21,55,وآتوس,ATSP
1397-02-02,2018-04-22,54,وآتوس,ATSP
1397-02-03,2018-04-23,53,وآتوس,ATSP
1397-02-04,2018-04-24,55,وآتوس,ATSP
1397-02-05,2018-04-25,55,وآتوس,ATSP
1397-02-08,2018-04-28,53,وآتوس,ATSP
1397-02-09,2018-04-29,53,وآتوس,ATSP
1397-02-10,2018-04-30,54,وآتوس,ATSP
1397-02-11,2018-05-01,50,وآتوس,ATSP
1397-02-15,2018-05-05,48,وآتوس,ATSP
1397-02-16,2018-05-06,47,وآتوس,ATSP
1397-02-17,2018-05-07,49,وآتوس,ATSP
1397-02-18,2018-05-08,51,وآتوس,ATSP
1397-02-19,2018-05-09,49,وآتوس,ATSP
1397-02-22,2018-05-12,49,وآتوس,ATSP
1397-02-23,2018-05-13,52,وآتوس,ATSP
1397-02-24,2018-05-14,52,وآتوس,ATSP
1397-02-25,2018-05-15,51,وآتوس,ATSP
1397-02-26,2018-05-16,50,وآتوس,ATSP
1397-02-29,2018-05-19,52,وآتوس,ATSP
1397-02-30,2018-05-20,52,وآتوس,ATSP
1397-02-31,2018-05-21,52,وآتوس,ATSP
1397-03-01,2018-05-22,52,وآتوس,ATSP
1397-03-02,2018-05-23,52,وآتوس,ATSP
1397-03-05,2018-05-26,51,وآتوس,ATSP
1397-03-06,2018-05-27,52,وآتوس,ATSP
1397-03-07,2018-05-28,52,وآتوس,ATSP
1397-03-08,2018-05-29,52,وآتوس,ATSP
1397-03-09,2018-05-30,57,وآتوس,ATSP
1397-03-12,2018-06-02,56,وآتوس,ATSP
1397-03-13,2018-06-03,53,وآتوس,ATSP
1397-03-19,2018-06-09,54,وآتوس,ATSP
1397-03-20,2018-06-10,53,وآتوس,ATSP
1397-03-21,2018-06-11,53,وآتوس,ATSP
1397-03-22,2018-06-12,53,وآتوس,ATSP
1397-03-23,2018-06-13,54,وآتوس,ATSP
1397-03-27,2018-06-17,54,وآتوس,ATSP
1397-03-28,2018-06-18,54,وآتوس,ATSP
1397-03-29,2018-06-19,52,وآتوس,ATSP
1397-03-30,2018-06-20,53,وآتوس,ATSP
1397-04-02,2018-06-23,54,وآتوس,ATSP
1397-04-03,2018-06-24,53,وآتوس,ATSP
1397-04-04,2018-06-25,53,وآتوس,ATSP
1397-04-05,2018-06-26,52,وآتوس,ATSP
1397-04-06,2018-06-27,52,وآتوس,ATSP
1397-04-09,2018-06-30,51,وآتوس,ATSP
1397-04-10,2018-07-01,49,وآتوس,ATSP
1397-04-11,2018-07-02,49,وآتوس,ATSP
1397-04-17,2018-07-08,51,وآتوس,ATSP
