J-Date,Date,Adj Close,Ticker,Ticker(4)
1397-07-23,2018-10-15,1604,داوه,AVLZ
1397-07-24,2018-10-16,1685,داوه,AVLZ
1397-07-25,2018-10-17,1769,داوه,AVLZ
1397-07-28,2018-10-20,1857,داوه,AVLZ
1397-07-29,2018-10-21,1949,داوه,AVLZ
1397-07-30,2018-10-22,2046,داوه,AVLZ
1397-08-01,2018-10-23,2149,داوه,AVLZ
1397-08-02,2018-10-24,2256,داوه,AVLZ
1397-08-05,2018-10-27,2143,داوه,AVLZ
1397-08-06,2018-10-28,2108,داوه,AVLZ
1397-08-07,2018-10-29,2003,داوه,AVLZ
1397-08-09,2018-10-31,2178,داوه,AVLZ
1397-08-12,2018-11-03,2254,داوه,AVLZ
1397-08-13,2018-11-04,2355,داوه,AVLZ
1397-08-14,2018-11-05,2424,داوه,AVLZ
1397-08-15,2018-11-06,2348,داوه,AVLZ
1397-08-19,2018-11-10,2241,داوه,AVLZ
1397-08-20,2018-11-11,2182,داوه,AVLZ
1397-08-21,2018-11-12,2261,داوه,AVLZ
1397-08-22,2018-11-13,2256,داوه,AVLZ
1397-08-23,2018-11-14,2333,داوه,AVLZ
1397-08-26,2018-11-17,2261,داوه,AVLZ
1397-08-27,2018-11-18,2236,داوه,AVLZ
1397-08-28,2018-11-19,2189,داوه,AVLZ
1397-08-29,2018-11-20,2142,داوه,AVLZ
1397-08-30,2018-11-21,2125,داوه,AVLZ
1397-09-03,2018-11-24,2029,داوه,AVLZ
1397-09-05,2018-11-26,1943,داوه,AVLZ
1397-09-06,2018-11-27,1944,داوه,AVLZ
1397-09-07,2018-11-28,1869,داوه,AVLZ
1397-09-10,2018-12-01,1763,داوه,AVLZ
1397-09-11,2018-12-02,1831,داوه,AVLZ
1397-09-12,2018-12-03,1840,داوه,AVLZ
1397-09-13,2018-12-04,1779,داوه,AVLZ
1397-09-14,2018-12-05,1853,داوه,AVLZ
1397-09-17,2018-12-08,1919,داوه,AVLZ
1397-09-18,2018-12-09,1882,داوه,AVLZ
1397-09-19,2018-12-10,1855,داوه,AVLZ
1397-09-21,2018-12-12,1816,داوه,AVLZ
1397-09-24,2018-12-15,1796,داوه,AVLZ
1397-09-25,2018-12-16,1819,داوه,AVLZ
1397-09-26,2018-12-17,1765,داوه,AVLZ
1397-09-27,2018-12-18,1774,داوه,AVLZ
1397-09-28,2018-12-19,1726,داوه,AVLZ
1397-10-01,2018-12-22,1688,داوه,AVLZ
1397-10-02,2018-12-23,1741,داوه,AVLZ
1397-10-03,2018-12-24,1750,داوه,AVLZ
1397-10-04,2018-12-25,1716,داوه,AVLZ
1397-10-05,2018-12-26,1736,داوه,AVLZ
1397-10-08,2018-12-29,1742,داوه,AVLZ
1397-10-09,2018-12-30,1770,داوه,AVLZ
1397-10-10,2018-12-31,1809,داوه,AVLZ
1397-10-11,2019-01-01,1781,داوه,AVLZ
1397-10-12,2019-01-02,1731,داوه,AVLZ
1397-10-15,2019-01-05,1736,داوه,AVLZ
1397-10-16,2019-01-06,1765,داوه,AVLZ
1397-10-17,2019-01-07,1851,داوه,AVLZ
1397-10-18,2019-01-08,1845,داوه,AVLZ
1397-10-19,2019-01-09,1799,داوه,AVLZ
1397-10-22,2019-01-12,1784,داوه,AVLZ
1397-10-23,2019-01-13,1872,داوه,AVLZ
1397-10-24,2019-01-14,1900,داوه,AVLZ
1397-10-25,2019-01-15,1911,داوه,AVLZ
1397-10-26,2019-01-16,1809,داوه,AVLZ
1397-10-29,2019-01-19,1833,داوه,AVLZ
1397-10-30,2019-01-20,1814,داوه,AVLZ
1397-11-01,2019-01-21,1750,داوه,AVLZ
1397-11-02,2019-01-22,1794,داوه,AVLZ
1397-11-03,2019-01-23,1828,داوه,AVLZ
1397-11-06,2019-01-26,1789,داوه,AVLZ
1397-11-07,2019-01-27,1764,داوه,AVLZ
1397-11-08,2019-01-28,1770,داوه,AVLZ
1397-11-09,2019-01-29,1784,داوه,AVLZ
1397-11-10,2019-01-30,1775,داوه,AVLZ
1397-11-13,2019-02-02,1746,داوه,AVLZ
1397-11-14,2019-02-03,1720,داوه,AVLZ
1397-11-15,2019-02-04,1769,داوه,AVLZ
1397-11-16,2019-02-05,1769,داوه,AVLZ
1397-11-17,2019-02-06,1789,داوه,AVLZ
1397-11-21,2019-02-10,1768,داوه,AVLZ
1397-11-23,2019-02-12,1750,داوه,AVLZ
1397-11-24,2019-02-13,1744,داوه,AVLZ
1397-11-27,2019-02-16,1742,داوه,AVLZ
1397-11-28,2019-02-17,1744,داوه,AVLZ
1397-11-29,2019-02-18,1725,داوه,AVLZ
1397-11-30,2019-02-19,1702,داوه,AVLZ
1397-12-01,2019-02-20,1715,داوه,AVLZ
1397-12-04,2019-02-23,1721,داوه,AVLZ
1397-12-05,2019-02-24,1706,داوه,AVLZ
1397-12-06,2019-02-25,1719,داوه,AVLZ
1397-12-07,2019-02-26,1714,داوه,AVLZ
1397-12-08,2019-02-27,1724,داوه,AVLZ
1397-12-11,2019-03-02,1735,داوه,AVLZ
1397-12-12,2019-03-03,1731,داوه,AVLZ
1397-12-13,2019-03-04,1718,داوه,AVLZ
1397-12-21,2019-03-12,1844,داوه,AVLZ
1397-12-22,2019-03-13,1793,داوه,AVLZ
1397-12-25,2019-03-16,1775,داوه,AVLZ
1397-12-26,2019-03-17,1775,داوه,AVLZ
1397-12-27,2019-03-18,1815,داوه,AVLZ
1397-12-28,2019-03-19,1895,داوه,AVLZ
1398-01-05,2019-03-25,1973,داوه,AVLZ
1398-01-06,2019-03-26,2059,داوه,AVLZ
1398-01-07,2019-03-27,2012,داوه,AVLZ
1398-01-10,2019-03-30,2077,داوه,AVLZ
1398-01-11,2019-03-31,2031,داوه,AVLZ
1398-01-17,2019-04-06,2113,داوه,AVLZ
1398-01-18,2019-04-07,2141,داوه,AVLZ
1398-01-19,2019-04-08,2153,داوه,AVLZ
1398-01-20,2019-04-09,2099,داوه,AVLZ
1398-01-21,2019-04-10,2212,داوه,AVLZ
1398-01-24,2019-04-13,2287,داوه,AVLZ
1398-01-25,2019-04-14,2400,داوه,AVLZ
1398-01-26,2019-04-15,2326,داوه,AVLZ
1398-01-27,2019-04-16,2286,داوه,AVLZ
1398-01-28,2019-04-17,2214,داوه,AVLZ
1398-01-31,2019-04-20,2297,داوه,AVLZ
1398-02-02,2019-04-22,2353,داوه,AVLZ
1398-02-03,2019-04-23,2502,داوه,AVLZ
1398-02-04,2019-04-24,2587,داوه,AVLZ
1398-02-07,2019-04-27,2660,داوه,AVLZ
1398-02-08,2019-04-28,2574,داوه,AVLZ
1398-02-09,2019-04-29,2600,داوه,AVLZ
1398-02-10,2019-04-30,2575,داوه,AVLZ
1398-02-11,2019-05-01,2708,داوه,AVLZ
1398-02-14,2019-05-04,2824,داوه,AVLZ
1398-02-15,2019-05-05,2826,داوه,AVLZ
1398-02-16,2019-05-06,2696,داوه,AVLZ
1398-02-17,2019-05-07,2565,داوه,AVLZ
1398-02-18,2019-05-08,2614,داوه,AVLZ
1398-02-21,2019-05-11,2547,داوه,AVLZ
1398-02-22,2019-05-12,2438,داوه,AVLZ
1398-02-23,2019-05-13,2567,داوه,AVLZ
1398-02-24,2019-05-14,2643,داوه,AVLZ
1398-02-25,2019-05-15,2766,داوه,AVLZ
1398-02-28,2019-05-18,2867,داوه,AVLZ
1398-02-29,2019-05-19,2900,داوه,AVLZ
1398-02-30,2019-05-20,2827,داوه,AVLZ
1398-02-31,2019-05-21,2847,داوه,AVLZ
1398-03-01,2019-05-22,2876,داوه,AVLZ
1398-03-04,2019-05-25,2814,داوه,AVLZ
1398-03-05,2019-05-26,2842,داوه,AVLZ
1398-03-07,2019-05-28,3008,داوه,AVLZ
1398-03-08,2019-05-29,2927,داوه,AVLZ
1398-03-11,2019-06-01,2900,داوه,AVLZ
1398-03-12,2019-06-02,2940,داوه,AVLZ
1398-03-13,2019-06-03,3017,داوه,AVLZ
1398-03-18,2019-06-08,3144,داوه,AVLZ
1398-03-19,2019-06-09,3296,داوه,AVLZ
1398-03-20,2019-06-10,3346,داوه,AVLZ
1398-03-21,2019-06-11,3268,داوه,AVLZ
1398-03-22,2019-06-12,3135,داوه,AVLZ
1398-03-25,2019-06-15,3100,داوه,AVLZ
1398-03-26,2019-06-16,2960,داوه,AVLZ
1398-03-27,2019-06-17,2881,داوه,AVLZ
1398-03-28,2019-06-18,2867,داوه,AVLZ
1398-03-29,2019-06-19,2873,داوه,AVLZ
1398-04-01,2019-06-22,2780,داوه,AVLZ
1398-04-02,2019-06-23,2887,داوه,AVLZ
1398-04-03,2019-06-24,3024,داوه,AVLZ
1398-04-04,2019-06-25,3000,داوه,AVLZ
1398-04-05,2019-06-26,2955,داوه,AVLZ
1398-04-09,2019-06-30,2908,داوه,AVLZ
1398-04-10,2019-07-01,2894,داوه,AVLZ
1398-04-11,2019-07-02,2898,داوه,AVLZ
1398-04-18,2019-07-09,3045,داوه,AVLZ
1398-04-19,2019-07-10,3195,داوه,AVLZ
1398-04-22,2019-07-13,3183,داوه,AVLZ
1398-04-23,2019-07-14,3102,داوه,AVLZ
1398-04-24,2019-07-15,2990,داوه,AVLZ
1398-04-25,2019-07-16,2875,داوه,AVLZ
1398-04-26,2019-07-17,2850,داوه,AVLZ
1398-04-29,2019-07-20,2886,داوه,AVLZ
1398-04-30,2019-07-21,2924,داوه,AVLZ
1398-04-31,2019-07-22,2863,داوه,AVLZ
1398-05-01,2019-07-23,2826,داوه,AVLZ
1398-05-02,2019-07-24,2870,داوه,AVLZ
1398-05-05,2019-07-27,2878,داوه,AVLZ
1398-05-06,2019-07-28,2914,داوه,AVLZ
1398-05-07,2019-07-29,2840,داوه,AVLZ
1398-05-08,2019-07-30,2877,داوه,AVLZ
1398-05-09,2019-07-31,2894,داوه,AVLZ
1398-05-12,2019-08-03,2880,داوه,AVLZ
1398-05-13,2019-08-04,3040,داوه,AVLZ
1398-05-14,2019-08-05,3144,داوه,AVLZ
1398-05-15,2019-08-06,3173,داوه,AVLZ
1398-05-16,2019-08-07,3048,داوه,AVLZ
1398-05-19,2019-08-10,2981,داوه,AVLZ
1398-05-20,2019-08-11,2961,داوه,AVLZ
1398-05-22,2019-08-13,3032,داوه,AVLZ
1398-05-23,2019-08-14,3081,داوه,AVLZ
1398-05-26,2019-08-17,3209,داوه,AVLZ
1398-05-27,2019-08-18,3240,داوه,AVLZ
1398-05-28,2019-08-19,3389,داوه,AVLZ
1398-05-30,2019-08-21,3365,داوه,AVLZ
1398-06-02,2019-08-24,3459,داوه,AVLZ
1398-06-03,2019-08-25,3472,داوه,AVLZ
1398-06-04,2019-08-26,3576,داوه,AVLZ
1398-06-05,2019-08-27,3734,داوه,AVLZ
1398-06-06,2019-08-28,3790,داوه,AVLZ
1398-06-09,2019-08-31,3876,داوه,AVLZ
1398-06-10,2019-09-01,4040,داوه,AVLZ
1398-06-13,2019-09-04,4402,داوه,AVLZ
1398-06-16,2019-09-07,4613,داوه,AVLZ
1398-06-17,2019-09-08,4843,داوه,AVLZ
1398-06-20,2019-09-11,5085,داوه,AVLZ
1398-06-23,2019-09-14,5339,داوه,AVLZ
1398-06-24,2019-09-15,5605,داوه,AVLZ
