J-Date,Date,Adj Close,Ticker,Ticker(4)
1380-08-06,2001-10-28,111,خاذین,AZIN
1380-08-07,2001-10-29,112,خاذین,AZIN
1380-08-08,2001-10-30,112,خاذین,AZIN
1380-08-09,2001-10-31,112,خاذین,AZIN
1380-08-12,2001-11-03,114,خاذین,AZIN
1380-08-13,2001-11-04,117,خاذین,AZIN
1380-08-14,2001-11-05,118,خاذین,AZIN
1380-08-15,2001-11-06,119,خاذین,AZIN
1380-08-16,2001-11-07,119,خاذین,AZIN
1380-08-19,2001-11-10,118,خاذین,AZIN
1380-08-20,2001-11-11,117,خاذین,AZIN
1380-08-21,2001-11-12,118,خاذین,AZIN
1380-08-22,2001-11-13,118,خاذین,AZIN
1380-08-23,2001-11-14,117,خاذین,AZIN
1380-08-26,2001-11-17,117,خاذین,AZIN
1380-08-27,2001-11-18,117,خاذین,AZIN
1380-08-28,2001-11-19,116,خاذین,AZIN
1380-08-29,2001-11-20,116,خاذین,AZIN
1380-08-30,2001-11-21,118,خاذین,AZIN
1380-09-03,2001-11-24,118,خاذین,AZIN
1380-09-04,2001-11-25,120,خاذین,AZIN
1380-09-05,2001-11-26,122,خاذین,AZIN
1380-09-06,2001-11-27,122,خاذین,AZIN
1380-09-07,2001-11-28,122,خاذین,AZIN
1380-09-10,2001-12-01,123,خاذین,AZIN
1380-09-11,2001-12-02,124,خاذین,AZIN
1380-09-12,2001-12-03,124,خاذین,AZIN
1380-09-13,2001-12-04,125,خاذین,AZIN
1380-09-14,2001-12-05,125,خاذین,AZIN
1380-09-17,2001-12-08,127,خاذین,AZIN
1380-09-18,2001-12-09,128,خاذین,AZIN
1380-09-19,2001-12-10,134,خاذین,AZIN
1380-09-20,2001-12-11,136,خاذین,AZIN
1380-09-21,2001-12-12,138,خاذین,AZIN
1380-10-17,2002-01-07,136,خاذین,AZIN
1380-10-18,2002-01-08,132,خاذین,AZIN
1380-10-22,2002-01-12,131,خاذین,AZIN
1380-10-23,2002-01-13,129,خاذین,AZIN
1380-10-24,2002-01-14,131,خاذین,AZIN
1380-10-25,2002-01-15,130,خاذین,AZIN
1380-10-26,2002-01-16,130,خاذین,AZIN
1380-10-29,2002-01-19,130,خاذین,AZIN
1380-10-30,2002-01-20,129,خاذین,AZIN
1380-11-01,2002-01-21,128,خاذین,AZIN
1380-11-02,2002-01-22,127,خاذین,AZIN
1380-11-03,2002-01-23,129,خاذین,AZIN
1380-11-06,2002-01-26,134,خاذین,AZIN
1380-11-07,2002-01-27,132,خاذین,AZIN
1380-11-08,2002-01-28,133,خاذین,AZIN
1380-11-09,2002-01-29,133,خاذین,AZIN
