J-Date,Date,Adj Close,Ticker,Ticker(4)
1382-12-06,2004-02-25,7,کبافق,BAFG
1382-12-25,2004-03-15,7,کبافق,BAFG
1382-12-26,2004-03-16,7,کبافق,BAFG
1383-02-21,2004-05-10,8,کبافق,BAFG
1383-02-22,2004-05-11,8,کبافق,BAFG
1383-02-23,2004-05-12,8,کبافق,BAFG
1383-02-26,2004-05-15,8,کبافق,BAFG
1383-02-27,2004-05-16,8,کبافق,BAFG
1383-02-28,2004-05-17,9,کبافق,BAFG
1383-02-29,2004-05-18,9,کبافق,BAFG
1383-02-30,2004-05-19,9,کبافق,BAFG
1383-03-02,2004-05-22,10,کبافق,BAFG
1383-03-03,2004-05-23,10,کبافق,BAFG
1383-03-04,2004-05-24,11,کبافق,BAFG
1383-03-05,2004-05-25,11,کبافق,BAFG
1383-03-06,2004-05-26,12,کبافق,BAFG
1383-03-09,2004-05-29,12,کبافق,BAFG
1383-03-10,2004-05-30,13,کبافق,BAFG
1383-03-11,2004-05-31,14,کبافق,BAFG
1383-03-12,2004-06-01,14,کبافق,BAFG
1383-03-13,2004-06-02,15,کبافق,BAFG
1383-03-16,2004-06-05,16,کبافق,BAFG
1383-03-17,2004-06-06,17,کبافق,BAFG
1383-03-18,2004-06-07,18,کبافق,BAFG
1383-03-19,2004-06-08,18,کبافق,BAFG
1383-03-20,2004-06-09,19,کبافق,BAFG
1383-03-23,2004-06-12,20,کبافق,BAFG
1383-03-24,2004-06-13,21,کبافق,BAFG
1383-03-25,2004-06-14,22,کبافق,BAFG
1383-03-26,2004-06-15,23,کبافق,BAFG
1383-03-27,2004-06-16,24,کبافق,BAFG
1383-03-30,2004-06-19,25,کبافق,BAFG
1383-03-31,2004-06-20,26,کبافق,BAFG
1383-04-01,2004-06-21,28,کبافق,BAFG
1383-04-02,2004-06-22,28,کبافق,BAFG
1383-04-03,2004-06-23,27,کبافق,BAFG
1383-04-06,2004-06-26,25,کبافق,BAFG
1383-04-07,2004-06-27,24,کبافق,BAFG
1383-04-08,2004-06-28,23,کبافق,BAFG
1383-04-09,2004-06-29,22,کبافق,BAFG
1383-04-10,2004-06-30,21,کبافق,BAFG
1383-04-13,2004-07-03,22,کبافق,BAFG
1383-04-14,2004-07-04,22,کبافق,BAFG
1383-04-15,2004-07-05,23,کبافق,BAFG
1383-04-23,2004-07-13,24,کبافق,BAFG
1383-04-24,2004-07-14,24,کبافق,BAFG
1383-04-27,2004-07-17,24,کبافق,BAFG
1383-04-28,2004-07-18,23,کبافق,BAFG
1383-04-29,2004-07-19,22,کبافق,BAFG
1383-04-30,2004-07-20,22,کبافق,BAFG
1383-05-03,2004-07-24,21,کبافق,BAFG
1383-05-04,2004-07-25,20,کبافق,BAFG
1383-05-05,2004-07-26,19,کبافق,BAFG
1383-05-06,2004-07-27,18,کبافق,BAFG
1383-05-07,2004-07-28,19,کبافق,BAFG
1383-05-10,2004-07-31,20,کبافق,BAFG
1383-05-11,2004-08-01,21,کبافق,BAFG
1383-05-12,2004-08-02,22,کبافق,BAFG
1383-05-13,2004-08-03,23,کبافق,BAFG
1383-05-14,2004-08-04,24,کبافق,BAFG
1383-05-17,2004-08-07,25,کبافق,BAFG
1383-05-18,2004-08-08,24,کبافق,BAFG
1383-05-19,2004-08-09,22,کبافق,BAFG
1383-05-20,2004-08-10,21,کبافق,BAFG
1383-05-21,2004-08-11,21,کبافق,BAFG
1383-05-24,2004-08-14,21,کبافق,BAFG
1383-05-25,2004-08-15,21,کبافق,BAFG
1383-05-27,2004-08-17,20,کبافق,BAFG
1383-05-28,2004-08-18,20,کبافق,BAFG
1383-05-31,2004-08-21,20,کبافق,BAFG
1383-06-01,2004-08-22,20,کبافق,BAFG
1383-06-03,2004-08-24,19,کبافق,BAFG
1383-06-10,2004-08-31,19,کبافق,BAFG
1383-06-14,2004-09-04,18,کبافق,BAFG
1383-06-15,2004-09-05,18,کبافق,BAFG
1383-06-16,2004-09-06,18,کبافق,BAFG
1383-06-17,2004-09-07,18,کبافق,BAFG
1383-06-18,2004-09-08,18,کبافق,BAFG
1383-06-21,2004-09-11,17,کبافق,BAFG
1383-06-22,2004-09-12,17,کبافق,BAFG
1383-06-24,2004-09-14,18,کبافق,BAFG
1383-06-25,2004-09-15,18,کبافق,BAFG
1383-06-28,2004-09-18,18,کبافق,BAFG
1383-06-29,2004-09-19,18,کبافق,BAFG
1383-06-30,2004-09-20,18,کبافق,BAFG
1383-06-31,2004-09-21,17,کبافق,BAFG
1383-07-01,2004-09-22,17,کبافق,BAFG
1383-07-04,2004-09-25,17,کبافق,BAFG
1383-07-05,2004-09-26,17,کبافق,BAFG
1383-07-06,2004-09-27,17,کبافق,BAFG
1383-07-07,2004-09-28,16,کبافق,BAFG
1383-07-08,2004-09-29,16,کبافق,BAFG
1383-07-11,2004-10-02,16,کبافق,BAFG
1383-07-12,2004-10-03,16,کبافق,BAFG
1383-07-13,2004-10-04,17,کبافق,BAFG
1383-07-14,2004-10-05,18,کبافق,BAFG
1383-07-15,2004-10-06,19,کبافق,BAFG
1383-07-18,2004-10-09,19,کبافق,BAFG
1383-07-19,2004-10-10,19,کبافق,BAFG
1383-07-20,2004-10-11,19,کبافق,BAFG
1383-07-21,2004-10-12,18,کبافق,BAFG
1383-07-22,2004-10-13,18,کبافق,BAFG
1383-07-25,2004-10-16,18,کبافق,BAFG
1383-07-26,2004-10-17,17,کبافق,BAFG
1383-07-27,2004-10-18,17,کبافق,BAFG
1383-07-29,2004-10-20,16,کبافق,BAFG
1383-08-02,2004-10-23,16,کبافق,BAFG
1383-08-03,2004-10-24,15,کبافق,BAFG
1383-08-04,2004-10-25,15,کبافق,BAFG
1383-08-05,2004-10-26,15,کبافق,BAFG
1383-08-06,2004-10-27,15,کبافق,BAFG
1383-08-09,2004-10-30,15,کبافق,BAFG
1383-08-10,2004-10-31,15,کبافق,BAFG
1383-08-11,2004-11-01,15,کبافق,BAFG
1383-08-12,2004-11-02,15,کبافق,BAFG
1383-08-13,2004-11-03,15,کبافق,BAFG
1383-08-16,2004-11-06,15,کبافق,BAFG
1383-08-17,2004-11-07,16,کبافق,BAFG
1383-08-18,2004-11-08,16,کبافق,BAFG
1383-08-19,2004-11-09,17,کبافق,BAFG
1383-08-20,2004-11-10,17,کبافق,BAFG
1383-08-23,2004-11-13,17,کبافق,BAFG
1383-08-25,2004-11-15,18,کبافق,BAFG
1383-08-26,2004-11-16,18,کبافق,BAFG
1383-08-27,2004-11-17,18,کبافق,BAFG
1383-08-30,2004-11-20,18,کبافق,BAFG
1383-09-02,2004-11-22,18,کبافق,BAFG
1383-09-04,2004-11-24,18,کبافق,BAFG
1383-09-08,2004-11-28,18,کبافق,BAFG
1383-09-10,2004-11-30,17,کبافق,BAFG
1383-09-11,2004-12-01,17,کبافق,BAFG
1383-09-14,2004-12-04,16,کبافق,BAFG
1383-09-15,2004-12-05,15,کبافق,BAFG
1383-09-16,2004-12-06,16,کبافق,BAFG
1383-09-17,2004-12-07,17,کبافق,BAFG
1383-09-21,2004-12-11,17,کبافق,BAFG
1383-09-22,2004-12-12,18,کبافق,BAFG
1383-09-23,2004-12-13,18,کبافق,BAFG
1383-09-24,2004-12-14,19,کبافق,BAFG
1383-09-25,2004-12-15,18,کبافق,BAFG
1383-09-28,2004-12-18,19,کبافق,BAFG
1383-09-29,2004-12-19,19,کبافق,BAFG
1383-09-30,2004-12-20,19,کبافق,BAFG
1383-10-01,2004-12-21,20,کبافق,BAFG
1383-10-02,2004-12-22,21,کبافق,BAFG
1383-10-05,2004-12-25,21,کبافق,BAFG
1383-10-06,2004-12-26,22,کبافق,BAFG
1383-10-07,2004-12-27,22,کبافق,BAFG
1383-10-08,2004-12-28,24,کبافق,BAFG
1383-12-09,2005-02-27,22,کبافق,BAFG
1383-12-11,2005-03-01,21,کبافق,BAFG
1383-12-16,2005-03-06,20,کبافق,BAFG
1384-01-10,2005-03-30,19,کبافق,BAFG
1384-01-14,2005-04-03,18,کبافق,BAFG
1384-01-15,2005-04-04,17,کبافق,BAFG
1384-01-16,2005-04-05,16,کبافق,BAFG
1384-01-17,2005-04-06,16,کبافق,BAFG
