J-Date,Date,Adj Close,Ticker,Ticker(4)
1397-04-19,2018-07-10,135,زبینا,BAHZ
1397-04-20,2018-07-11,142,زبینا,BAHZ
1397-04-23,2018-07-14,149,زبینا,BAHZ
1397-04-24,2018-07-15,157,زبینا,BAHZ
1397-04-25,2018-07-16,164,زبینا,BAHZ
1397-04-26,2018-07-17,181,زبینا,BAHZ
1397-05-07,2018-07-29,188,زبینا,BAHZ
1397-05-08,2018-07-30,181,زبینا,BAHZ
1397-05-09,2018-07-31,183,زبینا,BAHZ
1397-05-10,2018-08-01,171,زبینا,BAHZ
1397-05-13,2018-08-04,166,زبینا,BAHZ
1397-05-14,2018-08-05,171,زبینا,BAHZ
1397-05-15,2018-08-06,163,زبینا,BAHZ
1397-05-16,2018-08-07,161,زبینا,BAHZ
1397-05-17,2018-08-08,170,زبینا,BAHZ
1397-05-20,2018-08-11,176,زبینا,BAHZ
1397-05-21,2018-08-12,177,زبینا,BAHZ
1397-05-22,2018-08-13,172,زبینا,BAHZ
1397-05-23,2018-08-14,175,زبینا,BAHZ
1397-05-24,2018-08-15,171,زبینا,BAHZ
1397-05-27,2018-08-18,175,زبینا,BAHZ
1397-05-28,2018-08-19,178,زبینا,BAHZ
1397-05-29,2018-08-20,182,زبینا,BAHZ
1397-05-30,2018-08-21,176,زبینا,BAHZ
1397-06-03,2018-08-25,181,زبینا,BAHZ
1397-06-04,2018-08-26,190,زبینا,BAHZ
1397-06-05,2018-08-27,184,زبینا,BAHZ
1397-06-06,2018-08-28,180,زبینا,BAHZ
1397-06-07,2018-08-29,181,زبینا,BAHZ
1397-06-10,2018-09-01,180,زبینا,BAHZ
1397-06-11,2018-09-02,179,زبینا,BAHZ
1397-06-12,2018-09-03,182,زبینا,BAHZ
1397-06-13,2018-09-04,183,زبینا,BAHZ
1397-06-14,2018-09-05,192,زبینا,BAHZ
1397-06-17,2018-09-08,200,زبینا,BAHZ
1397-06-18,2018-09-09,210,زبینا,BAHZ
1397-06-19,2018-09-10,215,زبینا,BAHZ
1397-06-20,2018-09-11,223,زبینا,BAHZ
1397-06-21,2018-09-12,223,زبینا,BAHZ
1397-06-24,2018-09-15,220,زبینا,BAHZ
1397-06-25,2018-09-16,214,زبینا,BAHZ
1397-06-26,2018-09-17,223,زبینا,BAHZ
1397-06-27,2018-09-18,221,زبینا,BAHZ
