J-Date,Date,Adj Close,Ticker,Ticker(4)
1399-04-08,2020-06-28,62837,انرژی,BENC
1399-04-09,2020-06-29,64363,انرژی,BENC
1399-04-10,2020-06-30,67578,انرژی,BENC
1399-04-11,2020-07-01,69350,انرژی,BENC
1399-04-14,2020-07-04,71605,انرژی,BENC
1399-04-15,2020-07-05,75182,انرژی,BENC
1399-04-16,2020-07-06,78939,انرژی,BENC
1399-04-17,2020-07-07,81133,انرژی,BENC
1399-04-18,2020-07-08,82786,انرژی,BENC
1399-04-21,2020-07-11,87660,انرژی,BENC
1399-04-22,2020-07-12,88647,انرژی,BENC
1399-04-23,2020-07-13,91091,انرژی,BENC
1399-04-24,2020-07-14,95037,انرژی,BENC
1399-04-25,2020-07-15,99788,انرژی,BENC
1399-04-28,2020-07-18,104762,انرژی,BENC
1399-05-01,2020-07-22,106864,انرژی,BENC
1399-05-04,2020-07-25,112206,انرژی,BENC
1399-05-05,2020-07-26,117815,انرژی,BENC
1399-05-06,2020-07-27,123334,انرژی,BENC
1399-05-07,2020-07-28,125997,انرژی,BENC
1399-05-08,2020-07-29,129625,انرژی,BENC
1399-05-11,2020-08-01,133548,انرژی,BENC
1399-05-12,2020-08-02,138023,انرژی,BENC
1399-05-13,2020-08-03,142129,انرژی,BENC
1399-05-14,2020-08-04,148346,انرژی,BENC
1399-05-15,2020-08-05,155588,انرژی,BENC
1399-06-26,2020-09-16,146734,انرژی,BENC
1399-06-29,2020-09-19,139399,انرژی,BENC
1399-06-30,2020-09-20,132431,انرژی,BENC
1399-06-31,2020-09-21,130466,انرژی,BENC
1399-07-01,2020-09-22,129372,انرژی,BENC
1399-07-02,2020-09-23,127131,انرژی,BENC
1399-07-05,2020-09-26,124062,انرژی,BENC
1399-07-06,2020-09-27,122879,انرژی,BENC
1399-07-07,2020-09-28,122460,انرژی,BENC
1399-07-08,2020-09-29,122171,انرژی,BENC
1399-07-09,2020-09-30,121366,انرژی,BENC
1399-07-12,2020-10-03,119567,انرژی,BENC
1399-07-13,2020-10-04,116196,انرژی,BENC
1399-07-14,2020-10-05,114570,انرژی,BENC
1399-07-15,2020-10-06,113879,انرژی,BENC
1399-07-16,2020-10-07,119571,انرژی,BENC
1399-07-19,2020-10-10,121426,انرژی,BENC
1399-07-20,2020-10-11,126506,انرژی,BENC
1399-07-21,2020-10-12,131261,انرژی,BENC
1399-07-22,2020-10-13,135992,انرژی,BENC
1399-07-23,2020-10-14,139931,انرژی,BENC
1399-07-27,2020-10-18,140936,انرژی,BENC
1399-07-28,2020-10-19,137208,انرژی,BENC
1399-07-29,2020-10-20,139639,انرژی,BENC
1399-07-30,2020-10-21,139383,انرژی,BENC
1399-08-03,2020-10-24,133408,انرژی,BENC
1399-08-05,2020-10-26,132989,انرژی,BENC
1399-08-06,2020-10-27,126277,انرژی,BENC
1399-08-07,2020-10-28,121931,انرژی,BENC
1399-08-10,2020-10-31,128597,انرژی,BENC
1399-08-11,2020-11-01,121479,انرژی,BENC
1399-08-12,2020-11-02,117858,انرژی,BENC
