J-Date,Date,Adj Close,Ticker,Ticker(4)
1400-02-01,2021-04-21,5719,باران,BLIP
1400-02-04,2021-04-24,5891,باران,BLIP
1400-02-05,2021-04-25,6067,باران,BLIP
1400-02-06,2021-04-26,6248,باران,BLIP
1400-02-07,2021-04-27,6255,باران,BLIP
1400-02-08,2021-04-28,6377,باران,BLIP
1400-02-11,2021-05-01,6263,باران,BLIP
1400-02-12,2021-05-02,6276,باران,BLIP
1400-02-13,2021-05-03,6279,باران,BLIP
1400-02-15,2021-05-05,6412,باران,BLIP
1400-02-18,2021-05-08,6302,باران,BLIP
1400-02-19,2021-05-09,6306,باران,BLIP
1400-02-20,2021-05-10,6319,باران,BLIP
1400-02-21,2021-05-11,6446,باران,BLIP
1400-02-22,2021-05-12,6355,باران,BLIP
1400-02-25,2021-05-15,6356,باران,BLIP
1400-02-26,2021-05-16,6363,باران,BLIP
1400-02-27,2021-05-17,6495,باران,BLIP
1400-02-28,2021-05-18,6425,باران,BLIP
1400-02-29,2021-05-19,6430,باران,BLIP
1400-03-01,2021-05-22,6435,باران,BLIP
1400-03-02,2021-05-23,6574,باران,BLIP
1400-03-03,2021-05-24,6459,باران,BLIP
1400-03-04,2021-05-25,6493,باران,BLIP
1400-03-05,2021-05-26,6497,باران,BLIP
1400-03-08,2021-05-29,6627,باران,BLIP
1400-03-09,2021-05-30,6587,باران,BLIP
1400-03-10,2021-05-31,6595,باران,BLIP
1400-03-11,2021-06-01,6596,باران,BLIP
1400-03-12,2021-06-02,6739,باران,BLIP
1400-03-17,2021-06-07,6655,باران,BLIP
1400-03-18,2021-06-08,6670,باران,BLIP
1400-03-19,2021-06-09,6712,باران,BLIP
1400-03-25,2021-06-15,8660,باران,BLIP
1400-03-26,2021-06-16,8708,باران,BLIP
1400-03-29,2021-06-19,8383,باران,BLIP
1400-03-30,2021-06-20,8149,باران,BLIP
1400-03-31,2021-06-21,7915,باران,BLIP
1400-04-01,2021-06-22,7832,باران,BLIP
1400-04-02,2021-06-23,7668,باران,BLIP
1400-04-05,2021-06-26,7495,باران,BLIP
1400-04-06,2021-06-27,7755,باران,BLIP
1400-04-07,2021-06-28,7516,باران,BLIP
1400-04-08,2021-06-29,7597,باران,BLIP
1400-04-09,2021-06-30,7892,باران,BLIP
1400-04-12,2021-07-03,7940,باران,BLIP
1400-04-13,2021-07-04,7886,باران,BLIP
1400-04-14,2021-07-05,7804,باران,BLIP
1400-04-15,2021-07-06,7695,باران,BLIP
1400-04-16,2021-07-07,7600,باران,BLIP
1400-04-28,2021-07-19,7664,باران,BLIP
1400-05-04,2021-07-26,7382,باران,BLIP
1400-05-05,2021-07-27,7178,باران,BLIP
1400-05-06,2021-07-28,7107,باران,BLIP
1400-05-09,2021-07-31,6808,باران,BLIP
1400-05-10,2021-08-01,6838,باران,BLIP
1400-05-11,2021-08-02,6833,باران,BLIP
1400-05-12,2021-08-03,6832,باران,BLIP
1400-05-13,2021-08-04,6684,باران,BLIP
1400-10-28,2022-01-18,5640,باران,BLIP
1400-10-29,2022-01-19,6672,باران,BLIP
1400-11-02,2022-01-22,6672,باران,BLIP
1400-11-03,2022-01-23,6473,باران,BLIP
1400-11-06,2022-01-26,6473,باران,BLIP
1400-11-09,2022-01-29,6473,باران,BLIP
1400-11-10,2022-01-30,6472,باران,BLIP
1400-11-11,2022-01-31,6472,باران,BLIP
1400-11-16,2022-02-05,4481,باران,BLIP
1401-03-02,2022-05-23,3539,باران,BLIP
1401-03-03,2022-05-24,3421,باران,BLIP
1401-03-04,2022-05-25,3559,باران,BLIP
1401-03-07,2022-05-28,3646,باران,BLIP
1401-03-08,2022-05-29,3755,باران,BLIP
1401-03-09,2022-05-30,3867,باران,BLIP
1401-03-10,2022-05-31,3950,باران,BLIP
1401-03-11,2022-06-01,4034,باران,BLIP
1401-03-16,2022-06-06,4122,باران,BLIP
1401-03-17,2022-06-07,4226,باران,BLIP
1401-03-18,2022-06-08,4060,باران,BLIP
1401-03-21,2022-06-11,4033,باران,BLIP
1401-03-22,2022-06-12,3919,باران,BLIP
1401-03-23,2022-06-13,3860,باران,BLIP
1401-03-24,2022-06-14,3745,باران,BLIP
1401-03-25,2022-06-15,3644,باران,BLIP
1401-03-28,2022-06-18,3646,باران,BLIP
1401-03-29,2022-06-19,3691,باران,BLIP
1401-03-30,2022-06-20,3736,باران,BLIP
1401-03-31,2022-06-21,3626,باران,BLIP
1401-04-01,2022-06-22,3521,باران,BLIP
1401-04-04,2022-06-25,3420,باران,BLIP
1401-04-05,2022-06-26,3439,باران,BLIP
1401-04-06,2022-06-27,3461,باران,BLIP
1401-04-07,2022-06-28,3482,باران,BLIP
1401-04-08,2022-06-29,3417,باران,BLIP
1401-05-26,2022-08-17,3322,باران,BLIP
1401-05-29,2022-08-20,3280,باران,BLIP
1401-05-30,2022-08-21,3369,باران,BLIP
1401-05-31,2022-08-22,3439,باران,BLIP
1401-06-01,2022-08-23,3542,باران,BLIP
1401-06-02,2022-08-24,3489,باران,BLIP
1401-06-05,2022-08-27,3428,باران,BLIP
1401-06-06,2022-08-28,3426,باران,BLIP
1401-06-07,2022-08-29,3309,باران,BLIP
1401-06-08,2022-08-30,3306,باران,BLIP
1401-06-09,2022-08-31,3420,باران,BLIP
1401-06-12,2022-09-03,3488,باران,BLIP
1401-06-13,2022-09-04,3474,باران,BLIP
1401-06-14,2022-09-05,3493,باران,BLIP
1401-06-15,2022-09-06,3459,باران,BLIP
1401-06-16,2022-09-07,3361,باران,BLIP
1401-06-19,2022-09-10,3330,باران,BLIP
1401-06-20,2022-09-11,3283,باران,BLIP
1401-06-21,2022-09-12,3392,باران,BLIP
1401-06-22,2022-09-13,3440,باران,BLIP
1401-06-23,2022-09-14,3420,باران,BLIP
1401-06-27,2022-09-18,3376,باران,BLIP
1401-06-28,2022-09-19,3366,باران,BLIP
1401-06-29,2022-09-20,3251,باران,BLIP
1401-06-30,2022-09-21,3283,باران,BLIP
1401-07-02,2022-09-24,3254,باران,BLIP
1401-07-04,2022-09-26,3281,باران,BLIP
1401-07-06,2022-09-28,3383,باران,BLIP
1401-07-09,2022-10-01,3481,باران,BLIP
1401-07-10,2022-10-02,3401,باران,BLIP
1401-07-11,2022-10-03,3505,باران,BLIP
1401-07-12,2022-10-04,3431,باران,BLIP
1401-07-16,2022-10-08,3395,باران,BLIP
1401-07-17,2022-10-09,3400,باران,BLIP
1401-07-18,2022-10-10,3380,باران,BLIP
1401-07-19,2022-10-11,3290,باران,BLIP
1401-07-20,2022-10-12,3183,باران,BLIP
1401-07-23,2022-10-15,3190,باران,BLIP
1401-07-24,2022-10-16,3220,باران,BLIP
1401-07-25,2022-10-17,3230,باران,BLIP
1401-07-26,2022-10-18,3160,باران,BLIP
1401-07-27,2022-10-19,3118,باران,BLIP
1401-07-30,2022-10-22,3231,باران,BLIP
1401-08-01,2022-10-23,3122,باران,BLIP
1401-08-02,2022-10-24,3101,باران,BLIP
1401-08-03,2022-10-25,3167,باران,BLIP
1401-08-04,2022-10-26,3124,باران,BLIP
1401-08-07,2022-10-29,3120,باران,BLIP
1401-08-08,2022-10-30,3115,باران,BLIP
1401-08-09,2022-10-31,3060,باران,BLIP
1401-08-10,2022-11-01,3011,باران,BLIP
1401-08-11,2022-11-02,3020,باران,BLIP
1401-08-14,2022-11-05,3003,باران,BLIP
1401-08-15,2022-11-06,3090,باران,BLIP
1401-08-16,2022-11-07,3118,باران,BLIP
1401-08-17,2022-11-08,3063,باران,BLIP
1401-08-18,2022-11-09,3102,باران,BLIP
1401-08-21,2022-11-12,3124,باران,BLIP
1401-08-22,2022-11-13,3170,باران,BLIP
1401-08-23,2022-11-14,3129,باران,BLIP
1401-08-24,2022-11-15,3051,باران,BLIP
1401-08-25,2022-11-16,3051,باران,BLIP
1401-08-28,2022-11-19,3043,باران,BLIP
1401-08-29,2022-11-20,3157,باران,BLIP
1401-08-30,2022-11-21,3062,باران,BLIP
1401-09-01,2022-11-22,3140,باران,BLIP
1401-09-02,2022-11-23,3187,باران,BLIP
1401-09-05,2022-11-26,3222,باران,BLIP
1401-09-06,2022-11-27,3134,باران,BLIP
1401-09-07,2022-11-28,3180,باران,BLIP
1401-09-08,2022-11-29,3160,باران,BLIP
1401-09-09,2022-11-30,3120,باران,BLIP
1401-09-12,2022-12-03,3132,باران,BLIP
1401-09-13,2022-12-04,3170,باران,BLIP
1401-09-14,2022-12-05,3136,باران,BLIP
1401-09-15,2022-12-06,3190,باران,BLIP
1401-09-16,2022-12-07,3092,باران,BLIP
1401-09-19,2022-12-10,3110,باران,BLIP
1401-09-20,2022-12-11,3101,باران,BLIP
1401-09-21,2022-12-12,3148,باران,BLIP
1401-09-22,2022-12-13,3161,باران,BLIP
1401-09-23,2022-12-14,3258,باران,BLIP
1401-09-26,2022-12-17,3327,باران,BLIP
1401-09-27,2022-12-18,3380,باران,BLIP
1401-09-28,2022-12-19,3419,باران,BLIP
1401-09-29,2022-12-20,3465,باران,BLIP
1401-09-30,2022-12-21,3568,باران,BLIP
1401-10-03,2022-12-24,3672,باران,BLIP
1401-10-04,2022-12-25,3782,باران,BLIP
1401-10-11,2023-01-01,3895,باران,BLIP
1401-10-12,2023-01-02,4000,باران,BLIP
1401-10-13,2023-01-03,3870,باران,BLIP
1401-10-14,2023-01-04,3811,باران,BLIP
1401-10-17,2023-01-07,3932,باران,BLIP
1401-10-18,2023-01-08,3879,باران,BLIP
1401-10-19,2023-01-09,3819,باران,BLIP
1401-10-20,2023-01-10,3850,باران,BLIP
1401-10-21,2023-01-11,3930,باران,BLIP
1401-10-24,2023-01-14,3990,باران,BLIP
1401-10-26,2023-01-16,4000,باران,BLIP
1401-10-27,2023-01-17,3990,باران,BLIP
1401-10-28,2023-01-18,3981,باران,BLIP
1401-11-01,2023-01-21,3928,باران,BLIP
1401-11-02,2023-01-22,3858,باران,BLIP
1401-11-03,2023-01-23,3749,باران,BLIP
1401-11-04,2023-01-24,3862,باران,BLIP
1401-11-05,2023-01-25,3751,باران,BLIP
1401-11-08,2023-01-28,3654,باران,BLIP
1401-11-09,2023-01-29,3561,باران,BLIP
1401-11-10,2023-01-30,3560,باران,BLIP
1401-11-11,2023-01-31,3530,باران,BLIP
1401-11-12,2023-02-01,3530,باران,BLIP
1401-11-16,2023-02-05,3365,باران,BLIP
1401-11-17,2023-02-06,3394,باران,BLIP
1401-11-18,2023-02-07,3491,باران,BLIP
1401-11-19,2023-02-08,3476,باران,BLIP
1401-11-23,2023-02-12,3465,باران,BLIP
1401-11-24,2023-02-13,3497,باران,BLIP
1401-11-25,2023-02-14,3536,باران,BLIP
1401-11-26,2023-02-15,3572,باران,BLIP
1401-11-30,2023-02-19,3626,باران,BLIP
1401-12-01,2023-02-20,3696,باران,BLIP
1401-12-02,2023-02-21,3787,باران,BLIP
1401-12-03,2023-02-22,3869,باران,BLIP
1401-12-06,2023-02-25,3924,باران,BLIP
1401-12-07,2023-02-26,3747,باران,BLIP
1401-12-08,2023-02-27,3770,باران,BLIP
1401-12-09,2023-02-28,3723,باران,BLIP
1401-12-10,2023-03-01,3614,باران,BLIP
1401-12-16,2023-03-07,3603,باران,BLIP
1401-12-20,2023-03-11,3587,باران,BLIP
1401-12-21,2023-03-12,3515,باران,BLIP
1401-12-28,2023-03-19,3579,باران,BLIP
1402-01-05,2023-03-25,3654,باران,BLIP
1402-01-07,2023-03-27,3717,باران,BLIP
1402-01-08,2023-03-28,3806,باران,BLIP
1402-01-09,2023-03-29,3785,باران,BLIP
1402-01-14,2023-04-03,3675,باران,BLIP
1402-01-15,2023-04-04,3691,باران,BLIP
1402-01-16,2023-04-05,3688,باران,BLIP
1402-01-19,2023-04-08,3720,باران,BLIP
1402-01-20,2023-04-09,3769,باران,BLIP
1402-01-21,2023-04-10,3873,باران,BLIP
1402-01-22,2023-04-11,3895,باران,BLIP
1402-01-26,2023-04-15,4011,باران,BLIP
1402-01-27,2023-04-16,4131,باران,BLIP
1402-01-28,2023-04-17,4070,باران,BLIP
1402-01-29,2023-04-18,4140,باران,BLIP
1402-01-30,2023-04-19,4262,باران,BLIP
1402-02-04,2023-04-24,4255,باران,BLIP
1402-02-05,2023-04-25,4150,باران,BLIP
1402-02-06,2023-04-26,4230,باران,BLIP
1402-02-09,2023-04-29,4250,باران,BLIP
1402-02-10,2023-04-30,4384,باران,BLIP
1402-02-11,2023-05-01,4374,باران,BLIP
1402-02-12,2023-05-02,4452,باران,BLIP
1402-02-13,2023-05-03,4560,باران,BLIP
1402-02-16,2023-05-06,4680,باران,BLIP
1402-02-17,2023-05-07,4540,باران,BLIP
1402-02-24,2023-05-14,4480,باران,BLIP
1402-02-25,2023-05-15,4348,باران,BLIP
1402-02-27,2023-05-17,4290,باران,BLIP
1402-02-30,2023-05-20,4132,باران,BLIP
1402-02-31,2023-05-21,4131,باران,BLIP
1402-03-01,2023-05-22,4185,باران,BLIP
1402-03-02,2023-05-23,4070,باران,BLIP
1402-03-03,2023-05-24,4100,باران,BLIP
1402-03-06,2023-05-27,4109,باران,BLIP
1402-03-07,2023-05-28,4005,باران,BLIP
1402-03-08,2023-05-29,3975,باران,BLIP
1402-03-09,2023-05-30,4023,باران,BLIP
1402-03-10,2023-05-31,4000,باران,BLIP
1402-03-13,2023-06-03,4078,باران,BLIP
1402-03-16,2023-06-06,4099,باران,BLIP
1402-03-17,2023-06-07,4021,باران,BLIP
1402-03-20,2023-06-10,4001,باران,BLIP
1402-03-21,2023-06-11,3999,باران,BLIP
1402-03-22,2023-06-12,3944,باران,BLIP
1402-03-23,2023-06-13,3990,باران,BLIP
1402-03-24,2023-06-14,3897,باران,BLIP
1402-03-27,2023-06-17,3962,باران,BLIP
