J-Date,Date,Adj Close,Ticker,Ticker(4)
1393-12-19,2015-03-10,588,دبالک,BLKZ
1393-12-20,2015-03-11,618,دبالک,BLKZ
1393-12-23,2015-03-14,649,دبالک,BLKZ
1393-12-24,2015-03-15,681,دبالک,BLKZ
1393-12-25,2015-03-16,715,دبالک,BLKZ
1393-12-26,2015-03-17,751,دبالک,BLKZ
1393-12-27,2015-03-18,741,دبالک,BLKZ
1394-01-05,2015-03-25,726,دبالک,BLKZ
1394-01-08,2015-03-28,720,دبالک,BLKZ
1394-01-09,2015-03-29,706,دبالک,BLKZ
1394-01-10,2015-03-30,684,دبالک,BLKZ
1394-01-11,2015-03-31,675,دبالک,BLKZ
1394-01-15,2015-04-04,715,دبالک,BLKZ
1394-01-16,2015-04-05,719,دبالک,BLKZ
1394-01-17,2015-04-06,690,دبالک,BLKZ
1394-01-18,2015-04-07,664,دبالک,BLKZ
1394-01-19,2015-04-08,664,دبالک,BLKZ
1394-01-22,2015-04-11,647,دبالک,BLKZ
1394-01-23,2015-04-12,638,دبالک,BLKZ
1394-01-24,2015-04-13,670,دبالک,BLKZ
1394-01-25,2015-04-14,689,دبالک,BLKZ
1394-01-26,2015-04-15,690,دبالک,BLKZ
1394-01-29,2015-04-18,670,دبالک,BLKZ
1394-01-30,2015-04-19,669,دبالک,BLKZ
1394-01-31,2015-04-20,677,دبالک,BLKZ
1394-02-01,2015-04-21,679,دبالک,BLKZ
1394-02-02,2015-04-22,671,دبالک,BLKZ
1394-02-05,2015-04-25,688,دبالک,BLKZ
1394-02-06,2015-04-26,715,دبالک,BLKZ
1394-02-07,2015-04-27,680,دبالک,BLKZ
1394-02-08,2015-04-28,673,دبالک,BLKZ
1394-02-09,2015-04-29,674,دبالک,BLKZ
1394-02-13,2015-05-03,658,دبالک,BLKZ
1394-02-14,2015-05-04,663,دبالک,BLKZ
1394-02-15,2015-05-05,649,دبالک,BLKZ
1394-02-16,2015-05-06,650,دبالک,BLKZ
1394-02-19,2015-05-09,635,دبالک,BLKZ
1394-02-20,2015-05-10,622,دبالک,BLKZ
1394-02-21,2015-05-11,643,دبالک,BLKZ
1394-02-22,2015-05-12,632,دبالک,BLKZ
1394-02-29,2015-05-19,670,دبالک,BLKZ
1394-02-30,2015-05-20,655,دبالک,BLKZ
1394-03-02,2015-05-23,646,دبالک,BLKZ
1394-03-03,2015-05-24,638,دبالک,BLKZ
1394-03-04,2015-05-25,654,دبالک,BLKZ
1394-03-05,2015-05-26,633,دبالک,BLKZ
1394-03-06,2015-05-27,629,دبالک,BLKZ
1394-03-09,2015-05-30,629,دبالک,BLKZ
1394-03-10,2015-05-31,635,دبالک,BLKZ
1394-03-11,2015-06-01,637,دبالک,BLKZ
1394-03-12,2015-06-02,647,دبالک,BLKZ
1394-03-16,2015-06-06,630,دبالک,BLKZ
1394-03-17,2015-06-07,628,دبالک,BLKZ
1394-03-18,2015-06-08,614,دبالک,BLKZ
1394-03-19,2015-06-09,589,دبالک,BLKZ
1394-03-20,2015-06-10,605,دبالک,BLKZ
1394-03-23,2015-06-13,593,دبالک,BLKZ
1394-03-24,2015-06-14,601,دبالک,BLKZ
1394-03-25,2015-06-15,595,دبالک,BLKZ
1394-03-26,2015-06-16,596,دبالک,BLKZ
1394-03-27,2015-06-17,612,دبالک,BLKZ
1394-03-30,2015-06-20,598,دبالک,BLKZ
1394-03-31,2015-06-21,599,دبالک,BLKZ
1394-04-01,2015-06-22,603,دبالک,BLKZ
1394-04-02,2015-06-23,602,دبالک,BLKZ
1394-04-03,2015-06-24,598,دبالک,BLKZ
1394-04-06,2015-06-27,594,دبالک,BLKZ
1394-04-07,2015-06-28,595,دبالک,BLKZ
1394-04-08,2015-06-29,589,دبالک,BLKZ
1394-04-09,2015-06-30,596,دبالک,BLKZ
1394-04-10,2015-07-01,567,دبالک,BLKZ
1394-04-13,2015-07-04,592,دبالک,BLKZ
1394-04-14,2015-07-05,590,دبالک,BLKZ
1394-04-15,2015-07-06,599,دبالک,BLKZ
1394-04-16,2015-07-07,623,دبالک,BLKZ
1394-04-20,2015-07-11,621,دبالک,BLKZ
1394-04-21,2015-07-12,651,دبالک,BLKZ
1394-04-22,2015-07-13,679,دبالک,BLKZ
1394-04-23,2015-07-14,683,دبالک,BLKZ
1394-04-24,2015-07-15,651,دبالک,BLKZ
1394-04-29,2015-07-20,667,دبالک,BLKZ
1394-04-30,2015-07-21,699,دبالک,BLKZ
1394-04-31,2015-07-22,695,دبالک,BLKZ
1394-05-03,2015-07-25,655,دبالک,BLKZ
1394-05-04,2015-07-26,640,دبالک,BLKZ
1394-05-05,2015-07-27,637,دبالک,BLKZ
1394-05-06,2015-07-28,648,دبالک,BLKZ
1394-05-07,2015-07-29,670,دبالک,BLKZ
1394-05-10,2015-08-01,678,دبالک,BLKZ
1394-05-11,2015-08-02,662,دبالک,BLKZ
1394-05-12,2015-08-03,687,دبالک,BLKZ
1394-05-13,2015-08-04,693,دبالک,BLKZ
1394-05-14,2015-08-05,682,دبالک,BLKZ
1394-05-17,2015-08-08,671,دبالک,BLKZ
1394-05-18,2015-08-09,672,دبالک,BLKZ
1394-05-19,2015-08-10,674,دبالک,BLKZ
1394-05-21,2015-08-12,654,دبالک,BLKZ
1394-05-24,2015-08-15,670,دبالک,BLKZ
1394-05-25,2015-08-16,680,دبالک,BLKZ
1394-05-26,2015-08-17,683,دبالک,BLKZ
1394-05-27,2015-08-18,667,دبالک,BLKZ
1394-05-28,2015-08-19,655,دبالک,BLKZ
1394-05-31,2015-08-22,655,دبالک,BLKZ
1394-06-01,2015-08-23,648,دبالک,BLKZ
1394-06-02,2015-08-24,631,دبالک,BLKZ
1394-06-03,2015-08-25,627,دبالک,BLKZ
1394-06-04,2015-08-26,630,دبالک,BLKZ
1394-06-07,2015-08-29,633,دبالک,BLKZ
1394-06-08,2015-08-30,668,دبالک,BLKZ
1394-06-09,2015-08-31,658,دبالک,BLKZ
1394-06-11,2015-09-02,648,دبالک,BLKZ
1394-06-14,2015-09-05,668,دبالک,BLKZ
1394-06-15,2015-09-06,658,دبالک,BLKZ
1394-06-16,2015-09-07,651,دبالک,BLKZ
1394-06-17,2015-09-08,658,دبالک,BLKZ
1394-06-18,2015-09-09,670,دبالک,BLKZ
1394-06-21,2015-09-12,656,دبالک,BLKZ
1394-06-22,2015-09-13,643,دبالک,BLKZ
1394-06-23,2015-09-14,648,دبالک,BLKZ
1394-06-24,2015-09-15,640,دبالک,BLKZ
1394-06-25,2015-09-16,662,دبالک,BLKZ
1394-06-28,2015-09-19,662,دبالک,BLKZ
1394-06-29,2015-09-20,692,دبالک,BLKZ
1394-06-30,2015-09-21,677,دبالک,BLKZ
1394-06-31,2015-09-22,689,دبالک,BLKZ
1394-07-01,2015-09-23,686,دبالک,BLKZ
1394-07-04,2015-09-26,674,دبالک,BLKZ
1394-07-05,2015-09-27,668,دبالک,BLKZ
1394-07-06,2015-09-28,677,دبالک,BLKZ
1394-07-07,2015-09-29,692,دبالک,BLKZ
1394-07-08,2015-09-30,671,دبالک,BLKZ
1394-07-11,2015-10-03,665,دبالک,BLKZ
1394-07-12,2015-10-04,661,دبالک,BLKZ
1394-07-13,2015-10-05,679,دبالک,BLKZ
1394-07-14,2015-10-06,669,دبالک,BLKZ
1394-07-15,2015-10-07,687,دبالک,BLKZ
1394-07-18,2015-10-10,657,دبالک,BLKZ
1394-07-19,2015-10-11,655,دبالک,BLKZ
1394-07-20,2015-10-12,659,دبالک,BLKZ
1394-07-21,2015-10-13,669,دبالک,BLKZ
1394-07-22,2015-10-14,673,دبالک,BLKZ
1394-07-25,2015-10-17,660,دبالک,BLKZ
1394-07-26,2015-10-18,661,دبالک,BLKZ
1394-07-27,2015-10-19,675,دبالک,BLKZ
1394-07-28,2015-10-20,679,دبالک,BLKZ
1394-07-29,2015-10-21,694,دبالک,BLKZ
1394-08-03,2015-10-25,671,دبالک,BLKZ
1394-08-04,2015-10-26,686,دبالک,BLKZ
1394-08-05,2015-10-27,686,دبالک,BLKZ
1394-08-06,2015-10-28,671,دبالک,BLKZ
1394-08-19,2015-11-10,742,دبالک,BLKZ
1394-08-20,2015-11-11,713,دبالک,BLKZ
1394-08-23,2015-11-14,711,دبالک,BLKZ
1394-08-24,2015-11-15,714,دبالک,BLKZ
1394-08-25,2015-11-16,689,دبالک,BLKZ
1394-08-26,2015-11-17,705,دبالک,BLKZ
1394-08-27,2015-11-18,707,دبالک,BLKZ
1394-08-30,2015-11-21,700,دبالک,BLKZ
1394-09-01,2015-11-22,733,دبالک,BLKZ
1394-09-02,2015-11-23,759,دبالک,BLKZ
1394-09-03,2015-11-24,794,دبالک,BLKZ
1394-09-04,2015-11-25,778,دبالک,BLKZ
1394-09-07,2015-11-28,769,دبالک,BLKZ
1394-09-08,2015-11-29,767,دبالک,BLKZ
1394-09-09,2015-11-30,764,دبالک,BLKZ
1394-09-10,2015-12-01,756,دبالک,BLKZ
1394-09-14,2015-12-05,760,دبالک,BLKZ
1394-09-15,2015-12-06,764,دبالک,BLKZ
1394-09-16,2015-12-07,760,دبالک,BLKZ
1394-09-17,2015-12-08,760,دبالک,BLKZ
1394-09-18,2015-12-09,769,دبالک,BLKZ
1394-09-22,2015-12-13,760,دبالک,BLKZ
1394-09-23,2015-12-14,760,دبالک,BLKZ
1394-09-24,2015-12-15,760,دبالک,BLKZ
1394-09-25,2015-12-16,763,دبالک,BLKZ
1394-09-28,2015-12-19,760,دبالک,BLKZ
1394-09-29,2015-12-20,760,دبالک,BLKZ
1394-09-30,2015-12-21,769,دبالک,BLKZ
1394-10-01,2015-12-22,784,دبالک,BLKZ
1394-10-02,2015-12-23,791,دبالک,BLKZ
1394-10-05,2015-12-26,778,دبالک,BLKZ
1394-10-06,2015-12-27,778,دبالک,BLKZ
1394-10-07,2015-12-28,778,دبالک,BLKZ
1394-10-09,2015-12-30,804,دبالک,BLKZ
1394-10-12,2016-01-02,812,دبالک,BLKZ
1394-10-13,2016-01-03,799,دبالک,BLKZ
1394-10-14,2016-01-04,835,دبالک,BLKZ
1394-10-15,2016-01-05,866,دبالک,BLKZ
1394-10-16,2016-01-06,864,دبالک,BLKZ
1394-10-19,2016-01-09,849,دبالک,BLKZ
1394-10-20,2016-01-10,846,دبالک,BLKZ
1394-10-21,2016-01-11,848,دبالک,BLKZ
1394-10-22,2016-01-12,849,دبالک,BLKZ
1394-10-23,2016-01-13,880,دبالک,BLKZ
1394-10-26,2016-01-16,886,دبالک,BLKZ
1394-10-27,2016-01-17,850,دبالک,BLKZ
1394-10-28,2016-01-18,870,دبالک,BLKZ
1394-10-29,2016-01-19,854,دبالک,BLKZ
1394-10-30,2016-01-20,870,دبالک,BLKZ
1394-11-03,2016-01-23,908,دبالک,BLKZ
1394-11-04,2016-01-24,942,دبالک,BLKZ
1394-11-05,2016-01-25,972,دبالک,BLKZ
