J-Date,Date,Adj Close,Ticker,Ticker(4)
1391-04-19,2012-07-09,42,ملت,BMEL
1391-04-20,2012-07-10,43,ملت,BMEL
1391-04-21,2012-07-11,44,ملت,BMEL
1391-04-24,2012-07-14,43,ملت,BMEL
1391-04-25,2012-07-15,42,ملت,BMEL
1391-04-26,2012-07-16,42,ملت,BMEL
1391-04-27,2012-07-17,42,ملت,BMEL
1391-04-28,2012-07-18,42,ملت,BMEL
1391-04-31,2012-07-21,42,ملت,BMEL
1391-05-01,2012-07-22,42,ملت,BMEL
1391-05-02,2012-07-23,41,ملت,BMEL
1391-05-03,2012-07-24,40,ملت,BMEL
1391-05-04,2012-07-25,40,ملت,BMEL
1391-05-07,2012-07-28,39,ملت,BMEL
1391-05-08,2012-07-29,37,ملت,BMEL
1391-05-09,2012-07-30,38,ملت,BMEL
1391-05-10,2012-07-31,38,ملت,BMEL
1391-05-11,2012-08-01,38,ملت,BMEL
1391-05-14,2012-08-04,37,ملت,BMEL
1391-05-15,2012-08-05,36,ملت,BMEL
1391-05-16,2012-08-06,36,ملت,BMEL
1391-05-17,2012-08-07,35,ملت,BMEL
1391-05-18,2012-08-08,35,ملت,BMEL
1391-05-21,2012-08-11,36,ملت,BMEL
1391-05-22,2012-08-12,35,ملت,BMEL
1391-05-23,2012-08-13,35,ملت,BMEL
1391-05-24,2012-08-14,36,ملت,BMEL
1391-05-25,2012-08-15,35,ملت,BMEL
1391-05-28,2012-08-18,35,ملت,BMEL
1391-05-31,2012-08-21,35,ملت,BMEL
1391-06-01,2012-08-22,36,ملت,BMEL
1391-06-04,2012-08-25,35,ملت,BMEL
1391-06-05,2012-08-26,36,ملت,BMEL
1391-06-06,2012-08-27,36,ملت,BMEL
1391-06-12,2012-09-02,36,ملت,BMEL
1391-06-13,2012-09-03,36,ملت,BMEL
1391-06-14,2012-09-04,38,ملت,BMEL
1391-06-15,2012-09-05,38,ملت,BMEL
1391-06-18,2012-09-08,38,ملت,BMEL
1391-06-19,2012-09-09,37,ملت,BMEL
1391-06-20,2012-09-10,36,ملت,BMEL
1391-06-21,2012-09-11,36,ملت,BMEL
1391-06-25,2012-09-15,37,ملت,BMEL
1391-06-26,2012-09-16,36,ملت,BMEL
1391-06-27,2012-09-17,36,ملت,BMEL
1391-06-28,2012-09-18,36,ملت,BMEL
1391-06-29,2012-09-19,36,ملت,BMEL
1391-07-01,2012-09-22,37,ملت,BMEL
1391-07-02,2012-09-23,37,ملت,BMEL
1391-07-03,2012-09-24,37,ملت,BMEL
1391-07-04,2012-09-25,38,ملت,BMEL
1391-07-05,2012-09-26,39,ملت,BMEL
1391-07-08,2012-09-29,39,ملت,BMEL
1391-07-09,2012-09-30,38,ملت,BMEL
1391-07-10,2012-10-01,38,ملت,BMEL
1391-07-11,2012-10-02,38,ملت,BMEL
1391-07-12,2012-10-03,37,ملت,BMEL
1391-07-15,2012-10-06,38,ملت,BMEL
1391-07-16,2012-10-07,38,ملت,BMEL
1391-07-17,2012-10-08,39,ملت,BMEL
1391-07-18,2012-10-09,39,ملت,BMEL
1391-07-19,2012-10-10,40,ملت,BMEL
1391-07-22,2012-10-13,41,ملت,BMEL
1391-07-23,2012-10-14,41,ملت,BMEL
1391-07-24,2012-10-15,42,ملت,BMEL
1391-09-11,2012-12-01,42,ملت,BMEL
1391-09-12,2012-12-02,41,ملت,BMEL
1391-09-13,2012-12-03,40,ملت,BMEL
1391-09-14,2012-12-04,39,ملت,BMEL
1391-09-15,2012-12-05,39,ملت,BMEL
1391-09-18,2012-12-08,39,ملت,BMEL
1391-09-19,2012-12-09,40,ملت,BMEL
1391-09-20,2012-12-10,40,ملت,BMEL
1391-09-21,2012-12-11,40,ملت,BMEL
1391-09-22,2012-12-12,39,ملت,BMEL
1391-09-25,2012-12-15,39,ملت,BMEL
1391-09-26,2012-12-16,38,ملت,BMEL
1391-09-27,2012-12-17,39,ملت,BMEL
1391-09-28,2012-12-18,40,ملت,BMEL
1391-09-29,2012-12-19,40,ملت,BMEL
1391-10-02,2012-12-22,40,ملت,BMEL
1391-10-03,2012-12-23,39,ملت,BMEL
1391-10-04,2012-12-24,39,ملت,BMEL
1391-10-05,2012-12-25,40,ملت,BMEL
1391-10-06,2012-12-26,39,ملت,BMEL
1391-10-09,2012-12-29,40,ملت,BMEL
1391-10-10,2012-12-30,40,ملت,BMEL
1391-10-11,2012-12-31,39,ملت,BMEL
1391-10-12,2013-01-01,39,ملت,BMEL
1391-10-13,2013-01-02,41,ملت,BMEL
1391-10-17,2013-01-06,40,ملت,BMEL
1391-10-18,2013-01-07,40,ملت,BMEL
1391-10-19,2013-01-08,40,ملت,BMEL
1391-10-20,2013-01-09,39,ملت,BMEL
1391-10-24,2013-01-13,40,ملت,BMEL
1391-10-25,2013-01-14,40,ملت,BMEL
1391-10-26,2013-01-15,39,ملت,BMEL
1391-10-27,2013-01-16,39,ملت,BMEL
1391-10-30,2013-01-19,40,ملت,BMEL
1391-11-01,2013-01-20,40,ملت,BMEL
1391-11-02,2013-01-21,40,ملت,BMEL
1391-11-03,2013-01-22,38,ملت,BMEL
1391-11-04,2013-01-23,40,ملت,BMEL
1391-11-07,2013-01-26,40,ملت,BMEL
1391-11-08,2013-01-27,40,ملت,BMEL
1391-11-09,2013-01-28,41,ملت,BMEL
1391-11-11,2013-01-30,41,ملت,BMEL
1391-11-14,2013-02-02,41,ملت,BMEL
1391-11-15,2013-02-03,41,ملت,BMEL
1391-11-16,2013-02-04,40,ملت,BMEL
1391-11-17,2013-02-05,41,ملت,BMEL
