J-Date,Date,Adj Close,Ticker,Ticker(4)
1387-11-30,2009-02-18,20,وبملت,BMLT
1387-12-03,2009-02-21,20,وبملت,BMLT
1387-12-04,2009-02-22,20,وبملت,BMLT
1387-12-05,2009-02-23,20,وبملت,BMLT
1387-12-07,2009-02-25,20,وبملت,BMLT
1387-12-10,2009-02-28,20,وبملت,BMLT
1387-12-11,2009-03-01,20,وبملت,BMLT
1387-12-12,2009-03-02,20,وبملت,BMLT
1387-12-13,2009-03-03,20,وبملت,BMLT
1387-12-14,2009-03-04,20,وبملت,BMLT
1387-12-17,2009-03-07,20,وبملت,BMLT
1387-12-18,2009-03-08,20,وبملت,BMLT
1387-12-19,2009-03-09,20,وبملت,BMLT
1387-12-20,2009-03-10,20,وبملت,BMLT
1387-12-21,2009-03-11,20,وبملت,BMLT
1387-12-24,2009-03-14,20,وبملت,BMLT
1387-12-26,2009-03-16,20,وبملت,BMLT
1387-12-27,2009-03-17,20,وبملت,BMLT
1387-12-28,2009-03-18,20,وبملت,BMLT
1388-01-05,2009-03-25,21,وبملت,BMLT
1388-01-08,2009-03-28,21,وبملت,BMLT
1388-01-09,2009-03-29,21,وبملت,BMLT
1388-01-10,2009-03-30,21,وبملت,BMLT
1388-01-11,2009-03-31,21,وبملت,BMLT
1388-01-15,2009-04-04,21,وبملت,BMLT
1388-01-16,2009-04-05,21,وبملت,BMLT
1388-01-17,2009-04-06,21,وبملت,BMLT
1388-01-18,2009-04-07,21,وبملت,BMLT
1388-01-19,2009-04-08,21,وبملت,BMLT
1388-01-22,2009-04-11,21,وبملت,BMLT
1388-01-23,2009-04-12,20,وبملت,BMLT
1388-01-24,2009-04-13,21,وبملت,BMLT
1388-01-25,2009-04-14,21,وبملت,BMLT
1388-01-26,2009-04-15,21,وبملت,BMLT
1388-01-29,2009-04-18,21,وبملت,BMLT
1388-01-30,2009-04-19,21,وبملت,BMLT
1388-01-31,2009-04-20,22,وبملت,BMLT
1388-02-01,2009-04-21,23,وبملت,BMLT
1388-02-02,2009-04-22,22,وبملت,BMLT
1388-02-05,2009-04-25,22,وبملت,BMLT
1388-02-06,2009-04-26,21,وبملت,BMLT
1388-02-07,2009-04-27,22,وبملت,BMLT
1388-02-08,2009-04-28,21,وبملت,BMLT
1388-02-09,2009-04-29,21,وبملت,BMLT
1388-02-12,2009-05-02,21,وبملت,BMLT
1388-02-13,2009-05-03,21,وبملت,BMLT
1388-02-14,2009-05-04,21,وبملت,BMLT
1388-02-15,2009-05-05,22,وبملت,BMLT
1388-02-16,2009-05-06,22,وبملت,BMLT
1388-02-19,2009-05-09,23,وبملت,BMLT
1388-02-20,2009-05-10,23,وبملت,BMLT
1388-02-21,2009-05-11,23,وبملت,BMLT
1388-02-22,2009-05-12,22,وبملت,BMLT
1388-02-23,2009-05-13,22,وبملت,BMLT
