J-Date,Date,Adj Close,Ticker,Ticker(4)
1395-10-01,2016-12-21,351,بورس,BORS
1395-10-04,2016-12-24,339,بورس,BORS
1395-10-05,2016-12-25,325,بورس,BORS
1395-10-06,2016-12-26,320,بورس,BORS
1395-10-07,2016-12-27,305,بورس,BORS
1395-10-08,2016-12-28,294,بورس,BORS
1395-10-11,2016-12-31,291,بورس,BORS
1395-10-12,2017-01-01,288,بورس,BORS
1395-10-13,2017-01-02,301,بورس,BORS
1395-10-14,2017-01-03,312,بورس,BORS
1395-10-15,2017-01-04,310,بورس,BORS
1395-10-18,2017-01-07,312,بورس,BORS
1395-10-19,2017-01-08,317,بورس,BORS
1395-10-20,2017-01-09,316,بورس,BORS
1395-10-22,2017-01-11,314,بورس,BORS
1395-10-25,2017-01-14,311,بورس,BORS
1395-10-26,2017-01-15,306,بورس,BORS
1395-10-27,2017-01-16,304,بورس,BORS
1395-10-28,2017-01-17,305,بورس,BORS
1395-10-29,2017-01-18,304,بورس,BORS
1395-11-02,2017-01-21,304,بورس,BORS
1395-11-03,2017-01-22,304,بورس,BORS
1395-11-04,2017-01-23,304,بورس,BORS
1395-11-05,2017-01-24,306,بورس,BORS
1395-11-06,2017-01-25,306,بورس,BORS
1395-11-09,2017-01-28,306,بورس,BORS
1395-11-10,2017-01-29,307,بورس,BORS
1395-11-11,2017-01-30,307,بورس,BORS
1395-11-12,2017-01-31,301,بورس,BORS
1395-11-13,2017-02-01,302,بورس,BORS
1395-11-16,2017-02-04,295,بورس,BORS
1395-11-17,2017-02-05,296,بورس,BORS
1395-11-18,2017-02-06,291,بورس,BORS
1395-11-19,2017-02-07,291,بورس,BORS
1395-11-20,2017-02-08,287,بورس,BORS
1395-11-23,2017-02-11,286,بورس,BORS
1395-11-24,2017-02-12,281,بورس,BORS
1395-11-25,2017-02-13,292,بورس,BORS
1395-11-26,2017-02-14,286,بورس,BORS
1395-11-27,2017-02-15,296,بورس,BORS
1395-11-30,2017-02-18,301,بورس,BORS
1395-12-01,2017-02-19,292,بورس,BORS
1395-12-02,2017-02-20,289,بورس,BORS
1395-12-03,2017-02-21,288,بورس,BORS
1395-12-04,2017-02-22,289,بورس,BORS
1395-12-07,2017-02-25,286,بورس,BORS
1395-12-08,2017-02-26,283,بورس,BORS
1395-12-09,2017-02-27,287,بورس,BORS
1395-12-10,2017-02-28,281,بورس,BORS
1395-12-11,2017-03-01,282,بورس,BORS
1395-12-14,2017-03-04,276,بورس,BORS
1395-12-15,2017-03-05,269,بورس,BORS
1395-12-16,2017-03-06,268,بورس,BORS
1395-12-17,2017-03-07,265,بورس,BORS
1395-12-18,2017-03-08,268,بورس,BORS
1395-12-21,2017-03-11,264,بورس,BORS
1395-12-22,2017-03-12,274,بورس,BORS
1395-12-23,2017-03-13,280,بورس,BORS
1395-12-24,2017-03-14,282,بورس,BORS
1395-12-25,2017-03-15,277,بورس,BORS
1395-12-28,2017-03-18,289,بورس,BORS
1396-01-05,2017-03-25,292,بورس,BORS
1396-01-06,2017-03-26,284,بورس,BORS
1396-01-07,2017-03-27,287,بورس,BORS
1396-01-08,2017-03-28,286,بورس,BORS
1396-01-09,2017-03-29,286,بورس,BORS
1396-01-14,2017-04-03,284,بورس,BORS
1396-01-15,2017-04-04,286,بورس,BORS
1396-01-16,2017-04-05,276,بورس,BORS
1396-01-19,2017-04-08,285,بورس,BORS
1396-01-20,2017-04-09,277,بورس,BORS
1396-01-21,2017-04-10,280,بورس,BORS
1396-01-23,2017-04-12,286,بورس,BORS
1396-01-26,2017-04-15,283,بورس,BORS
1396-01-27,2017-04-16,280,بورس,BORS
1396-01-28,2017-04-17,278,بورس,BORS
