J-Date,Date,Adj Close,Ticker,Ticker(4)
1380-01-29,2001-04-18,84,لبوتان,BOTA
1380-02-02,2001-04-22,84,لبوتان,BOTA
1380-02-10,2001-04-30,79,لبوتان,BOTA
1380-02-11,2001-05-01,77,لبوتان,BOTA
1380-02-12,2001-05-02,77,لبوتان,BOTA
1380-02-16,2001-05-06,77,لبوتان,BOTA
1380-02-25,2001-05-15,76,لبوتان,BOTA
1380-03-05,2001-05-26,76,لبوتان,BOTA
1380-03-08,2001-05-29,77,لبوتان,BOTA
1380-03-12,2001-06-02,81,لبوتان,BOTA
1380-03-13,2001-06-03,85,لبوتان,BOTA
1380-03-16,2001-06-06,89,لبوتان,BOTA
1380-03-19,2001-06-09,89,لبوتان,BOTA
1380-03-23,2001-06-13,89,لبوتان,BOTA
1380-03-26,2001-06-16,89,لبوتان,BOTA
1380-03-29,2001-06-19,89,لبوتان,BOTA
1380-03-30,2001-06-20,89,لبوتان,BOTA
1380-04-02,2001-06-23,86,لبوتان,BOTA
1380-04-09,2001-06-30,86,لبوتان,BOTA
1380-04-11,2001-07-02,85,لبوتان,BOTA
1380-04-18,2001-07-09,84,لبوتان,BOTA
1380-05-14,2001-08-05,62,لبوتان,BOTA
1380-05-22,2001-08-13,62,لبوتان,BOTA
1380-05-23,2001-08-14,64,لبوتان,BOTA
1380-05-27,2001-08-18,64,لبوتان,BOTA
1380-05-28,2001-08-19,64,لبوتان,BOTA
1380-05-30,2001-08-21,64,لبوتان,BOTA
1380-06-03,2001-08-25,64,لبوتان,BOTA
1380-07-24,2001-10-16,61,لبوتان,BOTA
1380-08-01,2001-10-23,61,لبوتان,BOTA
1380-08-14,2001-11-05,60,لبوتان,BOTA
1380-08-19,2001-11-10,59,لبوتان,BOTA
1380-08-20,2001-11-11,59,لبوتان,BOTA
1380-08-21,2001-11-12,59,لبوتان,BOTA
1380-08-22,2001-11-13,59,لبوتان,BOTA
1380-08-23,2001-11-14,61,لبوتان,BOTA
1380-08-27,2001-11-18,61,لبوتان,BOTA
1380-08-29,2001-11-20,61,لبوتان,BOTA
1380-09-04,2001-11-25,62,لبوتان,BOTA
1380-09-05,2001-11-26,62,لبوتان,BOTA
1380-09-12,2001-12-03,63,لبوتان,BOTA
1380-09-14,2001-12-05,64,لبوتان,BOTA
1380-09-17,2001-12-08,64,لبوتان,BOTA
1380-09-24,2001-12-15,64,لبوتان,BOTA
1380-09-27,2001-12-18,64,لبوتان,BOTA
1380-10-01,2001-12-22,64,لبوتان,BOTA
1380-10-03,2001-12-24,64,لبوتان,BOTA
1380-10-05,2001-12-26,65,لبوتان,BOTA
1380-10-08,2001-12-29,65,لبوتان,BOTA
