J-Date,Date,Adj Close,Ticker,Ticker(4)
1395-11-17,2017-02-05,1083,برکت,BRKT
1395-11-18,2017-02-06,1133,برکت,BRKT
1395-11-19,2017-02-07,1105,برکت,BRKT
1395-11-20,2017-02-08,1072,برکت,BRKT
1395-11-23,2017-02-11,1048,برکت,BRKT
1395-11-24,2017-02-12,1047,برکت,BRKT
1395-11-25,2017-02-13,1076,برکت,BRKT
1395-11-26,2017-02-14,1071,برکت,BRKT
1395-11-27,2017-02-15,1057,برکت,BRKT
1395-11-30,2017-02-18,1034,برکت,BRKT
1395-12-01,2017-02-19,1028,برکت,BRKT
1395-12-02,2017-02-20,996,برکت,BRKT
1395-12-03,2017-02-21,971,برکت,BRKT
1395-12-04,2017-02-22,994,برکت,BRKT
1395-12-07,2017-02-25,971,برکت,BRKT
1395-12-08,2017-02-26,954,برکت,BRKT
1395-12-09,2017-02-27,921,برکت,BRKT
1395-12-10,2017-02-28,936,برکت,BRKT
1395-12-11,2017-03-01,925,برکت,BRKT
1395-12-14,2017-03-04,906,برکت,BRKT
1395-12-15,2017-03-05,913,برکت,BRKT
1395-12-16,2017-03-06,918,برکت,BRKT
1395-12-17,2017-03-07,928,برکت,BRKT
1395-12-18,2017-03-08,910,برکت,BRKT
1395-12-21,2017-03-11,911,برکت,BRKT
1395-12-22,2017-03-12,906,برکت,BRKT
1395-12-23,2017-03-13,909,برکت,BRKT
1395-12-24,2017-03-14,910,برکت,BRKT
1395-12-25,2017-03-15,927,برکت,BRKT
1395-12-28,2017-03-18,926,برکت,BRKT
1396-01-05,2017-03-25,928,برکت,BRKT
1396-01-06,2017-03-26,928,برکت,BRKT
1396-01-07,2017-03-27,923,برکت,BRKT
1396-01-08,2017-03-28,914,برکت,BRKT
1396-01-09,2017-03-29,912,برکت,BRKT
1396-01-14,2017-04-03,912,برکت,BRKT
1396-01-15,2017-04-04,903,برکت,BRKT
1396-01-16,2017-04-05,912,برکت,BRKT
1396-01-19,2017-04-08,912,برکت,BRKT
1396-01-20,2017-04-09,905,برکت,BRKT
1396-01-21,2017-04-10,936,برکت,BRKT
1396-01-23,2017-04-12,919,برکت,BRKT
1396-01-26,2017-04-15,909,برکت,BRKT
1396-01-27,2017-04-16,905,برکت,BRKT
1396-01-28,2017-04-17,903,برکت,BRKT
1396-01-29,2017-04-18,900,برکت,BRKT
1396-01-30,2017-04-19,906,برکت,BRKT
1396-02-02,2017-04-22,907,برکت,BRKT
1396-02-03,2017-04-23,900,برکت,BRKT
1396-02-04,2017-04-24,912,برکت,BRKT
1396-02-06,2017-04-26,913,برکت,BRKT
1396-02-09,2017-04-29,907,برکت,BRKT
1396-02-10,2017-04-30,900,برکت,BRKT
1396-02-11,2017-05-01,901,برکت,BRKT
1396-02-12,2017-05-02,899,برکت,BRKT
1396-02-13,2017-05-03,897,برکت,BRKT
1396-02-16,2017-05-06,889,برکت,BRKT
1396-02-17,2017-05-07,885,برکت,BRKT
1396-02-18,2017-05-08,882,برکت,BRKT
1396-02-19,2017-05-09,882,برکت,BRKT
1396-02-20,2017-05-10,893,برکت,BRKT
1396-02-23,2017-05-13,892,برکت,BRKT
