J-Date,Date,Adj Close,Ticker,Ticker(4)
1392-09-26,2013-12-17,502,وشهر,BSHP
1392-10-24,2014-01-14,700,وشهر,BSHP
1392-10-25,2014-01-15,699,وشهر,BSHP
1392-10-30,2014-01-20,700,وشهر,BSHP
1392-11-01,2014-01-21,700,وشهر,BSHP
1392-11-05,2014-01-25,799,وشهر,BSHP
1392-11-07,2014-01-27,700,وشهر,BSHP
1392-11-09,2014-01-29,702,وشهر,BSHP
1392-11-14,2014-02-03,702,وشهر,BSHP
1392-11-15,2014-02-04,766,وشهر,BSHP
1392-11-19,2014-02-08,716,وشهر,BSHP
1392-11-21,2014-02-10,766,وشهر,BSHP
1392-11-27,2014-02-16,799,وشهر,BSHP
1392-11-28,2014-02-17,799,وشهر,BSHP
1392-11-30,2014-02-19,766,وشهر,BSHP
1392-12-03,2014-02-22,766,وشهر,BSHP
1392-12-06,2014-02-25,799,وشهر,BSHP
1392-12-07,2014-02-26,799,وشهر,BSHP
1392-12-11,2014-03-02,799,وشهر,BSHP
1392-12-13,2014-03-04,766,وشهر,BSHP
1392-12-14,2014-03-05,799,وشهر,BSHP
1392-12-18,2014-03-09,799,وشهر,BSHP
1392-12-19,2014-03-10,832,وشهر,BSHP
1392-12-20,2014-03-11,799,وشهر,BSHP
1392-12-21,2014-03-12,799,وشهر,BSHP
1392-12-24,2014-03-15,799,وشهر,BSHP
1392-12-26,2014-03-17,799,وشهر,BSHP
1392-12-27,2014-03-18,799,وشهر,BSHP
1392-12-28,2014-03-19,799,وشهر,BSHP
1393-01-16,2014-04-05,799,وشهر,BSHP
1393-01-17,2014-04-06,799,وشهر,BSHP
1393-01-18,2014-04-07,799,وشهر,BSHP
1393-01-20,2014-04-09,799,وشهر,BSHP
1393-01-23,2014-04-12,799,وشهر,BSHP
1393-01-25,2014-04-14,799,وشهر,BSHP
1393-01-26,2014-04-15,799,وشهر,BSHP
1393-01-27,2014-04-16,799,وشهر,BSHP
1393-02-01,2014-04-21,799,وشهر,BSHP
1393-02-02,2014-04-22,799,وشهر,BSHP
1393-02-03,2014-04-23,799,وشهر,BSHP
1393-02-07,2014-04-27,716,وشهر,BSHP
1393-02-08,2014-04-28,716,وشهر,BSHP
1393-02-09,2014-04-29,798,وشهر,BSHP
1393-02-10,2014-04-30,716,وشهر,BSHP
1393-02-13,2014-05-03,666,وشهر,BSHP
1393-02-14,2014-05-04,666,وشهر,BSHP
1393-02-15,2014-05-05,632,وشهر,BSHP
1393-02-16,2014-05-06,582,وشهر,BSHP
1393-02-17,2014-05-07,716,وشهر,BSHP
1393-02-20,2014-05-10,596,وشهر,BSHP
1393-02-21,2014-05-11,616,وشهر,BSHP
1393-02-22,2014-05-12,616,وشهر,BSHP
1393-02-24,2014-05-14,616,وشهر,BSHP
1393-02-27,2014-05-17,659,وشهر,BSHP
1393-02-28,2014-05-18,599,وشهر,BSHP
1393-02-29,2014-05-19,612,وشهر,BSHP
1393-02-30,2014-05-20,573,وشهر,BSHP
1393-02-31,2014-05-21,599,وشهر,BSHP
1393-03-03,2014-05-24,566,وشهر,BSHP
1393-03-05,2014-05-26,599,وشهر,BSHP
1393-03-07,2014-05-28,599,وشهر,BSHP
1393-03-10,2014-05-31,566,وشهر,BSHP
1393-03-11,2014-06-01,566,وشهر,BSHP
1393-03-12,2014-06-02,566,وشهر,BSHP
1393-03-13,2014-06-03,566,وشهر,BSHP
1393-03-17,2014-06-07,566,وشهر,BSHP
1393-03-18,2014-06-08,566,وشهر,BSHP
1393-03-19,2014-06-09,550,وشهر,BSHP
1393-03-24,2014-06-14,556,وشهر,BSHP
1393-03-25,2014-06-15,551,وشهر,BSHP
1393-03-26,2014-06-16,551,وشهر,BSHP
1393-03-27,2014-06-17,566,وشهر,BSHP
1393-03-28,2014-06-18,549,وشهر,BSHP
1393-03-31,2014-06-21,561,وشهر,BSHP
1393-04-01,2014-06-22,549,وشهر,BSHP
1393-04-02,2014-06-23,566,وشهر,BSHP
1393-04-03,2014-06-24,549,وشهر,BSHP
1393-04-07,2014-06-28,546,وشهر,BSHP
1393-04-08,2014-06-29,542,وشهر,BSHP
1393-04-09,2014-06-30,542,وشهر,BSHP
1393-05-15,2014-08-06,696,وشهر,BSHP
1393-05-18,2014-08-09,690,وشهر,BSHP
1393-05-19,2014-08-10,691,وشهر,BSHP
1393-05-20,2014-08-11,691,وشهر,BSHP
1393-05-21,2014-08-12,645,وشهر,BSHP
1393-05-22,2014-08-13,687,وشهر,BSHP
1393-05-25,2014-08-16,686,وشهر,BSHP
1393-05-26,2014-08-17,691,وشهر,BSHP
1393-05-27,2014-08-18,693,وشهر,BSHP
1393-05-28,2014-08-19,694,وشهر,BSHP
1393-05-29,2014-08-20,778,وشهر,BSHP
1393-06-02,2014-08-24,737,وشهر,BSHP
1393-06-03,2014-08-25,700,وشهر,BSHP
1393-06-04,2014-08-26,717,وشهر,BSHP
1393-06-05,2014-08-27,737,وشهر,BSHP
1393-06-08,2014-08-30,718,وشهر,BSHP
1393-06-09,2014-08-31,691,وشهر,BSHP
1393-06-11,2014-09-02,691,وشهر,BSHP
1393-06-12,2014-09-03,714,وشهر,BSHP
1393-06-15,2014-09-06,737,وشهر,BSHP
1393-06-16,2014-09-07,714,وشهر,BSHP
1393-06-17,2014-09-08,682,وشهر,BSHP
1393-06-18,2014-09-09,691,وشهر,BSHP
1393-06-19,2014-09-10,682,وشهر,BSHP
1393-06-22,2014-09-13,654,وشهر,BSHP
1393-06-23,2014-09-14,653,وشهر,BSHP
1393-06-25,2014-09-16,658,وشهر,BSHP
1393-06-26,2014-09-17,645,وشهر,BSHP
1393-06-29,2014-09-20,645,وشهر,BSHP
1393-06-30,2014-09-21,557,وشهر,BSHP
1393-07-01,2014-09-23,622,وشهر,BSHP
1393-07-02,2014-09-24,600,وشهر,BSHP
1393-07-05,2014-09-27,599,وشهر,BSHP
1393-07-06,2014-09-28,626,وشهر,BSHP
1393-07-07,2014-09-29,598,وشهر,BSHP
1393-07-09,2014-10-01,576,وشهر,BSHP
1393-07-12,2014-10-04,599,وشهر,BSHP
1393-07-14,2014-10-06,599,وشهر,BSHP
1393-07-16,2014-10-08,562,وشهر,BSHP
1393-07-20,2014-10-12,598,وشهر,BSHP
1393-07-22,2014-10-14,566,وشهر,BSHP
1393-07-23,2014-10-15,563,وشهر,BSHP
1393-07-26,2014-10-18,563,وشهر,BSHP
1393-07-27,2014-10-19,564,وشهر,BSHP
1393-07-28,2014-10-20,576,وشهر,BSHP
1393-07-29,2014-10-21,576,وشهر,BSHP
1393-07-30,2014-10-22,581,وشهر,BSHP
1393-08-03,2014-10-25,585,وشهر,BSHP
1393-08-04,2014-10-26,585,وشهر,BSHP
1393-08-05,2014-10-27,585,وشهر,BSHP
1393-08-06,2014-10-28,585,وشهر,BSHP
1393-08-07,2014-10-29,585,وشهر,BSHP
1393-08-10,2014-11-01,576,وشهر,BSHP
1393-08-11,2014-11-02,621,وشهر,BSHP
1393-08-14,2014-11-05,630,وشهر,BSHP
1393-08-17,2014-11-08,608,وشهر,BSHP
1393-08-18,2014-11-09,622,وشهر,BSHP
1393-08-19,2014-11-10,668,وشهر,BSHP
1393-08-21,2014-11-12,640,وشهر,BSHP
1393-08-24,2014-11-15,645,وشهر,BSHP
1393-08-25,2014-11-16,645,وشهر,BSHP
1393-08-26,2014-11-17,658,وشهر,BSHP
1393-08-27,2014-11-18,645,وشهر,BSHP
1393-08-28,2014-11-19,635,وشهر,BSHP
1393-09-01,2014-11-22,645,وشهر,BSHP
1393-09-02,2014-11-23,677,وشهر,BSHP
1393-09-03,2014-11-24,806,وشهر,BSHP
1393-09-04,2014-11-25,840,وشهر,BSHP
1393-09-05,2014-11-26,806,وشهر,BSHP
1393-09-08,2014-11-29,797,وشهر,BSHP
1393-09-09,2014-11-30,801,وشهر,BSHP
1393-09-10,2014-12-01,737,وشهر,BSHP
1393-09-11,2014-12-02,702,وشهر,BSHP
1393-09-12,2014-12-03,737,وشهر,BSHP
