J-Date,Date,Adj Close,Ticker,Ticker(4)
1391-04-24,2012-07-14,102,بساما,BSMZ
1391-04-25,2012-07-15,102,بساما,BSMZ
1391-04-26,2012-07-16,102,بساما,BSMZ
1391-04-27,2012-07-17,105,بساما,BSMZ
1391-04-28,2012-07-18,106,بساما,BSMZ
1391-04-31,2012-07-21,104,بساما,BSMZ
1391-05-01,2012-07-22,105,بساما,BSMZ
1391-05-02,2012-07-23,103,بساما,BSMZ
1391-05-03,2012-07-24,102,بساما,BSMZ
1391-05-04,2012-07-25,103,بساما,BSMZ
1391-05-07,2012-07-28,102,بساما,BSMZ
1391-05-08,2012-07-29,102,بساما,BSMZ
1391-05-09,2012-07-30,103,بساما,BSMZ
1391-05-10,2012-07-31,102,بساما,BSMZ
1391-05-11,2012-08-01,102,بساما,BSMZ
1391-05-15,2012-08-05,100,بساما,BSMZ
1391-05-16,2012-08-06,97,بساما,BSMZ
1391-05-17,2012-08-07,99,بساما,BSMZ
1391-05-21,2012-08-11,94,بساما,BSMZ
1391-05-22,2012-08-12,94,بساما,BSMZ
1391-05-23,2012-08-13,89,بساما,BSMZ
1391-05-24,2012-08-14,94,بساما,BSMZ
1391-05-25,2012-08-15,94,بساما,BSMZ
1391-05-28,2012-08-18,96,بساما,BSMZ
1391-05-31,2012-08-21,94,بساما,BSMZ
1391-06-01,2012-08-22,97,بساما,BSMZ
1391-06-04,2012-08-25,96,بساما,BSMZ
1391-06-05,2012-08-26,94,بساما,BSMZ
1391-06-06,2012-08-27,94,بساما,BSMZ
1391-06-12,2012-09-02,98,بساما,BSMZ
1391-06-13,2012-09-03,98,بساما,BSMZ
1391-06-14,2012-09-04,97,بساما,BSMZ
1391-06-18,2012-09-08,94,بساما,BSMZ
1391-06-19,2012-09-09,94,بساما,BSMZ
1391-06-20,2012-09-10,94,بساما,BSMZ
1391-06-21,2012-09-11,94,بساما,BSMZ
1391-06-25,2012-09-15,94,بساما,BSMZ
1391-06-26,2012-09-16,94,بساما,BSMZ
1391-06-27,2012-09-17,94,بساما,BSMZ
1391-06-28,2012-09-18,94,بساما,BSMZ
1391-06-29,2012-09-19,94,بساما,BSMZ
1391-07-01,2012-09-22,94,بساما,BSMZ
1391-07-02,2012-09-23,94,بساما,BSMZ
1391-07-03,2012-09-24,94,بساما,BSMZ
1391-07-04,2012-09-25,94,بساما,BSMZ
1391-07-05,2012-09-26,95,بساما,BSMZ
1391-07-08,2012-09-29,98,بساما,BSMZ
1391-07-09,2012-09-30,94,بساما,BSMZ
1391-07-10,2012-10-01,94,بساما,BSMZ
1391-07-11,2012-10-02,94,بساما,BSMZ
1391-07-12,2012-10-03,94,بساما,BSMZ
1391-07-16,2012-10-07,94,بساما,BSMZ
1391-07-17,2012-10-08,99,بساما,BSMZ
1391-07-18,2012-10-09,97,بساما,BSMZ
1391-07-19,2012-10-10,94,بساما,BSMZ
1391-07-22,2012-10-13,94,بساما,BSMZ
1391-07-23,2012-10-14,94,بساما,BSMZ
1391-07-24,2012-10-15,94,بساما,BSMZ
1391-07-25,2012-10-16,94,بساما,BSMZ
1391-07-26,2012-10-17,94,بساما,BSMZ
1391-07-29,2012-10-20,94,بساما,BSMZ
1391-07-30,2012-10-21,94,بساما,BSMZ
1391-08-01,2012-10-22,94,بساما,BSMZ
1391-08-02,2012-10-23,94,بساما,BSMZ
1391-08-06,2012-10-27,94,بساما,BSMZ
1391-08-07,2012-10-28,94,بساما,BSMZ
1391-08-08,2012-10-29,94,بساما,BSMZ
1391-08-09,2012-10-30,95,بساما,BSMZ
1391-08-10,2012-10-31,94,بساما,BSMZ
1391-08-14,2012-11-04,94,بساما,BSMZ
1391-08-16,2012-11-06,94,بساما,BSMZ
1391-08-17,2012-11-07,94,بساما,BSMZ
1391-08-21,2012-11-11,94,بساما,BSMZ
1391-08-29,2012-11-19,94,بساما,BSMZ
1391-09-08,2012-11-28,97,بساما,BSMZ
1391-09-12,2012-12-02,97,بساما,BSMZ
1391-09-14,2012-12-04,94,بساما,BSMZ
1391-10-09,2012-12-29,95,بساما,BSMZ
1391-10-11,2012-12-31,95,بساما,BSMZ
1391-10-12,2013-01-01,90,بساما,BSMZ
1391-10-13,2013-01-02,95,بساما,BSMZ
1391-10-17,2013-01-06,97,بساما,BSMZ
1391-10-18,2013-01-07,97,بساما,BSMZ
1391-10-20,2013-01-09,97,بساما,BSMZ
1391-10-24,2013-01-13,97,بساما,BSMZ
1391-10-25,2013-01-14,99,بساما,BSMZ
1391-10-26,2013-01-15,101,بساما,BSMZ
1391-10-27,2013-01-16,94,بساما,BSMZ
1391-10-30,2013-01-19,95,بساما,BSMZ
1391-11-01,2013-01-20,92,بساما,BSMZ
1391-11-02,2013-01-21,92,بساما,BSMZ
1391-11-03,2013-01-22,88,بساما,BSMZ
1391-11-04,2013-01-23,88,بساما,BSMZ
1391-11-08,2013-01-27,88,بساما,BSMZ
1391-11-09,2013-01-28,86,بساما,BSMZ
1391-11-11,2013-01-30,89,بساما,BSMZ
1391-11-14,2013-02-02,86,بساما,BSMZ
1391-11-15,2013-02-03,84,بساما,BSMZ
1391-11-17,2013-02-05,88,بساما,BSMZ
1391-11-21,2013-02-09,83,بساما,BSMZ
1391-11-24,2013-02-12,83,بساما,BSMZ
1391-11-25,2013-02-13,85,بساما,BSMZ
1391-11-28,2013-02-16,84,بساما,BSMZ
1391-11-29,2013-02-17,83,بساما,BSMZ
1391-12-01,2013-02-19,84,بساما,BSMZ
1391-12-02,2013-02-20,84,بساما,BSMZ
1391-12-05,2013-02-23,83,بساما,BSMZ
1391-12-06,2013-02-24,80,بساما,BSMZ
1391-12-07,2013-02-25,84,بساما,BSMZ
1391-12-08,2013-02-26,80,بساما,BSMZ
1391-12-09,2013-02-27,84,بساما,BSMZ
1391-12-12,2013-03-02,79,بساما,BSMZ
1391-12-14,2013-03-04,83,بساما,BSMZ
1391-12-16,2013-03-06,80,بساما,BSMZ
1391-12-19,2013-03-09,84,بساما,BSMZ
1391-12-20,2013-03-10,85,بساما,BSMZ
1391-12-21,2013-03-11,87,بساما,BSMZ
1391-12-22,2013-03-12,88,بساما,BSMZ
1391-12-23,2013-03-13,84,بساما,BSMZ
1391-12-26,2013-03-16,84,بساما,BSMZ
1391-12-27,2013-03-17,88,بساما,BSMZ
1392-01-06,2013-03-26,85,بساما,BSMZ
1392-01-07,2013-03-27,89,بساما,BSMZ
1392-01-10,2013-03-30,85,بساما,BSMZ
1392-01-11,2013-03-31,85,بساما,BSMZ
1392-01-14,2013-04-03,85,بساما,BSMZ
1392-01-17,2013-04-06,90,بساما,BSMZ
1392-01-18,2013-04-07,92,بساما,BSMZ
1392-01-20,2013-04-09,88,بساما,BSMZ
1392-01-24,2013-04-13,92,بساما,BSMZ
1392-01-28,2013-04-17,92,بساما,BSMZ
1392-01-31,2013-04-20,92,بساما,BSMZ
1392-02-02,2013-04-22,92,بساما,BSMZ
1392-02-04,2013-04-24,92,بساما,BSMZ
1392-02-07,2013-04-27,89,بساما,BSMZ
1392-02-08,2013-04-28,89,بساما,BSMZ
1392-02-11,2013-05-01,89,بساما,BSMZ
1392-02-14,2013-05-04,89,بساما,BSMZ
1392-02-17,2013-05-07,89,بساما,BSMZ
1392-02-18,2013-05-08,90,بساما,BSMZ
1392-02-21,2013-05-11,89,بساما,BSMZ
1392-02-22,2013-05-12,89,بساما,BSMZ
1392-02-23,2013-05-13,89,بساما,BSMZ
1392-02-28,2013-05-18,89,بساما,BSMZ
1392-02-29,2013-05-19,89,بساما,BSMZ
1392-03-12,2013-06-02,89,بساما,BSMZ
1392-03-13,2013-06-03,89,بساما,BSMZ
1392-03-21,2013-06-11,94,بساما,BSMZ
1392-03-22,2013-06-12,89,بساما,BSMZ
1392-03-25,2013-06-15,95,بساما,BSMZ
1392-03-26,2013-06-16,108,بساما,BSMZ
1392-03-27,2013-06-17,107,بساما,BSMZ
1392-03-28,2013-06-18,112,بساما,BSMZ
1392-03-29,2013-06-19,118,بساما,BSMZ
1392-04-01,2013-06-22,124,بساما,BSMZ
1392-04-02,2013-06-23,130,بساما,BSMZ
1392-04-04,2013-06-25,133,بساما,BSMZ
1392-04-05,2013-06-26,140,بساما,BSMZ
1392-04-08,2013-06-29,147,بساما,BSMZ
1392-04-09,2013-06-30,154,بساما,BSMZ
1392-04-10,2013-07-01,162,بساما,BSMZ
1392-04-11,2013-07-02,170,بساما,BSMZ
1392-04-12,2013-07-03,178,بساما,BSMZ
1392-04-15,2013-07-06,187,بساما,BSMZ
1392-04-16,2013-07-07,196,بساما,BSMZ
1392-04-17,2013-07-08,206,بساما,BSMZ
1392-04-18,2013-07-09,200,بساما,BSMZ
1392-04-19,2013-07-10,201,بساما,BSMZ
1392-04-22,2013-07-13,193,بساما,BSMZ
1392-04-23,2013-07-14,184,بساما,BSMZ
1392-04-24,2013-07-15,174,بساما,BSMZ
1392-04-25,2013-07-16,166,بساما,BSMZ
1392-05-13,2013-08-04,170,بساما,BSMZ
1392-05-15,2013-08-06,147,بساما,BSMZ
1392-05-16,2013-08-07,148,بساما,BSMZ
1392-05-20,2013-08-11,154,بساما,BSMZ
1392-05-21,2013-08-12,159,بساما,BSMZ
1392-05-22,2013-08-13,164,بساما,BSMZ
1392-05-23,2013-08-14,172,بساما,BSMZ
1392-05-26,2013-08-17,163,بساما,BSMZ
1392-05-27,2013-08-18,156,بساما,BSMZ
1392-05-28,2013-08-19,161,بساما,BSMZ
1392-05-29,2013-08-20,166,بساما,BSMZ
1392-05-30,2013-08-21,172,بساما,BSMZ
1392-06-02,2013-08-24,181,بساما,BSMZ
1392-06-03,2013-08-25,189,بساما,BSMZ
1392-06-04,2013-08-26,199,بساما,BSMZ
1392-06-05,2013-08-27,187,بساما,BSMZ
1392-06-06,2013-08-28,184,بساما,BSMZ
1392-06-09,2013-08-31,175,بساما,BSMZ
1392-06-10,2013-09-01,166,بساما,BSMZ
1392-06-12,2013-09-03,158,بساما,BSMZ
1392-06-13,2013-09-04,151,بساما,BSMZ
1392-06-16,2013-09-07,148,بساما,BSMZ
1392-06-17,2013-09-08,153,بساما,BSMZ
1392-06-18,2013-09-09,156,بساما,BSMZ
1392-06-19,2013-09-10,164,بساما,BSMZ
1392-06-20,2013-09-11,164,بساما,BSMZ
1392-06-23,2013-09-14,162,بساما,BSMZ
1392-06-24,2013-09-15,154,بساما,BSMZ
1392-06-25,2013-09-16,158,بساما,BSMZ
1392-06-26,2013-09-17,158,بساما,BSMZ
1392-06-27,2013-09-18,158,بساما,BSMZ
1392-06-30,2013-09-21,155,بساما,BSMZ
1392-06-31,2013-09-22,165,بساما,BSMZ
1392-07-01,2013-09-23,172,بساما,BSMZ
1392-07-02,2013-09-24,180,بساما,BSMZ
1392-07-03,2013-09-25,189,بساما,BSMZ
1392-07-06,2013-09-28,198,بساما,BSMZ
1392-07-07,2013-09-29,189,بساما,BSMZ
1392-07-08,2013-09-30,184,بساما,BSMZ
1392-07-09,2013-10-01,188,بساما,BSMZ
1392-07-10,2013-10-02,200,بساما,BSMZ
1392-07-13,2013-10-05,187,بساما,BSMZ
1392-07-14,2013-10-06,188,بساما,BSMZ
1392-07-15,2013-10-07,199,بساما,BSMZ
1392-07-16,2013-10-08,205,بساما,BSMZ
1392-07-17,2013-10-09,205,بساما,BSMZ
1392-07-20,2013-10-12,195,بساما,BSMZ
1392-07-21,2013-10-13,186,بساما,BSMZ
1392-07-22,2013-10-14,178,بساما,BSMZ
1392-07-23,2013-10-15,182,بساما,BSMZ
1392-07-27,2013-10-19,178,بساما,BSMZ
1392-07-28,2013-10-20,174,بساما,BSMZ
1392-07-29,2013-10-21,172,بساما,BSMZ
1392-07-30,2013-10-22,174,بساما,BSMZ
1392-08-01,2013-10-23,181,بساما,BSMZ
1392-08-04,2013-10-26,181,بساما,BSMZ
1392-08-05,2013-10-27,174,بساما,BSMZ
1392-08-06,2013-10-28,171,بساما,BSMZ
1392-08-07,2013-10-29,171,بساما,BSMZ
1392-08-08,2013-10-30,168,بساما,BSMZ
1392-08-11,2013-11-02,166,بساما,BSMZ
1392-08-12,2013-11-03,162,بساما,BSMZ
