J-Date,Date,Adj Close,Ticker,Ticker(4)
1383-10-29,2005-01-18,1025,ثاخت,BSTE
1383-10-30,2005-01-19,1076,ثاخت,BSTE
1383-11-03,2005-01-22,1130,ثاخت,BSTE
1383-11-04,2005-01-23,1187,ثاخت,BSTE
1383-11-05,2005-01-24,1245,ثاخت,BSTE
1383-11-06,2005-01-25,1210,ثاخت,BSTE
1383-11-07,2005-01-26,1212,ثاخت,BSTE
1383-11-11,2005-01-30,1215,ثاخت,BSTE
1383-11-12,2005-01-31,1216,ثاخت,BSTE
1383-11-13,2005-02-01,1218,ثاخت,BSTE
1383-11-14,2005-02-02,1220,ثاخت,BSTE
1383-11-17,2005-02-05,1220,ثاخت,BSTE
1383-11-18,2005-02-06,1220,ثاخت,BSTE
1383-11-19,2005-02-07,1220,ثاخت,BSTE
1383-11-20,2005-02-08,1221,ثاخت,BSTE
1383-11-21,2005-02-09,1221,ثاخت,BSTE
1383-11-24,2005-02-12,1223,ثاخت,BSTE
1383-11-25,2005-02-13,1253,ثاخت,BSTE
1383-11-26,2005-02-14,1255,ثاخت,BSTE
1383-11-27,2005-02-15,1255,ثاخت,BSTE
1383-11-28,2005-02-16,1256,ثاخت,BSTE
1383-12-03,2005-02-21,1255,ثاخت,BSTE
1383-12-04,2005-02-22,1254,ثاخت,BSTE
1383-12-05,2005-02-23,1243,ثاخت,BSTE
1383-12-08,2005-02-26,1241,ثاخت,BSTE
1383-12-09,2005-02-27,1240,ثاخت,BSTE
1383-12-10,2005-02-28,1239,ثاخت,BSTE
1383-12-11,2005-03-01,1236,ثاخت,BSTE
1383-12-12,2005-03-02,1234,ثاخت,BSTE
1383-12-15,2005-03-05,1234,ثاخت,BSTE
1383-12-16,2005-03-06,1230,ثاخت,BSTE
1383-12-17,2005-03-07,1229,ثاخت,BSTE
1383-12-19,2005-03-09,1229,ثاخت,BSTE
1383-12-22,2005-03-12,1229,ثاخت,BSTE
1383-12-23,2005-03-13,1229,ثاخت,BSTE
1383-12-24,2005-03-14,1229,ثاخت,BSTE
1383-12-25,2005-03-15,1227,ثاخت,BSTE
1383-12-26,2005-03-16,1221,ثاخت,BSTE
1384-01-06,2005-03-26,1221,ثاخت,BSTE
1384-01-07,2005-03-27,1221,ثاخت,BSTE
1384-01-08,2005-03-28,1220,ثاخت,BSTE
1384-01-09,2005-03-29,1219,ثاخت,BSTE
1384-01-10,2005-03-30,1219,ثاخت,BSTE
1384-01-14,2005-04-03,1217,ثاخت,BSTE
1384-01-15,2005-04-04,1216,ثاخت,BSTE
1384-01-16,2005-04-05,1214,ثاخت,BSTE
1384-01-17,2005-04-06,1212,ثاخت,BSTE
1384-01-21,2005-04-10,1210,ثاخت,BSTE
1384-01-22,2005-04-11,1209,ثاخت,BSTE
1384-01-23,2005-04-12,1219,ثاخت,BSTE
1384-01-24,2005-04-13,1223,ثاخت,BSTE
1384-01-27,2005-04-16,1222,ثاخت,BSTE
1384-01-28,2005-04-17,1221,ثاخت,BSTE
1384-01-29,2005-04-18,1220,ثاخت,BSTE
1384-01-30,2005-04-19,1219,ثاخت,BSTE
1384-01-31,2005-04-20,1215,ثاخت,BSTE
1384-02-03,2005-04-23,1214,ثاخت,BSTE
1384-02-04,2005-04-24,1210,ثاخت,BSTE
1384-02-05,2005-04-25,1207,ثاخت,BSTE
1384-02-07,2005-04-27,1205,ثاخت,BSTE
1384-02-10,2005-04-30,1203,ثاخت,BSTE
1384-02-11,2005-05-01,1198,ثاخت,BSTE
1384-02-12,2005-05-02,1197,ثاخت,BSTE
1384-02-13,2005-05-03,1194,ثاخت,BSTE
1384-02-14,2005-05-04,1193,ثاخت,BSTE
1384-02-17,2005-05-07,1193,ثاخت,BSTE
1384-02-18,2005-05-08,1191,ثاخت,BSTE
1384-02-19,2005-05-09,1188,ثاخت,BSTE
1384-02-20,2005-05-10,1188,ثاخت,BSTE
1384-02-21,2005-05-11,1187,ثاخت,BSTE
1384-02-24,2005-05-14,1186,ثاخت,BSTE
1384-02-25,2005-05-15,1186,ثاخت,BSTE
1384-02-26,2005-05-16,1181,ثاخت,BSTE
1384-02-27,2005-05-17,1177,ثاخت,BSTE
1384-02-28,2005-05-18,1174,ثاخت,BSTE
1384-02-31,2005-05-21,1172,ثاخت,BSTE
1384-03-01,2005-05-22,1172,ثاخت,BSTE
1384-03-02,2005-05-23,1170,ثاخت,BSTE
1384-03-03,2005-05-24,1167,ثاخت,BSTE
1384-03-04,2005-05-25,1167,ثاخت,BSTE
1384-03-07,2005-05-28,1165,ثاخت,BSTE
1384-03-08,2005-05-29,1159,ثاخت,BSTE
1384-03-09,2005-05-30,1155,ثاخت,BSTE
1384-03-10,2005-05-31,1151,ثاخت,BSTE
1384-03-11,2005-06-01,1140,ثاخت,BSTE
1384-03-16,2005-06-06,1134,ثاخت,BSTE
1384-03-17,2005-06-07,1133,ثاخت,BSTE
1384-03-18,2005-06-08,1127,ثاخت,BSTE
1384-03-22,2005-06-12,1124,ثاخت,BSTE
1384-03-23,2005-06-13,1121,ثاخت,BSTE
1384-03-24,2005-06-14,1120,ثاخت,BSTE
1384-03-25,2005-06-15,1113,ثاخت,BSTE
1384-03-28,2005-06-18,1112,ثاخت,BSTE
1384-03-29,2005-06-19,1107,ثاخت,BSTE
1384-03-30,2005-06-20,1103,ثاخت,BSTE
1384-03-31,2005-06-21,1101,ثاخت,BSTE
1384-04-01,2005-06-22,1096,ثاخت,BSTE
1384-04-04,2005-06-25,1095,ثاخت,BSTE
1384-04-05,2005-06-26,1093,ثاخت,BSTE
1384-04-06,2005-06-27,1091,ثاخت,BSTE
1384-04-07,2005-06-28,1086,ثاخت,BSTE
1384-04-08,2005-06-29,1083,ثاخت,BSTE
1384-04-11,2005-07-02,1080,ثاخت,BSTE
1384-04-12,2005-07-03,1077,ثاخت,BSTE
1384-04-13,2005-07-04,1075,ثاخت,BSTE
1384-04-14,2005-07-05,1074,ثاخت,BSTE
1384-04-15,2005-07-06,1072,ثاخت,BSTE
1384-04-20,2005-07-11,1072,ثاخت,BSTE
1384-04-21,2005-07-12,1071,ثاخت,BSTE
1384-04-25,2005-07-16,1070,ثاخت,BSTE
1384-04-26,2005-07-17,1066,ثاخت,BSTE
1384-04-27,2005-07-18,1064,ثاخت,BSTE
1384-04-28,2005-07-19,1063,ثاخت,BSTE
1384-04-29,2005-07-20,1062,ثاخت,BSTE
1384-05-01,2005-07-23,1061,ثاخت,BSTE
1384-05-02,2005-07-24,1061,ثاخت,BSTE
1384-05-05,2005-07-27,1060,ثاخت,BSTE
1384-05-08,2005-07-30,1059,ثاخت,BSTE
1384-05-10,2005-08-01,1059,ثاخت,BSTE
1384-05-18,2005-08-09,1059,ثاخت,BSTE
1384-05-19,2005-08-10,1059,ثاخت,BSTE
1384-05-22,2005-08-13,1059,ثاخت,BSTE
1384-05-23,2005-08-14,1057,ثاخت,BSTE
1384-05-29,2005-08-20,1057,ثاخت,BSTE
1384-06-14,2005-09-05,991,ثاخت,BSTE
1384-06-16,2005-09-07,990,ثاخت,BSTE
1384-06-19,2005-09-10,990,ثاخت,BSTE
1384-06-20,2005-09-11,990,ثاخت,BSTE
1384-06-21,2005-09-12,990,ثاخت,BSTE
1384-06-22,2005-09-13,987,ثاخت,BSTE
1384-06-23,2005-09-14,984,ثاخت,BSTE
1384-06-28,2005-09-19,982,ثاخت,BSTE
1384-07-17,2005-10-09,982,ثاخت,BSTE
1384-07-20,2005-10-12,982,ثاخت,BSTE
1384-08-07,2005-10-29,1015,ثاخت,BSTE
1384-08-08,2005-10-30,1015,ثاخت,BSTE
1384-08-11,2005-11-02,1015,ثاخت,BSTE
1384-08-21,2005-11-12,1015,ثاخت,BSTE
1384-08-24,2005-11-15,1015,ثاخت,BSTE
1384-09-13,2005-12-04,965,ثاخت,BSTE
1384-09-14,2005-12-05,916,ثاخت,BSTE
1384-09-27,2005-12-18,913,ثاخت,BSTE
1384-10-11,2006-01-01,913,ثاخت,BSTE
1384-10-12,2006-01-02,908,ثاخت,BSTE
1384-10-13,2006-01-03,908,ثاخت,BSTE
1385-09-21,2006-12-12,707,ثاخت,BSTE
1385-09-22,2006-12-13,707,ثاخت,BSTE
1385-09-25,2006-12-16,706,ثاخت,BSTE
1385-09-26,2006-12-17,706,ثاخت,BSTE
1385-09-27,2006-12-18,705,ثاخت,BSTE
1385-10-06,2006-12-27,705,ثاخت,BSTE
1385-10-09,2006-12-30,705,ثاخت,BSTE
1385-10-11,2007-01-01,705,ثاخت,BSTE
1385-10-13,2007-01-03,705,ثاخت,BSTE
1385-10-17,2007-01-07,698,ثاخت,BSTE
1385-11-24,2007-02-13,750,ثاخت,BSTE
1385-11-25,2007-02-14,750,ثاخت,BSTE
1385-11-29,2007-02-18,745,ثاخت,BSTE
1385-11-30,2007-02-19,741,ثاخت,BSTE
1385-12-01,2007-02-20,752,ثاخت,BSTE
1385-12-02,2007-02-21,760,ثاخت,BSTE
1385-12-06,2007-02-25,770,ثاخت,BSTE
1385-12-07,2007-02-26,770,ثاخت,BSTE
1385-12-08,2007-02-27,768,ثاخت,BSTE
1385-12-09,2007-02-28,767,ثاخت,BSTE
1385-12-12,2007-03-03,767,ثاخت,BSTE
1385-12-13,2007-03-04,767,ثاخت,BSTE
1385-12-14,2007-03-05,767,ثاخت,BSTE
1385-12-16,2007-03-07,767,ثاخت,BSTE
1385-12-20,2007-03-11,767,ثاخت,BSTE
1385-12-23,2007-03-14,767,ثاخت,BSTE
1385-12-28,2007-03-19,767,ثاخت,BSTE
1386-01-05,2007-03-25,766,ثاخت,BSTE
1386-01-08,2007-03-28,766,ثاخت,BSTE
1386-01-11,2007-03-31,766,ثاخت,BSTE
1386-01-14,2007-04-03,766,ثاخت,BSTE
1386-01-19,2007-04-08,762,ثاخت,BSTE
1386-01-20,2007-04-09,762,ثاخت,BSTE
1386-01-21,2007-04-10,762,ثاخت,BSTE
1386-01-25,2007-04-14,762,ثاخت,BSTE
1386-01-26,2007-04-15,761,ثاخت,BSTE
1386-01-28,2007-04-17,761,ثاخت,BSTE
1386-02-01,2007-04-21,762,ثاخت,BSTE
1386-02-02,2007-04-22,763,ثاخت,BSTE
1386-02-03,2007-04-23,764,ثاخت,BSTE
1386-02-04,2007-04-24,764,ثاخت,BSTE
1386-02-05,2007-04-25,766,ثاخت,BSTE
1386-02-08,2007-04-28,766,ثاخت,BSTE
1386-02-09,2007-04-29,766,ثاخت,BSTE
1386-02-10,2007-04-30,766,ثاخت,BSTE
1386-02-11,2007-05-01,765,ثاخت,BSTE
1386-02-12,2007-05-02,765,ثاخت,BSTE
1386-02-15,2007-05-05,766,ثاخت,BSTE
1386-02-16,2007-05-06,766,ثاخت,BSTE
1386-02-18,2007-05-08,765,ثاخت,BSTE
1386-02-19,2007-05-09,765,ثاخت,BSTE
1386-02-23,2007-05-13,765,ثاخت,BSTE
1386-02-24,2007-05-14,765,ثاخت,BSTE
1386-02-25,2007-05-15,765,ثاخت,BSTE
1386-02-26,2007-05-16,765,ثاخت,BSTE
1386-02-29,2007-05-19,765,ثاخت,BSTE
1386-02-30,2007-05-20,765,ثاخت,BSTE
1386-02-31,2007-05-21,765,ثاخت,BSTE
1386-03-01,2007-05-22,765,ثاخت,BSTE
1386-03-02,2007-05-23,765,ثاخت,BSTE
1386-03-05,2007-05-26,764,ثاخت,BSTE
1386-03-06,2007-05-27,764,ثاخت,BSTE
1386-03-07,2007-05-28,764,ثاخت,BSTE
1386-03-08,2007-05-29,764,ثاخت,BSTE
1386-03-09,2007-05-30,764,ثاخت,BSTE
1386-03-12,2007-06-02,764,ثاخت,BSTE
1386-03-13,2007-06-03,764,ثاخت,BSTE
1386-03-19,2007-06-09,763,ثاخت,BSTE
1386-03-20,2007-06-10,763,ثاخت,BSTE
1386-03-21,2007-06-11,763,ثاخت,BSTE
1386-03-22,2007-06-12,763,ثاخت,BSTE
1386-03-30,2007-06-20,763,ثاخت,BSTE
1386-04-25,2007-07-16,807,ثاخت,BSTE
1386-04-26,2007-07-17,807,ثاخت,BSTE
1386-04-27,2007-07-18,807,ثاخت,BSTE
1386-04-30,2007-07-21,807,ثاخت,BSTE
1386-05-02,2007-07-24,806,ثاخت,BSTE
1386-05-03,2007-07-25,806,ثاخت,BSTE
1386-05-08,2007-07-30,806,ثاخت,BSTE
1386-05-09,2007-07-31,806,ثاخت,BSTE
1386-05-13,2007-08-04,806,ثاخت,BSTE
1386-05-14,2007-08-05,806,ثاخت,BSTE
1386-05-15,2007-08-06,806,ثاخت,BSTE
1386-05-22,2007-08-13,790,ثاخت,BSTE
1386-05-23,2007-08-14,790,ثاخت,BSTE
1386-05-24,2007-08-15,789,ثاخت,BSTE
1386-05-27,2007-08-18,789,ثاخت,BSTE
1386-05-28,2007-08-19,789,ثاخت,BSTE
1386-06-11,2007-09-02,782,ثاخت,BSTE
1386-06-14,2007-09-05,782,ثاخت,BSTE
1386-06-17,2007-09-08,782,ثاخت,BSTE
1386-06-18,2007-09-09,781,ثاخت,BSTE
1386-06-19,2007-09-10,781,ثاخت,BSTE
1386-06-21,2007-09-12,780,ثاخت,BSTE
1386-06-25,2007-09-16,780,ثاخت,BSTE
1386-06-28,2007-09-19,779,ثاخت,BSTE
1386-07-07,2007-09-29,769,ثاخت,BSTE
1386-07-09,2007-10-01,768,ثاخت,BSTE
1386-07-10,2007-10-02,767,ثاخت,BSTE
1386-07-14,2007-10-06,767,ثاخت,BSTE
1386-07-18,2007-10-10,767,ثاخت,BSTE
1386-07-25,2007-10-17,766,ثاخت,BSTE
1386-07-28,2007-10-20,765,ثاخت,BSTE
1386-08-26,2007-11-17,765,ثاخت,BSTE
1386-09-20,2007-12-11,765,ثاخت,BSTE
1386-09-21,2007-12-12,765,ثاخت,BSTE
1386-09-26,2007-12-17,765,ثاخت,BSTE
1386-10-04,2007-12-25,765,ثاخت,BSTE
1386-10-05,2007-12-26,762,ثاخت,BSTE
1386-10-10,2007-12-31,762,ثاخت,BSTE
1386-10-11,2008-01-01,762,ثاخت,BSTE
1386-10-12,2008-01-02,762,ثاخت,BSTE
1386-10-15,2008-01-05,762,ثاخت,BSTE
1386-10-24,2008-01-14,706,ثاخت,BSTE
1386-11-06,2008-01-26,705,ثاخت,BSTE
1386-11-10,2008-01-30,705,ثاخت,BSTE
1386-11-14,2008-02-03,705,ثاخت,BSTE
1386-11-15,2008-02-04,705,ثاخت,BSTE
1386-11-17,2008-02-06,705,ثاخت,BSTE
1386-11-20,2008-02-09,705,ثاخت,BSTE
1386-11-23,2008-02-12,705,ثاخت,BSTE
1386-11-24,2008-02-13,705,ثاخت,BSTE
1386-11-27,2008-02-16,705,ثاخت,BSTE
1386-11-28,2008-02-17,704,ثاخت,BSTE
1386-12-04,2008-02-23,704,ثاخت,BSTE
1386-12-05,2008-02-24,704,ثاخت,BSTE
1386-12-20,2008-03-10,704,ثاخت,BSTE
1386-12-21,2008-03-11,704,ثاخت,BSTE
1386-12-22,2008-03-12,703,ثاخت,BSTE
1387-01-10,2008-03-29,703,ثاخت,BSTE
1387-01-20,2008-04-08,703,ثاخت,BSTE
1387-01-21,2008-04-09,703,ثاخت,BSTE
1387-01-25,2008-04-13,703,ثاخت,BSTE
1387-01-28,2008-04-16,703,ثاخت,BSTE
1387-02-03,2008-04-22,709,ثاخت,BSTE
1387-02-04,2008-04-23,709,ثاخت,BSTE
1387-02-08,2008-04-27,709,ثاخت,BSTE
1387-02-09,2008-04-28,709,ثاخت,BSTE
1387-02-10,2008-04-29,709,ثاخت,BSTE
1387-02-14,2008-05-03,723,ثاخت,BSTE
1387-02-25,2008-05-14,722,ثاخت,BSTE
1387-02-31,2008-05-20,721,ثاخت,BSTE
1387-03-04,2008-05-24,721,ثاخت,BSTE
1387-03-06,2008-05-26,721,ثاخت,BSTE
1387-03-07,2008-05-27,721,ثاخت,BSTE
1387-03-08,2008-05-28,721,ثاخت,BSTE
1387-03-11,2008-05-31,721,ثاخت,BSTE
1387-03-12,2008-06-01,721,ثاخت,BSTE
1387-03-19,2008-06-08,721,ثاخت,BSTE
1387-03-20,2008-06-09,722,ثاخت,BSTE
1387-03-21,2008-06-10,722,ثاخت,BSTE
1387-03-22,2008-06-11,722,ثاخت,BSTE
1387-03-25,2008-06-14,722,ثاخت,BSTE
1387-03-27,2008-06-16,722,ثاخت,BSTE
1387-03-29,2008-06-18,722,ثاخت,BSTE
1387-04-02,2008-06-22,722,ثاخت,BSTE
1387-04-03,2008-06-23,722,ثاخت,BSTE
1387-04-05,2008-06-25,722,ثاخت,BSTE
1387-04-08,2008-06-28,722,ثاخت,BSTE
