J-Date,Date,Adj Close,Ticker,Ticker(4)
1380-02-18,2001-05-08,309,خچرخش,CHAR
1380-02-19,2001-05-09,309,خچرخش,CHAR
1380-02-22,2001-05-12,324,خچرخش,CHAR
1380-02-23,2001-05-13,332,خچرخش,CHAR
1380-08-28,2001-11-19,320,خچرخش,CHAR
1380-08-29,2001-11-20,336,خچرخش,CHAR
1380-08-30,2001-11-21,353,خچرخش,CHAR
1380-09-03,2001-11-24,370,خچرخش,CHAR
1380-09-04,2001-11-25,389,خچرخش,CHAR
1380-09-06,2001-11-27,408,خچرخش,CHAR
1380-09-07,2001-11-28,429,خچرخش,CHAR
1380-09-14,2001-12-05,450,خچرخش,CHAR
1380-09-17,2001-12-08,473,خچرخش,CHAR
1380-09-18,2001-12-09,496,خچرخش,CHAR
1380-09-20,2001-12-11,521,خچرخش,CHAR
1380-10-16,2002-01-06,534,خچرخش,CHAR
1380-11-01,2002-01-21,547,خچرخش,CHAR
1380-11-14,2002-02-03,561,خچرخش,CHAR
1380-11-15,2002-02-04,575,خچرخش,CHAR
1380-11-16,2002-02-05,589,خچرخش,CHAR
1380-11-17,2002-02-06,604,خچرخش,CHAR
1380-11-21,2002-02-10,610,خچرخش,CHAR
1380-11-23,2002-02-12,616,خچرخش,CHAR
1380-11-24,2002-02-13,622,خچرخش,CHAR
1380-11-27,2002-02-16,628,خچرخش,CHAR
1380-12-06,2002-02-25,635,خچرخش,CHAR
1380-12-11,2002-03-02,641,خچرخش,CHAR
1380-12-14,2002-03-05,647,خچرخش,CHAR
1380-12-15,2002-03-06,654,خچرخش,CHAR
1380-12-18,2002-03-09,660,خچرخش,CHAR
1380-12-19,2002-03-10,667,خچرخش,CHAR
1380-12-21,2002-03-12,674,خچرخش,CHAR
1380-12-25,2002-03-16,680,خچرخش,CHAR
1380-12-26,2002-03-17,687,خچرخش,CHAR
1380-12-27,2002-03-18,694,خچرخش,CHAR
1381-01-06,2002-03-26,701,خچرخش,CHAR
1381-01-11,2002-03-31,708,خچرخش,CHAR
1381-01-21,2002-04-10,715,خچرخش,CHAR
1381-05-16,2002-08-07,1395,خچرخش,CHAR
1381-05-19,2002-08-10,1430,خچرخش,CHAR
1381-05-20,2002-08-11,1465,خچرخش,CHAR
1381-05-23,2002-08-14,1502,خچرخش,CHAR
1381-05-26,2002-08-17,1502,خچرخش,CHAR
1381-05-28,2002-08-19,1500,خچرخش,CHAR
1381-05-29,2002-08-20,1500,خچرخش,CHAR
1381-06-04,2002-08-26,1500,خچرخش,CHAR
1381-06-23,2002-09-14,1425,خچرخش,CHAR
1381-07-20,2002-10-12,1354,خچرخش,CHAR
1381-07-21,2002-10-13,1286,خچرخش,CHAR
1381-07-28,2002-10-20,1350,خچرخش,CHAR
1381-07-29,2002-10-21,1354,خچرخش,CHAR
1381-08-05,2002-10-27,1422,خچرخش,CHAR
1381-08-06,2002-10-28,1422,خچرخش,CHAR
1381-08-07,2002-10-29,1422,خچرخش,CHAR
1381-08-08,2002-10-30,1422,خچرخش,CHAR
1381-08-19,2002-11-10,1422,خچرخش,CHAR
1381-08-22,2002-11-13,1361,خچرخش,CHAR
