J-Date,Date,Adj Close,Ticker,Ticker(4)
1380-03-09,2001-05-30,17,غچین,CHCH
1380-03-12,2001-06-02,17,غچین,CHCH
1380-03-13,2001-06-03,17,غچین,CHCH
1380-03-22,2001-06-12,17,غچین,CHCH
1380-03-23,2001-06-13,17,غچین,CHCH
1380-03-26,2001-06-16,17,غچین,CHCH
1380-04-17,2001-07-08,14,غچین,CHCH
1380-04-18,2001-07-09,14,غچین,CHCH
1380-04-20,2001-07-11,14,غچین,CHCH
1380-04-23,2001-07-14,14,غچین,CHCH
1380-04-24,2001-07-15,14,غچین,CHCH
1380-04-25,2001-07-16,14,غچین,CHCH
1380-04-27,2001-07-18,14,غچین,CHCH
1380-04-31,2001-07-22,14,غچین,CHCH
1380-05-23,2001-08-14,14,غچین,CHCH
1380-05-24,2001-08-15,14,غچین,CHCH
1380-05-27,2001-08-18,14,غچین,CHCH
1380-05-31,2001-08-22,14,غچین,CHCH
1380-06-04,2001-08-26,14,غچین,CHCH
1380-06-06,2001-08-28,15,غچین,CHCH
1380-06-07,2001-08-29,15,غچین,CHCH
1380-06-11,2001-09-02,15,غچین,CHCH
1380-06-12,2001-09-03,15,غچین,CHCH
1380-06-13,2001-09-04,15,غچین,CHCH
1380-06-14,2001-09-05,15,غچین,CHCH
1380-06-18,2001-09-09,15,غچین,CHCH
1380-06-25,2001-09-16,15,غچین,CHCH
1380-07-01,2001-09-23,16,غچین,CHCH
1380-07-03,2001-09-25,16,غچین,CHCH
1380-07-07,2001-09-29,16,غچین,CHCH
1380-07-08,2001-09-30,16,غچین,CHCH
1380-07-11,2001-10-03,16,غچین,CHCH
1380-07-15,2001-10-07,16,غچین,CHCH
1380-07-16,2001-10-08,16,غچین,CHCH
1380-07-17,2001-10-09,16,غچین,CHCH
1380-07-18,2001-10-10,17,غچین,CHCH
1380-07-21,2001-10-13,17,غچین,CHCH
1380-09-06,2001-11-27,15,غچین,CHCH
1380-09-07,2001-11-28,16,غچین,CHCH
1380-09-10,2001-12-01,17,غچین,CHCH
1380-09-11,2001-12-02,17,غچین,CHCH
1380-09-12,2001-12-03,18,غچین,CHCH
1380-09-13,2001-12-04,19,غچین,CHCH
1380-09-14,2001-12-05,20,غچین,CHCH
1380-09-17,2001-12-08,21,غچین,CHCH
1380-09-18,2001-12-09,22,غچین,CHCH
1380-09-19,2001-12-10,23,غچین,CHCH
1380-09-20,2001-12-11,25,غچین,CHCH
1380-09-21,2001-12-12,26,غچین,CHCH
1380-09-24,2001-12-15,27,غچین,CHCH
1380-10-30,2002-01-20,34,غچین,CHCH
1380-11-01,2002-01-21,36,غچین,CHCH
1380-11-02,2002-01-22,36,غچین,CHCH
1380-11-03,2002-01-23,36,غچین,CHCH
1380-11-06,2002-01-26,35,غچین,CHCH
1380-11-07,2002-01-27,33,غچین,CHCH
1380-11-08,2002-01-28,34,غچین,CHCH
1380-11-09,2002-01-29,34,غچین,CHCH
1380-11-10,2002-01-30,34,غچین,CHCH
1380-11-13,2002-02-02,34,غچین,CHCH
1380-11-14,2002-02-03,33,غچین,CHCH
1380-11-16,2002-02-05,33,غچین,CHCH
1380-11-17,2002-02-06,32,غچین,CHCH
1380-11-20,2002-02-09,31,غچین,CHCH
1380-11-21,2002-02-10,31,غچین,CHCH
1380-11-23,2002-02-12,32,غچین,CHCH
1380-11-24,2002-02-13,31,غچین,CHCH
1380-11-27,2002-02-16,31,غچین,CHCH
1380-11-28,2002-02-17,31,غچین,CHCH
1380-11-29,2002-02-18,31,غچین,CHCH
1380-11-30,2002-02-19,31,غچین,CHCH
1380-12-01,2002-02-20,31,غچین,CHCH
1380-12-05,2002-02-24,31,غچین,CHCH
1380-12-06,2002-02-25,32,غچین,CHCH
1380-12-07,2002-02-26,32,غچین,CHCH
1380-12-08,2002-02-27,32,غچین,CHCH
1380-12-13,2002-03-04,31,غچین,CHCH
1380-12-14,2002-03-05,31,غچین,CHCH
1380-12-15,2002-03-06,31,غچین,CHCH
1380-12-18,2002-03-09,31,غچین,CHCH
1380-12-20,2002-03-11,31,غچین,CHCH
1380-12-21,2002-03-12,32,غچین,CHCH
1380-12-22,2002-03-13,32,غچین,CHCH
1380-12-26,2002-03-17,34,غچین,CHCH
1380-12-27,2002-03-18,35,غچین,CHCH
1380-12-28,2002-03-19,35,غچین,CHCH
1381-01-06,2002-03-26,35,غچین,CHCH
1381-01-18,2002-04-07,35,غچین,CHCH
1381-01-21,2002-04-10,33,غچین,CHCH
1381-01-24,2002-04-13,32,غچین,CHCH
1381-01-25,2002-04-14,32,غچین,CHCH
1381-01-26,2002-04-15,32,غچین,CHCH
1381-01-27,2002-04-16,31,غچین,CHCH
1381-01-28,2002-04-17,31,غچین,CHCH
1381-01-31,2002-04-20,30,غچین,CHCH
1381-02-01,2002-04-21,30,غچین,CHCH
1381-02-02,2002-04-22,30,غچین,CHCH
1381-02-03,2002-04-23,30,غچین,CHCH
1381-02-04,2002-04-24,30,غچین,CHCH
1381-02-07,2002-04-27,30,غچین,CHCH
1381-02-08,2002-04-28,30,غچین,CHCH
1381-02-09,2002-04-29,28,غچین,CHCH
1381-02-10,2002-04-30,30,غچین,CHCH
1381-02-11,2002-05-01,31,غچین,CHCH
1381-02-14,2002-05-04,31,غچین,CHCH
1381-02-15,2002-05-05,31,غچین,CHCH
1381-02-16,2002-05-06,30,غچین,CHCH
1381-02-18,2002-05-08,29,غچین,CHCH
1381-02-22,2002-05-12,29,غچین,CHCH
1381-02-24,2002-05-14,29,غچین,CHCH
1381-02-25,2002-05-15,27,غچین,CHCH
1381-02-29,2002-05-19,28,غچین,CHCH
1381-02-31,2002-05-21,28,غچین,CHCH
1381-03-01,2002-05-22,28,غچین,CHCH
1381-03-05,2002-05-26,28,غچین,CHCH
1381-03-06,2002-05-27,28,غچین,CHCH
1381-03-11,2002-06-01,27,غچین,CHCH
1381-05-07,2002-07-29,26,غچین,CHCH
1381-05-15,2002-08-06,25,غچین,CHCH
1381-05-22,2002-08-13,24,غچین,CHCH
1381-05-27,2002-08-18,23,غچین,CHCH
1381-05-28,2002-08-19,21,غچین,CHCH
1381-05-30,2002-08-21,20,غچین,CHCH
1381-06-02,2002-08-24,19,غچین,CHCH
1381-06-03,2002-08-25,19,غچین,CHCH
1381-06-04,2002-08-26,19,غچین,CHCH
1381-06-05,2002-08-27,20,غچین,CHCH
1381-06-06,2002-08-28,20,غچین,CHCH
1381-06-09,2002-08-31,20,غچین,CHCH
1381-06-10,2002-09-01,20,غچین,CHCH
