J-Date,Date,Adj Close,Ticker,Ticker(4)
1382-07-27,2003-10-19,8,کچاد,CHML
1382-07-28,2003-10-20,9,کچاد,CHML
1382-07-29,2003-10-21,9,کچاد,CHML
1382-07-30,2003-10-22,9,کچاد,CHML
1382-08-03,2003-10-25,10,کچاد,CHML
1382-08-04,2003-10-26,11,کچاد,CHML
1382-08-05,2003-10-27,11,کچاد,CHML
1382-08-06,2003-10-28,12,کچاد,CHML
1382-08-07,2003-10-29,12,کچاد,CHML
1382-08-10,2003-11-01,12,کچاد,CHML
1382-08-11,2003-11-02,12,کچاد,CHML
1382-08-12,2003-11-03,12,کچاد,CHML
1382-08-13,2003-11-04,12,کچاد,CHML
1382-08-14,2003-11-05,12,کچاد,CHML
1382-08-17,2003-11-08,12,کچاد,CHML
1382-08-18,2003-11-09,13,کچاد,CHML
1382-08-19,2003-11-10,13,کچاد,CHML
1382-08-20,2003-11-11,13,کچاد,CHML
1382-08-21,2003-11-12,13,کچاد,CHML
1382-08-24,2003-11-15,14,کچاد,CHML
1382-08-26,2003-11-17,14,کچاد,CHML
1382-08-27,2003-11-18,14,کچاد,CHML
1382-08-28,2003-11-19,14,کچاد,CHML
1382-09-01,2003-11-22,14,کچاد,CHML
1382-09-02,2003-11-23,14,کچاد,CHML
1382-09-03,2003-11-24,15,کچاد,CHML
1382-09-04,2003-11-25,15,کچاد,CHML
1382-09-08,2003-11-29,15,کچاد,CHML
1382-09-09,2003-11-30,15,کچاد,CHML
1382-09-10,2003-12-01,16,کچاد,CHML
1382-09-11,2003-12-02,17,کچاد,CHML
1382-09-12,2003-12-03,18,کچاد,CHML
1382-09-15,2003-12-06,18,کچاد,CHML
1382-09-16,2003-12-07,19,کچاد,CHML
1382-09-17,2003-12-08,19,کچاد,CHML
1382-09-18,2003-12-09,18,کچاد,CHML
1382-09-19,2003-12-10,19,کچاد,CHML
1382-09-22,2003-12-13,20,کچاد,CHML
1382-09-23,2003-12-14,21,کچاد,CHML
1382-09-24,2003-12-15,22,کچاد,CHML
1382-09-25,2003-12-16,22,کچاد,CHML
1382-09-26,2003-12-17,21,کچاد,CHML
1382-09-30,2003-12-21,21,کچاد,CHML
1382-10-01,2003-12-22,21,کچاد,CHML
1382-10-02,2003-12-23,22,کچاد,CHML
1382-10-03,2003-12-24,23,کچاد,CHML
1382-10-06,2003-12-27,22,کچاد,CHML
1382-10-07,2003-12-28,22,کچاد,CHML
1382-10-08,2003-12-29,22,کچاد,CHML
1382-10-09,2003-12-30,23,کچاد,CHML
1382-10-10,2003-12-31,23,کچاد,CHML
1382-10-13,2004-01-03,25,کچاد,CHML
1382-10-14,2004-01-04,26,کچاد,CHML
1382-10-15,2004-01-05,27,کچاد,CHML
1382-10-16,2004-01-06,27,کچاد,CHML
1382-10-17,2004-01-07,27,کچاد,CHML
1382-10-20,2004-01-10,27,کچاد,CHML
1382-10-21,2004-01-11,26,کچاد,CHML
1382-10-22,2004-01-12,25,کچاد,CHML
1382-10-23,2004-01-13,25,کچاد,CHML
1382-10-24,2004-01-14,26,کچاد,CHML
1382-10-27,2004-01-17,26,کچاد,CHML
1382-10-28,2004-01-18,26,کچاد,CHML
1382-10-29,2004-01-19,25,کچاد,CHML
1382-10-30,2004-01-20,25,کچاد,CHML
1382-11-01,2004-01-21,26,کچاد,CHML
1382-11-04,2004-01-24,25,کچاد,CHML
1382-11-05,2004-01-25,25,کچاد,CHML
1382-11-06,2004-01-26,25,کچاد,CHML
1382-11-07,2004-01-27,24,کچاد,CHML
1382-11-08,2004-01-28,25,کچاد,CHML
1382-11-11,2004-01-31,25,کچاد,CHML
1382-11-12,2004-02-01,24,کچاد,CHML
1382-11-14,2004-02-03,24,کچاد,CHML
1382-11-15,2004-02-04,24,کچاد,CHML
1382-11-18,2004-02-07,25,کچاد,CHML
1382-11-19,2004-02-08,26,کچاد,CHML
1382-11-20,2004-02-09,26,کچاد,CHML
1382-11-25,2004-02-14,26,کچاد,CHML
1382-11-26,2004-02-15,25,کچاد,CHML
1382-11-27,2004-02-16,24,کچاد,CHML
1382-11-28,2004-02-17,25,کچاد,CHML
1382-11-29,2004-02-18,25,کچاد,CHML
1382-12-02,2004-02-21,25,کچاد,CHML
1382-12-03,2004-02-22,25,کچاد,CHML
1382-12-04,2004-02-23,25,کچاد,CHML
1382-12-05,2004-02-24,25,کچاد,CHML
1382-12-06,2004-02-25,25,کچاد,CHML
1382-12-09,2004-02-28,26,کچاد,CHML
1382-12-10,2004-02-29,25,کچاد,CHML
1382-12-13,2004-03-03,25,کچاد,CHML
1382-12-16,2004-03-06,26,کچاد,CHML
1382-12-17,2004-03-07,25,کچاد,CHML
1382-12-18,2004-03-08,25,کچاد,CHML
1382-12-19,2004-03-09,24,کچاد,CHML
1382-12-20,2004-03-10,24,کچاد,CHML
1382-12-23,2004-03-13,24,کچاد,CHML
1382-12-24,2004-03-14,24,کچاد,CHML
1382-12-25,2004-03-15,24,کچاد,CHML
1382-12-26,2004-03-16,25,کچاد,CHML
1382-12-27,2004-03-17,26,کچاد,CHML
1383-01-08,2004-03-27,27,کچاد,CHML
1383-01-09,2004-03-28,27,کچاد,CHML
1383-01-10,2004-03-29,27,کچاد,CHML
1383-01-11,2004-03-30,28,کچاد,CHML
1383-01-15,2004-04-03,29,کچاد,CHML
1383-01-16,2004-04-04,31,کچاد,CHML
1383-01-17,2004-04-05,32,کچاد,CHML
1383-01-18,2004-04-06,33,کچاد,CHML
1383-01-19,2004-04-07,32,کچاد,CHML
1383-01-22,2004-04-10,31,کچاد,CHML
1383-01-24,2004-04-12,30,کچاد,CHML
1383-01-25,2004-04-13,29,کچاد,CHML
1383-01-26,2004-04-14,30,کچاد,CHML
1383-01-29,2004-04-17,31,کچاد,CHML
1383-01-30,2004-04-18,31,کچاد,CHML
1383-02-02,2004-04-21,30,کچاد,CHML
1383-02-05,2004-04-24,30,کچاد,CHML
1383-02-06,2004-04-25,32,کچاد,CHML
1383-02-07,2004-04-26,31,کچاد,CHML
1383-02-08,2004-04-27,30,کچاد,CHML
1383-02-09,2004-04-28,30,کچاد,CHML
1383-02-12,2004-05-01,30,کچاد,CHML
1383-02-13,2004-05-02,29,کچاد,CHML
1383-02-14,2004-05-03,29,کچاد,CHML
1383-02-15,2004-05-04,29,کچاد,CHML
1383-02-16,2004-05-05,31,کچاد,CHML
1383-02-19,2004-05-08,30,کچاد,CHML
1383-02-20,2004-05-09,30,کچاد,CHML
1383-02-21,2004-05-10,29,کچاد,CHML
1383-02-22,2004-05-11,29,کچاد,CHML
1383-02-23,2004-05-12,29,کچاد,CHML
1383-02-26,2004-05-15,28,کچاد,CHML
1383-02-27,2004-05-16,28,کچاد,CHML
1383-02-28,2004-05-17,27,کچاد,CHML
1383-02-29,2004-05-18,27,کچاد,CHML
1383-02-30,2004-05-19,27,کچاد,CHML
1383-03-02,2004-05-22,27,کچاد,CHML
1383-03-03,2004-05-23,26,کچاد,CHML
1383-03-09,2004-05-29,26,کچاد,CHML
1383-03-10,2004-05-30,25,کچاد,CHML
1383-03-30,2004-06-19,24,کچاد,CHML
1383-03-31,2004-06-20,23,کچاد,CHML
1383-04-01,2004-06-21,22,کچاد,CHML
1383-04-02,2004-06-22,22,کچاد,CHML
1383-04-03,2004-06-23,23,کچاد,CHML
1383-04-06,2004-06-26,23,کچاد,CHML
1383-04-07,2004-06-27,22,کچاد,CHML
1383-04-08,2004-06-28,22,کچاد,CHML
1383-04-09,2004-06-29,23,کچاد,CHML
1383-04-10,2004-06-30,23,کچاد,CHML
1383-04-13,2004-07-03,23,کچاد,CHML
1383-04-14,2004-07-04,23,کچاد,CHML
1383-04-15,2004-07-05,23,کچاد,CHML
1383-04-16,2004-07-06,24,کچاد,CHML
1383-04-17,2004-07-07,25,کچاد,CHML
1383-04-20,2004-07-10,26,کچاد,CHML
1383-04-21,2004-07-11,26,کچاد,CHML
1383-04-22,2004-07-12,26,کچاد,CHML
1383-04-23,2004-07-13,26,کچاد,CHML
1383-04-24,2004-07-14,26,کچاد,CHML
1383-04-27,2004-07-17,26,کچاد,CHML
1383-04-28,2004-07-18,26,کچاد,CHML
1383-04-29,2004-07-19,26,کچاد,CHML
1383-04-30,2004-07-20,27,کچاد,CHML
1383-05-03,2004-07-24,27,کچاد,CHML
1383-05-04,2004-07-25,27,کچاد,CHML
1383-05-05,2004-07-26,27,کچاد,CHML
1383-05-06,2004-07-27,27,کچاد,CHML
1383-05-07,2004-07-28,28,کچاد,CHML
1383-05-10,2004-07-31,28,کچاد,CHML
1383-05-11,2004-08-01,27,کچاد,CHML
1383-05-12,2004-08-02,28,کچاد,CHML
1383-05-13,2004-08-03,28,کچاد,CHML
1383-05-14,2004-08-04,28,کچاد,CHML
1383-05-17,2004-08-07,27,کچاد,CHML
1383-05-18,2004-08-08,26,کچاد,CHML
1383-05-19,2004-08-09,26,کچاد,CHML
1383-05-20,2004-08-10,26,کچاد,CHML
1383-05-21,2004-08-11,26,کچاد,CHML
1383-05-24,2004-08-14,25,کچاد,CHML
1383-05-25,2004-08-15,25,کچاد,CHML
1383-05-26,2004-08-16,25,کچاد,CHML
1383-05-27,2004-08-17,25,کچاد,CHML
1383-05-28,2004-08-18,25,کچاد,CHML
1383-05-31,2004-08-21,25,کچاد,CHML
1383-06-01,2004-08-22,24,کچاد,CHML
1383-06-02,2004-08-23,24,کچاد,CHML
1383-06-03,2004-08-24,24,کچاد,CHML
1383-06-04,2004-08-25,24,کچاد,CHML
1383-06-07,2004-08-28,24,کچاد,CHML
1383-06-08,2004-08-29,24,کچاد,CHML
1383-06-10,2004-08-31,25,کچاد,CHML
1383-06-11,2004-09-01,26,کچاد,CHML
1383-06-14,2004-09-04,26,کچاد,CHML
1383-06-15,2004-09-05,26,کچاد,CHML
1383-06-16,2004-09-06,26,کچاد,CHML
1383-06-17,2004-09-07,26,کچاد,CHML
1383-06-18,2004-09-08,26,کچاد,CHML
1383-06-21,2004-09-11,26,کچاد,CHML
1383-06-22,2004-09-12,26,کچاد,CHML
1383-06-24,2004-09-14,26,کچاد,CHML
1383-06-25,2004-09-15,26,کچاد,CHML
1383-06-28,2004-09-18,26,کچاد,CHML
1383-06-29,2004-09-19,26,کچاد,CHML
1383-06-30,2004-09-20,27,کچاد,CHML
1383-06-31,2004-09-21,27,کچاد,CHML
1383-07-01,2004-09-22,27,کچاد,CHML
1383-07-04,2004-09-25,28,کچاد,CHML
