J-Date,Date,Adj Close,Ticker,Ticker(4)
1393-08-25,2014-11-16,499,سیدکو,CIDC
1393-08-26,2014-11-17,519,سیدکو,CIDC
1393-08-27,2014-11-18,540,سیدکو,CIDC
1393-08-28,2014-11-19,561,سیدکو,CIDC
1393-09-01,2014-11-22,551,سیدکو,CIDC
1393-09-02,2014-11-23,556,سیدکو,CIDC
1393-09-03,2014-11-24,553,سیدکو,CIDC
1393-09-04,2014-11-25,539,سیدکو,CIDC
1393-09-05,2014-11-26,561,سیدکو,CIDC
1393-09-08,2014-11-29,556,سیدکو,CIDC
1393-09-09,2014-11-30,547,سیدکو,CIDC
1393-09-10,2014-12-01,541,سیدکو,CIDC
1393-09-11,2014-12-02,551,سیدکو,CIDC
1393-09-12,2014-12-03,540,سیدکو,CIDC
1393-09-15,2014-12-06,525,سیدکو,CIDC
1393-09-16,2014-12-07,516,سیدکو,CIDC
1393-09-17,2014-12-08,531,سیدکو,CIDC
1393-09-18,2014-12-09,515,سیدکو,CIDC
1393-09-19,2014-12-10,514,سیدکو,CIDC
1393-09-23,2014-12-14,512,سیدکو,CIDC
1393-09-24,2014-12-15,522,سیدکو,CIDC
1393-09-25,2014-12-16,517,سیدکو,CIDC
1393-09-26,2014-12-17,532,سیدکو,CIDC
1393-09-29,2014-12-20,545,سیدکو,CIDC
1393-10-01,2014-12-22,562,سیدکو,CIDC
1393-10-03,2014-12-24,540,سیدکو,CIDC
1393-10-06,2014-12-27,539,سیدکو,CIDC
1393-10-07,2014-12-28,549,سیدکو,CIDC
1393-10-08,2014-12-29,536,سیدکو,CIDC
1393-10-09,2014-12-30,531,سیدکو,CIDC
1393-10-10,2014-12-31,521,سیدکو,CIDC
1393-10-13,2015-01-03,522,سیدکو,CIDC
1393-10-14,2015-01-04,517,سیدکو,CIDC
1393-10-15,2015-01-05,514,سیدکو,CIDC
1393-10-16,2015-01-06,507,سیدکو,CIDC
1393-10-17,2015-01-07,507,سیدکو,CIDC
1393-10-20,2015-01-10,499,سیدکو,CIDC
1393-10-21,2015-01-11,507,سیدکو,CIDC
1393-10-22,2015-01-12,520,سیدکو,CIDC
1393-10-23,2015-01-13,503,سیدکو,CIDC
1393-10-24,2015-01-14,499,سیدکو,CIDC
1393-10-27,2015-01-17,501,سیدکو,CIDC
1393-10-28,2015-01-18,499,سیدکو,CIDC
1393-10-29,2015-01-19,499,سیدکو,CIDC
1393-10-30,2015-01-20,499,سیدکو,CIDC
1393-11-01,2015-01-21,499,سیدکو,CIDC
1393-11-04,2015-01-24,499,سیدکو,CIDC
1393-11-05,2015-01-25,500,سیدکو,CIDC
1393-11-06,2015-01-26,499,سیدکو,CIDC
1393-11-07,2015-01-27,499,سیدکو,CIDC
1393-11-08,2015-01-28,509,سیدکو,CIDC
1393-11-11,2015-01-31,508,سیدکو,CIDC
1393-11-12,2015-02-01,499,سیدکو,CIDC
1393-11-13,2015-02-02,499,سیدکو,CIDC
1393-11-14,2015-02-03,499,سیدکو,CIDC
1393-11-15,2015-02-04,502,سیدکو,CIDC
1393-11-18,2015-02-07,501,سیدکو,CIDC
1393-11-19,2015-02-08,501,سیدکو,CIDC
1393-11-20,2015-02-09,499,سیدکو,CIDC
1393-11-21,2015-02-10,499,سیدکو,CIDC
1393-11-25,2015-02-14,499,سیدکو,CIDC
1393-11-26,2015-02-15,499,سیدکو,CIDC
1393-11-27,2015-02-16,499,سیدکو,CIDC
1393-11-28,2015-02-17,499,سیدکو,CIDC
1393-11-29,2015-02-18,499,سیدکو,CIDC
1393-12-02,2015-02-21,499,سیدکو,CIDC
1393-12-03,2015-02-22,499,سیدکو,CIDC
1393-12-04,2015-02-23,499,سیدکو,CIDC
1393-12-05,2015-02-24,499,سیدکو,CIDC
1393-12-06,2015-02-25,499,سیدکو,CIDC
1393-12-09,2015-02-28,499,سیدکو,CIDC
1393-12-10,2015-03-01,499,سیدکو,CIDC
1393-12-11,2015-03-02,499,سیدکو,CIDC
1393-12-12,2015-03-03,499,سیدکو,CIDC
1393-12-13,2015-03-04,499,سیدکو,CIDC
1393-12-16,2015-03-07,500,سیدکو,CIDC
1393-12-17,2015-03-08,500,سیدکو,CIDC
1393-12-18,2015-03-09,499,سیدکو,CIDC
1393-12-19,2015-03-10,499,سیدکو,CIDC
1393-12-20,2015-03-11,499,سیدکو,CIDC
1393-12-23,2015-03-14,499,سیدکو,CIDC
1393-12-24,2015-03-15,499,سیدکو,CIDC
1393-12-25,2015-03-16,499,سیدکو,CIDC
1393-12-26,2015-03-17,495,سیدکو,CIDC
1393-12-27,2015-03-18,498,سیدکو,CIDC
1394-01-05,2015-03-25,500,سیدکو,CIDC
1394-01-08,2015-03-28,498,سیدکو,CIDC
1394-01-09,2015-03-29,499,سیدکو,CIDC
1394-01-10,2015-03-30,499,سیدکو,CIDC
1394-01-11,2015-03-31,494,سیدکو,CIDC
1394-01-15,2015-04-04,518,سیدکو,CIDC
1394-01-16,2015-04-05,522,سیدکو,CIDC
1394-01-17,2015-04-06,499,سیدکو,CIDC
1394-01-18,2015-04-07,496,سیدکو,CIDC
1394-01-19,2015-04-08,499,سیدکو,CIDC
1394-01-22,2015-04-11,494,سیدکو,CIDC
1394-01-23,2015-04-12,486,سیدکو,CIDC
1394-01-24,2015-04-13,482,سیدکو,CIDC
1394-01-25,2015-04-14,481,سیدکو,CIDC
1394-01-26,2015-04-15,493,سیدکو,CIDC
1394-01-29,2015-04-18,500,سیدکو,CIDC
1394-01-30,2015-04-19,492,سیدکو,CIDC
1394-01-31,2015-04-20,487,سیدکو,CIDC
1394-02-01,2015-04-21,489,سیدکو,CIDC
1394-02-02,2015-04-22,483,سیدکو,CIDC
1394-02-05,2015-04-25,480,سیدکو,CIDC
1394-02-06,2015-04-26,465,سیدکو,CIDC
1394-02-07,2015-04-27,467,سیدکو,CIDC
1394-02-08,2015-04-28,459,سیدکو,CIDC
1394-02-09,2015-04-29,461,سیدکو,CIDC
1394-02-13,2015-05-03,450,سیدکو,CIDC
1394-02-14,2015-05-04,443,سیدکو,CIDC
1394-02-15,2015-05-05,452,سیدکو,CIDC
1394-02-16,2015-05-06,457,سیدکو,CIDC
1394-02-19,2015-05-09,455,سیدکو,CIDC
1394-02-20,2015-05-10,467,سیدکو,CIDC
1394-02-21,2015-05-11,479,سیدکو,CIDC
1394-02-22,2015-05-12,479,سیدکو,CIDC
1394-02-23,2015-05-13,468,سیدکو,CIDC
1394-02-27,2015-05-17,483,سیدکو,CIDC
1394-02-28,2015-05-18,466,سیدکو,CIDC
1394-02-29,2015-05-19,469,سیدکو,CIDC
1394-02-30,2015-05-20,465,سیدکو,CIDC
1394-03-02,2015-05-23,462,سیدکو,CIDC
1394-03-03,2015-05-24,459,سیدکو,CIDC
1394-03-04,2015-05-25,471,سیدکو,CIDC
1394-03-05,2015-05-26,465,سیدکو,CIDC
1394-03-06,2015-05-27,465,سیدکو,CIDC
1394-03-09,2015-05-30,466,سیدکو,CIDC
1394-03-10,2015-05-31,463,سیدکو,CIDC
1394-03-11,2015-06-01,459,سیدکو,CIDC
1394-03-12,2015-06-02,462,سیدکو,CIDC
1394-03-16,2015-06-06,459,سیدکو,CIDC
1394-03-17,2015-06-07,450,سیدکو,CIDC
1394-03-18,2015-06-08,459,سیدکو,CIDC
1394-03-19,2015-06-09,454,سیدکو,CIDC
1394-03-20,2015-06-10,459,سیدکو,CIDC
1394-03-23,2015-06-13,459,سیدکو,CIDC
1394-03-24,2015-06-14,458,سیدکو,CIDC
1394-03-25,2015-06-15,463,سیدکو,CIDC
1394-04-01,2015-06-22,476,سیدکو,CIDC
1394-04-02,2015-06-23,473,سیدکو,CIDC
1394-04-03,2015-06-24,468,سیدکو,CIDC
1394-04-06,2015-06-27,473,سیدکو,CIDC
1394-04-07,2015-06-28,467,سیدکو,CIDC
1394-04-08,2015-06-29,468,سیدکو,CIDC
1394-04-09,2015-06-30,465,سیدکو,CIDC
1394-04-10,2015-07-01,466,سیدکو,CIDC
1394-04-13,2015-07-04,470,سیدکو,CIDC
1394-04-14,2015-07-05,470,سیدکو,CIDC
1394-04-15,2015-07-06,470,سیدکو,CIDC
1394-04-16,2015-07-07,475,سیدکو,CIDC
1394-04-20,2015-07-11,494,سیدکو,CIDC
1394-04-21,2015-07-12,508,سیدکو,CIDC
1394-04-22,2015-07-13,533,سیدکو,CIDC
1394-04-23,2015-07-14,532,سیدکو,CIDC
1394-04-24,2015-07-15,502,سیدکو,CIDC
1394-04-29,2015-07-20,494,سیدکو,CIDC
1394-04-30,2015-07-21,504,سیدکو,CIDC
1394-04-31,2015-07-22,496,سیدکو,CIDC
1394-05-03,2015-07-25,490,سیدکو,CIDC
1394-05-04,2015-07-26,492,سیدکو,CIDC
1394-05-05,2015-07-27,478,سیدکو,CIDC
1394-05-06,2015-07-28,490,سیدکو,CIDC
1394-05-07,2015-07-29,489,سیدکو,CIDC
1394-05-10,2015-08-01,476,سیدکو,CIDC
1394-05-11,2015-08-02,471,سیدکو,CIDC
1394-05-12,2015-08-03,474,سیدکو,CIDC
1394-05-13,2015-08-04,476,سیدکو,CIDC
1394-05-14,2015-08-05,470,سیدکو,CIDC
1394-05-17,2015-08-08,462,سیدکو,CIDC
1394-05-18,2015-08-09,461,سیدکو,CIDC
1394-05-19,2015-08-10,458,سیدکو,CIDC
1394-05-21,2015-08-12,449,سیدکو,CIDC
1394-05-24,2015-08-15,445,سیدکو,CIDC
1394-05-25,2015-08-16,441,سیدکو,CIDC
1394-05-26,2015-08-17,436,سیدکو,CIDC
1394-05-27,2015-08-18,436,سیدکو,CIDC
1394-05-28,2015-08-19,437,سیدکو,CIDC
1394-05-31,2015-08-22,432,سیدکو,CIDC
