J-Date,Date,Adj Close,Ticker,Ticker(4)
1394-08-26,2015-11-17,827,وثخوز,CKHP
1394-09-01,2015-11-22,827,وثخوز,CKHP
1394-09-18,2015-12-09,819,وثخوز,CKHP
1394-09-25,2015-12-16,819,وثخوز,CKHP
1394-10-26,2016-01-16,819,وثخوز,CKHP
1394-11-11,2016-01-31,819,وثخوز,CKHP
1394-11-24,2016-02-13,819,وثخوز,CKHP
1394-11-25,2016-02-14,682,وثخوز,CKHP
1394-11-28,2016-02-17,682,وثخوز,CKHP
1394-12-17,2016-03-07,820,وثخوز,CKHP
1394-12-25,2016-03-15,822,وثخوز,CKHP
1395-01-21,2016-04-09,732,وثخوز,CKHP
1395-01-22,2016-04-10,744,وثخوز,CKHP
1395-02-01,2016-04-20,744,وثخوز,CKHP
1395-02-13,2016-05-02,747,وثخوز,CKHP
1395-02-18,2016-05-07,747,وثخوز,CKHP
1395-02-26,2016-05-15,916,وثخوز,CKHP
1395-02-29,2016-05-18,1001,وثخوز,CKHP
1395-03-10,2016-05-30,1006,وثخوز,CKHP
1395-03-17,2016-06-06,1001,وثخوز,CKHP
1395-03-23,2016-06-12,956,وثخوز,CKHP
1395-04-13,2016-07-03,947,وثخوز,CKHP
1395-04-15,2016-07-05,949,وثخوز,CKHP
1395-04-28,2016-07-18,955,وثخوز,CKHP
1395-04-29,2016-07-19,955,وثخوز,CKHP
1395-05-27,2016-08-17,910,وثخوز,CKHP
1395-05-31,2016-08-21,910,وثخوز,CKHP
1395-06-01,2016-08-22,910,وثخوز,CKHP
1395-06-08,2016-08-29,910,وثخوز,CKHP
1395-06-10,2016-08-31,910,وثخوز,CKHP
1395-06-16,2016-09-06,912,وثخوز,CKHP
1395-06-20,2016-09-10,910,وثخوز,CKHP
1395-07-06,2016-09-27,911,وثخوز,CKHP
1395-07-11,2016-10-02,864,وثخوز,CKHP
1395-08-01,2016-10-22,946,وثخوز,CKHP
1395-08-10,2016-10-31,945,وثخوز,CKHP
1395-08-24,2016-11-14,910,وثخوز,CKHP
1395-08-26,2016-11-16,864,وثخوز,CKHP
1395-09-09,2016-11-29,864,وثخوز,CKHP
1395-09-16,2016-12-06,864,وثخوز,CKHP
1395-10-13,2017-01-02,855,وثخوز,CKHP
1395-10-27,2017-01-16,855,وثخوز,CKHP
1395-11-30,2017-02-18,760,وثخوز,CKHP
1395-12-16,2017-03-06,807,وثخوز,CKHP
1396-01-05,2017-03-25,862,وثخوز,CKHP
1396-01-08,2017-03-28,906,وثخوز,CKHP
1396-01-09,2017-03-29,996,وثخوز,CKHP
1396-01-15,2017-04-04,1083,وثخوز,CKHP
1396-01-16,2017-04-05,1086,وثخوز,CKHP
1396-01-20,2017-04-09,977,وثخوز,CKHP
1396-02-10,2017-04-30,1074,وثخوز,CKHP
1396-02-13,2017-05-03,996,وثخوز,CKHP
1396-02-16,2017-05-06,1095,وثخوز,CKHP
1396-02-18,2017-05-08,1182,وثخوز,CKHP
1396-02-20,2017-05-10,1300,وثخوز,CKHP
1396-02-24,2017-05-14,1429,وثخوز,CKHP
1396-02-25,2017-05-15,1571,وثخوز,CKHP
1396-02-31,2017-05-21,1644,وثخوز,CKHP
1396-03-03,2017-05-24,1283,وثخوز,CKHP
1396-03-07,2017-05-28,1283,وثخوز,CKHP
1396-03-10,2017-05-31,1411,وثخوز,CKHP
1396-03-13,2017-06-03,1545,وثخوز,CKHP
1396-03-16,2017-06-06,1699,وثخوز,CKHP
1396-03-21,2017-06-11,1846,وثخوز,CKHP
1396-03-22,2017-06-12,2032,وثخوز,CKHP
1396-03-23,2017-06-13,2235,وثخوز,CKHP
1396-03-24,2017-06-14,2458,وثخوز,CKHP
1396-03-27,2017-06-17,2676,وثخوز,CKHP
1396-03-28,2017-06-18,2943,وثخوز,CKHP
1396-03-30,2017-06-20,3237,وثخوز,CKHP
1396-03-31,2017-06-21,3560,وثخوز,CKHP
1396-04-03,2017-06-24,3915,وثخوز,CKHP
1396-04-04,2017-06-25,4307,وثخوز,CKHP
1396-04-10,2017-07-01,4628,وثخوز,CKHP
1396-04-11,2017-07-02,4258,وثخوز,CKHP
1396-04-14,2017-07-05,3847,وثخوز,CKHP
1396-04-17,2017-07-08,3463,وثخوز,CKHP
1396-04-18,2017-07-09,3117,وثخوز,CKHP
1396-04-19,2017-07-10,3392,وثخوز,CKHP
1396-04-20,2017-07-11,3235,وثخوز,CKHP
1396-04-21,2017-07-12,3558,وثخوز,CKHP
1396-04-24,2017-07-15,3913,وثخوز,CKHP
1396-04-25,2017-07-16,3952,وثخوز,CKHP
1396-04-26,2017-07-17,3360,وثخوز,CKHP
1396-04-27,2017-07-18,3255,وثخوز,CKHP
1396-04-28,2017-07-19,3088,وثخوز,CKHP
1396-04-31,2017-07-22,3411,وثخوز,CKHP
1396-05-01,2017-07-23,3599,وثخوز,CKHP
1396-05-02,2017-07-24,3421,وثخوز,CKHP
1396-05-03,2017-07-25,3228,وثخوز,CKHP
1396-05-04,2017-07-26,3174,وثخوز,CKHP
1396-05-07,2017-07-29,3431,وثخوز,CKHP
1396-05-08,2017-07-30,3775,وثخوز,CKHP
1396-05-09,2017-07-31,3849,وثخوز,CKHP
1396-05-10,2017-08-01,3621,وثخوز,CKHP
1396-05-11,2017-08-02,3516,وثخوز,CKHP
1396-05-15,2017-08-06,3649,وثخوز,CKHP
1396-05-16,2017-08-07,3743,وثخوز,CKHP
1396-05-17,2017-08-08,3350,وثخوز,CKHP
1396-05-18,2017-08-09,3371,وثخوز,CKHP
1396-05-21,2017-08-12,3332,وثخوز,CKHP
1396-05-22,2017-08-13,3194,وثخوز,CKHP
1396-05-23,2017-08-14,3164,وثخوز,CKHP
1396-05-24,2017-08-15,3136,وثخوز,CKHP
1396-05-25,2017-08-16,3183,وثخوز,CKHP
1396-05-28,2017-08-19,2946,وثخوز,CKHP
1396-05-29,2017-08-20,2890,وثخوز,CKHP
1396-05-30,2017-08-21,2860,وثخوز,CKHP
1396-05-31,2017-08-22,3079,وثخوز,CKHP
1396-06-01,2017-08-23,2960,وثخوز,CKHP
1396-06-04,2017-08-26,3137,وثخوز,CKHP
1396-06-05,2017-08-27,3137,وثخوز,CKHP
1396-06-06,2017-08-28,3229,وثخوز,CKHP
1396-06-07,2017-08-29,3437,وثخوز,CKHP
1396-06-08,2017-08-30,3673,وثخوز,CKHP
1396-06-11,2017-09-02,3327,وثخوز,CKHP
1396-06-12,2017-09-03,3258,وثخوز,CKHP
1396-06-13,2017-09-04,3194,وثخوز,CKHP
1396-06-14,2017-09-05,3354,وثخوز,CKHP
1396-06-15,2017-09-06,3041,وثخوز,CKHP
1396-06-19,2017-09-10,3322,وثخوز,CKHP
1396-06-20,2017-09-11,3467,وثخوز,CKHP
1396-06-21,2017-09-12,3410,وثخوز,CKHP
1396-06-22,2017-09-13,3535,وثخوز,CKHP
1396-06-25,2017-09-16,3727,وثخوز,CKHP
1396-06-26,2017-09-17,3516,وثخوز,CKHP
1396-06-27,2017-09-18,3422,وثخوز,CKHP
1396-06-28,2017-09-19,3801,وثخوز,CKHP
1396-06-29,2017-09-20,3706,وثخوز,CKHP
1396-07-01,2017-09-23,3431,وثخوز,CKHP
1396-07-02,2017-09-24,3656,وثخوز,CKHP
1396-07-03,2017-09-25,3297,وثخوز,CKHP
1396-07-04,2017-09-26,3373,وثخوز,CKHP
1396-07-05,2017-09-27,3572,وثخوز,CKHP
1396-07-10,2017-10-02,3564,وثخوز,CKHP
1396-07-11,2017-10-03,3325,وثخوز,CKHP
1396-07-12,2017-10-04,3104,وثخوز,CKHP
1396-07-16,2017-10-08,3136,وثخوز,CKHP
1396-07-17,2017-10-09,3273,وثخوز,CKHP
1396-07-18,2017-10-10,3275,وثخوز,CKHP
1396-07-19,2017-10-11,3212,وثخوز,CKHP
1396-07-22,2017-10-14,3125,وثخوز,CKHP
1396-07-23,2017-10-15,2946,وثخوز,CKHP
1396-07-24,2017-10-16,3127,وثخوز,CKHP
1396-07-25,2017-10-17,3014,وثخوز,CKHP
1396-07-26,2017-10-18,3085,وثخوز,CKHP
1396-07-29,2017-10-21,2993,وثخوز,CKHP
1396-07-30,2017-10-22,3031,وثخوز,CKHP
1396-08-01,2017-10-23,2789,وثخوز,CKHP
1396-08-02,2017-10-24,2945,وثخوز,CKHP
1396-08-07,2017-10-29,2936,وثخوز,CKHP
1396-08-08,2017-10-30,2889,وثخوز,CKHP
1396-08-09,2017-10-31,2898,وثخوز,CKHP
1396-08-10,2017-11-01,3011,وثخوز,CKHP
1396-08-13,2017-11-04,3215,وثخوز,CKHP
1396-08-14,2017-11-05,3462,وثخوز,CKHP
1396-08-15,2017-11-06,3510,وثخوز,CKHP
1396-08-16,2017-11-07,3340,وثخوز,CKHP
1396-08-17,2017-11-08,3231,وثخوز,CKHP
1396-08-20,2017-11-11,3420,وثخوز,CKHP
