J-Date,Date,Adj Close,Ticker,Ticker(4)
1392-08-12,2013-11-03,344,سمتاز,CMKP
1392-08-26,2013-11-17,344,سمتاز,CMKP
1392-09-20,2013-12-11,295,سمتاز,CMKP
1392-10-11,2014-01-01,354,سمتاز,CMKP
1392-10-23,2014-01-13,403,سمتاز,CMKP
1392-10-25,2014-01-15,452,سمتاز,CMKP
1392-11-01,2014-01-21,452,سمتاز,CMKP
1392-11-09,2014-01-29,452,سمتاز,CMKP
1392-11-12,2014-02-01,452,سمتاز,CMKP
1392-11-15,2014-02-04,452,سمتاز,CMKP
1392-12-11,2014-03-02,462,سمتاز,CMKP
1393-01-16,2014-04-05,464,سمتاز,CMKP
1393-01-25,2014-04-14,464,سمتاز,CMKP
1393-03-17,2014-06-07,580,سمتاز,CMKP
1393-03-18,2014-06-08,570,سمتاز,CMKP
1393-04-10,2014-07-01,617,سمتاز,CMKP
1393-04-15,2014-07-06,638,سمتاز,CMKP
1393-04-31,2014-07-22,548,سمتاز,CMKP
1393-05-14,2014-08-05,548,سمتاز,CMKP
1393-05-15,2014-08-06,548,سمتاز,CMKP
1393-06-01,2014-08-23,580,سمتاز,CMKP
1393-06-25,2014-09-16,580,سمتاز,CMKP
1393-07-16,2014-10-08,580,سمتاز,CMKP
1393-08-19,2014-11-10,615,سمتاز,CMKP
1393-10-09,2014-12-30,638,سمتاز,CMKP
1393-11-04,2015-01-24,621,سمتاز,CMKP
1393-11-07,2015-01-27,568,سمتاز,CMKP
1393-11-25,2015-02-14,580,سمتاز,CMKP
1393-12-19,2015-03-10,580,سمتاز,CMKP
1393-12-23,2015-03-14,447,سمتاز,CMKP
1394-03-19,2015-06-09,432,سمتاز,CMKP
1394-03-20,2015-06-10,434,سمتاز,CMKP
1394-03-23,2015-06-13,576,سمتاز,CMKP
1394-06-04,2015-08-26,605,سمتاز,CMKP
1394-06-14,2015-09-05,605,سمتاز,CMKP
1394-07-12,2015-10-04,576,سمتاز,CMKP
1394-09-03,2015-11-24,519,سمتاز,CMKP
1394-10-12,2016-01-02,519,سمتاز,CMKP
1394-10-27,2016-01-17,519,سمتاز,CMKP
1394-11-10,2016-01-30,648,سمتاز,CMKP
1394-12-11,2016-03-01,634,سمتاز,CMKP
1395-01-15,2016-04-03,591,سمتاز,CMKP
1395-02-15,2016-05-04,620,سمتاز,CMKP
1395-02-21,2016-05-10,620,سمتاز,CMKP
1395-02-22,2016-05-11,594,سمتاز,CMKP
1395-03-22,2016-06-11,585,سمتاز,CMKP
1395-03-23,2016-06-12,585,سمتاز,CMKP
1395-03-26,2016-06-15,585,سمتاز,CMKP
1395-04-19,2016-07-09,602,سمتاز,CMKP
1395-05-03,2016-07-24,569,سمتاز,CMKP
1395-05-17,2016-08-07,569,سمتاز,CMKP
1395-05-18,2016-08-08,569,سمتاز,CMKP
1395-05-20,2016-08-10,585,سمتاز,CMKP
1395-07-10,2016-10-01,585,سمتاز,CMKP
1395-08-10,2016-10-31,669,سمتاز,CMKP
1395-08-11,2016-11-01,669,سمتاز,CMKP
1395-08-15,2016-11-05,669,سمتاز,CMKP
1395-08-22,2016-11-12,586,سمتاز,CMKP
1395-09-28,2016-12-18,669,سمتاز,CMKP
1395-10-05,2016-12-25,602,سمتاز,CMKP
1395-10-15,2017-01-04,602,سمتاز,CMKP
1395-11-18,2017-02-06,619,سمتاز,CMKP
1395-12-17,2017-03-07,669,سمتاز,CMKP
1395-12-28,2017-03-18,669,سمتاز,CMKP
1396-05-11,2017-08-02,741,سمتاز,CMKP
1396-06-01,2017-08-23,761,سمتاز,CMKP
1396-07-12,2017-10-04,839,سمتاز,CMKP
1396-07-15,2017-10-07,801,سمتاز,CMKP
1396-07-16,2017-10-08,819,سمتاز,CMKP
1396-07-18,2017-10-10,819,سمتاز,CMKP
1396-08-03,2017-10-25,790,سمتاز,CMKP
1396-09-08,2017-11-29,790,سمتاز,CMKP
1396-10-10,2017-12-31,800,سمتاز,CMKP
1396-10-13,2018-01-03,790,سمتاز,CMKP
1396-10-16,2018-01-06,802,سمتاز,CMKP
1396-11-17,2018-02-06,800,سمتاز,CMKP
