J-Date,Date,Adj Close,Ticker,Ticker(4)
1380-01-05,2001-03-25,81,دابور,DABO
1380-01-07,2001-03-27,81,دابور,DABO
1380-01-08,2001-03-28,85,دابور,DABO
1380-01-19,2001-04-08,88,دابور,DABO
1380-01-20,2001-04-09,88,دابور,DABO
1380-01-21,2001-04-10,88,دابور,DABO
1380-01-27,2001-04-16,88,دابور,DABO
1380-01-28,2001-04-17,88,دابور,DABO
1380-01-29,2001-04-18,88,دابور,DABO
1380-02-02,2001-04-22,88,دابور,DABO
1380-02-08,2001-04-28,88,دابور,DABO
1380-02-09,2001-04-29,88,دابور,DABO
1380-02-10,2001-04-30,88,دابور,DABO
1380-02-11,2001-05-01,88,دابور,DABO
1380-02-12,2001-05-02,88,دابور,DABO
1380-02-15,2001-05-05,88,دابور,DABO
1380-02-16,2001-05-06,88,دابور,DABO
1380-02-17,2001-05-07,88,دابور,DABO
1380-02-18,2001-05-08,88,دابور,DABO
1380-02-22,2001-05-12,88,دابور,DABO
1380-02-23,2001-05-13,92,دابور,DABO
1380-02-30,2001-05-20,97,دابور,DABO
1380-03-02,2001-05-23,101,دابور,DABO
1380-03-06,2001-05-27,107,دابور,DABO
1380-03-07,2001-05-28,112,دابور,DABO
1380-03-09,2001-05-30,112,دابور,DABO
1380-03-12,2001-06-02,112,دابور,DABO
1380-03-26,2001-06-16,110,دابور,DABO
1380-03-27,2001-06-17,110,دابور,DABO
1380-04-25,2001-07-16,66,دابور,DABO
1380-04-27,2001-07-18,69,دابور,DABO
1380-06-06,2001-08-28,72,دابور,DABO
1380-06-07,2001-08-29,76,دابور,DABO
1380-06-12,2001-09-03,80,دابور,DABO
1380-06-20,2001-09-11,82,دابور,DABO
1380-06-21,2001-09-12,84,دابور,DABO
1380-06-24,2001-09-15,82,دابور,DABO
1380-06-25,2001-09-16,83,دابور,DABO
1380-06-26,2001-09-17,82,دابور,DABO
1380-06-27,2001-09-18,81,دابور,DABO
1380-06-28,2001-09-19,83,دابور,DABO
1380-06-31,2001-09-22,83,دابور,DABO
1380-07-02,2001-09-24,85,دابور,DABO
1380-07-07,2001-09-29,86,دابور,DABO
1380-07-08,2001-09-30,87,دابور,DABO
1380-07-10,2001-10-02,88,دابور,DABO
1380-07-14,2001-10-06,89,دابور,DABO
1380-07-15,2001-10-07,90,دابور,DABO
1380-07-16,2001-10-08,90,دابور,DABO
1380-07-17,2001-10-09,91,دابور,DABO
1380-07-18,2001-10-10,91,دابور,DABO
1380-07-21,2001-10-13,91,دابور,DABO
