J-Date,Date,Adj Close,Ticker,Ticker(4)
1380-01-07,2001-03-27,67,ددام,DAML
1380-01-25,2001-04-14,67,ددام,DAML
1380-01-28,2001-04-17,67,ددام,DAML
1380-02-03,2001-04-23,67,ددام,DAML
1380-02-09,2001-04-29,68,ددام,DAML
1380-02-10,2001-04-30,69,ددام,DAML
1380-02-12,2001-05-02,69,ددام,DAML
1380-02-16,2001-05-06,69,ددام,DAML
1380-02-17,2001-05-07,69,ددام,DAML
1380-02-30,2001-05-20,72,ددام,DAML
1380-02-31,2001-05-21,76,ددام,DAML
1380-03-02,2001-05-23,80,ددام,DAML
1380-03-07,2001-05-28,80,ددام,DAML
1380-03-08,2001-05-29,80,ددام,DAML
1380-03-09,2001-05-30,80,ددام,DAML
1380-03-13,2001-06-03,80,ددام,DAML
1380-04-04,2001-06-25,61,ددام,DAML
1380-06-10,2001-09-01,64,ددام,DAML
1380-06-12,2001-09-03,68,ددام,DAML
1380-06-13,2001-09-04,71,ددام,DAML
1380-06-14,2001-09-05,75,ددام,DAML
1380-06-18,2001-09-09,78,ددام,DAML
1380-06-19,2001-09-10,82,ددام,DAML
1380-06-20,2001-09-11,86,ددام,DAML
1380-06-21,2001-09-12,86,ددام,DAML
1380-06-24,2001-09-15,84,ددام,DAML
1380-06-28,2001-09-19,82,ددام,DAML
1380-07-01,2001-09-23,82,ددام,DAML
1380-07-02,2001-09-24,82,ددام,DAML
1380-07-07,2001-09-29,82,ددام,DAML
1380-07-14,2001-10-06,82,ددام,DAML
1380-07-16,2001-10-08,82,ددام,DAML
1380-07-17,2001-10-09,82,ددام,DAML
1380-07-24,2001-10-16,83,ددام,DAML
1380-07-29,2001-10-21,83,ددام,DAML
1380-07-30,2001-10-22,83,ددام,DAML
1380-08-01,2001-10-23,83,ددام,DAML
1380-08-02,2001-10-24,83,ددام,DAML
1380-08-08,2001-10-30,83,ددام,DAML
1380-08-09,2001-10-31,83,ددام,DAML
1380-08-21,2001-11-12,85,ددام,DAML
1380-08-22,2001-11-13,85,ددام,DAML
