J-Date,Date,Adj Close,Ticker,Ticker(4)
1390-12-28,2012-03-18,226,سدبیر,DBRZ
1391-04-17,2012-07-07,266,سدبیر,DBRZ
1391-04-18,2012-07-08,251,سدبیر,DBRZ
1391-04-25,2012-07-15,278,سدبیر,DBRZ
1391-04-26,2012-07-16,258,سدبیر,DBRZ
1391-04-27,2012-07-17,258,سدبیر,DBRZ
1391-04-28,2012-07-18,253,سدبیر,DBRZ
1391-04-31,2012-07-21,253,سدبیر,DBRZ
1391-05-01,2012-07-22,248,سدبیر,DBRZ
1391-05-02,2012-07-23,253,سدبیر,DBRZ
1391-05-03,2012-07-24,252,سدبیر,DBRZ
1391-05-04,2012-07-25,238,سدبیر,DBRZ
1391-05-07,2012-07-28,247,سدبیر,DBRZ
1391-05-08,2012-07-29,232,سدبیر,DBRZ
1391-05-09,2012-07-30,246,سدبیر,DBRZ
1391-05-10,2012-07-31,247,سدبیر,DBRZ
1391-05-14,2012-08-04,240,سدبیر,DBRZ
1391-05-21,2012-08-11,240,سدبیر,DBRZ
1391-05-31,2012-08-21,230,سدبیر,DBRZ
1391-06-01,2012-08-22,240,سدبیر,DBRZ
1391-06-04,2012-08-25,225,سدبیر,DBRZ
1391-06-12,2012-09-02,225,سدبیر,DBRZ
1391-06-13,2012-09-03,216,سدبیر,DBRZ
1391-06-14,2012-09-04,215,سدبیر,DBRZ
1391-06-15,2012-09-05,217,سدبیر,DBRZ
1391-06-18,2012-09-08,208,سدبیر,DBRZ
1391-06-19,2012-09-09,198,سدبیر,DBRZ
1391-06-20,2012-09-10,189,سدبیر,DBRZ
1391-06-21,2012-09-11,198,سدبیر,DBRZ
1391-06-25,2012-09-15,197,سدبیر,DBRZ
1391-06-26,2012-09-16,207,سدبیر,DBRZ
1391-06-27,2012-09-17,217,سدبیر,DBRZ
1391-06-28,2012-09-18,228,سدبیر,DBRZ
1391-06-29,2012-09-19,239,سدبیر,DBRZ
1391-07-01,2012-09-22,251,سدبیر,DBRZ
1391-07-02,2012-09-23,253,سدبیر,DBRZ
1391-07-03,2012-09-24,250,سدبیر,DBRZ
1391-07-04,2012-09-25,263,سدبیر,DBRZ
1391-07-05,2012-09-26,263,سدبیر,DBRZ
1391-07-08,2012-09-29,273,سدبیر,DBRZ
