J-Date,Date,Adj Close,Ticker,Ticker(4)
1380-04-09,2001-06-30,79,دفارا,DFRB
1380-04-18,2001-07-09,83,دفارا,DFRB
1380-04-23,2001-07-14,87,دفارا,DFRB
1380-04-24,2001-07-15,91,دفارا,DFRB
1380-05-29,2001-08-20,100,دفارا,DFRB
1380-06-04,2001-08-26,101,دفارا,DFRB
1380-06-05,2001-08-27,102,دفارا,DFRB
1380-06-06,2001-08-28,103,دفارا,DFRB
1380-06-07,2001-08-29,104,دفارا,DFRB
1380-06-10,2001-09-01,105,دفارا,DFRB
1380-06-11,2001-09-02,106,دفارا,DFRB
1380-06-12,2001-09-03,107,دفارا,DFRB
1380-06-13,2001-09-04,108,دفارا,DFRB
1380-06-17,2001-09-08,109,دفارا,DFRB
1380-06-18,2001-09-09,111,دفارا,DFRB
1380-06-19,2001-09-10,112,دفارا,DFRB
1380-06-20,2001-09-11,113,دفارا,DFRB
1380-06-21,2001-09-12,114,دفارا,DFRB
1380-06-24,2001-09-15,115,دفارا,DFRB
1380-06-25,2001-09-16,116,دفارا,DFRB
1380-06-26,2001-09-17,117,دفارا,DFRB
1380-06-27,2001-09-18,116,دفارا,DFRB
1380-06-28,2001-09-19,116,دفارا,DFRB
1380-06-31,2001-09-22,116,دفارا,DFRB
1380-07-03,2001-09-25,117,دفارا,DFRB
1380-07-07,2001-09-29,118,دفارا,DFRB
1380-07-08,2001-09-30,120,دفارا,DFRB
1380-07-10,2001-10-02,121,دفارا,DFRB
1380-07-11,2001-10-03,120,دفارا,DFRB
1380-07-14,2001-10-06,120,دفارا,DFRB
1380-07-15,2001-10-07,121,دفارا,DFRB
1380-07-16,2001-10-08,120,دفارا,DFRB
1380-07-17,2001-10-09,120,دفارا,DFRB
1380-07-18,2001-10-10,118,دفارا,DFRB
1380-07-21,2001-10-13,117,دفارا,DFRB
1380-07-22,2001-10-14,116,دفارا,DFRB
1380-07-24,2001-10-16,115,دفارا,DFRB
1380-07-25,2001-10-17,114,دفارا,DFRB
1380-07-28,2001-10-20,113,دفارا,DFRB
1380-07-29,2001-10-21,113,دفارا,DFRB
1380-07-30,2001-10-22,114,دفارا,DFRB
1380-08-01,2001-10-23,114,دفارا,DFRB
1380-08-02,2001-10-24,114,دفارا,DFRB
1380-08-05,2001-10-27,113,دفارا,DFRB
1380-08-12,2001-11-03,117,دفارا,DFRB
1380-08-13,2001-11-04,118,دفارا,DFRB
1380-08-15,2001-11-06,119,دفارا,DFRB
1380-08-19,2001-11-10,121,دفارا,DFRB
1380-08-20,2001-11-11,122,دفارا,DFRB
1380-08-21,2001-11-12,123,دفارا,DFRB
1380-08-22,2001-11-13,124,دفارا,DFRB
1380-08-23,2001-11-14,125,دفارا,DFRB
1380-08-26,2001-11-17,125,دفارا,DFRB
1380-08-27,2001-11-18,125,دفارا,DFRB
1380-08-28,2001-11-19,125,دفارا,DFRB
1380-08-29,2001-11-20,125,دفارا,DFRB
1380-08-30,2001-11-21,125,دفارا,DFRB
1380-09-03,2001-11-24,125,دفارا,DFRB
1380-09-04,2001-11-25,125,دفارا,DFRB
1380-09-05,2001-11-26,125,دفارا,DFRB
1380-09-06,2001-11-27,125,دفارا,DFRB
1380-09-07,2001-11-28,125,دفارا,DFRB
1380-09-10,2001-12-01,125,دفارا,DFRB
1380-09-11,2001-12-02,125,دفارا,DFRB
1380-09-12,2001-12-03,125,دفارا,DFRB
1380-09-13,2001-12-04,125,دفارا,DFRB
1380-09-14,2001-12-05,124,دفارا,DFRB
1380-09-17,2001-12-08,125,دفارا,DFRB
1380-09-18,2001-12-09,125,دفارا,DFRB
1380-09-19,2001-12-10,125,دفارا,DFRB
1380-09-20,2001-12-11,125,دفارا,DFRB
1380-09-21,2001-12-12,125,دفارا,DFRB
1380-09-24,2001-12-15,126,دفارا,DFRB
1380-09-26,2001-12-17,127,دفارا,DFRB
1380-09-27,2001-12-18,129,دفارا,DFRB
1380-09-28,2001-12-19,129,دفارا,DFRB
1380-10-01,2001-12-22,129,دفارا,DFRB
1380-10-02,2001-12-23,129,دفارا,DFRB
1380-10-03,2001-12-24,130,دفارا,DFRB
1380-10-04,2001-12-25,131,دفارا,DFRB
1380-10-05,2001-12-26,133,دفارا,DFRB
1380-10-08,2001-12-29,134,دفارا,DFRB
1380-10-09,2001-12-30,135,دفارا,DFRB
1380-10-10,2001-12-31,137,دفارا,DFRB
1380-10-11,2002-01-01,138,دفارا,DFRB
1380-10-12,2002-01-02,137,دفارا,DFRB
1380-10-15,2002-01-05,135,دفارا,DFRB
1380-10-16,2002-01-06,134,دفارا,DFRB
1380-10-17,2002-01-07,135,دفارا,DFRB
1380-10-18,2002-01-08,137,دفارا,DFRB
1380-10-22,2002-01-12,137,دفارا,DFRB
1380-10-23,2002-01-13,138,دفارا,DFRB
1380-10-24,2002-01-14,138,دفارا,DFRB
1380-10-25,2002-01-15,137,دفارا,DFRB
1380-10-26,2002-01-16,136,دفارا,DFRB
1380-10-29,2002-01-19,137,دفارا,DFRB
1380-10-30,2002-01-20,138,دفارا,DFRB
1380-11-01,2002-01-21,138,دفارا,DFRB
1380-11-02,2002-01-22,140,دفارا,DFRB
1380-11-03,2002-01-23,141,دفارا,DFRB
1380-11-06,2002-01-26,139,دفارا,DFRB
1380-11-07,2002-01-27,141,دفارا,DFRB
1380-11-08,2002-01-28,140,دفارا,DFRB
1380-11-09,2002-01-29,139,دفارا,DFRB
1380-11-10,2002-01-30,138,دفارا,DFRB
1380-11-13,2002-02-02,137,دفارا,DFRB
1380-11-23,2002-02-12,133,دفارا,DFRB
1380-11-24,2002-02-13,133,دفارا,DFRB
1380-11-27,2002-02-16,134,دفارا,DFRB
1380-11-28,2002-02-17,134,دفارا,DFRB
1380-11-29,2002-02-18,135,دفارا,DFRB
1380-11-30,2002-02-19,137,دفارا,DFRB
1380-12-01,2002-02-20,138,دفارا,DFRB
1381-01-28,2002-04-17,138,دفارا,DFRB
1381-01-31,2002-04-20,139,دفارا,DFRB
1381-02-01,2002-04-21,140,دفارا,DFRB
1381-02-03,2002-04-23,142,دفارا,DFRB
1381-02-04,2002-04-24,143,دفارا,DFRB
1381-02-08,2002-04-28,145,دفارا,DFRB
1381-02-09,2002-04-29,146,دفارا,DFRB
1381-02-10,2002-04-30,148,دفارا,DFRB
1381-02-11,2002-05-01,149,دفارا,DFRB
1381-02-14,2002-05-04,151,دفارا,DFRB
1381-02-15,2002-05-05,152,دفارا,DFRB
1381-02-16,2002-05-06,154,دفارا,DFRB
1381-02-17,2002-05-07,155,دفارا,DFRB
1381-02-18,2002-05-08,157,دفارا,DFRB
1381-02-22,2002-05-12,158,دفارا,DFRB
1381-02-24,2002-05-14,160,دفارا,DFRB
1381-02-25,2002-05-15,161,دفارا,DFRB
1381-02-28,2002-05-18,160,دفارا,DFRB
1381-02-30,2002-05-20,150,دفارا,DFRB
1381-02-31,2002-05-21,148,دفارا,DFRB
1381-03-01,2002-05-22,150,دفارا,DFRB
1381-03-04,2002-05-25,149,دفارا,DFRB
1381-03-05,2002-05-26,148,دفارا,DFRB
1381-03-06,2002-05-27,146,دفارا,DFRB
1381-03-07,2002-05-28,145,دفارا,DFRB
1381-03-08,2002-05-29,143,دفارا,DFRB
1381-03-11,2002-06-01,145,دفارا,DFRB
1381-03-12,2002-06-02,146,دفارا,DFRB
1381-03-13,2002-06-03,148,دفارا,DFRB
1381-03-18,2002-06-08,148,دفارا,DFRB
1381-03-19,2002-06-09,148,دفارا,DFRB
1381-03-20,2002-06-10,147,دفارا,DFRB
1381-03-21,2002-06-11,147,دفارا,DFRB
1381-03-22,2002-06-12,147,دفارا,DFRB
1381-03-25,2002-06-15,146,دفارا,DFRB
1381-03-26,2002-06-16,144,دفارا,DFRB
1381-03-27,2002-06-17,143,دفارا,DFRB
1381-03-28,2002-06-18,143,دفارا,DFRB
1381-03-29,2002-06-19,144,دفارا,DFRB
1381-04-01,2002-06-22,143,دفارا,DFRB
1381-04-02,2002-06-23,143,دفارا,DFRB
1381-04-03,2002-06-24,143,دفارا,DFRB
1381-04-04,2002-06-25,143,دفارا,DFRB
1381-04-05,2002-06-26,143,دفارا,DFRB
1381-04-08,2002-06-29,143,دفارا,DFRB
1381-04-09,2002-06-30,143,دفارا,DFRB
1381-04-10,2002-07-01,142,دفارا,DFRB
1381-05-02,2002-07-24,158,دفارا,DFRB
1381-05-05,2002-07-27,154,دفارا,DFRB
1381-05-06,2002-07-28,151,دفارا,DFRB
1381-05-07,2002-07-29,147,دفارا,DFRB
1381-05-08,2002-07-30,143,دفارا,DFRB
1381-05-09,2002-07-31,143,دفارا,DFRB
1381-05-12,2002-08-03,147,دفارا,DFRB
1381-05-13,2002-08-04,146,دفارا,DFRB
1381-05-14,2002-08-05,146,دفارا,DFRB
1381-05-15,2002-08-06,143,دفارا,DFRB
1381-05-16,2002-08-07,143,دفارا,DFRB
1381-05-19,2002-08-10,143,دفارا,DFRB
1381-05-20,2002-08-11,142,دفارا,DFRB
1381-05-22,2002-08-13,143,دفارا,DFRB
1381-05-23,2002-08-14,143,دفارا,DFRB
1381-05-26,2002-08-17,147,دفارا,DFRB
1381-05-27,2002-08-18,151,دفارا,DFRB
1381-05-28,2002-08-19,154,دفارا,DFRB
1381-05-29,2002-08-20,153,دفارا,DFRB
1381-05-30,2002-08-21,152,دفارا,DFRB
1381-06-02,2002-08-24,153,دفارا,DFRB
1381-06-03,2002-08-25,152,دفارا,DFRB
1381-06-04,2002-08-26,150,دفارا,DFRB
1381-06-05,2002-08-27,151,دفارا,DFRB
1381-06-06,2002-08-28,152,دفارا,DFRB
1381-06-09,2002-08-31,154,دفارا,DFRB
1381-06-10,2002-09-01,155,دفارا,DFRB
1381-06-11,2002-09-02,157,دفارا,DFRB
1381-06-12,2002-09-03,155,دفارا,DFRB
1381-06-13,2002-09-04,154,دفارا,DFRB
1381-06-16,2002-09-07,152,دفارا,DFRB
1381-06-17,2002-09-08,151,دفارا,DFRB
1381-06-18,2002-09-09,149,دفارا,DFRB
1381-06-19,2002-09-10,149,دفارا,DFRB
1381-06-20,2002-09-11,150,دفارا,DFRB
1381-06-23,2002-09-14,148,دفارا,DFRB
1381-06-24,2002-09-15,148,دفارا,DFRB
1381-06-25,2002-09-16,146,دفارا,DFRB
1381-06-26,2002-09-17,145,دفارا,DFRB
1381-06-27,2002-09-18,145,دفارا,DFRB
1381-06-31,2002-09-22,145,دفارا,DFRB
1381-07-01,2002-09-23,144,دفارا,DFRB
1381-07-02,2002-09-24,142,دفارا,DFRB
1381-07-03,2002-09-25,141,دفارا,DFRB
1381-07-06,2002-09-28,141,دفارا,DFRB
1381-07-07,2002-09-29,144,دفارا,DFRB
1381-07-08,2002-09-30,146,دفارا,DFRB
1381-07-09,2002-10-01,146,دفارا,DFRB
1381-07-10,2002-10-02,146,دفارا,DFRB
1381-07-14,2002-10-06,145,دفارا,DFRB
1381-07-15,2002-10-07,145,دفارا,DFRB
1381-07-16,2002-10-08,142,دفارا,DFRB
1381-07-17,2002-10-09,142,دفارا,DFRB
1381-07-20,2002-10-12,142,دفارا,DFRB
1381-07-21,2002-10-13,138,دفارا,DFRB
1381-07-22,2002-10-14,135,دفارا,DFRB
1381-07-23,2002-10-15,133,دفارا,DFRB
1381-07-24,2002-10-16,133,دفارا,DFRB
1381-07-27,2002-10-19,136,دفارا,DFRB
1381-07-28,2002-10-20,137,دفارا,DFRB
1381-07-29,2002-10-21,139,دفارا,DFRB
1381-08-01,2002-10-23,140,دفارا,DFRB
1381-08-04,2002-10-26,142,دفارا,DFRB
1381-08-05,2002-10-27,143,دفارا,DFRB
1381-08-06,2002-10-28,144,دفارا,DFRB
1381-08-07,2002-10-29,146,دفارا,DFRB
1381-08-08,2002-10-30,147,دفارا,DFRB
1381-08-11,2002-11-02,149,دفارا,DFRB
1381-08-12,2002-11-03,150,دفارا,DFRB
1381-08-13,2002-11-04,152,دفارا,DFRB
1381-08-14,2002-11-05,153,دفارا,DFRB
1381-08-15,2002-11-06,155,دفارا,DFRB
1381-08-18,2002-11-09,156,دفارا,DFRB
1381-08-19,2002-11-10,158,دفارا,DFRB
1381-08-20,2002-11-11,160,دفارا,DFRB
1381-08-21,2002-11-12,161,دفارا,DFRB
1381-08-22,2002-11-13,163,دفارا,DFRB
1381-09-19,2002-12-10,200,دفارا,DFRB
1381-09-20,2002-12-11,198,دفارا,DFRB
1381-09-23,2002-12-14,200,دفارا,DFRB
1381-09-24,2002-12-15,202,دفارا,DFRB
1381-09-25,2002-12-16,204,دفارا,DFRB
1381-09-26,2002-12-17,206,دفارا,DFRB
1381-09-27,2002-12-18,208,دفارا,DFRB
1381-09-30,2002-12-21,210,دفارا,DFRB
1381-10-01,2002-12-22,212,دفارا,DFRB
1381-10-02,2002-12-23,214,دفارا,DFRB
1381-10-03,2002-12-24,216,دفارا,DFRB
1381-10-04,2002-12-25,218,دفارا,DFRB
1381-10-07,2002-12-28,220,دفارا,DFRB
1381-10-08,2002-12-29,223,دفارا,DFRB
1381-10-10,2002-12-31,225,دفارا,DFRB
1381-10-11,2003-01-01,227,دفارا,DFRB
1381-10-14,2003-01-04,229,دفارا,DFRB
1381-10-16,2003-01-06,232,دفارا,DFRB
1381-10-17,2003-01-07,234,دفارا,DFRB
1381-10-18,2003-01-08,236,دفارا,DFRB
1381-10-21,2003-01-11,239,دفارا,DFRB
1381-10-22,2003-01-12,241,دفارا,DFRB
1381-10-23,2003-01-13,243,دفارا,DFRB
1381-10-24,2003-01-14,246,دفارا,DFRB
1381-10-25,2003-01-15,248,دفارا,DFRB
1381-10-29,2003-01-19,251,دفارا,DFRB
1381-10-30,2003-01-20,253,دفارا,DFRB
1381-11-01,2003-01-21,256,دفارا,DFRB
1381-11-02,2003-01-22,258,دفارا,DFRB
1381-11-05,2003-01-25,261,دفارا,DFRB
1381-11-06,2003-01-26,262,دفارا,DFRB
1381-11-07,2003-01-27,264,دفارا,DFRB
1381-11-08,2003-01-28,267,دفارا,DFRB
1381-11-09,2003-01-29,269,دفارا,DFRB
1381-11-12,2003-02-01,267,دفارا,DFRB
1381-11-13,2003-02-02,266,دفارا,DFRB
1381-11-14,2003-02-03,264,دفارا,DFRB
1381-11-15,2003-02-04,266,دفارا,DFRB
1381-11-16,2003-02-05,266,دفارا,DFRB
1381-11-19,2003-02-08,264,دفارا,DFRB
1381-11-20,2003-02-09,262,دفارا,DFRB
1381-11-21,2003-02-10,259,دفارا,DFRB
1381-11-26,2003-02-15,259,دفارا,DFRB
1381-11-27,2003-02-16,259,دفارا,DFRB
1381-11-28,2003-02-17,262,دفارا,DFRB
1381-11-29,2003-02-18,264,دفارا,DFRB
1381-11-30,2003-02-19,262,دفارا,DFRB
1381-12-03,2003-02-22,262,دفارا,DFRB
1381-12-04,2003-02-23,259,دفارا,DFRB
1381-12-06,2003-02-25,254,دفارا,DFRB
1381-12-07,2003-02-26,254,دفارا,DFRB
1381-12-10,2003-03-01,252,دفارا,DFRB
1381-12-11,2003-03-02,250,دفارا,DFRB
1381-12-12,2003-03-03,247,دفارا,DFRB
1381-12-13,2003-03-04,246,دفارا,DFRB
1381-12-14,2003-03-05,244,دفارا,DFRB
1381-12-17,2003-03-08,242,دفارا,DFRB
1381-12-18,2003-03-09,239,دفارا,DFRB
1381-12-19,2003-03-10,237,دفارا,DFRB
1381-12-20,2003-03-11,235,دفارا,DFRB
1381-12-21,2003-03-12,235,دفارا,DFRB
1381-12-24,2003-03-15,237,دفارا,DFRB
1381-12-25,2003-03-16,239,دفارا,DFRB
1381-12-26,2003-03-17,242,دفارا,DFRB
1381-12-27,2003-03-18,244,دفارا,DFRB
1381-12-28,2003-03-19,247,دفارا,DFRB
1382-01-05,2003-03-25,249,دفارا,DFRB
1382-01-11,2003-03-31,252,دفارا,DFRB
1382-01-16,2003-04-05,254,دفارا,DFRB
1382-01-17,2003-04-06,257,دفارا,DFRB
1382-01-18,2003-04-07,259,دفارا,DFRB
1382-01-19,2003-04-08,262,دفارا,DFRB
1382-01-20,2003-04-09,264,دفارا,DFRB
1382-01-23,2003-04-12,267,دفارا,DFRB
1382-01-24,2003-04-13,270,دفارا,DFRB
1382-01-25,2003-04-14,272,دفارا,DFRB
1382-01-26,2003-04-15,275,دفارا,DFRB
1382-01-27,2003-04-16,278,دفارا,DFRB
1382-01-30,2003-04-19,281,دفارا,DFRB
1382-01-31,2003-04-20,283,دفارا,DFRB
1382-02-01,2003-04-21,286,دفارا,DFRB
1382-02-02,2003-04-22,289,دفارا,DFRB
1382-02-06,2003-04-26,292,دفارا,DFRB
1382-02-07,2003-04-27,292,دفارا,DFRB
1382-02-08,2003-04-28,291,دفارا,DFRB
1382-02-09,2003-04-29,288,دفارا,DFRB
1382-02-10,2003-04-30,285,دفارا,DFRB
1382-02-13,2003-05-03,284,دفارا,DFRB
1382-02-14,2003-05-04,284,دفارا,DFRB
1382-02-15,2003-05-05,283,دفارا,DFRB
1382-02-16,2003-05-06,284,دفارا,DFRB
1382-02-17,2003-05-07,286,دفارا,DFRB
1382-02-20,2003-05-10,289,دفارا,DFRB
1382-02-21,2003-05-11,292,دفارا,DFRB
1382-02-22,2003-05-12,295,دفارا,DFRB
1382-02-24,2003-05-14,298,دفارا,DFRB
1382-02-27,2003-05-17,301,دفارا,DFRB
1382-02-28,2003-05-18,304,دفارا,DFRB
1382-02-30,2003-05-20,301,دفارا,DFRB
1382-02-31,2003-05-21,298,دفارا,DFRB
1382-03-03,2003-05-24,295,دفارا,DFRB
1382-03-04,2003-05-25,295,دفارا,DFRB
1382-03-05,2003-05-26,292,دفارا,DFRB
1382-03-06,2003-05-27,289,دفارا,DFRB
1382-03-07,2003-05-28,285,دفارا,DFRB
1382-03-10,2003-05-31,279,دفارا,DFRB
1382-03-11,2003-06-01,269,دفارا,DFRB
1382-03-12,2003-06-02,269,دفارا,DFRB
1382-03-13,2003-06-03,269,دفارا,DFRB
1382-03-17,2003-06-07,274,دفارا,DFRB
1382-03-18,2003-06-08,276,دفارا,DFRB
1382-03-19,2003-06-09,276,دفارا,DFRB
1382-03-20,2003-06-10,276,دفارا,DFRB
1382-03-21,2003-06-11,276,دفارا,DFRB
1382-03-24,2003-06-14,273,دفارا,DFRB
1382-03-25,2003-06-15,259,دفارا,DFRB
1382-03-26,2003-06-16,259,دفارا,DFRB
1382-03-27,2003-06-17,259,دفارا,DFRB
1382-03-28,2003-06-18,259,دفارا,DFRB
1382-03-31,2003-06-21,259,دفارا,DFRB
1382-04-01,2003-06-22,259,دفارا,DFRB
1382-04-02,2003-06-23,259,دفارا,DFRB
1382-04-03,2003-06-24,257,دفارا,DFRB
1382-04-07,2003-06-28,244,دفارا,DFRB
1382-04-09,2003-06-30,232,دفارا,DFRB
1382-05-26,2003-08-17,206,دفارا,DFRB
1382-05-27,2003-08-18,206,دفارا,DFRB
1382-05-28,2003-08-19,206,دفارا,DFRB
1382-05-29,2003-08-20,206,دفارا,DFRB
1382-06-01,2003-08-23,206,دفارا,DFRB
1382-06-02,2003-08-24,206,دفارا,DFRB
1382-06-03,2003-08-25,206,دفارا,DFRB
1382-06-04,2003-08-26,206,دفارا,DFRB
1382-06-05,2003-08-27,206,دفارا,DFRB
1382-06-08,2003-08-30,206,دفارا,DFRB
1382-06-09,2003-08-31,206,دفارا,DFRB
1382-06-10,2003-09-01,206,دفارا,DFRB
1382-06-11,2003-09-02,206,دفارا,DFRB
1382-06-12,2003-09-03,206,دفارا,DFRB
1382-06-15,2003-09-06,206,دفارا,DFRB
1382-06-16,2003-09-07,206,دفارا,DFRB
1382-06-17,2003-09-08,206,دفارا,DFRB
1382-06-18,2003-09-09,206,دفارا,DFRB
1382-06-22,2003-09-13,206,دفارا,DFRB
1382-06-23,2003-09-14,206,دفارا,DFRB
1382-06-24,2003-09-15,206,دفارا,DFRB
1382-06-25,2003-09-16,206,دفارا,DFRB
1382-06-26,2003-09-17,206,دفارا,DFRB
1382-06-29,2003-09-20,206,دفارا,DFRB
1382-06-30,2003-09-21,204,دفارا,DFRB
1382-06-31,2003-09-22,203,دفارا,DFRB
1382-07-01,2003-09-23,203,دفارا,DFRB
1382-07-06,2003-09-28,203,دفارا,DFRB
1382-07-07,2003-09-29,203,دفارا,DFRB
1382-07-08,2003-09-30,198,دفارا,DFRB
1382-07-09,2003-10-01,198,دفارا,DFRB
1382-07-13,2003-10-05,198,دفارا,DFRB
1382-07-14,2003-10-06,198,دفارا,DFRB
1382-07-15,2003-10-07,198,دفارا,DFRB
1382-07-16,2003-10-08,200,دفارا,DFRB
1382-07-19,2003-10-11,200,دفارا,DFRB
1382-07-21,2003-10-13,200,دفارا,DFRB
1382-07-22,2003-10-14,200,دفارا,DFRB
1382-07-23,2003-10-15,210,دفارا,DFRB
1382-07-26,2003-10-18,210,دفارا,DFRB
1382-07-27,2003-10-19,215,دفارا,DFRB
1382-07-28,2003-10-20,216,دفارا,DFRB
1382-07-29,2003-10-21,218,دفارا,DFRB
1382-07-30,2003-10-22,220,دفارا,DFRB
1382-08-03,2003-10-25,225,دفارا,DFRB
1382-08-04,2003-10-26,226,دفارا,DFRB
1382-08-05,2003-10-27,227,دفارا,DFRB
1382-08-06,2003-10-28,227,دفارا,DFRB
1382-08-07,2003-10-29,236,دفارا,DFRB
1382-08-10,2003-11-01,245,دفارا,DFRB
1382-08-11,2003-11-02,244,دفارا,DFRB
1382-08-12,2003-11-03,241,دفارا,DFRB
1382-08-13,2003-11-04,237,دفارا,DFRB
1382-08-14,2003-11-05,236,دفارا,DFRB
1382-08-17,2003-11-08,246,دفارا,DFRB
1382-08-18,2003-11-09,253,دفارا,DFRB
1382-08-19,2003-11-10,255,دفارا,DFRB
1382-08-20,2003-11-11,255,دفارا,DFRB
1382-08-21,2003-11-12,263,دفارا,DFRB
1382-08-24,2003-11-15,269,دفارا,DFRB
1382-08-26,2003-11-17,270,دفارا,DFRB
1382-08-27,2003-11-18,275,دفارا,DFRB
