J-Date,Date,Adj Close,Ticker,Ticker(4)
1397-10-23,2019-01-13,1779,زدشت,DKHZ
1397-10-24,2019-01-14,1868,زدشت,DKHZ
1397-10-25,2019-01-15,1961,زدشت,DKHZ
1397-10-26,2019-01-16,2058,زدشت,DKHZ
1397-10-29,2019-01-19,2161,زدشت,DKHZ
1397-10-30,2019-01-20,2268,زدشت,DKHZ
1397-11-02,2019-01-22,2500,زدشت,DKHZ
1397-11-03,2019-01-23,2598,زدشت,DKHZ
1397-11-06,2019-01-26,2727,زدشت,DKHZ
1397-11-07,2019-01-27,2863,زدشت,DKHZ
1397-11-08,2019-01-28,2762,زدشت,DKHZ
1397-11-09,2019-01-29,2697,زدشت,DKHZ
1397-11-10,2019-01-30,2598,زدشت,DKHZ
1397-11-13,2019-02-02,2748,زدشت,DKHZ
1397-11-14,2019-02-03,2804,زدشت,DKHZ
1397-11-15,2019-02-04,2696,زدشت,DKHZ
1397-11-16,2019-02-05,2717,زدشت,DKHZ
1397-11-17,2019-02-06,2707,زدشت,DKHZ
1397-11-21,2019-02-10,2748,زدشت,DKHZ
1397-11-23,2019-02-12,2890,زدشت,DKHZ
1397-11-24,2019-02-13,2847,زدشت,DKHZ
1397-11-27,2019-02-16,2783,زدشت,DKHZ
1397-11-28,2019-02-17,2820,زدشت,DKHZ
1397-12-04,2019-02-23,2849,زدشت,DKHZ
1397-12-05,2019-02-24,2801,زدشت,DKHZ
1397-12-06,2019-02-25,2783,زدشت,DKHZ
1397-12-07,2019-02-26,2751,زدشت,DKHZ
1397-12-08,2019-02-27,2806,زدشت,DKHZ
1397-12-11,2019-03-02,2783,زدشت,DKHZ
1397-12-12,2019-03-03,2853,زدشت,DKHZ
1397-12-13,2019-03-04,2843,زدشت,DKHZ
1397-12-14,2019-03-05,3020,زدشت,DKHZ
1397-12-15,2019-03-06,3045,زدشت,DKHZ
1397-12-18,2019-03-09,3066,زدشت,DKHZ
1397-12-19,2019-03-10,3084,زدشت,DKHZ
1397-12-20,2019-03-11,3212,زدشت,DKHZ
1397-12-21,2019-03-12,3322,زدشت,DKHZ
1397-12-22,2019-03-13,3276,زدشت,DKHZ
1397-12-25,2019-03-16,3276,زدشت,DKHZ
1397-12-26,2019-03-17,3274,زدشت,DKHZ
1397-12-27,2019-03-18,3395,زدشت,DKHZ
1397-12-28,2019-03-19,3546,زدشت,DKHZ
1398-01-05,2019-03-25,3667,زدشت,DKHZ
1398-01-06,2019-03-26,3831,زدشت,DKHZ
1398-01-07,2019-03-27,4022,زدشت,DKHZ
1398-01-10,2019-03-30,4142,زدشت,DKHZ
1398-01-11,2019-03-31,4335,زدشت,DKHZ
1398-01-17,2019-04-06,4530,زدشت,DKHZ
1398-01-18,2019-04-07,4697,زدشت,DKHZ
1398-01-20,2019-04-09,5063,زدشت,DKHZ
1398-01-21,2019-04-10,5183,زدشت,DKHZ
1398-01-24,2019-04-13,5357,زدشت,DKHZ
1398-01-25,2019-04-14,5124,زدشت,DKHZ
1398-01-26,2019-04-15,4900,زدشت,DKHZ
1398-01-27,2019-04-16,4748,زدشت,DKHZ
1398-01-28,2019-04-17,4518,زدشت,DKHZ
1398-01-31,2019-04-20,4743,زدشت,DKHZ
1398-02-02,2019-04-22,4516,زدشت,DKHZ
1398-02-03,2019-04-23,4503,زدشت,DKHZ
1398-02-04,2019-04-24,4443,زدشت,DKHZ
1398-02-07,2019-04-27,4655,زدشت,DKHZ
1398-02-08,2019-04-28,4618,زدشت,DKHZ
1398-02-09,2019-04-29,4597,زدشت,DKHZ
1398-02-10,2019-04-30,4471,زدشت,DKHZ
1398-02-11,2019-05-01,4622,زدشت,DKHZ
1398-02-14,2019-05-04,4680,زدشت,DKHZ
1398-02-15,2019-05-05,4600,زدشت,DKHZ
1398-02-16,2019-05-06,4496,زدشت,DKHZ
1398-02-17,2019-05-07,4310,زدشت,DKHZ
1398-02-18,2019-05-08,4544,زدشت,DKHZ
1398-02-21,2019-05-11,4658,زدشت,DKHZ
1398-02-22,2019-05-12,4864,زدشت,DKHZ
1398-02-23,2019-05-13,4988,زدشت,DKHZ
1398-02-24,2019-05-14,5201,زدشت,DKHZ
1398-02-25,2019-05-15,5036,زدشت,DKHZ
1398-02-28,2019-05-18,4865,زدشت,DKHZ
1398-02-29,2019-05-19,4926,زدشت,DKHZ
1398-02-30,2019-05-20,4864,زدشت,DKHZ
1398-02-31,2019-05-21,4882,زدشت,DKHZ
1398-03-01,2019-05-22,4730,زدشت,DKHZ
1398-03-04,2019-05-25,5033,زدشت,DKHZ
1398-03-05,2019-05-26,5230,زدشت,DKHZ
1398-03-07,2019-05-28,5188,زدشت,DKHZ
1398-03-08,2019-05-29,5096,زدشت,DKHZ
1398-03-11,2019-06-01,5184,زدشت,DKHZ
1398-03-12,2019-06-02,5174,زدشت,DKHZ
1398-03-13,2019-06-03,5056,زدشت,DKHZ
1398-03-18,2019-06-08,5039,زدشت,DKHZ
1398-03-19,2019-06-09,5320,زدشت,DKHZ
1398-03-20,2019-06-10,5556,زدشت,DKHZ
1398-03-21,2019-06-11,5833,زدشت,DKHZ
1398-03-22,2019-06-12,5658,زدشت,DKHZ
1398-03-25,2019-06-15,5978,زدشت,DKHZ
1398-03-26,2019-06-16,5771,زدشت,DKHZ
1398-03-27,2019-06-17,5777,زدشت,DKHZ
1398-04-02,2019-06-23,5875,زدشت,DKHZ
1398-04-03,2019-06-24,5933,زدشت,DKHZ
1398-04-04,2019-06-25,6179,زدشت,DKHZ
1398-04-05,2019-06-26,6354,زدشت,DKHZ
1398-04-09,2019-06-30,6412,زدشت,DKHZ
1398-04-10,2019-07-01,6223,زدشت,DKHZ
1398-04-11,2019-07-02,6350,زدشت,DKHZ
1398-04-12,2019-07-03,6320,زدشت,DKHZ
1398-04-15,2019-07-06,6102,زدشت,DKHZ
1398-04-16,2019-07-07,6125,زدشت,DKHZ
1398-04-17,2019-07-08,6131,زدشت,DKHZ
1398-04-18,2019-07-09,6168,زدشت,DKHZ
1398-04-19,2019-07-10,6165,زدشت,DKHZ
1398-04-22,2019-07-13,6131,زدشت,DKHZ
1398-04-23,2019-07-14,6131,زدشت,DKHZ
1398-04-24,2019-07-15,5939,زدشت,DKHZ
1398-04-25,2019-07-16,5727,زدشت,DKHZ
1398-04-26,2019-07-17,5854,زدشت,DKHZ
1398-04-29,2019-07-20,5853,زدشت,DKHZ
1398-04-30,2019-07-21,6121,زدشت,DKHZ
1398-04-31,2019-07-22,5959,زدشت,DKHZ
1398-05-01,2019-07-23,5822,زدشت,DKHZ
1398-05-02,2019-07-24,5805,زدشت,DKHZ
1398-05-05,2019-07-27,5853,زدشت,DKHZ
1398-05-06,2019-07-28,5746,زدشت,DKHZ
1398-05-07,2019-07-29,5697,زدشت,DKHZ
1398-05-08,2019-07-30,5767,زدشت,DKHZ
1398-05-09,2019-07-31,5798,زدشت,DKHZ
1398-05-12,2019-08-03,6007,زدشت,DKHZ
1398-05-13,2019-08-04,6131,زدشت,DKHZ
1398-05-14,2019-08-05,6053,زدشت,DKHZ
1398-05-15,2019-08-06,6122,زدشت,DKHZ
1398-05-16,2019-08-07,6141,زدشت,DKHZ
1398-05-19,2019-08-10,6160,زدشت,DKHZ
1398-05-20,2019-08-11,6122,زدشت,DKHZ
1398-05-22,2019-08-13,6026,زدشت,DKHZ
1398-05-23,2019-08-14,5970,زدشت,DKHZ
1398-05-26,2019-08-17,5954,زدشت,DKHZ
1398-05-27,2019-08-18,6173,زدشت,DKHZ
1398-05-28,2019-08-19,6112,زدشت,DKHZ
1398-05-30,2019-08-21,6441,زدشت,DKHZ
1398-06-02,2019-08-24,6739,زدشت,DKHZ
1398-06-03,2019-08-25,7076,زدشت,DKHZ
1398-06-04,2019-08-26,7325,زدشت,DKHZ
1398-06-05,2019-08-27,7123,زدشت,DKHZ
1398-06-06,2019-08-28,7721,زدشت,DKHZ
1398-06-09,2019-08-31,7737,زدشت,DKHZ
1398-06-10,2019-09-01,7846,زدشت,DKHZ
1398-06-11,2019-09-02,7469,زدشت,DKHZ
1398-06-12,2019-09-03,7579,زدشت,DKHZ
1398-06-13,2019-09-04,7592,زدشت,DKHZ
1398-06-16,2019-09-07,8003,زدشت,DKHZ
1398-06-17,2019-09-08,8278,زدشت,DKHZ
1398-06-20,2019-09-11,8692,زدشت,DKHZ
1398-06-23,2019-09-14,9126,زدشت,DKHZ
1398-06-24,2019-09-15,9582,زدشت,DKHZ
1398-06-25,2019-09-16,9724,زدشت,DKHZ
1398-06-26,2019-09-17,9385,زدشت,DKHZ
1398-06-27,2019-09-18,9020,زدشت,DKHZ
1398-06-30,2019-09-21,8929,زدشت,DKHZ
1398-06-31,2019-09-22,9062,زدشت,DKHZ
1398-07-01,2019-09-23,9630,زدشت,DKHZ
1398-07-02,2019-09-24,10009,زدشت,DKHZ
1398-07-03,2019-09-25,10030,زدشت,DKHZ
1398-07-06,2019-09-28,10461,زدشت,DKHZ
1398-07-07,2019-09-29,10157,زدشت,DKHZ
1398-07-08,2019-09-30,10280,زدشت,DKHZ
1398-07-09,2019-10-01,9892,زدشت,DKHZ
1398-07-10,2019-10-02,9868,زدشت,DKHZ
1398-07-13,2019-10-05,9733,زدشت,DKHZ
1398-07-14,2019-10-06,9584,زدشت,DKHZ
1398-07-15,2019-10-07,9567,زدشت,DKHZ
1398-07-16,2019-10-08,9293,زدشت,DKHZ
1398-07-17,2019-10-09,9494,زدشت,DKHZ
1398-07-20,2019-10-12,9651,زدشت,DKHZ
1398-07-21,2019-10-13,9962,زدشت,DKHZ
1398-07-22,2019-10-14,9676,زدشت,DKHZ
1398-07-23,2019-10-15,9218,زدشت,DKHZ
1398-07-24,2019-10-16,8854,زدشت,DKHZ
1398-07-28,2019-10-20,8466,زدشت,DKHZ
1398-07-29,2019-10-21,8110,زدشت,DKHZ
1398-07-30,2019-10-22,8315,زدشت,DKHZ
1398-08-01,2019-10-23,7961,زدشت,DKHZ
1398-08-04,2019-10-26,7812,زدشت,DKHZ
1398-08-06,2019-10-28,8082,زدشت,DKHZ
1398-08-08,2019-10-30,8371,زدشت,DKHZ
1398-08-11,2019-11-02,8220,زدشت,DKHZ
1398-08-12,2019-11-03,8333,زدشت,DKHZ
1398-08-13,2019-11-04,7934,زدشت,DKHZ
1398-08-14,2019-11-05,8047,زدشت,DKHZ
1398-08-18,2019-11-09,8583,زدشت,DKHZ
1398-08-19,2019-11-10,8961,زدشت,DKHZ
1398-08-20,2019-11-11,9267,زدشت,DKHZ
1398-08-21,2019-11-12,9456,زدشت,DKHZ
1398-08-22,2019-11-13,9506,زدشت,DKHZ
1398-08-25,2019-11-16,9101,زدشت,DKHZ
1398-08-26,2019-11-17,8878,زدشت,DKHZ
1398-08-27,2019-11-18,8515,زدشت,DKHZ
1398-08-28,2019-11-19,8717,زدشت,DKHZ
1398-08-29,2019-11-20,8993,زدشت,DKHZ
1398-09-02,2019-11-23,9325,زدشت,DKHZ
1398-09-03,2019-11-24,9773,زدشت,DKHZ
1398-09-04,2019-11-25,9810,زدشت,DKHZ
1398-09-05,2019-11-26,9901,زدشت,DKHZ
1398-09-06,2019-11-27,10203,زدشت,DKHZ
1398-09-09,2019-11-30,10222,زدشت,DKHZ
