J-Date,Date,Adj Close,Ticker,Ticker(4)
1380-01-14,2001-04-03,99,دلقما,DLGM
1380-01-18,2001-04-07,95,دلقما,DLGM
1380-01-19,2001-04-08,99,دلقما,DLGM
1380-01-21,2001-04-10,99,دلقما,DLGM
1380-01-22,2001-04-11,99,دلقما,DLGM
1380-01-25,2001-04-14,99,دلقما,DLGM
1380-01-26,2001-04-15,104,دلقما,DLGM
1380-01-28,2001-04-17,104,دلقما,DLGM
1380-01-29,2001-04-18,104,دلقما,DLGM
1380-02-01,2001-04-21,105,دلقما,DLGM
1380-02-02,2001-04-22,105,دلقما,DLGM
1380-02-03,2001-04-23,108,دلقما,DLGM
1380-02-04,2001-04-24,110,دلقما,DLGM
1380-02-05,2001-04-25,110,دلقما,DLGM
1380-02-09,2001-04-29,110,دلقما,DLGM
1380-02-10,2001-04-30,110,دلقما,DLGM
1380-02-11,2001-05-01,109,دلقما,DLGM
1380-02-15,2001-05-05,109,دلقما,DLGM
1380-02-16,2001-05-06,109,دلقما,DLGM
1380-02-17,2001-05-07,109,دلقما,DLGM
1380-02-18,2001-05-08,109,دلقما,DLGM
1380-02-19,2001-05-09,109,دلقما,DLGM
1380-02-22,2001-05-12,110,دلقما,DLGM
1380-02-23,2001-05-13,110,دلقما,DLGM
1380-02-25,2001-05-15,110,دلقما,DLGM
1380-02-26,2001-05-16,111,دلقما,DLGM
1380-02-29,2001-05-19,111,دلقما,DLGM
1380-02-30,2001-05-20,112,دلقما,DLGM
1380-03-02,2001-05-23,118,دلقما,DLGM
1380-03-05,2001-05-26,123,دلقما,DLGM
1380-03-07,2001-05-28,130,دلقما,DLGM
1380-03-08,2001-05-29,136,دلقما,DLGM
1380-03-09,2001-05-30,137,دلقما,DLGM
1380-03-12,2001-06-02,136,دلقما,DLGM
1380-03-13,2001-06-03,137,دلقما,DLGM
1380-03-16,2001-06-06,137,دلقما,DLGM
1380-03-19,2001-06-09,136,دلقما,DLGM
1380-03-21,2001-06-11,136,دلقما,DLGM
1380-03-23,2001-06-13,136,دلقما,DLGM
1380-03-26,2001-06-16,132,دلقما,DLGM
1380-03-28,2001-06-18,126,دلقما,DLGM
1380-03-29,2001-06-19,126,دلقما,DLGM
1380-03-30,2001-06-20,127,دلقما,DLGM
1380-04-02,2001-06-23,127,دلقما,DLGM
1380-04-03,2001-06-24,127,دلقما,DLGM
1380-04-04,2001-06-25,127,دلقما,DLGM
1380-04-05,2001-06-26,127,دلقما,DLGM
1380-04-06,2001-06-27,129,دلقما,DLGM
1380-04-09,2001-06-30,130,دلقما,DLGM
1380-04-10,2001-07-01,132,دلقما,DLGM
1380-04-13,2001-07-04,138,دلقما,DLGM
1380-04-16,2001-07-07,142,دلقما,DLGM
1380-04-17,2001-07-08,142,دلقما,DLGM
1380-04-18,2001-07-09,142,دلقما,DLGM
1380-04-19,2001-07-10,143,دلقما,DLGM
1380-04-23,2001-07-14,146,دلقما,DLGM
1380-04-24,2001-07-15,154,دلقما,DLGM
1380-04-25,2001-07-16,155,دلقما,DLGM
1380-05-27,2001-08-18,168,دلقما,DLGM
1380-05-31,2001-08-22,173,دلقما,DLGM
1380-06-03,2001-08-25,177,دلقما,DLGM
1380-06-05,2001-08-27,181,دلقما,DLGM
1380-06-06,2001-08-28,181,دلقما,DLGM
1380-06-07,2001-08-29,181,دلقما,DLGM
1380-06-10,2001-09-01,176,دلقما,DLGM
1380-06-20,2001-09-11,174,دلقما,DLGM
1380-06-21,2001-09-12,174,دلقما,DLGM
1380-06-24,2001-09-15,173,دلقما,DLGM
1380-07-03,2001-09-25,171,دلقما,DLGM
1380-07-04,2001-09-26,169,دلقما,DLGM
1380-07-07,2001-09-29,168,دلقما,DLGM
1380-07-10,2001-10-02,167,دلقما,DLGM
1380-07-14,2001-10-06,165,دلقما,DLGM
1380-07-16,2001-10-08,163,دلقما,DLGM
1380-07-17,2001-10-09,159,دلقما,DLGM
1380-07-28,2001-10-20,155,دلقما,DLGM
1380-07-29,2001-10-21,151,دلقما,DLGM
1380-07-30,2001-10-22,155,دلقما,DLGM
1380-08-01,2001-10-23,156,دلقما,DLGM
1380-08-02,2001-10-24,156,دلقما,DLGM
1380-08-05,2001-10-27,160,دلقما,DLGM
1380-08-06,2001-10-28,160,دلقما,DLGM
1380-08-08,2001-10-30,160,دلقما,DLGM
1380-08-09,2001-10-31,160,دلقما,DLGM
1380-08-13,2001-11-04,164,دلقما,DLGM
1380-08-15,2001-11-06,164,دلقما,DLGM
1380-08-16,2001-11-07,168,دلقما,DLGM
1380-08-19,2001-11-10,168,دلقما,DLGM
1380-08-20,2001-11-11,168,دلقما,DLGM
1380-09-03,2001-11-24,164,دلقما,DLGM
1380-09-04,2001-11-25,164,دلقما,DLGM
1380-09-05,2001-11-26,164,دلقما,DLGM
1380-09-11,2001-12-02,163,دلقما,DLGM
1380-09-12,2001-12-03,163,دلقما,DLGM
1380-10-04,2001-12-25,101,دلقما,DLGM
1380-10-11,2002-01-01,102,دلقما,DLGM
