J-Date,Date,Adj Close,Ticker,Ticker(4)
1400-06-03,2021-08-25,2990,حشکوه,DLIP
1400-06-06,2021-08-28,3079,حشکوه,DLIP
1400-06-07,2021-08-29,3171,حشکوه,DLIP
1400-06-08,2021-08-30,3266,حشکوه,DLIP
1400-06-09,2021-08-31,3428,حشکوه,DLIP
1400-06-10,2021-09-01,3531,حشکوه,DLIP
1400-06-13,2021-09-04,3636,حشکوه,DLIP
1400-06-14,2021-09-05,3745,حشکوه,DLIP
1400-06-15,2021-09-06,3738,حشکوه,DLIP
1400-06-16,2021-09-07,3730,حشکوه,DLIP
1400-06-17,2021-09-08,3696,حشکوه,DLIP
1400-06-20,2021-09-11,3624,حشکوه,DLIP
1400-06-21,2021-09-12,3555,حشکوه,DLIP
1400-06-22,2021-09-13,3545,حشکوه,DLIP
1400-06-23,2021-09-14,3467,حشکوه,DLIP
1400-06-24,2021-09-15,3443,حشکوه,DLIP
1400-06-27,2021-09-18,3275,حشکوه,DLIP
1400-06-28,2021-09-19,3199,حشکوه,DLIP
1400-06-29,2021-09-20,3179,حشکوه,DLIP
1400-06-30,2021-09-21,3206,حشکوه,DLIP
1400-06-31,2021-09-22,3100,حشکوه,DLIP
1400-07-03,2021-09-25,3013,حشکوه,DLIP
1400-07-04,2021-09-26,2933,حشکوه,DLIP
1400-07-06,2021-09-28,2846,حشکوه,DLIP
1400-07-07,2021-09-29,2829,حشکوه,DLIP
1400-07-10,2021-10-02,2863,حشکوه,DLIP
1400-07-11,2021-10-03,2745,حشکوه,DLIP
1400-07-12,2021-10-04,2676,حشکوه,DLIP
1400-07-14,2021-10-06,2599,حشکوه,DLIP
1400-07-17,2021-10-09,2527,حشکوه,DLIP
1400-07-18,2021-10-10,2581,حشکوه,DLIP
1400-07-19,2021-10-11,2597,حشکوه,DLIP
1400-07-20,2021-10-12,2647,حشکوه,DLIP
1400-07-21,2021-10-13,2530,حشکوه,DLIP
1400-07-24,2021-10-16,2499,حشکوه,DLIP
1400-07-25,2021-10-17,2437,حشکوه,DLIP
1400-07-26,2021-10-18,2481,حشکوه,DLIP
1400-07-27,2021-10-19,2490,حشکوه,DLIP
1400-07-28,2021-10-20,2543,حشکوه,DLIP
1400-08-01,2021-10-23,2616,حشکوه,DLIP
1400-08-03,2021-10-25,2694,حشکوه,DLIP
1400-08-04,2021-10-26,2828,حشکوه,DLIP
1400-08-05,2021-10-27,2913,حشکوه,DLIP
1400-08-08,2021-10-30,3000,حشکوه,DLIP
1400-08-09,2021-10-31,2910,حشکوه,DLIP
1400-08-10,2021-11-01,3010,حشکوه,DLIP
1400-08-11,2021-11-02,3017,حشکوه,DLIP
1400-08-12,2021-11-03,2990,حشکوه,DLIP
1400-08-15,2021-11-06,3064,حشکوه,DLIP
1400-08-16,2021-11-07,3148,حشکوه,DLIP
1400-08-17,2021-11-08,3232,حشکوه,DLIP
1400-08-18,2021-11-09,3327,حشکوه,DLIP
1400-08-19,2021-11-10,3419,حشکوه,DLIP
1400-08-22,2021-11-13,3322,حشکوه,DLIP
1400-08-23,2021-11-14,3452,حشکوه,DLIP
1400-08-24,2021-11-15,3543,حشکوه,DLIP
1400-08-25,2021-11-16,3647,حشکوه,DLIP
1400-08-26,2021-11-17,3667,حشکوه,DLIP
1400-08-29,2021-11-20,3627,حشکوه,DLIP
1400-08-30,2021-11-21,3531,حشکوه,DLIP
1400-09-01,2021-11-22,3647,حشکوه,DLIP
1400-09-02,2021-11-23,3598,حشکوه,DLIP
1400-09-03,2021-11-24,3760,حشکوه,DLIP
1400-09-06,2021-11-27,3757,حشکوه,DLIP
1400-09-07,2021-11-28,3782,حشکوه,DLIP
1400-09-08,2021-11-29,3756,حشکوه,DLIP
1400-09-09,2021-11-30,3735,حشکوه,DLIP
1400-09-10,2021-12-01,3624,حشکوه,DLIP
1400-09-13,2021-12-04,3526,حشکوه,DLIP
1400-09-14,2021-12-05,3619,حشکوه,DLIP
1400-09-15,2021-12-06,3737,حشکوه,DLIP
1400-09-16,2021-12-07,3714,حشکوه,DLIP
1400-09-17,2021-12-08,3740,حشکوه,DLIP
1400-09-20,2021-12-11,3671,حشکوه,DLIP
1400-09-21,2021-12-12,3580,حشکوه,DLIP
1400-09-22,2021-12-13,3550,حشکوه,DLIP
1400-09-23,2021-12-14,3444,حشکوه,DLIP
1400-09-24,2021-12-15,3370,حشکوه,DLIP
1400-09-27,2021-12-18,3434,حشکوه,DLIP
1400-09-28,2021-12-19,3434,حشکوه,DLIP
1400-09-29,2021-12-20,3434,حشکوه,DLIP
1400-09-30,2021-12-21,3361,حشکوه,DLIP
1400-10-01,2021-12-22,3427,حشکوه,DLIP
1400-10-04,2021-12-25,3483,حشکوه,DLIP
1400-10-05,2021-12-26,3448,حشکوه,DLIP
1400-10-06,2021-12-27,3431,حشکوه,DLIP
1400-10-07,2021-12-28,3486,حشکوه,DLIP
1400-10-08,2021-12-29,3453,حشکوه,DLIP
1400-10-11,2022-01-01,3438,حشکوه,DLIP
1400-10-12,2022-01-02,3432,حشکوه,DLIP
1400-10-13,2022-01-03,3457,حشکوه,DLIP
1400-10-14,2022-01-04,3337,حشکوه,DLIP
1400-10-15,2022-01-05,3258,حشکوه,DLIP
1400-10-18,2022-01-08,3283,حشکوه,DLIP
1400-10-19,2022-01-09,3224,حشکوه,DLIP
1400-10-20,2022-01-10,3269,حشکوه,DLIP
1400-10-21,2022-01-11,3248,حشکوه,DLIP
1400-10-22,2022-01-12,3358,حشکوه,DLIP
1400-10-25,2022-01-15,3293,حشکوه,DLIP
1400-10-26,2022-01-16,3279,حشکوه,DLIP
1400-10-27,2022-01-17,3200,حشکوه,DLIP
1400-10-28,2022-01-18,3160,حشکوه,DLIP
1400-10-29,2022-01-19,3127,حشکوه,DLIP
1400-11-02,2022-01-22,3123,حشکوه,DLIP
1400-11-03,2022-01-23,3087,حشکوه,DLIP
1400-11-04,2022-01-24,3057,حشکوه,DLIP
1400-11-05,2022-01-25,3021,حشکوه,DLIP
1400-11-06,2022-01-26,2931,حشکوه,DLIP
1400-11-09,2022-01-29,2884,حشکوه,DLIP
1400-11-10,2022-01-30,2858,حشکوه,DLIP
1400-11-11,2022-01-31,2927,حشکوه,DLIP
1400-11-12,2022-02-01,2944,حشکوه,DLIP
1400-11-13,2022-02-02,2790,حشکوه,DLIP
1400-11-16,2022-02-05,2730,حشکوه,DLIP
1400-11-17,2022-02-06,2727,حشکوه,DLIP
1400-11-18,2022-02-07,2671,حشکوه,DLIP
1400-11-19,2022-02-08,2698,حشکوه,DLIP
1400-11-20,2022-02-09,2698,حشکوه,DLIP
1400-11-23,2022-02-12,2697,حشکوه,DLIP
1400-11-24,2022-02-13,2639,حشکوه,DLIP
1400-11-25,2022-02-14,2694,حشکوه,DLIP
1400-11-27,2022-02-16,2694,حشکوه,DLIP
1400-11-30,2022-02-19,2691,حشکوه,DLIP
1400-12-01,2022-02-20,2635,حشکوه,DLIP
1400-12-02,2022-02-21,2690,حشکوه,DLIP
1400-12-03,2022-02-22,2628,حشکوه,DLIP
1400-12-04,2022-02-23,2622,حشکوه,DLIP
1400-12-07,2022-02-26,2577,حشکوه,DLIP
1400-12-08,2022-02-27,2557,حشکوه,DLIP
1400-12-09,2022-02-28,2587,حشکوه,DLIP
1400-12-11,2022-03-02,2537,حشکوه,DLIP
1400-12-14,2022-03-05,2512,حشکوه,DLIP
1400-12-15,2022-03-06,2528,حشکوه,DLIP
1400-12-16,2022-03-07,2492,حشکوه,DLIP
1400-12-17,2022-03-08,2451,حشکوه,DLIP
1400-12-18,2022-03-09,2539,حشکوه,DLIP
1400-12-21,2022-03-12,2462,حشکوه,DLIP
1400-12-22,2022-03-13,2501,حشکوه,DLIP
1400-12-23,2022-03-14,2403,حشکوه,DLIP
1400-12-24,2022-03-15,2371,حشکوه,DLIP
1400-12-25,2022-03-16,2456,حشکوه,DLIP
1400-12-28,2022-03-19,2413,حشکوه,DLIP
1401-01-06,2022-03-26,2375,حشکوه,DLIP
1401-01-07,2022-03-27,2370,حشکوه,DLIP
1401-01-09,2022-03-29,2418,حشکوه,DLIP
1401-01-10,2022-03-30,2441,حشکوه,DLIP
1401-01-14,2022-04-03,2432,حشکوه,DLIP
1401-01-15,2022-04-04,2436,حشکوه,DLIP
1401-01-16,2022-04-05,2461,حشکوه,DLIP
1401-01-17,2022-04-06,2473,حشکوه,DLIP
1401-01-20,2022-04-09,2490,حشکوه,DLIP
1401-01-21,2022-04-10,2443,حشکوه,DLIP
1401-01-22,2022-04-11,2455,حشکوه,DLIP
1401-01-23,2022-04-12,2526,حشکوه,DLIP
1401-01-24,2022-04-13,2583,حشکوه,DLIP
1401-01-27,2022-04-16,2592,حشکوه,DLIP
1401-01-28,2022-04-17,2596,حشکوه,DLIP
1401-01-29,2022-04-18,2501,حشکوه,DLIP
1401-01-30,2022-04-19,2601,حشکوه,DLIP
1401-01-31,2022-04-20,2508,حشکوه,DLIP
1401-02-04,2022-04-24,2536,حشکوه,DLIP
1401-02-05,2022-04-25,2605,حشکوه,DLIP
1401-02-06,2022-04-26,2669,حشکوه,DLIP
1401-02-07,2022-04-27,2720,حشکوه,DLIP
1401-02-10,2022-04-30,2761,حشکوه,DLIP
1401-02-11,2022-05-01,2790,حشکوه,DLIP
1401-02-12,2022-05-02,2790,حشکوه,DLIP
1401-02-17,2022-05-07,2800,حشکوه,DLIP
1401-02-18,2022-05-08,2691,حشکوه,DLIP
1401-02-19,2022-05-09,2780,حشکوه,DLIP
1401-02-20,2022-05-10,2781,حشکوه,DLIP
1401-02-21,2022-05-11,2737,حشکوه,DLIP
1401-02-24,2022-05-14,2646,حشکوه,DLIP
1401-02-25,2022-05-15,2574,حشکوه,DLIP
1401-02-26,2022-05-16,2581,حشکوه,DLIP
1401-02-27,2022-05-17,2596,حشکوه,DLIP
1401-02-28,2022-05-18,2590,حشکوه,DLIP
1401-02-31,2022-05-21,2544,حشکوه,DLIP
1401-03-01,2022-05-22,2609,حشکوه,DLIP
1401-03-02,2022-05-23,2530,حشکوه,DLIP
1401-03-03,2022-05-24,2514,حشکوه,DLIP
1401-03-04,2022-05-25,2516,حشکوه,DLIP
1401-03-07,2022-05-28,2429,حشکوه,DLIP
1401-03-08,2022-05-29,2451,حشکوه,DLIP
1401-03-09,2022-05-30,2458,حشکوه,DLIP
1401-03-10,2022-05-31,2532,حشکوه,DLIP
1401-03-11,2022-06-01,2607,حشکوه,DLIP
1401-03-16,2022-06-06,2685,حشکوه,DLIP
1401-03-17,2022-06-07,2565,حشکوه,DLIP
1401-03-18,2022-06-08,2538,حشکوه,DLIP
1401-03-21,2022-06-11,2477,حشکوه,DLIP
1401-03-22,2022-06-12,2481,حشکوه,DLIP
1401-03-23,2022-06-13,2476,حشکوه,DLIP
1401-03-24,2022-06-14,2443,حشکوه,DLIP
1401-03-25,2022-06-15,2392,حشکوه,DLIP
1401-03-28,2022-06-18,2336,حشکوه,DLIP
1401-03-29,2022-06-19,2276,حشکوه,DLIP
1401-03-30,2022-06-20,2344,حشکوه,DLIP
1401-04-04,2022-06-25,2400,حشکوه,DLIP
1401-04-05,2022-06-26,2466,حشکوه,DLIP
1401-04-06,2022-06-27,2378,حشکوه,DLIP
1401-04-07,2022-06-28,2324,حشکوه,DLIP
1401-04-08,2022-06-29,2299,حشکوه,DLIP
1401-04-11,2022-07-02,2257,حشکوه,DLIP
1401-04-12,2022-07-03,2235,حشکوه,DLIP
1401-04-13,2022-07-04,2305,حشکوه,DLIP
1401-04-14,2022-07-05,2296,حشکوه,DLIP
1401-04-15,2022-07-06,2277,حشکوه,DLIP
1401-04-18,2022-07-09,2242,حشکوه,DLIP
1401-04-20,2022-07-11,2181,حشکوه,DLIP
1401-04-21,2022-07-12,2131,حشکوه,DLIP
1401-04-22,2022-07-13,2113,حشکوه,DLIP
1401-05-01,2022-07-23,2054,حشکوه,DLIP
1401-05-02,2022-07-24,2040,حشکوه,DLIP
1401-05-03,2022-07-25,2035,حشکوه,DLIP
1401-05-04,2022-07-26,2007,حشکوه,DLIP
1401-05-05,2022-07-27,1969,حشکوه,DLIP
