J-Date,Date,Adj Close,Ticker,Ticker(4)
1380-01-05,2001-03-25,253,داسوه,DOSE
1380-01-06,2001-03-26,253,داسوه,DOSE
1380-01-07,2001-03-27,240,داسوه,DOSE
1380-01-08,2001-03-28,240,داسوه,DOSE
1380-01-11,2001-03-31,240,داسوه,DOSE
1380-01-18,2001-04-07,228,داسوه,DOSE
1380-01-20,2001-04-09,228,داسوه,DOSE
1380-01-21,2001-04-10,228,داسوه,DOSE
1380-01-22,2001-04-11,232,داسوه,DOSE
1380-01-25,2001-04-14,236,داسوه,DOSE
1380-01-26,2001-04-15,238,داسوه,DOSE
1380-01-27,2001-04-16,238,داسوه,DOSE
1380-01-28,2001-04-17,241,داسوه,DOSE
1380-01-29,2001-04-18,241,داسوه,DOSE
1380-02-01,2001-04-21,236,داسوه,DOSE
1380-02-02,2001-04-22,236,داسوه,DOSE
1380-02-03,2001-04-23,237,داسوه,DOSE
1380-02-04,2001-04-24,237,داسوه,DOSE
1380-02-05,2001-04-25,240,داسوه,DOSE
1380-02-08,2001-04-28,240,داسوه,DOSE
1380-02-09,2001-04-29,241,داسوه,DOSE
1380-02-10,2001-04-30,242,داسوه,DOSE
1380-02-11,2001-05-01,242,داسوه,DOSE
1380-02-12,2001-05-02,242,داسوه,DOSE
1380-02-15,2001-05-05,244,داسوه,DOSE
1380-02-16,2001-05-06,246,داسوه,DOSE
1380-02-17,2001-05-07,250,داسوه,DOSE
1380-02-18,2001-05-08,252,داسوه,DOSE
1380-02-19,2001-05-09,254,داسوه,DOSE
1380-02-22,2001-05-12,255,داسوه,DOSE
1380-02-25,2001-05-15,257,داسوه,DOSE
1380-02-26,2001-05-16,270,داسوه,DOSE
1380-02-31,2001-05-21,277,داسوه,DOSE
1380-03-02,2001-05-23,284,داسوه,DOSE
1380-03-05,2001-05-26,291,داسوه,DOSE
1380-03-23,2001-06-13,297,داسوه,DOSE
1380-03-26,2001-06-16,301,داسوه,DOSE
1380-03-27,2001-06-17,306,داسوه,DOSE
1380-03-28,2001-06-18,306,داسوه,DOSE
1380-03-29,2001-06-19,298,داسوه,DOSE
1380-03-30,2001-06-20,299,داسوه,DOSE
1380-04-02,2001-06-23,299,داسوه,DOSE
1380-04-03,2001-06-24,303,داسوه,DOSE
1380-04-04,2001-06-25,304,داسوه,DOSE
1380-04-05,2001-06-26,301,داسوه,DOSE
1380-04-06,2001-06-27,301,داسوه,DOSE
1380-04-09,2001-06-30,303,داسوه,DOSE
1380-04-10,2001-07-01,307,داسوه,DOSE
1380-04-11,2001-07-02,315,داسوه,DOSE
1380-04-12,2001-07-03,323,داسوه,DOSE
1380-04-13,2001-07-04,320,داسوه,DOSE
1380-04-16,2001-07-07,317,داسوه,DOSE
1380-04-17,2001-07-08,320,داسوه,DOSE
1380-04-18,2001-07-09,316,داسوه,DOSE
1380-05-21,2001-08-12,394,داسوه,DOSE
1380-05-22,2001-08-13,401,داسوه,DOSE
1380-05-23,2001-08-14,406,داسوه,DOSE
1380-05-24,2001-08-15,411,داسوه,DOSE
1380-05-27,2001-08-18,421,داسوه,DOSE
1380-05-28,2001-08-19,432,داسوه,DOSE
1380-05-29,2001-08-20,442,داسوه,DOSE
1380-05-30,2001-08-21,447,داسوه,DOSE
1380-05-31,2001-08-22,442,داسوه,DOSE
1380-06-03,2001-08-25,438,داسوه,DOSE
1380-06-04,2001-08-26,427,داسوه,DOSE
1380-06-05,2001-08-27,416,داسوه,DOSE
1380-06-06,2001-08-28,406,داسوه,DOSE
1380-06-07,2001-08-29,396,داسوه,DOSE
1380-06-10,2001-09-01,395,داسوه,DOSE
1380-06-11,2001-09-02,395,داسوه,DOSE
1380-06-13,2001-09-04,388,داسوه,DOSE
1380-06-14,2001-09-05,389,داسوه,DOSE
1380-06-17,2001-09-08,389,داسوه,DOSE
1380-06-18,2001-09-09,389,داسوه,DOSE
1380-06-19,2001-09-10,390,داسوه,DOSE
1380-06-20,2001-09-11,390,داسوه,DOSE
1380-06-21,2001-09-12,390,داسوه,DOSE
1380-06-24,2001-09-15,390,داسوه,DOSE
1380-06-25,2001-09-16,389,داسوه,DOSE
1380-06-31,2001-09-22,385,داسوه,DOSE
1380-07-01,2001-09-23,385,داسوه,DOSE
1380-07-02,2001-09-24,385,داسوه,DOSE
1380-07-03,2001-09-25,382,داسوه,DOSE
1380-07-04,2001-09-26,379,داسوه,DOSE
1380-07-07,2001-09-29,375,داسوه,DOSE
1380-07-08,2001-09-30,371,داسوه,DOSE
1380-07-10,2001-10-02,375,داسوه,DOSE
1380-07-14,2001-10-06,375,داسوه,DOSE
1380-07-15,2001-10-07,375,داسوه,DOSE
1380-07-16,2001-10-08,374,داسوه,DOSE
1380-07-17,2001-10-09,374,داسوه,DOSE
1380-07-22,2001-10-14,365,داسوه,DOSE
1380-07-24,2001-10-16,371,داسوه,DOSE
1380-07-25,2001-10-17,371,داسوه,DOSE
1380-07-28,2001-10-20,371,داسوه,DOSE
1380-07-29,2001-10-21,371,داسوه,DOSE
1380-07-30,2001-10-22,371,داسوه,DOSE
1380-08-01,2001-10-23,371,داسوه,DOSE
1380-08-02,2001-10-24,372,داسوه,DOSE
1380-08-05,2001-10-27,372,داسوه,DOSE
1380-08-06,2001-10-28,373,داسوه,DOSE
1380-08-07,2001-10-29,373,داسوه,DOSE
1380-08-08,2001-10-30,373,داسوه,DOSE
1380-08-09,2001-10-31,373,داسوه,DOSE
1380-08-12,2001-11-03,378,داسوه,DOSE
