J-Date,Date,Adj Close,Ticker,Ticker(4)
1381-08-12,2002-11-03,23,دارو,DPAK
1381-08-13,2002-11-04,24,دارو,DPAK
1381-08-14,2002-11-05,24,دارو,DPAK
1381-08-18,2002-11-09,25,دارو,DPAK
1381-08-21,2002-11-12,26,دارو,DPAK
1381-08-26,2002-11-17,26,دارو,DPAK
1381-08-28,2002-11-19,27,دارو,DPAK
1381-09-05,2002-11-26,28,دارو,DPAK
1381-09-09,2002-11-30,28,دارو,DPAK
1381-09-10,2002-12-01,28,دارو,DPAK
1381-09-11,2002-12-02,28,دارو,DPAK
1381-09-12,2002-12-03,29,دارو,DPAK
1381-09-13,2002-12-04,29,دارو,DPAK
1381-09-16,2002-12-07,29,دارو,DPAK
1381-09-17,2002-12-08,30,دارو,DPAK
1381-09-18,2002-12-09,30,دارو,DPAK
1381-09-19,2002-12-10,30,دارو,DPAK
1381-09-20,2002-12-11,30,دارو,DPAK
1381-09-23,2002-12-14,31,دارو,DPAK
1381-09-24,2002-12-15,31,دارو,DPAK
1381-09-25,2002-12-16,31,دارو,DPAK
1381-09-26,2002-12-17,32,دارو,DPAK
1381-09-27,2002-12-18,32,دارو,DPAK
1381-09-30,2002-12-21,32,دارو,DPAK
1381-10-01,2002-12-22,33,دارو,DPAK
1381-10-02,2002-12-23,33,دارو,DPAK
1381-10-03,2002-12-24,33,دارو,DPAK
1381-10-04,2002-12-25,34,دارو,DPAK
1381-10-07,2002-12-28,34,دارو,DPAK
1381-10-10,2002-12-31,34,دارو,DPAK
1381-10-11,2003-01-01,35,دارو,DPAK
1381-10-14,2003-01-04,35,دارو,DPAK
1381-10-16,2003-01-06,35,دارو,DPAK
1381-10-17,2003-01-07,36,دارو,DPAK
1381-10-18,2003-01-08,36,دارو,DPAK
1381-10-21,2003-01-11,37,دارو,DPAK
1381-10-23,2003-01-13,37,دارو,DPAK
1381-10-24,2003-01-14,37,دارو,DPAK
1381-10-25,2003-01-15,38,دارو,DPAK
1381-10-28,2003-01-18,38,دارو,DPAK
1381-10-29,2003-01-19,38,دارو,DPAK
1381-10-30,2003-01-20,39,دارو,DPAK
1381-11-01,2003-01-21,39,دارو,DPAK
1381-11-02,2003-01-22,40,دارو,DPAK
1381-11-05,2003-01-25,40,دارو,DPAK
1381-11-06,2003-01-26,40,دارو,DPAK
1381-11-07,2003-01-27,41,دارو,DPAK
1381-11-08,2003-01-28,41,دارو,DPAK
1381-11-09,2003-01-29,42,دارو,DPAK
1381-11-12,2003-02-01,42,دارو,DPAK
1381-11-13,2003-02-02,42,دارو,DPAK
1381-11-14,2003-02-03,41,دارو,DPAK
1381-11-15,2003-02-04,41,دارو,DPAK
1381-11-16,2003-02-05,40,دارو,DPAK
1381-11-19,2003-02-08,40,دارو,DPAK
1381-11-20,2003-02-09,40,دارو,DPAK
1381-11-21,2003-02-10,39,دارو,DPAK
1381-11-26,2003-02-15,39,دارو,DPAK
1381-11-27,2003-02-16,39,دارو,DPAK
1381-11-28,2003-02-17,40,دارو,DPAK
1381-11-29,2003-02-18,40,دارو,DPAK
1381-11-30,2003-02-19,40,دارو,DPAK
1381-12-03,2003-02-22,40,دارو,DPAK
1381-12-04,2003-02-23,40,دارو,DPAK
1381-12-05,2003-02-24,40,دارو,DPAK
1381-12-06,2003-02-25,40,دارو,DPAK
1381-12-07,2003-02-26,40,دارو,DPAK
1381-12-10,2003-03-01,40,دارو,DPAK
1381-12-11,2003-03-02,40,دارو,DPAK
1381-12-12,2003-03-03,40,دارو,DPAK
1381-12-13,2003-03-04,40,دارو,DPAK
1381-12-14,2003-03-05,40,دارو,DPAK
1381-12-17,2003-03-08,40,دارو,DPAK
1381-12-18,2003-03-09,39,دارو,DPAK
1381-12-19,2003-03-10,39,دارو,DPAK
1381-12-20,2003-03-11,39,دارو,DPAK
1381-12-21,2003-03-12,39,دارو,DPAK
1381-12-24,2003-03-15,39,دارو,DPAK
1381-12-25,2003-03-16,40,دارو,DPAK
1381-12-26,2003-03-17,39,دارو,DPAK
1381-12-27,2003-03-18,40,دارو,DPAK
1381-12-28,2003-03-19,40,دارو,DPAK
1382-01-05,2003-03-25,41,دارو,DPAK
1382-01-06,2003-03-26,41,دارو,DPAK
1382-01-09,2003-03-29,41,دارو,DPAK
1382-01-17,2003-04-06,41,دارو,DPAK
1382-01-18,2003-04-07,42,دارو,DPAK
1382-01-19,2003-04-08,42,دارو,DPAK
1382-01-20,2003-04-09,43,دارو,DPAK
1382-01-23,2003-04-12,42,دارو,DPAK
1382-01-24,2003-04-13,42,دارو,DPAK
1382-01-25,2003-04-14,42,دارو,DPAK
1382-01-26,2003-04-15,42,دارو,DPAK
1382-01-27,2003-04-16,42,دارو,DPAK
1382-01-30,2003-04-19,42,دارو,DPAK
1382-01-31,2003-04-20,42,دارو,DPAK
1382-02-01,2003-04-21,42,دارو,DPAK
1382-02-02,2003-04-22,41,دارو,DPAK
1382-02-06,2003-04-26,41,دارو,DPAK
1382-02-07,2003-04-27,41,دارو,DPAK
1382-02-09,2003-04-29,42,دارو,DPAK
1382-02-10,2003-04-30,42,دارو,DPAK
1382-02-13,2003-05-03,42,دارو,DPAK
1382-02-14,2003-05-04,41,دارو,DPAK
1382-02-15,2003-05-05,41,دارو,DPAK
1382-02-16,2003-05-06,41,دارو,DPAK
1382-02-17,2003-05-07,41,دارو,DPAK
1382-02-20,2003-05-10,41,دارو,DPAK
1382-02-21,2003-05-11,41,دارو,DPAK
1382-02-22,2003-05-12,41,دارو,DPAK
1382-02-23,2003-05-13,40,دارو,DPAK
1382-02-24,2003-05-14,40,دارو,DPAK
1382-02-27,2003-05-17,40,دارو,DPAK
1382-02-28,2003-05-18,39,دارو,DPAK
1382-02-30,2003-05-20,39,دارو,DPAK
1382-02-31,2003-05-21,39,دارو,DPAK
1382-03-03,2003-05-24,39,دارو,DPAK
1382-03-04,2003-05-25,39,دارو,DPAK
1382-03-05,2003-05-26,39,دارو,DPAK
1382-03-06,2003-05-27,39,دارو,DPAK
1382-03-10,2003-05-31,39,دارو,DPAK
1382-03-11,2003-06-01,39,دارو,DPAK
1382-03-12,2003-06-02,39,دارو,DPAK
1382-04-09,2003-06-30,39,دارو,DPAK
1382-04-11,2003-07-02,37,دارو,DPAK
1382-04-16,2003-07-07,35,دارو,DPAK
1382-04-17,2003-07-08,33,دارو,DPAK
1382-04-18,2003-07-09,32,دارو,DPAK
1382-04-21,2003-07-12,30,دارو,DPAK
1382-04-22,2003-07-13,30,دارو,DPAK
1382-04-23,2003-07-14,30,دارو,DPAK
1382-04-24,2003-07-15,29,دارو,DPAK
1382-04-28,2003-07-19,28,دارو,DPAK
1382-04-29,2003-07-20,28,دارو,DPAK
1382-04-31,2003-07-22,27,دارو,DPAK
1382-05-01,2003-07-23,26,دارو,DPAK
1382-05-04,2003-07-26,25,دارو,DPAK
1382-05-05,2003-07-27,24,دارو,DPAK
1382-05-06,2003-07-28,24,دارو,DPAK
1382-05-07,2003-07-29,24,دارو,DPAK
1382-05-08,2003-07-30,24,دارو,DPAK
1382-05-12,2003-08-03,24,دارو,DPAK
1382-05-14,2003-08-05,24,دارو,DPAK
1382-05-15,2003-08-06,24,دارو,DPAK
1382-05-18,2003-08-09,24,دارو,DPAK
1382-05-19,2003-08-10,24,دارو,DPAK
1382-05-20,2003-08-11,24,دارو,DPAK
1382-05-21,2003-08-12,24,دارو,DPAK
1382-05-26,2003-08-17,24,دارو,DPAK
1382-05-29,2003-08-20,24,دارو,DPAK
1382-06-01,2003-08-23,24,دارو,DPAK
1382-06-03,2003-08-25,24,دارو,DPAK
1382-06-04,2003-08-26,24,دارو,DPAK
1382-06-05,2003-08-27,24,دارو,DPAK
1382-06-09,2003-08-31,24,دارو,DPAK
1382-06-16,2003-09-07,24,دارو,DPAK
1382-06-25,2003-09-16,24,دارو,DPAK
1382-06-26,2003-09-17,25,دارو,DPAK
1382-06-30,2003-09-21,25,دارو,DPAK
1382-06-31,2003-09-22,25,دارو,DPAK
1382-07-01,2003-09-23,25,دارو,DPAK
1382-07-05,2003-09-27,25,دارو,DPAK
1382-07-06,2003-09-28,25,دارو,DPAK
1382-07-07,2003-09-29,25,دارو,DPAK
1382-07-08,2003-09-30,26,دارو,DPAK
1382-07-12,2003-10-04,26,دارو,DPAK
1382-07-14,2003-10-06,26,دارو,DPAK
1382-07-15,2003-10-07,26,دارو,DPAK
1382-07-16,2003-10-08,26,دارو,DPAK
1382-07-19,2003-10-11,26,دارو,DPAK
1382-07-22,2003-10-14,26,دارو,DPAK
1382-07-28,2003-10-20,26,دارو,DPAK
1382-07-29,2003-10-21,26,دارو,DPAK
1382-07-30,2003-10-22,26,دارو,DPAK
1382-08-05,2003-10-27,26,دارو,DPAK
1382-08-06,2003-10-28,26,دارو,DPAK
1382-08-10,2003-11-01,26,دارو,DPAK
1382-08-11,2003-11-02,26,دارو,DPAK
1382-08-12,2003-11-03,26,دارو,DPAK
1382-08-13,2003-11-04,26,دارو,DPAK
1382-08-14,2003-11-05,26,دارو,DPAK
1382-08-17,2003-11-08,26,دارو,DPAK
1382-08-18,2003-11-09,26,دارو,DPAK
1382-08-19,2003-11-10,26,دارو,DPAK
1382-08-20,2003-11-11,26,دارو,DPAK
1382-08-21,2003-11-12,26,دارو,DPAK
1382-08-28,2003-11-19,26,دارو,DPAK
1382-09-01,2003-11-22,26,دارو,DPAK
1382-09-02,2003-11-23,26,دارو,DPAK
1382-09-03,2003-11-24,27,دارو,DPAK
1382-09-04,2003-11-25,27,دارو,DPAK
1382-09-08,2003-11-29,27,دارو,DPAK
1382-09-09,2003-11-30,27,دارو,DPAK
1382-09-10,2003-12-01,27,دارو,DPAK
1382-09-11,2003-12-02,27,دارو,DPAK
1382-09-15,2003-12-06,27,دارو,DPAK
1382-09-16,2003-12-07,27,دارو,DPAK
1382-09-17,2003-12-08,27,دارو,DPAK
1382-09-18,2003-12-09,28,دارو,DPAK
1382-09-22,2003-12-13,28,دارو,DPAK
1382-09-24,2003-12-15,28,دارو,DPAK
1382-09-25,2003-12-16,28,دارو,DPAK
1382-09-26,2003-12-17,28,دارو,DPAK
1382-09-30,2003-12-21,28,دارو,DPAK
1382-10-03,2003-12-24,28,دارو,DPAK
1382-10-07,2003-12-28,28,دارو,DPAK
1382-10-08,2003-12-29,28,دارو,DPAK
1382-10-09,2003-12-30,28,دارو,DPAK
1382-10-15,2004-01-05,28,دارو,DPAK
1382-10-16,2004-01-06,28,دارو,DPAK
1382-10-17,2004-01-07,28,دارو,DPAK
1382-10-22,2004-01-12,28,دارو,DPAK
1382-10-23,2004-01-13,28,دارو,DPAK
1382-10-24,2004-01-14,28,دارو,DPAK
1382-10-27,2004-01-17,28,دارو,DPAK
1382-10-28,2004-01-18,28,دارو,DPAK
1382-10-29,2004-01-19,28,دارو,DPAK
1382-10-30,2004-01-20,28,دارو,DPAK
1382-11-01,2004-01-21,28,دارو,DPAK
1382-11-05,2004-01-25,28,دارو,DPAK
1382-11-07,2004-01-27,28,دارو,DPAK
1382-11-11,2004-01-31,28,دارو,DPAK
1382-11-19,2004-02-08,28,دارو,DPAK
1382-11-20,2004-02-09,28,دارو,DPAK
1382-11-26,2004-02-15,28,دارو,DPAK
1382-11-29,2004-02-18,28,دارو,DPAK
1382-12-02,2004-02-21,28,دارو,DPAK
1382-12-03,2004-02-22,27,دارو,DPAK
1382-12-06,2004-02-25,27,دارو,DPAK
1382-12-09,2004-02-28,27,دارو,DPAK
1382-12-10,2004-02-29,27,دارو,DPAK
1382-12-13,2004-03-03,27,دارو,DPAK
1382-12-16,2004-03-06,27,دارو,DPAK
1382-12-17,2004-03-07,27,دارو,DPAK
1382-12-19,2004-03-09,27,دارو,DPAK
1383-01-09,2004-03-28,27,دارو,DPAK
1383-01-10,2004-03-29,27,دارو,DPAK
1383-01-11,2004-03-30,27,دارو,DPAK
1383-01-15,2004-04-03,27,دارو,DPAK
1383-01-17,2004-04-05,27,دارو,DPAK
1383-01-18,2004-04-06,27,دارو,DPAK
1383-01-22,2004-04-10,27,دارو,DPAK
1383-01-26,2004-04-14,27,دارو,DPAK
1383-01-29,2004-04-17,27,دارو,DPAK
1383-01-30,2004-04-18,27,دارو,DPAK
1383-02-05,2004-04-24,27,دارو,DPAK
1383-02-06,2004-04-25,27,دارو,DPAK
1383-03-12,2004-06-01,25,دارو,DPAK
1383-03-13,2004-06-02,25,دارو,DPAK
1383-03-16,2004-06-05,25,دارو,DPAK
1383-03-17,2004-06-06,25,دارو,DPAK
1383-03-18,2004-06-07,25,دارو,DPAK
1383-04-01,2004-06-21,25,دارو,DPAK
1383-04-02,2004-06-22,25,دارو,DPAK
1383-04-03,2004-06-23,24,دارو,DPAK
1383-04-08,2004-06-28,24,دارو,DPAK
1383-04-13,2004-07-03,24,دارو,DPAK
1383-04-14,2004-07-04,24,دارو,DPAK
1383-04-16,2004-07-06,24,دارو,DPAK
1383-04-17,2004-07-07,24,دارو,DPAK
1383-04-20,2004-07-10,24,دارو,DPAK
1383-04-21,2004-07-11,24,دارو,DPAK
1383-04-23,2004-07-13,24,دارو,DPAK
1383-04-24,2004-07-14,24,دارو,DPAK
1383-04-27,2004-07-17,24,دارو,DPAK
1383-04-28,2004-07-18,24,دارو,DPAK
1383-04-29,2004-07-19,24,دارو,DPAK
1383-04-30,2004-07-20,24,دارو,DPAK
1383-05-03,2004-07-24,24,دارو,DPAK
1383-05-05,2004-07-26,24,دارو,DPAK
1383-05-07,2004-07-28,24,دارو,DPAK
1383-05-10,2004-07-31,24,دارو,DPAK
1383-05-11,2004-08-01,24,دارو,DPAK
1383-05-12,2004-08-02,24,دارو,DPAK
1383-05-13,2004-08-03,24,دارو,DPAK
1383-05-14,2004-08-04,24,دارو,DPAK
1383-05-20,2004-08-10,24,دارو,DPAK
1383-05-21,2004-08-11,24,دارو,DPAK
1383-05-24,2004-08-14,24,دارو,DPAK
1383-05-27,2004-08-17,24,دارو,DPAK
1383-06-01,2004-08-22,26,دارو,DPAK
1383-06-02,2004-08-23,27,دارو,DPAK
1383-06-07,2004-08-28,27,دارو,DPAK
1383-06-08,2004-08-29,27,دارو,DPAK
1383-06-11,2004-09-01,27,دارو,DPAK
1383-06-14,2004-09-04,27,دارو,DPAK
1383-06-17,2004-09-07,28,دارو,DPAK
1383-06-22,2004-09-12,28,دارو,DPAK
1383-06-24,2004-09-14,28,دارو,DPAK
1383-06-25,2004-09-15,28,دارو,DPAK
1383-06-29,2004-09-19,28,دارو,DPAK
1383-06-31,2004-09-21,29,دارو,DPAK
1383-07-01,2004-09-22,29,دارو,DPAK
1383-07-04,2004-09-25,29,دارو,DPAK
1383-07-05,2004-09-26,29,دارو,DPAK
1383-07-06,2004-09-27,29,دارو,DPAK
1383-07-07,2004-09-28,31,دارو,DPAK
1383-07-11,2004-10-02,31,دارو,DPAK
1383-07-12,2004-10-03,31,دارو,DPAK
1383-07-13,2004-10-04,31,دارو,DPAK
1383-07-14,2004-10-05,31,دارو,DPAK
1383-07-15,2004-10-06,31,دارو,DPAK
1383-07-19,2004-10-10,31,دارو,DPAK
1383-07-21,2004-10-12,31,دارو,DPAK
1383-07-22,2004-10-13,31,دارو,DPAK
1383-07-26,2004-10-17,31,دارو,DPAK
1383-07-28,2004-10-19,30,دارو,DPAK
1383-07-29,2004-10-20,30,دارو,DPAK
1383-08-02,2004-10-23,30,دارو,DPAK
1383-08-03,2004-10-24,30,دارو,DPAK
1383-08-05,2004-10-26,30,دارو,DPAK
1383-08-09,2004-10-30,30,دارو,DPAK
1383-08-11,2004-11-01,30,دارو,DPAK
1383-08-12,2004-11-02,31,دارو,DPAK
1383-08-13,2004-11-03,31,دارو,DPAK
1383-08-16,2004-11-06,31,دارو,DPAK
1383-08-17,2004-11-07,31,دارو,DPAK
1383-08-18,2004-11-08,31,دارو,DPAK
1383-08-20,2004-11-10,31,دارو,DPAK
1383-08-23,2004-11-13,32,دارو,DPAK
1383-08-25,2004-11-15,32,دارو,DPAK
1383-08-26,2004-11-16,32,دارو,DPAK
1383-08-30,2004-11-20,32,دارو,DPAK
1383-09-01,2004-11-21,32,دارو,DPAK
1383-09-02,2004-11-22,32,دارو,DPAK
1383-09-03,2004-11-23,32,دارو,DPAK
1383-09-04,2004-11-24,32,دارو,DPAK
1383-09-10,2004-11-30,32,دارو,DPAK
1383-09-11,2004-12-01,32,دارو,DPAK
1383-09-14,2004-12-04,32,دارو,DPAK
1383-09-15,2004-12-05,32,دارو,DPAK
1383-09-21,2004-12-11,32,دارو,DPAK
1383-09-22,2004-12-12,34,دارو,DPAK
1383-09-23,2004-12-13,34,دارو,DPAK
1383-09-24,2004-12-14,34,دارو,DPAK
1383-09-25,2004-12-15,34,دارو,DPAK
1383-09-28,2004-12-18,34,دارو,DPAK
1383-09-29,2004-12-19,34,دارو,DPAK
1383-09-30,2004-12-20,34,دارو,DPAK
1383-10-01,2004-12-21,34,دارو,DPAK
1383-10-02,2004-12-22,34,دارو,DPAK
1383-10-05,2004-12-25,34,دارو,DPAK
1383-10-07,2004-12-27,34,دارو,DPAK
1383-10-08,2004-12-28,34,دارو,DPAK
1383-10-13,2005-01-02,34,دارو,DPAK
1383-10-14,2005-01-03,34,دارو,DPAK
1383-10-15,2005-01-04,34,دارو,DPAK
1383-10-19,2005-01-08,34,دارو,DPAK
1383-10-21,2005-01-10,34,دارو,DPAK
1383-11-03,2005-01-22,34,دارو,DPAK
1383-11-07,2005-01-26,34,دارو,DPAK
1383-11-17,2005-02-05,34,دارو,DPAK
1383-11-20,2005-02-08,34,دارو,DPAK
1383-12-10,2005-02-28,34,دارو,DPAK
1383-12-15,2005-03-05,34,دارو,DPAK
1383-12-18,2005-03-08,34,دارو,DPAK
1383-12-25,2005-03-15,32,دارو,DPAK
1384-01-21,2005-04-10,32,دارو,DPAK
1384-01-22,2005-04-11,32,دارو,DPAK
1384-01-27,2005-04-16,32,دارو,DPAK
1384-01-31,2005-04-20,32,دارو,DPAK
1384-02-03,2005-04-23,32,دارو,DPAK
1384-02-04,2005-04-24,32,دارو,DPAK
1384-02-10,2005-04-30,32,دارو,DPAK
1384-02-11,2005-05-01,32,دارو,DPAK
