J-Date,Date,Adj Close,Ticker,Ticker(4)
1380-01-25,2001-04-14,0,دشیری,DSHP
1380-02-11,2001-05-01,0,دشیری,DSHP
1380-02-15,2001-05-05,0,دشیری,DSHP
1380-02-16,2001-05-06,0,دشیری,DSHP
1380-02-17,2001-05-07,0,دشیری,DSHP
1380-02-18,2001-05-08,0,دشیری,DSHP
1380-05-29,2001-08-20,0,دشیری,DSHP
1380-06-26,2001-09-17,0,دشیری,DSHP
1380-07-03,2001-09-25,0,دشیری,DSHP
1380-07-08,2001-09-30,0,دشیری,DSHP
1380-07-11,2001-10-03,0,دشیری,DSHP
1380-07-18,2001-10-10,0,دشیری,DSHP
1380-07-22,2001-10-14,0,دشیری,DSHP
1380-11-13,2002-02-02,0,دشیری,DSHP
1380-11-14,2002-02-03,0,دشیری,DSHP
1381-02-01,2002-04-21,0,دشیری,DSHP
1381-02-02,2002-04-22,0,دشیری,DSHP
1381-02-08,2002-04-28,0,دشیری,DSHP
1381-02-10,2002-04-30,0,دشیری,DSHP
1381-02-16,2002-05-06,0,دشیری,DSHP
1381-02-28,2002-05-18,0,دشیری,DSHP
1381-02-29,2002-05-19,0,دشیری,DSHP
1381-02-30,2002-05-20,0,دشیری,DSHP
1381-03-29,2002-06-19,0,دشیری,DSHP
1381-04-01,2002-06-22,0,دشیری,DSHP
1381-04-04,2002-06-25,0,دشیری,DSHP
1381-04-10,2002-07-01,0,دشیری,DSHP
1381-05-22,2002-08-13,0,دشیری,DSHP
1381-06-06,2002-08-28,0,دشیری,DSHP
1381-06-10,2002-09-01,0,دشیری,DSHP
1381-06-11,2002-09-02,0,دشیری,DSHP
1381-06-16,2002-09-07,0,دشیری,DSHP
1381-06-18,2002-09-09,0,دشیری,DSHP
1381-06-24,2002-09-15,0,دشیری,DSHP
1381-06-26,2002-09-17,0,دشیری,DSHP
1381-06-27,2002-09-18,0,دشیری,DSHP
1381-06-31,2002-09-22,0,دشیری,DSHP
1381-07-02,2002-09-24,0,دشیری,DSHP
1381-07-03,2002-09-25,0,دشیری,DSHP
1381-07-06,2002-09-28,0,دشیری,DSHP
1381-07-07,2002-09-29,0,دشیری,DSHP
1381-07-09,2002-10-01,0,دشیری,DSHP
1381-07-15,2002-10-07,0,دشیری,DSHP
1381-07-16,2002-10-08,0,دشیری,DSHP
1381-07-17,2002-10-09,0,دشیری,DSHP
1381-07-21,2002-10-13,0,دشیری,DSHP
1381-08-05,2002-10-27,0,دشیری,DSHP
1381-08-06,2002-10-28,0,دشیری,DSHP
1381-08-08,2002-10-30,0,دشیری,DSHP
1381-08-13,2002-11-04,0,دشیری,DSHP
1381-08-14,2002-11-05,0,دشیری,DSHP
1381-08-15,2002-11-06,0,دشیری,DSHP
1381-08-18,2002-11-09,0,دشیری,DSHP
1381-08-19,2002-11-10,0,دشیری,DSHP
1381-08-20,2002-11-11,0,دشیری,DSHP
1381-08-21,2002-11-12,0,دشیری,DSHP
1381-08-26,2002-11-17,0,دشیری,DSHP
1381-09-18,2002-12-09,0,دشیری,DSHP
1381-10-02,2002-12-23,0,دشیری,DSHP
1381-10-21,2003-01-11,0,دشیری,DSHP
1381-10-29,2003-01-19,0,دشیری,DSHP
1381-11-12,2003-02-01,0,دشیری,DSHP
1381-11-30,2003-02-19,0,دشیری,DSHP
1381-12-05,2003-02-24,0,دشیری,DSHP
1381-12-07,2003-02-26,0,دشیری,DSHP
1381-12-19,2003-03-10,0,دشیری,DSHP
1381-12-26,2003-03-17,0,دشیری,DSHP
1382-01-11,2003-03-31,0,دشیری,DSHP
1382-01-16,2003-04-05,0,دشیری,DSHP
1382-01-18,2003-04-07,0,دشیری,DSHP
1382-01-19,2003-04-08,0,دشیری,DSHP
1382-02-31,2003-05-21,0,دشیری,DSHP
1382-04-21,2003-07-12,0,دشیری,DSHP
1382-06-08,2003-08-30,0,دشیری,DSHP
1382-06-22,2003-09-13,0,دشیری,DSHP
1382-06-24,2003-09-15,0,دشیری,DSHP
1382-07-13,2003-10-05,0,دشیری,DSHP
1382-08-11,2003-11-02,0,دشیری,DSHP
1382-08-24,2003-11-15,0,دشیری,DSHP
1382-08-26,2003-11-17,0,دشیری,DSHP
1382-09-22,2003-12-13,0,دشیری,DSHP
1382-09-23,2003-12-14,0,دشیری,DSHP
1382-10-07,2003-12-28,0,دشیری,DSHP
1382-10-09,2003-12-30,0,دشیری,DSHP
1382-10-15,2004-01-05,0,دشیری,DSHP
1382-10-20,2004-01-10,0,دشیری,DSHP
1382-10-24,2004-01-14,0,دشیری,DSHP
1382-10-29,2004-01-19,0,دشیری,DSHP
1382-11-05,2004-01-25,0,دشیری,DSHP
1382-11-08,2004-01-28,0,دشیری,DSHP
1382-11-27,2004-02-16,0,دشیری,DSHP
1382-12-03,2004-02-22,0,دشیری,DSHP
1382-12-06,2004-02-25,0,دشیری,DSHP
1382-12-09,2004-02-28,0,دشیری,DSHP
1383-01-17,2004-04-05,0,دشیری,DSHP
1383-06-08,2004-08-29,0,دشیری,DSHP
1383-06-10,2004-08-31,0,دشیری,DSHP
1383-06-11,2004-09-01,0,دشیری,DSHP
1383-06-14,2004-09-04,0,دشیری,DSHP
1383-06-17,2004-09-07,0,دشیری,DSHP
1383-06-25,2004-09-15,0,دشیری,DSHP
1383-09-01,2004-11-21,0,دشیری,DSHP
1383-09-02,2004-11-22,0,دشیری,DSHP
1383-09-03,2004-11-23,0,دشیری,DSHP
1383-09-04,2004-11-24,0,دشیری,DSHP
1383-09-07,2004-11-27,0,دشیری,DSHP
1383-09-08,2004-11-28,0,دشیری,DSHP
1383-09-09,2004-11-29,0,دشیری,DSHP
1383-09-10,2004-11-30,0,دشیری,DSHP
1383-09-11,2004-12-01,0,دشیری,DSHP
1383-09-14,2004-12-04,0,دشیری,DSHP
1383-09-15,2004-12-05,0,دشیری,DSHP
1383-09-16,2004-12-06,0,دشیری,DSHP
1383-09-17,2004-12-07,0,دشیری,DSHP
1383-09-21,2004-12-11,0,دشیری,DSHP
1383-09-22,2004-12-12,0,دشیری,DSHP
1383-09-23,2004-12-13,0,دشیری,DSHP
1383-09-24,2004-12-14,0,دشیری,DSHP
1383-09-25,2004-12-15,0,دشیری,DSHP
1383-09-28,2004-12-18,0,دشیری,DSHP
1383-09-29,2004-12-19,0,دشیری,DSHP
1383-09-30,2004-12-20,0,دشیری,DSHP
1383-10-01,2004-12-21,0,دشیری,DSHP
1383-10-02,2004-12-22,0,دشیری,DSHP
1383-10-05,2004-12-25,0,دشیری,DSHP
1383-10-06,2004-12-26,0,دشیری,DSHP
1383-10-08,2004-12-28,0,دشیری,DSHP
1383-10-09,2004-12-29,0,دشیری,DSHP
1383-10-12,2005-01-01,0,دشیری,DSHP
1383-10-13,2005-01-02,0,دشیری,DSHP
1383-10-14,2005-01-03,0,دشیری,DSHP
1383-10-15,2005-01-04,0,دشیری,DSHP
1383-10-16,2005-01-05,0,دشیری,DSHP
1383-10-19,2005-01-08,0,دشیری,DSHP
1383-10-20,2005-01-09,0,دشیری,DSHP
1383-10-21,2005-01-10,0,دشیری,DSHP
1383-10-22,2005-01-11,0,دشیری,DSHP
1383-10-28,2005-01-17,0,دشیری,DSHP
1383-10-29,2005-01-18,0,دشیری,DSHP
1383-10-30,2005-01-19,0,دشیری,DSHP
1383-11-04,2005-01-23,0,دشیری,DSHP
1383-11-05,2005-01-24,0,دشیری,DSHP
1383-11-11,2005-01-30,0,دشیری,DSHP
1383-11-12,2005-01-31,0,دشیری,DSHP
1383-11-13,2005-02-01,0,دشیری,DSHP
1383-11-14,2005-02-02,0,دشیری,DSHP
1383-11-17,2005-02-05,0,دشیری,DSHP
1383-11-20,2005-02-08,0,دشیری,DSHP
1383-12-05,2005-02-23,0,دشیری,DSHP
1384-01-23,2005-04-12,0,دشیری,DSHP
1384-01-24,2005-04-13,0,دشیری,DSHP
1384-01-27,2005-04-16,1,دشیری,DSHP
1384-01-28,2005-04-17,1,دشیری,DSHP
1384-02-03,2005-04-23,1,دشیری,DSHP
1384-05-24,2005-08-15,1,دشیری,DSHP
1384-06-05,2005-08-27,1,دشیری,DSHP
1384-08-17,2005-11-08,1,دشیری,DSHP
1384-09-29,2005-12-20,0,دشیری,DSHP
1384-10-24,2006-01-14,0,دشیری,DSHP
1384-12-22,2006-03-13,0,دشیری,DSHP
1386-03-08,2007-05-29,0,دشیری,DSHP
1393-09-09,2014-11-30,1383,دشیری,DSHP
1393-12-19,2015-03-10,1659,دشیری,DSHP
1394-05-26,2015-08-17,1659,دشیری,DSHP
1394-08-25,2015-11-16,1659,دشیری,DSHP
1394-12-19,2016-03-09,2060,دشیری,DSHP
1395-01-22,2016-04-10,2005,دشیری,DSHP
1395-02-15,2016-05-04,2005,دشیری,DSHP
1396-08-13,2017-11-04,8325,دشیری,DSHP
1396-08-14,2017-11-05,9165,دشیری,DSHP
1396-08-15,2017-11-06,10060,دشیری,DSHP
1396-08-23,2017-11-14,13876,دشیری,DSHP
1396-08-24,2017-11-15,17190,دشیری,DSHP
1396-08-27,2017-11-18,15473,دشیری,DSHP
1396-08-29,2017-11-20,14556,دشیری,DSHP
1396-08-30,2017-11-21,15558,دشیری,DSHP
1396-09-01,2017-11-22,16443,دشیری,DSHP
1396-09-04,2017-11-25,15071,دشیری,DSHP
1396-09-05,2017-11-26,15042,دشیری,DSHP
1396-09-07,2017-11-28,12707,دشیری,DSHP
1396-09-08,2017-11-29,11663,دشیری,DSHP
1396-09-11,2017-12-02,11378,دشیری,DSHP
1396-09-12,2017-12-03,11649,دشیری,DSHP
1396-09-13,2017-12-04,11054,دشیری,DSHP
1396-09-14,2017-12-05,10616,دشیری,DSHP
1396-09-18,2017-12-09,10130,دشیری,DSHP
1396-09-19,2017-12-10,9720,دشیری,DSHP
1396-09-20,2017-12-11,9449,دشیری,DSHP
1396-09-21,2017-12-12,9637,دشیری,DSHP
1396-09-22,2017-12-13,8607,دشیری,DSHP
1396-09-25,2017-12-16,8325,دشیری,DSHP
1396-09-26,2017-12-17,9187,دشیری,DSHP
1396-09-27,2017-12-18,9380,دشیری,DSHP
1396-09-28,2017-12-19,10318,دشیری,DSHP
1396-09-29,2017-12-20,11323,دشیری,DSHP
1396-10-02,2017-12-23,12357,دشیری,DSHP
1396-10-03,2017-12-24,11670,دشیری,DSHP
1396-10-04,2017-12-25,11170,دشیری,DSHP
1396-10-05,2017-12-26,10525,دشیری,DSHP
1396-10-06,2017-12-27,10060,دشیری,DSHP
1396-10-09,2017-12-30,9990,دشیری,DSHP
1396-10-10,2017-12-31,9359,دشیری,DSHP
1396-10-11,2018-01-01,9343,دشیری,DSHP
1396-10-12,2018-01-02,8742,دشیری,DSHP
1396-10-13,2018-01-03,8939,دشیری,DSHP
1396-10-16,2018-01-06,9018,دشیری,DSHP
1396-10-17,2018-01-07,9262,دشیری,DSHP
1396-10-18,2018-01-08,9257,دشیری,DSHP
1396-10-19,2018-01-09,9352,دشیری,DSHP
1396-10-20,2018-01-10,9018,دشیری,DSHP
1396-10-23,2018-01-13,9019,دشیری,DSHP
1396-10-24,2018-01-14,8811,دشیری,DSHP
1396-10-25,2018-01-15,9366,دشیری,DSHP
1396-10-26,2018-01-16,9712,دشیری,DSHP
1396-10-27,2018-01-17,8950,دشیری,DSHP
1396-10-30,2018-01-20,9651,دشیری,DSHP
1396-11-01,2018-01-21,9020,دشیری,DSHP
1396-11-02,2018-01-22,9975,دشیری,DSHP
1396-11-03,2018-01-23,9180,دشیری,DSHP
1396-11-07,2018-01-27,9713,دشیری,DSHP
1396-11-08,2018-01-28,9713,دشیری,DSHP
1396-11-09,2018-01-29,9713,دشیری,DSHP
1396-11-10,2018-01-30,9417,دشیری,DSHP
1396-11-11,2018-01-31,10060,دشیری,DSHP
1396-11-14,2018-02-03,10275,دشیری,DSHP
1396-11-15,2018-02-04,10267,دشیری,DSHP
1396-11-16,2018-02-05,10231,دشیری,DSHP
1396-11-17,2018-02-06,9644,دشیری,DSHP
1396-11-18,2018-02-07,9782,دشیری,DSHP
1396-11-23,2018-02-12,9366,دشیری,DSHP
1396-11-24,2018-02-13,9504,دشیری,DSHP
1396-11-25,2018-02-14,9713,دشیری,DSHP
1396-11-28,2018-02-17,9227,دشیری,DSHP
1396-11-29,2018-02-18,9706,دشیری,DSHP
1396-11-30,2018-02-19,8887,دشیری,DSHP
1396-12-02,2018-02-21,9089,دشیری,DSHP
1396-12-05,2018-02-24,8756,دشیری,DSHP
1396-12-06,2018-02-25,8607,دشیری,DSHP
1396-12-07,2018-02-26,8983,دشیری,DSHP
1396-12-08,2018-02-27,8069,دشیری,DSHP
1396-12-09,2018-02-28,8257,دشیری,DSHP
1396-12-12,2018-03-03,7707,دشیری,DSHP
1396-12-13,2018-03-04,7895,دشیری,DSHP
1396-12-14,2018-03-05,7841,دشیری,DSHP
1396-12-15,2018-03-06,7569,دشیری,DSHP
1396-12-16,2018-03-07,8187,دشیری,DSHP
1396-12-19,2018-03-10,7265,دشیری,DSHP
1396-12-20,2018-03-11,7024,دشیری,DSHP
1396-12-21,2018-03-12,6938,دشیری,DSHP
1396-12-22,2018-03-13,7611,دشیری,DSHP
1396-12-23,2018-03-14,7481,دشیری,DSHP
1396-12-26,2018-03-17,7770,دشیری,DSHP
1396-12-27,2018-03-18,7833,دشیری,DSHP
1396-12-28,2018-03-19,7146,دشیری,DSHP
1397-01-08,2018-03-28,6938,دشیری,DSHP
