J-Date,Date,Adj Close,Ticker,Ticker(4)
1381-11-15,2003-02-04,133,دسبحا,DSOB
1381-11-16,2003-02-05,134,دسبحا,DSOB
1381-11-19,2003-02-08,136,دسبحا,DSOB
1381-11-20,2003-02-09,136,دسبحا,DSOB
1381-11-21,2003-02-10,136,دسبحا,DSOB
1381-11-26,2003-02-15,134,دسبحا,DSOB
1381-11-27,2003-02-16,134,دسبحا,DSOB
1381-11-28,2003-02-17,136,دسبحا,DSOB
1381-11-29,2003-02-18,137,دسبحا,DSOB
1381-11-30,2003-02-19,137,دسبحا,DSOB
1381-12-03,2003-02-22,137,دسبحا,DSOB
1381-12-04,2003-02-23,136,دسبحا,DSOB
1381-12-05,2003-02-24,135,دسبحا,DSOB
1381-12-06,2003-02-25,133,دسبحا,DSOB
1381-12-07,2003-02-26,132,دسبحا,DSOB
1381-12-10,2003-03-01,133,دسبحا,DSOB
1381-12-11,2003-03-02,134,دسبحا,DSOB
1381-12-12,2003-03-03,134,دسبحا,DSOB
1381-12-13,2003-03-04,134,دسبحا,DSOB
1381-12-14,2003-03-05,134,دسبحا,DSOB
1381-12-17,2003-03-08,134,دسبحا,DSOB
1381-12-25,2003-03-16,135,دسبحا,DSOB
1381-12-26,2003-03-17,135,دسبحا,DSOB
1381-12-27,2003-03-18,136,دسبحا,DSOB
1381-12-28,2003-03-19,137,دسبحا,DSOB
1382-01-06,2003-03-26,137,دسبحا,DSOB
1382-01-09,2003-03-29,139,دسبحا,DSOB
1382-01-10,2003-03-30,139,دسبحا,DSOB
1382-01-11,2003-03-31,139,دسبحا,DSOB
1382-01-17,2003-04-06,139,دسبحا,DSOB
1382-01-18,2003-04-07,139,دسبحا,DSOB
1382-01-19,2003-04-08,139,دسبحا,DSOB
1382-01-20,2003-04-09,140,دسبحا,DSOB
1382-01-23,2003-04-12,140,دسبحا,DSOB
1382-01-24,2003-04-13,140,دسبحا,DSOB
1382-01-25,2003-04-14,140,دسبحا,DSOB
1382-01-27,2003-04-16,141,دسبحا,DSOB
1382-01-30,2003-04-19,141,دسبحا,DSOB
1382-01-31,2003-04-20,142,دسبحا,DSOB
1382-02-01,2003-04-21,144,دسبحا,DSOB
1382-02-09,2003-04-29,147,دسبحا,DSOB
1382-02-10,2003-04-30,147,دسبحا,DSOB
1382-02-13,2003-05-03,147,دسبحا,DSOB
1382-02-14,2003-05-04,149,دسبحا,DSOB
1382-02-16,2003-05-06,150,دسبحا,DSOB
1382-02-17,2003-05-07,152,دسبحا,DSOB
1382-02-21,2003-05-11,153,دسبحا,DSOB
1382-02-22,2003-05-12,155,دسبحا,DSOB
1382-02-23,2003-05-13,156,دسبحا,DSOB
1382-02-24,2003-05-14,158,دسبحا,DSOB
1382-02-27,2003-05-17,158,دسبحا,DSOB
1382-02-28,2003-05-18,158,دسبحا,DSOB
1382-02-30,2003-05-20,158,دسبحا,DSOB
1382-02-31,2003-05-21,158,دسبحا,DSOB
1382-03-03,2003-05-24,160,دسبحا,DSOB
1382-03-06,2003-05-27,160,دسبحا,DSOB
1382-03-07,2003-05-28,160,دسبحا,DSOB
1382-03-10,2003-05-31,160,دسبحا,DSOB
1382-03-11,2003-06-01,160,دسبحا,DSOB
1382-03-12,2003-06-02,160,دسبحا,DSOB
1382-03-13,2003-06-03,160,دسبحا,DSOB
1382-03-17,2003-06-07,160,دسبحا,DSOB
1382-03-18,2003-06-08,160,دسبحا,DSOB
