J-Date,Date,Adj Close,Ticker,Ticker(4)
1392-10-30,2014-01-20,458,تیپیکو,DTIP
1392-11-01,2014-01-21,480,تیپیکو,DTIP
1392-11-02,2014-01-22,499,تیپیکو,DTIP
1392-11-05,2014-01-25,499,تیپیکو,DTIP
1392-11-06,2014-01-26,485,تیپیکو,DTIP
1392-11-07,2014-01-27,494,تیپیکو,DTIP
1392-11-08,2014-01-28,502,تیپیکو,DTIP
1392-11-09,2014-01-29,521,تیپیکو,DTIP
1392-11-12,2014-02-01,536,تیپیکو,DTIP
1392-11-13,2014-02-02,513,تیپیکو,DTIP
1392-11-14,2014-02-03,513,تیپیکو,DTIP
1392-11-15,2014-02-04,520,تیپیکو,DTIP
1392-11-16,2014-02-05,501,تیپیکو,DTIP
1392-11-19,2014-02-08,483,تیپیکو,DTIP
1392-11-20,2014-02-09,500,تیپیکو,DTIP
1392-11-21,2014-02-10,490,تیپیکو,DTIP
1392-11-23,2014-02-12,486,تیپیکو,DTIP
1392-11-26,2014-02-15,495,تیپیکو,DTIP
1392-11-27,2014-02-16,513,تیپیکو,DTIP
1392-11-28,2014-02-17,529,تیپیکو,DTIP
1392-11-29,2014-02-18,513,تیپیکو,DTIP
1392-11-30,2014-02-19,528,تیپیکو,DTIP
1392-12-03,2014-02-22,549,تیپیکو,DTIP
1392-12-04,2014-02-23,565,تیپیکو,DTIP
1392-12-05,2014-02-24,550,تیپیکو,DTIP
1392-12-06,2014-02-25,534,تیپیکو,DTIP
1392-12-07,2014-02-26,533,تیپیکو,DTIP
1392-12-10,2014-03-01,548,تیپیکو,DTIP
1392-12-11,2014-03-02,538,تیپیکو,DTIP
1392-12-12,2014-03-03,516,تیپیکو,DTIP
1392-12-13,2014-03-04,520,تیپیکو,DTIP
1392-12-14,2014-03-05,539,تیپیکو,DTIP
1392-12-17,2014-03-08,530,تیپیکو,DTIP
1392-12-18,2014-03-09,520,تیپیکو,DTIP
1392-12-19,2014-03-10,521,تیپیکو,DTIP
1392-12-20,2014-03-11,511,تیپیکو,DTIP
1392-12-21,2014-03-12,521,تیپیکو,DTIP
1392-12-24,2014-03-15,539,تیپیکو,DTIP
1392-12-25,2014-03-16,543,تیپیکو,DTIP
1392-12-26,2014-03-17,552,تیپیکو,DTIP
1392-12-27,2014-03-18,542,تیپیکو,DTIP
1392-12-28,2014-03-19,541,تیپیکو,DTIP
1393-01-05,2014-03-25,530,تیپیکو,DTIP
1393-01-06,2014-03-26,527,تیپیکو,DTIP
1393-01-09,2014-03-29,521,تیپیکو,DTIP
1393-01-10,2014-03-30,533,تیپیکو,DTIP
1393-01-11,2014-03-31,536,تیپیکو,DTIP
1393-01-16,2014-04-05,530,تیپیکو,DTIP
1393-01-17,2014-04-06,517,تیپیکو,DTIP
1393-01-18,2014-04-07,531,تیپیکو,DTIP
1393-01-19,2014-04-08,521,تیپیکو,DTIP
1393-01-20,2014-04-09,521,تیپیکو,DTIP
