J-Date,Date,Adj Close,Ticker,Ticker(4)
1390-06-08,2011-08-30,285,رتاپ,EPRS
1390-06-12,2011-09-03,274,رتاپ,EPRS
1390-06-13,2011-09-04,271,رتاپ,EPRS
1390-06-14,2011-09-05,266,رتاپ,EPRS
1390-06-15,2011-09-06,266,رتاپ,EPRS
1390-06-16,2011-09-07,266,رتاپ,EPRS
1390-06-19,2011-09-10,266,رتاپ,EPRS
1390-06-20,2011-09-11,266,رتاپ,EPRS
1390-06-21,2011-09-12,264,رتاپ,EPRS
1390-06-22,2011-09-13,266,رتاپ,EPRS
1390-06-23,2011-09-14,274,رتاپ,EPRS
1390-06-26,2011-09-17,270,رتاپ,EPRS
1390-06-27,2011-09-18,282,رتاپ,EPRS
1390-06-28,2011-09-19,288,رتاپ,EPRS
1390-06-29,2011-09-20,283,رتاپ,EPRS
1390-06-30,2011-09-21,282,رتاپ,EPRS
1390-07-03,2011-09-25,280,رتاپ,EPRS
1390-07-04,2011-09-26,274,رتاپ,EPRS
1390-07-05,2011-09-27,279,رتاپ,EPRS
1390-07-06,2011-09-28,289,رتاپ,EPRS
1390-07-09,2011-10-01,288,رتاپ,EPRS
1390-07-10,2011-10-02,286,رتاپ,EPRS
1390-07-11,2011-10-03,286,رتاپ,EPRS
1390-07-12,2011-10-04,288,رتاپ,EPRS
1390-07-13,2011-10-05,292,رتاپ,EPRS
1390-07-16,2011-10-08,295,رتاپ,EPRS
1390-07-17,2011-10-09,296,رتاپ,EPRS
1390-07-18,2011-10-10,293,رتاپ,EPRS
1390-07-19,2011-10-11,295,رتاپ,EPRS
1390-07-20,2011-10-12,292,رتاپ,EPRS
1390-07-23,2011-10-15,287,رتاپ,EPRS
1390-07-24,2011-10-16,281,رتاپ,EPRS
1390-07-25,2011-10-17,282,رتاپ,EPRS
1390-07-26,2011-10-18,288,رتاپ,EPRS
1390-07-27,2011-10-19,286,رتاپ,EPRS
1390-07-30,2011-10-22,282,رتاپ,EPRS
1390-08-01,2011-10-23,281,رتاپ,EPRS
1390-08-02,2011-10-24,277,رتاپ,EPRS
1390-08-03,2011-10-25,276,رتاپ,EPRS
1390-08-04,2011-10-26,277,رتاپ,EPRS
1390-08-07,2011-10-29,277,رتاپ,EPRS
1390-08-08,2011-10-30,274,رتاپ,EPRS
1390-08-09,2011-10-31,274,رتاپ,EPRS
1390-08-10,2011-11-01,271,رتاپ,EPRS
1390-08-11,2011-11-02,277,رتاپ,EPRS
1390-08-14,2011-11-05,274,رتاپ,EPRS
1390-08-15,2011-11-06,274,رتاپ,EPRS
1390-08-17,2011-11-08,270,رتاپ,EPRS
1390-08-18,2011-11-09,272,رتاپ,EPRS
1390-08-21,2011-11-12,274,رتاپ,EPRS
1390-08-22,2011-11-13,263,رتاپ,EPRS
1390-08-23,2011-11-14,264,رتاپ,EPRS
1390-08-25,2011-11-16,264,رتاپ,EPRS
1390-08-28,2011-11-19,264,رتاپ,EPRS
1390-08-29,2011-11-20,270,رتاپ,EPRS
1390-08-30,2011-11-21,260,رتاپ,EPRS
1390-09-01,2011-11-22,252,رتاپ,EPRS
1390-09-02,2011-11-23,244,رتاپ,EPRS
1390-09-05,2011-11-26,235,رتاپ,EPRS
1390-09-06,2011-11-27,228,رتاپ,EPRS
1390-09-07,2011-11-28,222,رتاپ,EPRS
1390-09-08,2011-11-29,231,رتاپ,EPRS
1390-09-09,2011-11-30,219,رتاپ,EPRS
1390-09-12,2011-12-03,231,رتاپ,EPRS
1390-09-13,2011-12-04,236,رتاپ,EPRS
1390-09-16,2011-12-07,241,رتاپ,EPRS
1390-09-19,2011-12-10,238,رتاپ,EPRS
1390-09-20,2011-12-11,233,رتاپ,EPRS
1390-09-21,2011-12-12,235,رتاپ,EPRS
1390-09-22,2011-12-13,236,رتاپ,EPRS
1390-09-23,2011-12-14,231,رتاپ,EPRS
1390-09-26,2011-12-17,234,رتاپ,EPRS
1390-09-27,2011-12-18,237,رتاپ,EPRS
1390-09-28,2011-12-19,237,رتاپ,EPRS
1390-09-29,2011-12-20,237,رتاپ,EPRS
1390-09-30,2011-12-21,229,رتاپ,EPRS
1390-10-03,2011-12-24,239,رتاپ,EPRS
1390-10-04,2011-12-25,237,رتاپ,EPRS
1390-10-05,2011-12-26,234,رتاپ,EPRS
1390-10-06,2011-12-27,231,رتاپ,EPRS
1390-10-07,2011-12-28,238,رتاپ,EPRS
1390-10-10,2011-12-31,234,رتاپ,EPRS
1390-10-11,2012-01-01,228,رتاپ,EPRS
1390-10-12,2012-01-02,231,رتاپ,EPRS
1390-10-13,2012-01-03,228,رتاپ,EPRS
1390-10-14,2012-01-04,237,رتاپ,EPRS
1390-10-17,2012-01-07,237,رتاپ,EPRS
1390-10-18,2012-01-08,232,رتاپ,EPRS
1390-10-19,2012-01-09,231,رتاپ,EPRS
1390-10-20,2012-01-10,231,رتاپ,EPRS
1390-10-21,2012-01-11,231,رتاپ,EPRS
1390-10-25,2012-01-15,237,رتاپ,EPRS
1390-10-26,2012-01-16,232,رتاپ,EPRS
1390-10-27,2012-01-17,232,رتاپ,EPRS
1390-10-28,2012-01-18,231,رتاپ,EPRS
1390-11-01,2012-01-21,231,رتاپ,EPRS
1390-11-03,2012-01-23,231,رتاپ,EPRS
1390-11-05,2012-01-25,231,رتاپ,EPRS
1390-11-08,2012-01-28,231,رتاپ,EPRS
1390-11-09,2012-01-29,227,رتاپ,EPRS
1390-11-10,2012-01-30,230,رتاپ,EPRS
1390-11-11,2012-01-31,222,رتاپ,EPRS
1390-11-12,2012-02-01,222,رتاپ,EPRS
1390-11-15,2012-02-04,219,رتاپ,EPRS
1390-11-16,2012-02-05,218,رتاپ,EPRS
1390-11-17,2012-02-06,216,رتاپ,EPRS
1390-11-18,2012-02-07,231,رتاپ,EPRS
1390-11-19,2012-02-08,219,رتاپ,EPRS
1390-11-23,2012-02-12,225,رتاپ,EPRS
1390-11-24,2012-02-13,232,رتاپ,EPRS
1390-11-25,2012-02-14,237,رتاپ,EPRS
1390-11-26,2012-02-15,240,رتاپ,EPRS
1390-12-01,2012-02-20,250,رتاپ,EPRS
1390-12-02,2012-02-21,244,رتاپ,EPRS
1390-12-03,2012-02-22,242,رتاپ,EPRS
1390-12-06,2012-02-25,237,رتاپ,EPRS
1390-12-07,2012-02-26,248,رتاپ,EPRS
1390-12-08,2012-02-27,251,رتاپ,EPRS
1390-12-09,2012-02-28,243,رتاپ,EPRS
1390-12-10,2012-02-29,240,رتاپ,EPRS
1390-12-13,2012-03-03,239,رتاپ,EPRS
1390-12-14,2012-03-04,238,رتاپ,EPRS
1390-12-15,2012-03-05,238,رتاپ,EPRS
1390-12-16,2012-03-06,237,رتاپ,EPRS
1390-12-17,2012-03-07,237,رتاپ,EPRS
