J-Date,Date,Adj Close,Ticker,Ticker(4)
1393-03-17,2014-06-07,97,تشتاد,ESHP
1393-04-16,2014-07-07,97,تشتاد,ESHP
1393-04-17,2014-07-08,97,تشتاد,ESHP
1393-04-21,2014-07-12,96,تشتاد,ESHP
1393-04-24,2014-07-15,95,تشتاد,ESHP
1393-06-02,2014-08-24,93,تشتاد,ESHP
1393-07-02,2014-09-24,98,تشتاد,ESHP
1393-08-05,2014-10-27,98,تشتاد,ESHP
1393-08-06,2014-10-28,102,تشتاد,ESHP
1393-08-10,2014-11-01,111,تشتاد,ESHP
1393-08-27,2014-11-18,111,تشتاد,ESHP
1393-08-28,2014-11-19,121,تشتاد,ESHP
1393-09-10,2014-12-01,130,تشتاد,ESHP
1393-09-17,2014-12-08,130,تشتاد,ESHP
1393-09-18,2014-12-09,112,تشتاد,ESHP
1393-09-19,2014-12-10,233,تشتاد,ESHP
1393-09-24,2014-12-15,279,تشتاد,ESHP
1393-11-04,2015-01-24,123,تشتاد,ESHP
1393-11-13,2015-02-02,200,تشتاد,ESHP
1393-11-15,2015-02-04,186,تشتاد,ESHP
1393-11-26,2015-02-15,372,تشتاد,ESHP
1393-12-02,2015-02-21,372,تشتاد,ESHP
1393-12-03,2015-02-22,372,تشتاد,ESHP
1393-12-04,2015-02-23,466,تشتاد,ESHP
1393-12-05,2015-02-24,372,تشتاد,ESHP
1394-01-18,2015-04-07,453,تشتاد,ESHP
1394-01-23,2015-04-12,453,تشتاد,ESHP
1394-01-26,2015-04-15,453,تشتاد,ESHP
1394-01-29,2015-04-18,453,تشتاد,ESHP
1394-02-02,2015-04-22,397,تشتاد,ESHP
1394-02-07,2015-04-27,402,تشتاد,ESHP
1394-02-08,2015-04-28,397,تشتاد,ESHP
1394-02-09,2015-04-29,247,تشتاد,ESHP
1394-04-02,2015-06-23,285,تشتاد,ESHP
1394-05-12,2015-08-03,336,تشتاد,ESHP
1394-07-20,2015-10-12,233,تشتاد,ESHP
1394-07-22,2015-10-14,233,تشتاد,ESHP
1394-07-27,2015-10-19,254,تشتاد,ESHP
1394-07-28,2015-10-20,271,تشتاد,ESHP
1394-08-04,2015-10-26,285,تشتاد,ESHP
1394-09-02,2015-11-23,292,تشتاد,ESHP
1394-11-25,2016-02-14,304,تشتاد,ESHP
1394-12-01,2016-02-20,318,تشتاد,ESHP
1394-12-02,2016-02-21,332,تشتاد,ESHP
1394-12-04,2016-02-23,348,تشتاد,ESHP
1394-12-15,2016-03-05,383,تشتاد,ESHP
1394-12-16,2016-03-06,364,تشتاد,ESHP
1394-12-26,2016-03-16,364,تشتاد,ESHP
1395-02-04,2016-04-23,239,تشتاد,ESHP
1395-02-11,2016-04-30,250,تشتاد,ESHP
1395-02-14,2016-05-03,260,تشتاد,ESHP
1395-02-18,2016-05-07,260,تشتاد,ESHP
1395-02-21,2016-05-10,260,تشتاد,ESHP
1395-02-28,2016-05-17,304,تشتاد,ESHP
1395-02-29,2016-05-18,308,تشتاد,ESHP
1395-03-01,2016-05-21,318,تشتاد,ESHP
1395-03-24,2016-06-13,318,تشتاد,ESHP
