J-Date,Date,Adj Close,Ticker,Ticker(4)
1401-06-02,2022-08-24,4050,استقلال,ESLP
1401-06-05,2022-08-27,3969,استقلال,ESLP
1401-06-06,2022-08-28,3976,استقلال,ESLP
1401-06-07,2022-08-29,3923,استقلال,ESLP
1401-06-08,2022-08-30,3874,استقلال,ESLP
1401-06-09,2022-08-31,3797,استقلال,ESLP
1401-06-12,2022-09-03,3723,استقلال,ESLP
1401-06-13,2022-09-04,3661,استقلال,ESLP
1401-06-14,2022-09-05,3604,استقلال,ESLP
1401-06-15,2022-09-06,3532,استقلال,ESLP
1401-06-16,2022-09-07,3462,استقلال,ESLP
1401-06-19,2022-09-10,3416,استقلال,ESLP
1401-06-20,2022-09-11,3386,استقلال,ESLP
1401-06-21,2022-09-12,3359,استقلال,ESLP
1401-06-22,2022-09-13,3332,استقلال,ESLP
1401-06-23,2022-09-14,3300,استقلال,ESLP
1401-06-27,2022-09-18,3285,استقلال,ESLP
1401-06-28,2022-09-19,3282,استقلال,ESLP
1401-06-29,2022-09-20,3279,استقلال,ESLP
1401-06-30,2022-09-21,3277,استقلال,ESLP
1401-07-02,2022-09-24,3013,استقلال,ESLP
1401-07-04,2022-09-26,3007,استقلال,ESLP
1401-07-06,2022-09-28,3001,استقلال,ESLP
1401-07-09,2022-10-01,2996,استقلال,ESLP
1401-07-10,2022-10-02,2994,استقلال,ESLP
1401-07-11,2022-10-03,2992,استقلال,ESLP
1401-07-12,2022-10-04,2991,استقلال,ESLP
1401-07-16,2022-10-08,2929,استقلال,ESLP
1401-07-17,2022-10-09,2983,استقلال,ESLP
1401-07-18,2022-10-10,2982,استقلال,ESLP
1401-07-19,2022-10-11,2981,استقلال,ESLP
1401-07-20,2022-10-12,2922,استقلال,ESLP
1401-07-23,2022-10-15,2864,استقلال,ESLP
1401-07-24,2022-10-16,2807,استقلال,ESLP
1401-07-25,2022-10-17,2751,استقلال,ESLP
1401-07-26,2022-10-18,2696,استقلال,ESLP
1401-07-27,2022-10-19,2643,استقلال,ESLP
1401-07-30,2022-10-22,2591,استقلال,ESLP
1401-08-01,2022-10-23,2540,استقلال,ESLP
1401-09-09,2022-11-30,2490,استقلال,ESLP
1401-09-12,2022-12-03,2441,استقلال,ESLP
1401-09-13,2022-12-04,2393,استقلال,ESLP
1401-09-14,2022-12-05,2346,استقلال,ESLP
1401-09-15,2022-12-06,2300,استقلال,ESLP
1401-09-16,2022-12-07,2346,استقلال,ESLP
1401-09-19,2022-12-10,2238,استقلال,ESLP
1401-09-20,2022-12-11,2322,استقلال,ESLP
1401-09-21,2022-12-12,2317,استقلال,ESLP
1401-09-22,2022-12-13,2265,استقلال,ESLP
1401-09-23,2022-12-14,2227,استقلال,ESLP
1401-09-26,2022-12-17,2183,استقلال,ESLP
1401-09-27,2022-12-18,2144,استقلال,ESLP
1401-09-28,2022-12-19,2107,استقلال,ESLP
1401-09-29,2022-12-20,2070,استقلال,ESLP
1401-10-04,2022-12-25,2111,استقلال,ESLP
1401-10-05,2022-12-26,2130,استقلال,ESLP
1401-10-07,2022-12-28,2140,استقلال,ESLP
1401-10-10,2022-12-31,2097,استقلال,ESLP
1401-10-11,2023-01-01,2057,استقلال,ESLP
1401-10-12,2023-01-02,2016,استقلال,ESLP
1401-10-13,2023-01-03,2004,استقلال,ESLP
1401-10-14,2023-01-04,2029,استقلال,ESLP
1401-10-17,2023-01-07,2028,استقلال,ESLP
1401-10-18,2023-01-08,2068,استقلال,ESLP
1401-10-19,2023-01-09,2063,استقلال,ESLP
1401-10-20,2023-01-10,2063,استقلال,ESLP
1401-10-21,2023-01-11,2088,استقلال,ESLP
1401-10-24,2023-01-14,2132,استقلال,ESLP
1401-10-26,2023-01-16,2118,استقلال,ESLP
1401-10-27,2023-01-17,2102,استقلال,ESLP
1401-10-28,2023-01-18,2085,استقلال,ESLP
1401-11-01,2023-01-21,2117,استقلال,ESLP
1401-11-02,2023-01-22,2112,استقلال,ESLP
1401-11-03,2023-01-23,2081,استقلال,ESLP
1401-11-04,2023-01-24,2128,استقلال,ESLP
1401-11-05,2023-01-25,2091,استقلال,ESLP
1401-11-08,2023-01-28,2090,استقلال,ESLP
1401-11-09,2023-01-29,2060,استقلال,ESLP
1401-11-10,2023-01-30,2047,استقلال,ESLP
1401-11-11,2023-01-31,2032,استقلال,ESLP
1401-11-12,2023-02-01,2000,استقلال,ESLP
1401-11-16,2023-02-05,1967,استقلال,ESLP
1401-11-17,2023-02-06,1929,استقلال,ESLP
1401-11-18,2023-02-07,1892,استقلال,ESLP
1401-11-19,2023-02-08,1868,استقلال,ESLP
1401-11-23,2023-02-12,1834,استقلال,ESLP
1401-11-24,2023-02-13,1811,استقلال,ESLP
1401-11-25,2023-02-14,1791,استقلال,ESLP
1401-11-26,2023-02-15,1764,استقلال,ESLP
1401-11-30,2023-02-19,1761,استقلال,ESLP
1401-12-01,2023-02-20,1762,استقلال,ESLP
1401-12-02,2023-02-21,1733,استقلال,ESLP
1401-12-03,2023-02-22,1736,استقلال,ESLP
1401-12-06,2023-02-25,1775,استقلال,ESLP
1401-12-07,2023-02-26,1732,استقلال,ESLP
1401-12-08,2023-02-27,1707,استقلال,ESLP
1401-12-09,2023-02-28,1693,استقلال,ESLP
1401-12-10,2023-03-01,1669,استقلال,ESLP
1401-12-13,2023-03-04,1644,استقلال,ESLP
1401-12-14,2023-03-05,1618,استقلال,ESLP
1401-12-15,2023-03-06,1608,استقلال,ESLP
1401-12-16,2023-03-07,1590,استقلال,ESLP
1401-12-20,2023-03-11,1579,استقلال,ESLP
1401-12-21,2023-03-12,1567,استقلال,ESLP
1401-12-22,2023-03-13,1556,استقلال,ESLP
1401-12-23,2023-03-14,1529,استقلال,ESLP
1401-12-24,2023-03-15,1560,استقلال,ESLP
1401-12-27,2023-03-18,1587,استقلال,ESLP
1401-12-28,2023-03-19,1610,استقلال,ESLP
1402-01-05,2023-03-25,1622,استقلال,ESLP
1402-01-06,2023-03-26,1620,استقلال,ESLP
1402-01-07,2023-03-27,1637,استقلال,ESLP
1402-01-08,2023-03-28,1630,استقلال,ESLP
1402-01-09,2023-03-29,1665,استقلال,ESLP
1402-01-14,2023-04-03,1670,استقلال,ESLP
1402-01-15,2023-04-04,1655,استقلال,ESLP
1402-01-16,2023-04-05,1686,استقلال,ESLP
1402-01-19,2023-04-08,1712,استقلال,ESLP
1402-01-20,2023-04-09,1746,استقلال,ESLP
1402-01-21,2023-04-10,1750,استقلال,ESLP
1402-01-22,2023-04-11,1732,استقلال,ESLP
1402-01-26,2023-04-15,1772,استقلال,ESLP
1402-01-27,2023-04-16,1777,استقلال,ESLP
1402-01-28,2023-04-17,1755,استقلال,ESLP
1402-01-29,2023-04-18,1795,استقلال,ESLP
1402-01-30,2023-04-19,1830,استقلال,ESLP
1402-02-25,2023-05-15,1777,استقلال,ESLP
1402-03-03,2023-05-24,1748,استقلال,ESLP
1402-03-06,2023-05-27,1810,استقلال,ESLP
1402-03-07,2023-05-28,1813,استقلال,ESLP
1402-03-08,2023-05-29,1842,استقلال,ESLP
1402-03-09,2023-05-30,1863,استقلال,ESLP
1402-03-10,2023-05-31,1845,استقلال,ESLP
