J-Date,Date,Adj Close,Ticker,Ticker(4)
1392-07-23,2013-10-15,118,اتکای,ETKZ
1392-08-04,2013-10-26,118,اتکای,ETKZ
1392-08-05,2013-10-27,118,اتکای,ETKZ
1392-08-11,2013-11-02,118,اتکای,ETKZ
1392-08-12,2013-11-03,118,اتکای,ETKZ
1392-08-26,2013-11-17,122,اتکای,ETKZ
1392-08-29,2013-11-20,122,اتکای,ETKZ
1392-09-04,2013-11-25,122,اتکای,ETKZ
1392-09-18,2013-12-09,125,اتکای,ETKZ
1392-09-19,2013-12-10,125,اتکای,ETKZ
1392-09-26,2013-12-17,125,اتکای,ETKZ
1392-10-04,2013-12-25,170,اتکای,ETKZ
1392-10-08,2013-12-29,170,اتکای,ETKZ
1392-10-22,2014-01-12,204,اتکای,ETKZ
1392-10-24,2014-01-14,204,اتکای,ETKZ
1392-10-28,2014-01-18,210,اتکای,ETKZ
1392-10-30,2014-01-20,227,اتکای,ETKZ
1392-11-12,2014-02-01,210,اتکای,ETKZ
1392-11-15,2014-02-04,187,اتکای,ETKZ
1392-11-21,2014-02-10,227,اتکای,ETKZ
1392-11-27,2014-02-16,227,اتکای,ETKZ
1392-11-30,2014-02-19,227,اتکای,ETKZ
1392-12-03,2014-02-22,227,اتکای,ETKZ
1392-12-10,2014-03-01,227,اتکای,ETKZ
1393-01-06,2014-03-26,215,اتکای,ETKZ
1393-01-16,2014-04-05,217,اتکای,ETKZ
1393-01-17,2014-04-06,218,اتکای,ETKZ
1393-01-18,2014-04-07,217,اتکای,ETKZ
1393-01-19,2014-04-08,217,اتکای,ETKZ
1393-01-20,2014-04-09,217,اتکای,ETKZ
1393-01-23,2014-04-12,220,اتکای,ETKZ
1393-01-25,2014-04-14,215,اتکای,ETKZ
1393-01-26,2014-04-15,199,اتکای,ETKZ
1393-02-01,2014-04-21,193,اتکای,ETKZ
1393-02-03,2014-04-23,199,اتکای,ETKZ
1393-02-06,2014-04-26,199,اتکای,ETKZ
1393-02-07,2014-04-27,215,اتکای,ETKZ
1393-02-08,2014-04-28,215,اتکای,ETKZ
1393-02-09,2014-04-29,194,اتکای,ETKZ
1393-02-10,2014-04-30,197,اتکای,ETKZ
1393-02-13,2014-05-03,197,اتکای,ETKZ
1393-02-14,2014-05-04,197,اتکای,ETKZ
1393-02-15,2014-05-05,197,اتکای,ETKZ
1393-03-27,2014-06-17,185,اتکای,ETKZ
1393-03-28,2014-06-18,185,اتکای,ETKZ
1393-03-31,2014-06-21,185,اتکای,ETKZ
1393-04-01,2014-06-22,184,اتکای,ETKZ
1393-04-02,2014-06-23,184,اتکای,ETKZ
1393-04-03,2014-06-24,184,اتکای,ETKZ
1393-04-07,2014-06-28,184,اتکای,ETKZ
1393-04-08,2014-06-29,185,اتکای,ETKZ
1393-04-09,2014-06-30,184,اتکای,ETKZ
1393-04-11,2014-07-02,184,اتکای,ETKZ
1393-04-15,2014-07-06,197,اتکای,ETKZ
1393-04-16,2014-07-07,185,اتکای,ETKZ
1393-04-17,2014-07-08,187,اتکای,ETKZ
1393-04-18,2014-07-09,185,اتکای,ETKZ
1393-04-22,2014-07-13,185,اتکای,ETKZ
1393-04-23,2014-07-14,185,اتکای,ETKZ
1393-04-25,2014-07-16,197,اتکای,ETKZ
1393-04-29,2014-07-20,184,اتکای,ETKZ
1393-04-30,2014-07-21,172,اتکای,ETKZ
1393-05-01,2014-07-23,184,اتکای,ETKZ
1393-05-04,2014-07-26,191,اتکای,ETKZ
1393-05-05,2014-07-27,186,اتکای,ETKZ
1393-05-06,2014-07-28,186,اتکای,ETKZ
1393-05-11,2014-08-02,191,اتکای,ETKZ
1393-05-12,2014-08-03,184,اتکای,ETKZ
1393-05-13,2014-08-04,186,اتکای,ETKZ
1393-05-18,2014-08-09,184,اتکای,ETKZ
1393-05-19,2014-08-10,184,اتکای,ETKZ
1393-05-20,2014-08-11,184,اتکای,ETKZ
1393-05-21,2014-08-12,184,اتکای,ETKZ
1393-05-22,2014-08-13,184,اتکای,ETKZ
1393-05-26,2014-08-17,184,اتکای,ETKZ
1393-05-28,2014-08-19,186,اتکای,ETKZ
1393-06-02,2014-08-24,186,اتکای,ETKZ
1393-06-04,2014-08-26,186,اتکای,ETKZ
1393-06-05,2014-08-27,209,اتکای,ETKZ
1393-06-08,2014-08-30,203,اتکای,ETKZ
1393-06-09,2014-08-31,187,اتکای,ETKZ
1393-06-11,2014-09-02,191,اتکای,ETKZ
1393-06-15,2014-09-06,191,اتکای,ETKZ
1393-06-16,2014-09-07,186,اتکای,ETKZ
1393-06-18,2014-09-09,186,اتکای,ETKZ
1393-06-22,2014-09-13,186,اتکای,ETKZ
1393-06-23,2014-09-14,186,اتکای,ETKZ
1393-06-25,2014-09-16,186,اتکای,ETKZ
1393-06-26,2014-09-17,186,اتکای,ETKZ
1393-06-29,2014-09-20,186,اتکای,ETKZ
1393-06-30,2014-09-21,186,اتکای,ETKZ
1393-06-31,2014-09-22,186,اتکای,ETKZ
1393-07-01,2014-09-23,186,اتکای,ETKZ
1393-07-02,2014-09-24,185,اتکای,ETKZ
1393-07-05,2014-09-27,186,اتکای,ETKZ
1393-07-07,2014-09-29,187,اتکای,ETKZ
1393-07-08,2014-09-30,187,اتکای,ETKZ
1393-07-09,2014-10-01,186,اتکای,ETKZ
1393-07-12,2014-10-04,185,اتکای,ETKZ
1393-07-15,2014-10-07,197,اتکای,ETKZ
1393-07-16,2014-10-08,201,اتکای,ETKZ
1393-07-20,2014-10-12,201,اتکای,ETKZ
1393-07-23,2014-10-15,257,اتکای,ETKZ
1393-07-26,2014-10-18,247,اتکای,ETKZ
1393-07-27,2014-10-19,258,اتکای,ETKZ
1393-07-28,2014-10-20,265,اتکای,ETKZ
1393-07-29,2014-10-21,259,اتکای,ETKZ
1393-07-30,2014-10-22,264,اتکای,ETKZ
1393-08-03,2014-10-25,258,اتکای,ETKZ
1393-08-04,2014-10-26,259,اتکای,ETKZ
1393-08-05,2014-10-27,264,اتکای,ETKZ
1393-08-06,2014-10-28,264,اتکای,ETKZ
1393-08-07,2014-10-29,259,اتکای,ETKZ
1393-08-10,2014-11-01,264,اتکای,ETKZ
1393-08-11,2014-11-02,265,اتکای,ETKZ
1393-08-14,2014-11-05,259,اتکای,ETKZ
1393-08-18,2014-11-09,258,اتکای,ETKZ
1393-08-19,2014-11-10,249,اتکای,ETKZ
1393-08-20,2014-11-11,252,اتکای,ETKZ
1393-08-24,2014-11-15,260,اتکای,ETKZ
1393-08-25,2014-11-16,305,اتکای,ETKZ
1393-08-26,2014-11-17,308,اتکای,ETKZ
1393-08-27,2014-11-18,300,اتکای,ETKZ
1393-08-28,2014-11-19,295,اتکای,ETKZ
1393-09-01,2014-11-22,250,اتکای,ETKZ
1393-09-02,2014-11-23,250,اتکای,ETKZ
1393-09-03,2014-11-24,267,اتکای,ETKZ
1393-09-04,2014-11-25,258,اتکای,ETKZ
1393-09-05,2014-11-26,258,اتکای,ETKZ
1393-09-08,2014-11-29,265,اتکای,ETKZ
1393-09-09,2014-11-30,258,اتکای,ETKZ
1393-09-10,2014-12-01,246,اتکای,ETKZ
1393-09-11,2014-12-02,256,اتکای,ETKZ
1393-09-12,2014-12-03,246,اتکای,ETKZ
1393-09-15,2014-12-06,246,اتکای,ETKZ
1393-09-16,2014-12-07,246,اتکای,ETKZ
1393-09-17,2014-12-08,246,اتکای,ETKZ
1393-09-18,2014-12-09,246,اتکای,ETKZ
1393-09-19,2014-12-10,245,اتکای,ETKZ
