J-Date,Date,Adj Close,Ticker,Ticker(4)
1392-12-21,2014-03-12,70,اعتلا,ETLZ
1392-12-24,2014-03-15,73,اعتلا,ETLZ
1392-12-25,2014-03-16,77,اعتلا,ETLZ
1392-12-26,2014-03-17,81,اعتلا,ETLZ
1392-12-27,2014-03-18,85,اعتلا,ETLZ
1392-12-28,2014-03-19,89,اعتلا,ETLZ
1393-01-05,2014-03-25,93,اعتلا,ETLZ
1393-01-06,2014-03-26,98,اعتلا,ETLZ
1393-01-09,2014-03-29,96,اعتلا,ETLZ
1393-01-10,2014-03-30,98,اعتلا,ETLZ
1393-01-11,2014-03-31,103,اعتلا,ETLZ
1393-01-16,2014-04-05,107,اعتلا,ETLZ
1393-01-17,2014-04-06,101,اعتلا,ETLZ
1393-01-18,2014-04-07,99,اعتلا,ETLZ
1393-01-19,2014-04-08,95,اعتلا,ETLZ
1393-01-20,2014-04-09,94,اعتلا,ETLZ
1393-01-23,2014-04-12,89,اعتلا,ETLZ
1393-01-24,2014-04-13,85,اعتلا,ETLZ
1393-01-25,2014-04-14,81,اعتلا,ETLZ
1393-01-26,2014-04-15,81,اعتلا,ETLZ
1393-01-27,2014-04-16,85,اعتلا,ETLZ
1393-01-30,2014-04-19,80,اعتلا,ETLZ
1393-01-31,2014-04-20,84,اعتلا,ETLZ
1393-02-01,2014-04-21,88,اعتلا,ETLZ
1393-02-02,2014-04-22,92,اعتلا,ETLZ
1393-02-03,2014-04-23,94,اعتلا,ETLZ
1393-02-06,2014-04-26,95,اعتلا,ETLZ
1393-02-07,2014-04-27,90,اعتلا,ETLZ
1393-02-08,2014-04-28,88,اعتلا,ETLZ
1393-02-09,2014-04-29,86,اعتلا,ETLZ
1393-02-15,2014-05-05,91,اعتلا,ETLZ
1393-02-16,2014-05-06,87,اعتلا,ETLZ
1393-02-17,2014-05-07,90,اعتلا,ETLZ
1393-02-20,2014-05-10,89,اعتلا,ETLZ
1393-02-21,2014-05-11,88,اعتلا,ETLZ
1393-02-22,2014-05-12,85,اعتلا,ETLZ
1393-02-24,2014-05-14,83,اعتلا,ETLZ
1393-02-27,2014-05-17,80,اعتلا,ETLZ
1393-02-28,2014-05-18,84,اعتلا,ETLZ
1393-02-29,2014-05-19,83,اعتلا,ETLZ
1393-02-30,2014-05-20,88,اعتلا,ETLZ
1393-02-31,2014-05-21,91,اعتلا,ETLZ
1393-03-03,2014-05-24,96,اعتلا,ETLZ
1393-03-04,2014-05-25,91,اعتلا,ETLZ
1393-03-05,2014-05-26,89,اعتلا,ETLZ
1393-03-07,2014-05-28,89,اعتلا,ETLZ
1393-03-10,2014-05-31,88,اعتلا,ETLZ
1393-03-11,2014-06-01,87,اعتلا,ETLZ
1393-03-12,2014-06-02,89,اعتلا,ETLZ
1393-03-13,2014-06-03,88,اعتلا,ETLZ
1393-03-17,2014-06-07,85,اعتلا,ETLZ
1393-03-18,2014-06-08,85,اعتلا,ETLZ
1393-03-19,2014-06-09,85,اعتلا,ETLZ
1393-03-20,2014-06-10,85,اعتلا,ETLZ
1393-03-21,2014-06-11,84,اعتلا,ETLZ
1393-03-24,2014-06-14,81,اعتلا,ETLZ
1393-03-25,2014-06-15,82,اعتلا,ETLZ
1393-03-26,2014-06-16,82,اعتلا,ETLZ
1393-03-27,2014-06-17,81,اعتلا,ETLZ
1393-03-28,2014-06-18,85,اعتلا,ETLZ
1393-03-31,2014-06-21,83,اعتلا,ETLZ
1393-04-01,2014-06-22,81,اعتلا,ETLZ
1393-04-02,2014-06-23,80,اعتلا,ETLZ
1393-04-03,2014-06-24,81,اعتلا,ETLZ
1393-04-04,2014-06-25,76,اعتلا,ETLZ
1393-04-07,2014-06-28,74,اعتلا,ETLZ
1393-04-08,2014-06-29,71,اعتلا,ETLZ
1393-04-09,2014-06-30,67,اعتلا,ETLZ
1393-04-10,2014-07-01,71,اعتلا,ETLZ
1393-04-11,2014-07-02,73,اعتلا,ETLZ
1393-04-14,2014-07-05,76,اعتلا,ETLZ
1393-04-15,2014-07-06,73,اعتلا,ETLZ
1393-04-16,2014-07-07,73,اعتلا,ETLZ
1393-04-17,2014-07-08,78,اعتلا,ETLZ
1393-04-18,2014-07-09,74,اعتلا,ETLZ
1393-04-21,2014-07-12,72,اعتلا,ETLZ
1393-04-22,2014-07-13,76,اعتلا,ETLZ
1393-04-23,2014-07-14,80,اعتلا,ETLZ
1393-04-24,2014-07-15,84,اعتلا,ETLZ
1393-04-25,2014-07-16,84,اعتلا,ETLZ
1393-04-29,2014-07-20,82,اعتلا,ETLZ
1393-04-30,2014-07-21,85,اعتلا,ETLZ
1393-04-31,2014-07-22,84,اعتلا,ETLZ
1393-05-13,2014-08-04,89,اعتلا,ETLZ
1393-05-14,2014-08-05,87,اعتلا,ETLZ
1393-05-15,2014-08-06,91,اعتلا,ETLZ
1393-05-18,2014-08-09,93,اعتلا,ETLZ
1393-05-19,2014-08-10,93,اعتلا,ETLZ
1393-05-20,2014-08-11,92,اعتلا,ETLZ
1393-05-21,2014-08-12,91,اعتلا,ETLZ
1393-05-22,2014-08-13,95,اعتلا,ETLZ
1393-05-25,2014-08-16,96,اعتلا,ETLZ
1393-05-26,2014-08-17,94,اعتلا,ETLZ
1393-05-27,2014-08-18,95,اعتلا,ETLZ
1393-05-28,2014-08-19,93,اعتلا,ETLZ
1393-05-29,2014-08-20,91,اعتلا,ETLZ
1393-06-01,2014-08-23,92,اعتلا,ETLZ
1393-06-02,2014-08-24,90,اعتلا,ETLZ
1393-06-03,2014-08-25,90,اعتلا,ETLZ
1393-06-04,2014-08-26,92,اعتلا,ETLZ
1393-06-05,2014-08-27,90,اعتلا,ETLZ
1393-06-08,2014-08-30,91,اعتلا,ETLZ
1393-06-09,2014-08-31,90,اعتلا,ETLZ
1393-06-10,2014-09-01,90,اعتلا,ETLZ
1393-06-11,2014-09-02,90,اعتلا,ETLZ
1393-06-12,2014-09-03,88,اعتلا,ETLZ
1393-06-15,2014-09-06,86,اعتلا,ETLZ
1393-06-16,2014-09-07,84,اعتلا,ETLZ
1393-06-17,2014-09-08,87,اعتلا,ETLZ
1393-06-18,2014-09-09,89,اعتلا,ETLZ
1393-06-19,2014-09-10,87,اعتلا,ETLZ
1393-06-22,2014-09-13,83,اعتلا,ETLZ
1393-06-23,2014-09-14,80,اعتلا,ETLZ
1393-06-24,2014-09-15,82,اعتلا,ETLZ
1393-06-25,2014-09-16,81,اعتلا,ETLZ
1393-06-26,2014-09-17,82,اعتلا,ETLZ
1393-06-29,2014-09-20,84,اعتلا,ETLZ
1393-06-30,2014-09-21,85,اعتلا,ETLZ
1393-06-31,2014-09-22,85,اعتلا,ETLZ
1393-07-01,2014-09-23,85,اعتلا,ETLZ
1393-07-02,2014-09-24,87,اعتلا,ETLZ
1393-07-05,2014-09-27,84,اعتلا,ETLZ
1393-07-06,2014-09-28,84,اعتلا,ETLZ
1393-07-07,2014-09-29,83,اعتلا,ETLZ
1393-07-08,2014-09-30,85,اعتلا,ETLZ
1393-07-09,2014-10-01,83,اعتلا,ETLZ
1393-07-12,2014-10-04,83,اعتلا,ETLZ
1393-07-14,2014-10-06,84,اعتلا,ETLZ
1393-07-15,2014-10-07,83,اعتلا,ETLZ
1393-07-16,2014-10-08,87,اعتلا,ETLZ
1393-07-19,2014-10-11,88,اعتلا,ETLZ
1393-07-20,2014-10-12,85,اعتلا,ETLZ
1393-07-22,2014-10-14,87,اعتلا,ETLZ
1393-07-23,2014-10-15,91,اعتلا,ETLZ
1393-07-26,2014-10-18,91,اعتلا,ETLZ
1393-07-27,2014-10-19,89,اعتلا,ETLZ
1393-07-28,2014-10-20,91,اعتلا,ETLZ
1393-07-29,2014-10-21,90,اعتلا,ETLZ
1393-07-30,2014-10-22,89,اعتلا,ETLZ
1393-08-03,2014-10-25,89,اعتلا,ETLZ
1393-08-04,2014-10-26,88,اعتلا,ETLZ
1393-08-05,2014-10-27,87,اعتلا,ETLZ
1393-08-06,2014-10-28,86,اعتلا,ETLZ
1393-08-07,2014-10-29,87,اعتلا,ETLZ
1393-08-10,2014-11-01,87,اعتلا,ETLZ
1393-08-11,2014-11-02,87,اعتلا,ETLZ
1393-08-14,2014-11-05,91,اعتلا,ETLZ
1393-08-17,2014-11-08,95,اعتلا,ETLZ
1393-08-18,2014-11-09,94,اعتلا,ETLZ
1393-08-19,2014-11-10,91,اعتلا,ETLZ
1393-08-20,2014-11-11,96,اعتلا,ETLZ
1393-08-21,2014-11-12,100,اعتلا,ETLZ
1393-08-24,2014-11-15,104,اعتلا,ETLZ
1393-08-25,2014-11-16,105,اعتلا,ETLZ
1393-08-26,2014-11-17,101,اعتلا,ETLZ
1393-08-27,2014-11-18,100,اعتلا,ETLZ
1393-08-28,2014-11-19,97,اعتلا,ETLZ
1393-09-01,2014-11-22,94,اعتلا,ETLZ
1393-09-02,2014-11-23,93,اعتلا,ETLZ
1393-09-03,2014-11-24,93,اعتلا,ETLZ
1393-09-04,2014-11-25,91,اعتلا,ETLZ
1393-09-05,2014-11-26,92,اعتلا,ETLZ
1393-09-08,2014-11-29,92,اعتلا,ETLZ
1393-09-09,2014-11-30,88,اعتلا,ETLZ
1393-09-10,2014-12-01,85,اعتلا,ETLZ
1393-09-11,2014-12-02,85,اعتلا,ETLZ
1393-09-12,2014-12-03,82,اعتلا,ETLZ
1393-09-15,2014-12-06,81,اعتلا,ETLZ
1393-09-16,2014-12-07,82,اعتلا,ETLZ
1393-09-17,2014-12-08,85,اعتلا,ETLZ
1393-09-18,2014-12-09,83,اعتلا,ETLZ
1393-09-19,2014-12-10,84,اعتلا,ETLZ
1393-09-23,2014-12-14,80,اعتلا,ETLZ
1393-09-24,2014-12-15,78,اعتلا,ETLZ
1393-09-25,2014-12-16,77,اعتلا,ETLZ
1393-09-26,2014-12-17,76,اعتلا,ETLZ
1393-09-29,2014-12-20,79,اعتلا,ETLZ
1393-10-01,2014-12-22,83,اعتلا,ETLZ
1393-10-03,2014-12-24,82,اعتلا,ETLZ
1393-10-06,2014-12-27,82,اعتلا,ETLZ
1393-10-07,2014-12-28,83,اعتلا,ETLZ
1393-10-08,2014-12-29,82,اعتلا,ETLZ
1393-10-09,2014-12-30,85,اعتلا,ETLZ
1393-10-10,2014-12-31,84,اعتلا,ETLZ
1393-10-13,2015-01-03,83,اعتلا,ETLZ
1393-10-14,2015-01-04,82,اعتلا,ETLZ
1393-10-15,2015-01-05,80,اعتلا,ETLZ
1393-10-16,2015-01-06,77,اعتلا,ETLZ
1393-10-17,2015-01-07,77,اعتلا,ETLZ
1393-10-20,2015-01-10,73,اعتلا,ETLZ
1393-10-21,2015-01-11,72,اعتلا,ETLZ
1393-10-22,2015-01-12,74,اعتلا,ETLZ
1393-10-23,2015-01-13,74,اعتلا,ETLZ
1393-10-24,2015-01-14,73,اعتلا,ETLZ
1393-10-27,2015-01-17,74,اعتلا,ETLZ
1393-10-28,2015-01-18,72,اعتلا,ETLZ
1393-10-29,2015-01-19,72,اعتلا,ETLZ
1393-10-30,2015-01-20,71,اعتلا,ETLZ
1393-11-01,2015-01-21,70,اعتلا,ETLZ
1393-11-04,2015-01-24,70,اعتلا,ETLZ
1393-11-05,2015-01-25,68,اعتلا,ETLZ
1393-11-06,2015-01-26,67,اعتلا,ETLZ
1393-11-07,2015-01-27,68,اعتلا,ETLZ
1393-11-08,2015-01-28,71,اعتلا,ETLZ
1393-11-11,2015-01-31,75,اعتلا,ETLZ
1393-11-12,2015-02-01,73,اعتلا,ETLZ
1393-11-13,2015-02-02,74,اعتلا,ETLZ
1393-11-14,2015-02-03,74,اعتلا,ETLZ
1393-11-15,2015-02-04,77,اعتلا,ETLZ
1393-11-18,2015-02-07,74,اعتلا,ETLZ
1393-11-19,2015-02-08,72,اعتلا,ETLZ
1393-11-20,2015-02-09,69,اعتلا,ETLZ
1393-11-21,2015-02-10,71,اعتلا,ETLZ
1393-11-25,2015-02-14,71,اعتلا,ETLZ
1393-11-26,2015-02-15,71,اعتلا,ETLZ
1393-11-27,2015-02-16,71,اعتلا,ETLZ
1393-11-28,2015-02-17,74,اعتلا,ETLZ
1393-11-29,2015-02-18,77,اعتلا,ETLZ
1393-12-02,2015-02-21,74,اعتلا,ETLZ
1393-12-03,2015-02-22,73,اعتلا,ETLZ
1393-12-04,2015-02-23,76,اعتلا,ETLZ
1393-12-05,2015-02-24,73,اعتلا,ETLZ
1393-12-06,2015-02-25,73,اعتلا,ETLZ
1393-12-09,2015-02-28,71,اعتلا,ETLZ
1393-12-10,2015-03-01,73,اعتلا,ETLZ
1393-12-11,2015-03-02,72,اعتلا,ETLZ
1393-12-12,2015-03-03,71,اعتلا,ETLZ
1393-12-13,2015-03-04,71,اعتلا,ETLZ
1393-12-16,2015-03-07,71,اعتلا,ETLZ
1393-12-17,2015-03-08,71,اعتلا,ETLZ
1393-12-18,2015-03-09,70,اعتلا,ETLZ
1393-12-19,2015-03-10,69,اعتلا,ETLZ
1393-12-20,2015-03-11,68,اعتلا,ETLZ
1393-12-23,2015-03-14,73,اعتلا,ETLZ
1393-12-24,2015-03-15,74,اعتلا,ETLZ
1393-12-25,2015-03-16,72,اعتلا,ETLZ
1393-12-26,2015-03-17,72,اعتلا,ETLZ
1393-12-27,2015-03-18,74,اعتلا,ETLZ
1394-01-05,2015-03-25,73,اعتلا,ETLZ
1394-01-08,2015-03-28,77,اعتلا,ETLZ
1394-01-09,2015-03-29,77,اعتلا,ETLZ
1394-01-10,2015-03-30,75,اعتلا,ETLZ
1394-01-11,2015-03-31,73,اعتلا,ETLZ
1394-01-15,2015-04-04,79,اعتلا,ETLZ
1394-01-16,2015-04-05,83,اعتلا,ETLZ
1394-01-17,2015-04-06,79,اعتلا,ETLZ
1394-01-18,2015-04-07,78,اعتلا,ETLZ
1394-01-19,2015-04-08,78,اعتلا,ETLZ
1394-01-22,2015-04-11,77,اعتلا,ETLZ
1394-01-23,2015-04-12,73,اعتلا,ETLZ
1394-01-24,2015-04-13,72,اعتلا,ETLZ
1394-01-25,2015-04-14,73,اعتلا,ETLZ
1394-01-26,2015-04-15,72,اعتلا,ETLZ
1394-01-29,2015-04-18,73,اعتلا,ETLZ
1394-01-30,2015-04-19,74,اعتلا,ETLZ
1394-01-31,2015-04-20,73,اعتلا,ETLZ
1394-02-01,2015-04-21,73,اعتلا,ETLZ
1394-02-02,2015-04-22,73,اعتلا,ETLZ
1394-02-05,2015-04-25,74,اعتلا,ETLZ
1394-02-06,2015-04-26,76,اعتلا,ETLZ
1394-02-07,2015-04-27,74,اعتلا,ETLZ
1394-02-08,2015-04-28,73,اعتلا,ETLZ
1394-02-09,2015-04-29,73,اعتلا,ETLZ
