J-Date,Date,Adj Close,Ticker,Ticker(4)
1389-12-18,2011-03-09,81,فولاژ,FAIR
1389-12-21,2011-03-12,85,فولاژ,FAIR
1389-12-22,2011-03-13,85,فولاژ,FAIR
1389-12-23,2011-03-14,85,فولاژ,FAIR
1389-12-24,2011-03-15,85,فولاژ,FAIR
1389-12-25,2011-03-16,85,فولاژ,FAIR
1389-12-28,2011-03-19,92,فولاژ,FAIR
1390-01-06,2011-03-26,96,فولاژ,FAIR
1390-01-07,2011-03-27,96,فولاژ,FAIR
1390-01-08,2011-03-28,99,فولاژ,FAIR
1390-01-09,2011-03-29,103,فولاژ,FAIR
1390-01-10,2011-03-30,108,فولاژ,FAIR
1390-01-14,2011-04-03,112,فولاژ,FAIR
1390-01-15,2011-04-04,126,فولاژ,FAIR
1390-01-16,2011-04-05,131,فولاژ,FAIR
1390-01-17,2011-04-06,136,فولاژ,FAIR
1390-01-20,2011-04-09,141,فولاژ,FAIR
1390-01-21,2011-04-10,147,فولاژ,FAIR
1390-01-22,2011-04-11,153,فولاژ,FAIR
1390-01-23,2011-04-12,172,فولاژ,FAIR
1390-01-24,2011-04-13,179,فولاژ,FAIR
1390-01-27,2011-04-16,171,فولاژ,FAIR
1390-01-28,2011-04-17,167,فولاژ,FAIR
1390-01-29,2011-04-18,160,فولاژ,FAIR
1390-01-30,2011-04-19,154,فولاژ,FAIR
1390-01-31,2011-04-20,151,فولاژ,FAIR
1390-02-03,2011-04-23,146,فولاژ,FAIR
1390-02-04,2011-04-24,141,فولاژ,FAIR
1390-02-05,2011-04-25,135,فولاژ,FAIR
1390-02-06,2011-04-26,131,فولاژ,FAIR
1390-02-07,2011-04-27,134,فولاژ,FAIR
1390-02-10,2011-04-30,124,فولاژ,FAIR
1390-02-11,2011-05-01,123,فولاژ,FAIR
1390-02-12,2011-05-02,128,فولاژ,FAIR
1390-02-13,2011-05-03,124,فولاژ,FAIR
1390-02-14,2011-05-04,125,فولاژ,FAIR
1390-02-18,2011-05-08,119,فولاژ,FAIR
1390-02-19,2011-05-09,124,فولاژ,FAIR
1390-02-20,2011-05-10,126,فولاژ,FAIR
1390-02-21,2011-05-11,124,فولاژ,FAIR
1390-02-24,2011-05-14,120,فولاژ,FAIR
1390-02-25,2011-05-15,121,فولاژ,FAIR
1390-02-26,2011-05-16,122,فولاژ,FAIR
1390-02-27,2011-05-17,118,فولاژ,FAIR
1390-02-28,2011-05-18,122,فولاژ,FAIR
1390-02-31,2011-05-21,125,فولاژ,FAIR
1390-03-01,2011-05-22,128,فولاژ,FAIR
1390-03-02,2011-05-23,128,فولاژ,FAIR
1390-03-03,2011-05-24,127,فولاژ,FAIR
1390-03-04,2011-05-25,123,فولاژ,FAIR
1390-03-07,2011-05-28,124,فولاژ,FAIR
1390-03-08,2011-05-29,121,فولاژ,FAIR
1390-03-09,2011-05-30,126,فولاژ,FAIR
1390-03-10,2011-05-31,127,فولاژ,FAIR
1390-03-11,2011-06-01,125,فولاژ,FAIR
1390-03-16,2011-06-06,124,فولاژ,FAIR
1390-03-17,2011-06-07,123,فولاژ,FAIR
1390-03-18,2011-06-08,128,فولاژ,FAIR
1390-03-21,2011-06-11,126,فولاژ,FAIR
1390-03-22,2011-06-12,126,فولاژ,FAIR
1390-03-23,2011-06-13,126,فولاژ,FAIR
1390-03-24,2011-06-14,124,فولاژ,FAIR
1390-03-25,2011-06-15,121,فولاژ,FAIR
1390-03-28,2011-06-18,124,فولاژ,FAIR
1390-03-29,2011-06-19,124,فولاژ,FAIR
1390-03-30,2011-06-20,121,فولاژ,FAIR
1390-03-31,2011-06-21,121,فولاژ,FAIR
1390-04-01,2011-06-22,121,فولاژ,FAIR
1390-04-04,2011-06-25,119,فولاژ,FAIR
1390-04-05,2011-06-26,117,فولاژ,FAIR
1390-04-06,2011-06-27,114,فولاژ,FAIR
1390-04-07,2011-06-28,115,فولاژ,FAIR
1390-04-08,2011-06-29,118,فولاژ,FAIR
1390-04-11,2011-07-02,114,فولاژ,FAIR
1390-04-12,2011-07-03,110,فولاژ,FAIR
1390-04-13,2011-07-04,106,فولاژ,FAIR
1390-04-19,2011-07-10,101,فولاژ,FAIR
1390-04-20,2011-07-11,100,فولاژ,FAIR
1390-04-21,2011-07-12,99,فولاژ,FAIR
1390-04-22,2011-07-13,101,فولاژ,FAIR
1390-04-25,2011-07-16,102,فولاژ,FAIR
1390-04-27,2011-07-18,105,فولاژ,FAIR
1390-04-28,2011-07-19,108,فولاژ,FAIR
1390-04-29,2011-07-20,112,فولاژ,FAIR
1390-05-01,2011-07-23,109,فولاژ,FAIR
1390-05-02,2011-07-24,111,فولاژ,FAIR
1390-05-03,2011-07-25,107,فولاژ,FAIR
1390-05-04,2011-07-26,106,فولاژ,FAIR
1390-05-05,2011-07-27,105,فولاژ,FAIR
1390-05-08,2011-07-30,103,فولاژ,FAIR
1390-05-09,2011-07-31,101,فولاژ,FAIR
1390-05-10,2011-08-01,100,فولاژ,FAIR
1390-05-11,2011-08-02,100,فولاژ,FAIR
1390-05-12,2011-08-03,101,فولاژ,FAIR
1390-05-15,2011-08-06,98,فولاژ,FAIR
1390-05-16,2011-08-07,100,فولاژ,FAIR
1390-05-17,2011-08-08,103,فولاژ,FAIR
1390-05-18,2011-08-09,102,فولاژ,FAIR
1390-05-19,2011-08-10,102,فولاژ,FAIR
1390-05-22,2011-08-13,100,فولاژ,FAIR
1390-05-23,2011-08-14,101,فولاژ,FAIR
1390-05-24,2011-08-15,101,فولاژ,FAIR
1390-05-25,2011-08-16,100,فولاژ,FAIR
1390-05-26,2011-08-17,103,فولاژ,FAIR
1390-05-29,2011-08-20,101,فولاژ,FAIR
1390-05-30,2011-08-21,100,فولاژ,FAIR
1390-06-01,2011-08-23,103,فولاژ,FAIR
1390-06-02,2011-08-24,102,فولاژ,FAIR
1390-06-05,2011-08-27,102,فولاژ,FAIR
