J-Date,Date,Adj Close,Ticker,Ticker(4)
1390-04-18,2011-07-09,215,فن آوا,FANP
1390-04-22,2011-07-13,216,فن آوا,FANP
1390-04-25,2011-07-16,205,فن آوا,FANP
1390-05-02,2011-07-24,195,فن آوا,FANP
1390-05-03,2011-07-25,185,فن آوا,FANP
1390-05-04,2011-07-26,176,فن آوا,FANP
1390-05-08,2011-07-30,167,فن آوا,FANP
1390-05-09,2011-07-31,159,فن آوا,FANP
1390-05-10,2011-08-01,151,فن آوا,FANP
1390-05-11,2011-08-02,160,فن آوا,FANP
1390-05-12,2011-08-03,150,فن آوا,FANP
1390-05-15,2011-08-06,144,فن آوا,FANP
1390-05-16,2011-08-07,141,فن آوا,FANP
1390-05-17,2011-08-08,148,فن آوا,FANP
1390-05-18,2011-08-09,156,فن آوا,FANP
1390-05-19,2011-08-10,163,فن آوا,FANP
1390-05-22,2011-08-13,172,فن آوا,FANP
1390-05-23,2011-08-14,180,فن آوا,FANP
1390-05-24,2011-08-15,189,فن آوا,FANP
1390-05-25,2011-08-16,199,فن آوا,FANP
1390-05-26,2011-08-17,208,فن آوا,FANP
1390-05-29,2011-08-20,219,فن آوا,FANP
1390-05-30,2011-08-21,230,فن آوا,FANP
1390-06-01,2011-08-23,241,فن آوا,FANP
1390-06-02,2011-08-24,253,فن آوا,FANP
1390-06-05,2011-08-27,265,فن آوا,FANP
1390-06-06,2011-08-28,266,فن آوا,FANP
1390-06-07,2011-08-29,264,فن آوا,FANP
1390-06-08,2011-08-30,278,فن آوا,FANP
1390-06-12,2011-09-03,290,فن آوا,FANP
1390-06-13,2011-09-04,302,فن آوا,FANP
1390-06-14,2011-09-05,317,فن آوا,FANP
1390-06-15,2011-09-06,333,فن آوا,FANP
1390-07-12,2011-10-04,373,فن آوا,FANP
1390-07-13,2011-10-05,372,فن آوا,FANP
1390-07-16,2011-10-08,354,فن آوا,FANP
1390-07-17,2011-10-09,359,فن آوا,FANP
1390-07-18,2011-10-10,371,فن آوا,FANP
1390-07-19,2011-10-11,379,فن آوا,FANP
1390-07-20,2011-10-12,381,فن آوا,FANP
1390-07-23,2011-10-15,365,فن آوا,FANP
1390-07-24,2011-10-16,356,فن آوا,FANP
1390-07-25,2011-10-17,355,فن آوا,FANP
1390-07-26,2011-10-18,352,فن آوا,FANP
1390-07-27,2011-10-19,348,فن آوا,FANP
1390-07-30,2011-10-22,338,فن آوا,FANP
1390-08-01,2011-10-23,337,فن آوا,FANP
1390-08-02,2011-10-24,322,فن آوا,FANP
1390-08-03,2011-10-25,325,فن آوا,FANP
1390-08-04,2011-10-26,322,فن آوا,FANP
1390-08-07,2011-10-29,327,فن آوا,FANP
1390-08-08,2011-10-30,324,فن آوا,FANP
1390-08-09,2011-10-31,318,فن آوا,FANP
1390-08-10,2011-11-01,317,فن آوا,FANP
1390-08-11,2011-11-02,330,فن آوا,FANP
1390-08-14,2011-11-05,335,فن آوا,FANP
1390-08-15,2011-11-06,326,فن آوا,FANP
1390-08-17,2011-11-08,312,فن آوا,FANP
1390-08-18,2011-11-09,329,فن آوا,FANP
1390-08-21,2011-11-12,336,فن آوا,FANP
1390-08-22,2011-11-13,324,فن آوا,FANP
1390-08-23,2011-11-14,334,فن آوا,FANP
1390-08-25,2011-11-16,326,فن آوا,FANP
1390-08-28,2011-11-19,332,فن آوا,FANP
1390-08-29,2011-11-20,332,فن آوا,FANP
1390-08-30,2011-11-21,324,فن آوا,FANP
1390-09-01,2011-11-22,308,فن آوا,FANP
1390-09-02,2011-11-23,299,فن آوا,FANP
1390-09-05,2011-11-26,285,فن آوا,FANP
1390-09-06,2011-11-27,279,فن آوا,FANP
1390-09-07,2011-11-28,270,فن آوا,FANP
1390-09-08,2011-11-29,284,فن آوا,FANP
1390-09-09,2011-11-30,270,فن آوا,FANP
1390-09-12,2011-12-03,285,فن آوا,FANP
1390-09-13,2011-12-04,295,فن آوا,FANP
1390-09-16,2011-12-07,309,فن آوا,FANP
1390-09-19,2011-12-10,304,فن آوا,FANP
1390-09-20,2011-12-11,302,فن آوا,FANP
1390-09-21,2011-12-12,305,فن آوا,FANP
1390-09-22,2011-12-13,299,فن آوا,FANP
1390-09-23,2011-12-14,293,فن آوا,FANP
1390-09-26,2011-12-17,284,فن آوا,FANP
1390-09-27,2011-12-18,298,فن آوا,FANP
1390-09-28,2011-12-19,289,فن آوا,FANP
1390-09-29,2011-12-20,279,فن آوا,FANP
1390-09-30,2011-12-21,276,فن آوا,FANP
1390-10-03,2011-12-24,279,فن آوا,FANP
1390-10-04,2011-12-25,268,فن آوا,FANP
1390-10-05,2011-12-26,261,فن آوا,FANP
1390-10-06,2011-12-27,264,فن آوا,FANP
1390-10-07,2011-12-28,280,فن آوا,FANP
1390-10-10,2011-12-31,289,فن آوا,FANP
1390-10-11,2012-01-01,291,فن آوا,FANP
1390-10-12,2012-01-02,297,فن آوا,FANP
1390-10-13,2012-01-03,297,فن آوا,FANP
1390-10-14,2012-01-04,286,فن آوا,FANP
1390-10-17,2012-01-07,276,فن آوا,FANP
1390-10-18,2012-01-08,271,فن آوا,FANP
1390-10-19,2012-01-09,275,فن آوا,FANP
1390-10-20,2012-01-10,263,فن آوا,FANP
1390-10-21,2012-01-11,259,فن آوا,FANP
1390-10-25,2012-01-15,265,فن آوا,FANP
1390-10-26,2012-01-16,258,فن آوا,FANP
1390-10-27,2012-01-17,251,فن آوا,FANP
1390-10-28,2012-01-18,267,فن آوا,FANP
1390-11-01,2012-01-21,265,فن آوا,FANP
1390-11-03,2012-01-23,262,فن آوا,FANP
1390-11-05,2012-01-25,278,فن آوا,FANP
1390-11-08,2012-01-28,285,فن آوا,FANP
1390-11-09,2012-01-29,299,فن آوا,FANP
1390-11-10,2012-01-30,313,فن آوا,FANP
1390-11-11,2012-01-31,329,فن آوا,FANP
1390-11-12,2012-02-01,312,فن آوا,FANP
1390-11-15,2012-02-04,305,فن آوا,FANP
1390-11-16,2012-02-05,292,فن آوا,FANP
1390-11-17,2012-02-06,280,فن آوا,FANP
1390-11-18,2012-02-07,293,فن آوا,FANP
1390-11-19,2012-02-08,286,فن آوا,FANP
1390-11-23,2012-02-12,284,فن آوا,FANP
1390-11-24,2012-02-13,279,فن آوا,FANP
1390-11-25,2012-02-14,271,فن آوا,FANP
1390-11-26,2012-02-15,286,فن آوا,FANP
1390-11-29,2012-02-18,298,فن آوا,FANP
1390-11-30,2012-02-19,313,فن آوا,FANP
1390-12-01,2012-02-20,306,فن آوا,FANP
1390-12-02,2012-02-21,302,فن آوا,FANP
1390-12-03,2012-02-22,315,فن آوا,FANP
1390-12-06,2012-02-25,325,فن آوا,FANP
1390-12-07,2012-02-26,321,فن آوا,FANP
1390-12-08,2012-02-27,332,فن آوا,FANP
1390-12-09,2012-02-28,334,فن آوا,FANP
1390-12-10,2012-02-29,348,فن آوا,FANP
1390-12-13,2012-03-03,364,فن آوا,FANP
1390-12-14,2012-03-04,346,فن آوا,FANP
1390-12-15,2012-03-05,337,فن آوا,FANP
1390-12-16,2012-03-06,320,فن آوا,FANP
1390-12-22,2012-03-12,317,فن آوا,FANP
1390-12-23,2012-03-13,323,فن آوا,FANP
1390-12-24,2012-03-14,316,فن آوا,FANP
1390-12-27,2012-03-17,306,فن آوا,FANP
1390-12-28,2012-03-18,321,فن آوا,FANP
1391-01-05,2012-03-24,332,فن آوا,FANP
1391-01-06,2012-03-25,321,فن آوا,FANP
1391-01-07,2012-03-26,330,فن آوا,FANP
1391-01-08,2012-03-27,329,فن آوا,FANP
1391-01-09,2012-03-28,332,فن آوا,FANP
1391-01-14,2012-04-02,348,فن آوا,FANP
1391-01-15,2012-04-03,332,فن آوا,FANP
1391-01-16,2012-04-04,348,فن آوا,FANP
1391-01-19,2012-04-07,341,فن آوا,FANP
1391-01-20,2012-04-08,328,فن آوا,FANP
1391-01-21,2012-04-09,332,فن آوا,FANP
1391-01-22,2012-04-10,326,فن آوا,FANP
1391-01-23,2012-04-11,341,فن آوا,FANP
1391-01-26,2012-04-14,338,فن آوا,FANP
1391-01-27,2012-04-15,330,فن آوا,FANP
1391-01-28,2012-04-16,331,فن آوا,FANP
1391-01-29,2012-04-17,333,فن آوا,FANP
1391-01-30,2012-04-18,332,فن آوا,FANP
1391-02-02,2012-04-21,322,فن آوا,FANP
1391-02-03,2012-04-22,318,فن آوا,FANP
1391-02-04,2012-04-23,333,فن آوا,FANP
1391-02-05,2012-04-24,349,فن آوا,FANP
1391-02-09,2012-04-28,364,فن آوا,FANP
1391-02-10,2012-04-29,350,فن آوا,FANP
1391-02-11,2012-04-30,353,فن آوا,FANP
1391-02-12,2012-05-01,364,فن آوا,FANP
1391-02-13,2012-05-02,382,فن آوا,FANP
1391-02-16,2012-05-05,390,فن آوا,FANP
1391-02-17,2012-05-06,378,فن آوا,FANP
1391-02-18,2012-05-07,366,فن آوا,FANP
1391-02-19,2012-05-08,374,فن آوا,FANP
1391-02-20,2012-05-09,351,فن آوا,FANP
1391-02-23,2012-05-12,340,فن آوا,FANP
1391-02-24,2012-05-13,355,فن آوا,FANP
1391-02-25,2012-05-14,339,فن آوا,FANP
1391-02-26,2012-05-15,352,فن آوا,FANP
1391-02-27,2012-05-16,332,فن آوا,FANP
1391-02-30,2012-05-19,330,فن آوا,FANP
1391-02-31,2012-05-20,347,فن آوا,FANP
1391-03-01,2012-05-21,361,فن آوا,FANP
1391-03-02,2012-05-22,378,فن آوا,FANP
1391-03-03,2012-05-23,396,فن آوا,FANP
1391-03-06,2012-05-26,416,فن آوا,FANP
1391-03-07,2012-05-27,436,فن آوا,FANP
1391-03-08,2012-05-28,433,فن آوا,FANP
1391-03-09,2012-05-29,420,فن آوا,FANP
1391-03-10,2012-05-30,434,فن آوا,FANP
1391-03-13,2012-06-02,456,فن آوا,FANP
1391-03-16,2012-06-05,457,فن آوا,FANP
1391-03-17,2012-06-06,458,فن آوا,FANP
1391-03-20,2012-06-09,440,فن آوا,FANP
1391-03-21,2012-06-10,418,فن آوا,FANP
1391-03-22,2012-06-11,420,فن آوا,FANP
1391-03-23,2012-06-12,441,فن آوا,FANP
1391-03-24,2012-06-13,437,فن آوا,FANP
1391-03-27,2012-06-16,416,فن آوا,FANP
1391-03-28,2012-06-17,399,فن آوا,FANP
1391-03-30,2012-06-19,419,فن آوا,FANP
1391-03-31,2012-06-20,401,فن آوا,FANP
