J-Date,Date,Adj Close,Ticker,Ticker(4)
1380-02-23,2001-05-13,1310,فبستم,FBSP
1380-02-29,2001-05-19,1277,فبستم,FBSP
1380-02-30,2001-05-20,1277,فبستم,FBSP
1380-02-31,2001-05-21,1258,فبستم,FBSP
1380-03-02,2001-05-23,1258,فبستم,FBSP
1380-03-05,2001-05-26,1258,فبستم,FBSP
1380-03-06,2001-05-27,1258,فبستم,FBSP
1380-03-07,2001-05-28,1258,فبستم,FBSP
1380-03-09,2001-05-30,1258,فبستم,FBSP
1380-03-12,2001-06-02,1258,فبستم,FBSP
1380-03-16,2001-06-06,1260,فبستم,FBSP
1380-03-26,2001-06-16,1261,فبستم,FBSP
1380-03-27,2001-06-17,1262,فبستم,FBSP
1380-03-29,2001-06-19,1264,فبستم,FBSP
1380-03-30,2001-06-20,1272,فبستم,FBSP
1380-04-02,2001-06-23,1276,فبستم,FBSP
1380-04-04,2001-06-25,1277,فبستم,FBSP
1380-04-09,2001-06-30,1281,فبستم,FBSP
1380-04-16,2001-07-07,1345,فبستم,FBSP
1380-04-17,2001-07-08,1345,فبستم,FBSP
1380-04-18,2001-07-09,1345,فبستم,FBSP
1380-04-31,2001-07-22,1345,فبستم,FBSP
1380-05-10,2001-08-01,1345,فبستم,FBSP
1380-05-20,2001-08-11,1346,فبستم,FBSP
1380-05-21,2001-08-12,1346,فبستم,FBSP
1380-05-22,2001-08-13,1346,فبستم,FBSP
1380-05-24,2001-08-15,1346,فبستم,FBSP
1380-05-27,2001-08-18,1349,فبستم,FBSP
1380-05-31,2001-08-22,1361,فبستم,FBSP
1380-06-03,2001-08-25,1361,فبستم,FBSP
1380-06-07,2001-08-29,1377,فبستم,FBSP
1380-06-11,2001-09-02,1378,فبستم,FBSP
1380-06-12,2001-09-03,1388,فبستم,FBSP
1380-06-13,2001-09-04,1388,فبستم,FBSP
1380-06-14,2001-09-05,1388,فبستم,FBSP
1380-06-17,2001-09-08,1388,فبستم,FBSP
1380-06-18,2001-09-09,1388,فبستم,FBSP
1380-06-19,2001-09-10,1389,فبستم,FBSP
1380-06-21,2001-09-12,1457,فبستم,FBSP
1380-06-25,2001-09-16,1457,فبستم,FBSP
1380-06-26,2001-09-17,1457,فبستم,FBSP
1380-06-27,2001-09-18,1457,فبستم,FBSP
1380-06-31,2001-09-22,1457,فبستم,FBSP
1381-05-26,2002-08-17,385,فبستم,FBSP
1381-05-27,2002-08-18,404,فبستم,FBSP
1381-05-28,2002-08-19,425,فبستم,FBSP
1381-05-30,2002-08-21,446,فبستم,FBSP
1381-06-12,2002-09-03,443,فبستم,FBSP
1381-06-16,2002-09-07,443,فبستم,FBSP
1381-06-17,2002-09-08,465,فبستم,FBSP
1381-06-18,2002-09-09,488,فبستم,FBSP
1381-06-19,2002-09-10,512,فبستم,FBSP
1381-06-25,2002-09-16,512,فبستم,FBSP
1381-06-27,2002-09-18,512,فبستم,FBSP
1381-07-02,2002-09-24,512,فبستم,FBSP
1381-07-06,2002-09-28,538,فبستم,FBSP
1381-07-07,2002-09-29,565,فبستم,FBSP
1381-07-08,2002-09-30,593,فبستم,FBSP
1381-07-10,2002-10-02,622,فبستم,FBSP
1381-07-14,2002-10-06,653,فبستم,FBSP
1381-07-16,2002-10-08,685,فبستم,FBSP
1381-07-17,2002-10-09,719,فبستم,FBSP
1381-07-20,2002-10-12,755,فبستم,FBSP
1381-07-21,2002-10-13,792,فبستم,FBSP
1381-07-22,2002-10-14,832,فبستم,FBSP
1381-07-23,2002-10-15,873,فبستم,FBSP
1381-07-28,2002-10-20,917,فبستم,FBSP
1381-08-05,2002-10-27,925,فبستم,FBSP
1381-08-06,2002-10-28,925,فبستم,FBSP
1381-08-07,2002-10-29,924,فبستم,FBSP
1381-08-11,2002-11-02,924,فبستم,FBSP
1381-08-15,2002-11-06,924,فبستم,FBSP
1381-08-18,2002-11-09,937,فبستم,FBSP
1381-08-19,2002-11-10,937,فبستم,FBSP
1381-08-20,2002-11-11,937,فبستم,FBSP
1381-08-21,2002-11-12,937,فبستم,FBSP
1381-08-22,2002-11-13,937,فبستم,FBSP
1381-08-26,2002-11-17,937,فبستم,FBSP
1381-08-27,2002-11-18,983,فبستم,FBSP
1381-09-02,2002-11-23,937,فبستم,FBSP
1381-09-05,2002-11-26,933,فبستم,FBSP
1381-09-09,2002-11-30,925,فبستم,FBSP
1381-09-13,2002-12-04,924,فبستم,FBSP
1381-09-16,2002-12-07,964,فبستم,FBSP
1381-09-17,2002-12-08,964,فبستم,FBSP
1381-09-20,2002-12-11,925,فبستم,FBSP
1381-09-23,2002-12-14,925,فبستم,FBSP
1381-09-26,2002-12-17,906,فبستم,FBSP
1381-10-01,2002-12-22,861,فبستم,FBSP
1381-10-07,2002-12-28,818,فبستم,FBSP
1381-10-08,2002-12-29,777,فبستم,FBSP
1381-10-11,2003-01-01,738,فبستم,FBSP
1381-10-15,2003-01-05,738,فبستم,FBSP
1381-10-16,2003-01-06,738,فبستم,FBSP
1381-10-21,2003-01-11,738,فبستم,FBSP
