J-Date,Date,Adj Close,Ticker,Ticker(4)
1386-08-08,2007-10-30,219,فخاس,FKAS
1386-08-09,2007-10-31,224,فخاس,FKAS
1386-08-12,2007-11-03,226,فخاس,FKAS
1386-08-13,2007-11-04,222,فخاس,FKAS
1386-08-14,2007-11-05,217,فخاس,FKAS
1386-08-16,2007-11-07,213,فخاس,FKAS
1386-08-19,2007-11-10,209,فخاس,FKAS
1386-08-20,2007-11-11,204,فخاس,FKAS
1386-08-21,2007-11-12,203,فخاس,FKAS
1386-08-22,2007-11-13,205,فخاس,FKAS
1386-08-23,2007-11-14,201,فخاس,FKAS
1386-08-26,2007-11-17,197,فخاس,FKAS
1386-08-27,2007-11-18,193,فخاس,FKAS
1386-08-28,2007-11-19,190,فخاس,FKAS
1386-08-29,2007-11-20,193,فخاس,FKAS
1386-08-30,2007-11-21,197,فخاس,FKAS
1386-09-03,2007-11-24,200,فخاس,FKAS
1386-09-04,2007-11-25,196,فخاس,FKAS
1386-09-05,2007-11-26,194,فخاس,FKAS
1386-09-06,2007-11-27,195,فخاس,FKAS
1386-09-07,2007-11-28,195,فخاس,FKAS
1386-09-10,2007-12-01,194,فخاس,FKAS
1386-09-11,2007-12-02,190,فخاس,FKAS
1386-09-12,2007-12-03,186,فخاس,FKAS
1386-09-13,2007-12-04,183,فخاس,FKAS
1386-09-14,2007-12-05,184,فخاس,FKAS
1386-09-17,2007-12-08,186,فخاس,FKAS
1386-09-18,2007-12-09,189,فخاس,FKAS
1386-09-19,2007-12-10,191,فخاس,FKAS
1386-09-20,2007-12-11,193,فخاس,FKAS
1386-09-21,2007-12-12,197,فخاس,FKAS
1386-09-24,2007-12-15,198,فخاس,FKAS
1386-09-25,2007-12-16,199,فخاس,FKAS
1386-09-26,2007-12-17,196,فخاس,FKAS
1386-09-27,2007-12-18,193,فخاس,FKAS
1386-09-28,2007-12-19,190,فخاس,FKAS
1386-10-01,2007-12-22,190,فخاس,FKAS
1386-10-02,2007-12-23,191,فخاس,FKAS
1386-10-03,2007-12-24,194,فخاس,FKAS
1386-10-04,2007-12-25,194,فخاس,FKAS
1386-10-05,2007-12-26,196,فخاس,FKAS
1386-10-09,2007-12-30,200,فخاس,FKAS
1386-10-10,2007-12-31,201,فخاس,FKAS
1386-10-11,2008-01-01,202,فخاس,FKAS
1386-10-12,2008-01-02,202,فخاس,FKAS
1386-10-15,2008-01-05,204,فخاس,FKAS
1386-10-16,2008-01-06,208,فخاس,FKAS
1386-10-18,2008-01-08,212,فخاس,FKAS
1386-10-19,2008-01-09,216,فخاس,FKAS
1386-10-22,2008-01-12,220,فخاس,FKAS
1386-10-23,2008-01-13,225,فخاس,FKAS
1386-11-15,2008-02-04,207,فخاس,FKAS
1386-11-16,2008-02-05,209,فخاس,FKAS
1386-11-17,2008-02-06,209,فخاس,FKAS
1386-11-20,2008-02-09,212,فخاس,FKAS
1386-11-21,2008-02-10,208,فخاس,FKAS
1386-11-23,2008-02-12,206,فخاس,FKAS
1386-11-24,2008-02-13,204,فخاس,FKAS
1386-11-27,2008-02-16,201,فخاس,FKAS
1386-11-28,2008-02-17,198,فخاس,FKAS
1386-11-29,2008-02-18,198,فخاس,FKAS
1386-11-30,2008-02-19,201,فخاس,FKAS
1386-12-12,2008-03-02,196,فخاس,FKAS
1386-12-13,2008-03-03,198,فخاس,FKAS
1386-12-14,2008-03-04,197,فخاس,FKAS
1386-12-15,2008-03-05,198,فخاس,FKAS
1386-12-19,2008-03-09,202,فخاس,FKAS
1386-12-20,2008-03-10,203,فخاس,FKAS
1386-12-21,2008-03-11,202,فخاس,FKAS
1386-12-22,2008-03-12,202,فخاس,FKAS
1386-12-25,2008-03-15,201,فخاس,FKAS
1386-12-26,2008-03-16,201,فخاس,FKAS
1386-12-27,2008-03-17,201,فخاس,FKAS
1386-12-28,2008-03-18,202,فخاس,FKAS
1387-01-05,2008-03-24,202,فخاس,FKAS
1387-01-07,2008-03-26,202,فخاس,FKAS
1387-01-10,2008-03-29,202,فخاس,FKAS
1387-01-11,2008-03-30,203,فخاس,FKAS
1387-01-14,2008-04-02,204,فخاس,FKAS
1387-01-17,2008-04-05,207,فخاس,FKAS
1387-01-18,2008-04-06,208,فخاس,FKAS
1387-01-19,2008-04-07,208,فخاس,FKAS
1387-01-20,2008-04-08,209,فخاس,FKAS
1387-01-21,2008-04-09,213,فخاس,FKAS
1387-01-24,2008-04-12,214,فخاس,FKAS
1387-01-25,2008-04-13,210,فخاس,FKAS
1387-01-26,2008-04-14,212,فخاس,FKAS
1387-01-27,2008-04-15,214,فخاس,FKAS
1387-01-28,2008-04-16,218,فخاس,FKAS
1387-01-31,2008-04-19,221,فخاس,FKAS
1387-02-01,2008-04-20,218,فخاس,FKAS
1387-02-02,2008-04-21,217,فخاس,FKAS
1387-02-03,2008-04-22,216,فخاس,FKAS
1387-02-04,2008-04-23,219,فخاس,FKAS
1387-02-07,2008-04-26,219,فخاس,FKAS
1387-02-08,2008-04-27,217,فخاس,FKAS
1387-02-09,2008-04-28,215,فخاس,FKAS
1387-02-10,2008-04-29,215,فخاس,FKAS
1387-02-11,2008-04-30,213,فخاس,FKAS
1387-02-14,2008-05-03,212,فخاس,FKAS
1387-02-15,2008-05-04,212,فخاس,FKAS
1387-02-16,2008-05-05,212,فخاس,FKAS
1387-02-17,2008-05-06,214,فخاس,FKAS
1387-02-18,2008-05-07,218,فخاس,FKAS
1387-02-21,2008-05-10,224,فخاس,FKAS
1387-02-22,2008-05-11,231,فخاس,FKAS
1387-02-23,2008-05-12,237,فخاس,FKAS
1387-03-08,2008-05-28,287,فخاس,FKAS
1387-03-11,2008-05-31,289,فخاس,FKAS
1387-03-12,2008-06-01,281,فخاس,FKAS
1387-03-13,2008-06-02,279,فخاس,FKAS
1387-03-19,2008-06-08,286,فخاس,FKAS
1387-03-21,2008-06-10,323,فخاس,FKAS
1387-03-22,2008-06-11,329,فخاس,FKAS
1387-03-25,2008-06-14,338,فخاس,FKAS
1387-03-26,2008-06-15,342,فخاس,FKAS
1387-03-27,2008-06-16,352,فخاس,FKAS
1387-03-28,2008-06-17,363,فخاس,FKAS
1387-03-29,2008-06-18,374,فخاس,FKAS
1387-04-01,2008-06-21,385,فخاس,FKAS
1387-04-02,2008-06-22,396,فخاس,FKAS
1387-04-03,2008-06-23,408,فخاس,FKAS
1387-04-04,2008-06-24,395,فخاس,FKAS
1387-04-05,2008-06-25,383,فخاس,FKAS
1387-04-08,2008-06-28,372,فخاس,FKAS
1387-04-09,2008-06-29,374,فخاس,FKAS
1387-04-10,2008-06-30,385,فخاس,FKAS
1387-04-15,2008-07-05,398,فخاس,FKAS
1387-04-16,2008-07-06,407,فخاس,FKAS
1387-04-17,2008-07-07,400,فخاس,FKAS
1387-04-18,2008-07-08,388,فخاس,FKAS
1387-04-19,2008-07-09,377,فخاس,FKAS
1387-04-22,2008-07-12,367,فخاس,FKAS
1387-04-23,2008-07-13,378,فخاس,FKAS
1387-04-24,2008-07-14,390,فخاس,FKAS
1387-04-25,2008-07-15,401,فخاس,FKAS
1387-04-29,2008-07-19,413,فخاس,FKAS
1387-04-30,2008-07-20,420,فخاس,FKAS
1387-04-31,2008-07-21,408,فخاس,FKAS
1387-05-02,2008-07-23,392,فخاس,FKAS
1387-05-05,2008-07-26,381,فخاس,FKAS
1387-05-06,2008-07-27,390,فخاس,FKAS
1387-05-07,2008-07-28,397,فخاس,FKAS
1387-05-08,2008-07-29,388,فخاس,FKAS
1387-05-12,2008-08-02,380,فخاس,FKAS
