J-Date,Date,Adj Close,Ticker,Ticker(4)
1384-02-28,2005-05-18,6300,فنرژی,FNRP
1384-02-31,2005-05-21,6615,فنرژی,FNRP
1384-03-02,2005-05-23,6615,فنرژی,FNRP
1384-03-03,2005-05-24,6945,فنرژی,FNRP
1384-03-04,2005-05-25,7184,فنرژی,FNRP
1384-03-07,2005-05-28,7469,فنرژی,FNRP
1384-03-08,2005-05-29,7791,فنرژی,FNRP
1384-03-09,2005-05-30,7438,فنرژی,FNRP
1384-03-10,2005-05-31,7292,فنرژی,FNRP
1384-03-11,2005-06-01,7136,فنرژی,FNRP
1384-03-16,2005-06-06,6869,فنرژی,FNRP
1384-03-17,2005-06-07,6649,فنرژی,FNRP
1384-03-18,2005-06-08,6858,فنرژی,FNRP
1384-03-21,2005-06-11,7078,فنرژی,FNRP
1384-03-22,2005-06-12,7149,فنرژی,FNRP
1384-03-23,2005-06-13,6908,فنرژی,FNRP
1384-03-24,2005-06-14,6795,فنرژی,FNRP
1384-03-25,2005-06-15,6679,فنرژی,FNRP
1384-03-28,2005-06-18,6662,فنرژی,FNRP
1384-03-29,2005-06-19,6414,فنرژی,FNRP
1384-03-30,2005-06-20,6342,فنرژی,FNRP
1384-03-31,2005-06-21,6567,فنرژی,FNRP
1384-04-01,2005-06-22,6678,فنرژی,FNRP
1384-04-05,2005-06-26,6345,فنرژی,FNRP
1384-04-06,2005-06-27,6370,فنرژی,FNRP
1384-04-07,2005-06-28,6369,فنرژی,FNRP
1384-04-08,2005-06-29,6229,فنرژی,FNRP
1384-04-11,2005-07-02,6214,فنرژی,FNRP
1384-04-13,2005-07-04,6214,فنرژی,FNRP
1384-04-14,2005-07-05,5904,فنرژی,FNRP
1384-04-15,2005-07-06,5912,فنرژی,FNRP
1384-04-18,2005-07-09,5858,فنرژی,FNRP
1384-04-20,2005-07-11,5773,فنرژی,FNRP
1384-04-21,2005-07-12,5548,فنرژی,FNRP
1384-04-22,2005-07-13,5541,فنرژی,FNRP
1384-04-25,2005-07-16,5527,فنرژی,FNRP
1384-04-26,2005-07-17,5456,فنرژی,FNRP
1384-04-28,2005-07-19,5413,فنرژی,FNRP
1384-04-29,2005-07-20,5189,فنرژی,FNRP
1384-05-01,2005-07-23,5103,فنرژی,FNRP
1384-05-02,2005-07-24,5027,فنرژی,FNRP
1384-05-05,2005-07-27,4974,فنرژی,FNRP
1384-05-08,2005-07-30,4977,فنرژی,FNRP
1384-05-09,2005-07-31,4823,فنرژی,FNRP
1384-05-10,2005-08-01,4697,فنرژی,FNRP
1384-05-11,2005-08-02,4518,فنرژی,FNRP
1384-05-12,2005-08-03,4553,فنرژی,FNRP
1384-05-15,2005-08-06,4590,فنرژی,FNRP
1384-05-16,2005-08-07,4533,فنرژی,FNRP
1384-11-04,2006-01-24,3791,فنرژی,FNRP
1384-11-05,2006-01-25,3947,فنرژی,FNRP
1384-11-08,2006-01-28,4144,فنرژی,FNRP
1384-11-09,2006-01-29,4331,فنرژی,FNRP
1384-11-10,2006-01-30,4547,فنرژی,FNRP
1384-11-11,2006-01-31,4596,فنرژی,FNRP
1384-11-12,2006-02-01,4825,فنرژی,FNRP
1384-11-15,2006-02-04,5015,فنرژی,FNRP
1384-11-16,2006-02-05,4765,فنرژی,FNRP
1384-11-17,2006-02-06,4821,فنرژی,FNRP
1384-11-18,2006-02-07,5055,فنرژی,FNRP
1384-11-23,2006-02-12,5306,فنرژی,FNRP
1384-11-24,2006-02-13,5243,فنرژی,FNRP
1384-11-26,2006-02-15,5178,فنرژی,FNRP
1384-11-29,2006-02-18,5138,فنرژی,FNRP
1384-11-30,2006-02-19,5071,فنرژی,FNRP
1384-12-01,2006-02-20,4977,فنرژی,FNRP
1384-12-02,2006-02-21,4878,فنرژی,FNRP
1384-12-03,2006-02-22,4805,فنرژی,FNRP
1384-12-06,2006-02-25,4894,فنرژی,FNRP
1384-12-07,2006-02-26,4976,فنرژی,FNRP
1384-12-08,2006-02-27,5075,فنرژی,FNRP
1384-12-09,2006-02-28,5067,فنرژی,FNRP
1384-12-10,2006-03-01,5122,فنرژی,FNRP
1384-12-13,2006-03-04,5020,فنرژی,FNRP
1384-12-14,2006-03-05,4958,فنرژی,FNRP
1384-12-15,2006-03-06,4865,فنرژی,FNRP
1384-12-16,2006-03-07,4961,فنرژی,FNRP
1384-12-17,2006-03-08,5019,فنرژی,FNRP
1384-12-20,2006-03-11,5019,فنرژی,FNRP
1384-12-22,2006-03-13,5008,فنرژی,FNRP
1384-12-24,2006-03-15,4985,فنرژی,FNRP
1384-12-27,2006-03-18,4984,فنرژی,FNRP
1384-12-28,2006-03-19,5072,فنرژی,FNRP
1385-01-05,2006-03-25,5135,فنرژی,FNRP
1385-01-06,2006-03-26,5134,فنرژی,FNRP
1385-01-07,2006-03-27,5133,فنرژی,FNRP
1385-01-08,2006-03-28,5037,فنرژی,FNRP
1385-01-14,2006-04-03,5051,فنرژی,FNRP
1385-01-15,2006-04-04,4991,فنرژی,FNRP
1385-01-16,2006-04-05,5082,فنرژی,FNRP
1385-01-19,2006-04-08,5182,فنرژی,FNRP
1385-01-20,2006-04-09,5224,فنرژی,FNRP
1385-01-21,2006-04-10,5248,فنرژی,FNRP
1385-01-22,2006-04-11,5197,فنرژی,FNRP
1385-01-23,2006-04-12,5098,فنرژی,FNRP
1394-11-24,2016-02-13,2000,فنرژی,FNRP
1394-11-25,2016-02-14,2000,فنرژی,FNRP
1394-11-26,2016-02-15,2200,فنرژی,FNRP
1394-11-27,2016-02-16,2500,فنرژی,FNRP
1394-11-28,2016-02-17,3200,فنرژی,FNRP
1394-12-01,2016-02-20,3700,فنرژی,FNRP
1394-12-02,2016-02-21,3300,فنرژی,FNRP
1394-12-03,2016-02-22,3800,فنرژی,FNRP
1394-12-04,2016-02-23,3000,فنرژی,FNRP
1394-12-05,2016-02-24,3000,فنرژی,FNRP
1394-12-09,2016-02-28,2690,فنرژی,FNRP
1394-12-11,2016-03-01,2410,فنرژی,FNRP
1394-12-12,2016-03-02,2640,فنرژی,FNRP
1394-12-15,2016-03-05,2649,فنرژی,FNRP
1394-12-16,2016-03-06,2412,فنرژی,FNRP
1394-12-17,2016-03-07,2350,فنرژی,FNRP
1394-12-18,2016-03-08,2400,فنرژی,FNRP
1394-12-19,2016-03-09,2400,فنرژی,FNRP
1394-12-22,2016-03-12,2350,فنرژی,FNRP
1394-12-25,2016-03-15,2220,فنرژی,FNRP
1394-12-26,2016-03-16,2065,فنرژی,FNRP
1395-01-07,2016-03-26,2489,فنرژی,FNRP
1395-01-09,2016-03-28,2500,فنرژی,FNRP
1395-01-10,2016-03-29,2600,فنرژی,FNRP
1395-01-14,2016-04-02,2450,فنرژی,FNRP
1395-01-15,2016-04-03,2470,فنرژی,FNRP
1395-01-16,2016-04-04,2580,فنرژی,FNRP
1395-01-17,2016-04-05,2440,فنرژی,FNRP
1395-01-18,2016-04-06,2990,فنرژی,FNRP
1395-01-21,2016-04-09,2950,فنرژی,FNRP
1395-01-22,2016-04-10,3240,فنرژی,FNRP
1395-01-23,2016-04-11,2810,فنرژی,FNRP
1395-01-24,2016-04-12,2600,فنرژی,FNRP
1395-01-30,2016-04-18,2940,فنرژی,FNRP
1395-01-31,2016-04-19,2500,فنرژی,FNRP
1395-02-01,2016-04-20,2700,فنرژی,FNRP
1395-02-04,2016-04-23,2700,فنرژی,FNRP
1395-02-06,2016-04-25,2799,فنرژی,FNRP
1395-02-07,2016-04-26,2295,فنرژی,FNRP
1395-02-08,2016-04-27,2850,فنرژی,FNRP
1395-02-11,2016-04-30,2806,فنرژی,FNRP
1395-02-12,2016-05-01,2970,فنرژی,FNRP
1395-02-13,2016-05-02,3000,فنرژی,FNRP
1395-02-14,2016-05-03,3000,فنرژی,FNRP
1395-02-15,2016-05-04,2725,فنرژی,FNRP
1395-02-18,2016-05-07,2725,فنرژی,FNRP
