J-Date,Date,Adj Close,Ticker,Ticker(4)
1394-01-19,2015-04-08,290,هرمز,FOHZ
1394-01-22,2015-04-11,305,هرمز,FOHZ
1394-01-23,2015-04-12,320,هرمز,FOHZ
1394-01-24,2015-04-13,336,هرمز,FOHZ
1394-01-25,2015-04-14,353,هرمز,FOHZ
1394-01-26,2015-04-15,370,هرمز,FOHZ
1394-01-29,2015-04-18,388,هرمز,FOHZ
1394-01-30,2015-04-19,395,هرمز,FOHZ
1394-01-31,2015-04-20,414,هرمز,FOHZ
1394-02-01,2015-04-21,435,هرمز,FOHZ
1394-02-02,2015-04-22,419,هرمز,FOHZ
1394-02-05,2015-04-25,419,هرمز,FOHZ
1394-02-06,2015-04-26,399,هرمز,FOHZ
1394-02-07,2015-04-27,393,هرمز,FOHZ
1394-02-08,2015-04-28,373,هرمز,FOHZ
1394-02-09,2015-04-29,371,هرمز,FOHZ
1394-02-13,2015-05-03,363,هرمز,FOHZ
1394-02-14,2015-05-04,363,هرمز,FOHZ
1394-02-15,2015-05-05,363,هرمز,FOHZ
1394-02-16,2015-05-06,364,هرمز,FOHZ
1394-02-19,2015-05-09,369,هرمز,FOHZ
1394-02-20,2015-05-10,359,هرمز,FOHZ
1394-02-21,2015-05-11,361,هرمز,FOHZ
1394-02-22,2015-05-12,362,هرمز,FOHZ
1394-02-23,2015-05-13,361,هرمز,FOHZ
1394-02-27,2015-05-17,344,هرمز,FOHZ
1394-02-28,2015-05-18,345,هرمز,FOHZ
1394-02-29,2015-05-19,349,هرمز,FOHZ
1394-02-30,2015-05-20,349,هرمز,FOHZ
1394-03-02,2015-05-23,350,هرمز,FOHZ
1394-03-03,2015-05-24,349,هرمز,FOHZ
1394-03-04,2015-05-25,349,هرمز,FOHZ
1394-03-05,2015-05-26,349,هرمز,FOHZ
1394-03-06,2015-05-27,349,هرمز,FOHZ
1394-03-09,2015-05-30,350,هرمز,FOHZ
1394-03-10,2015-05-31,350,هرمز,FOHZ
1394-03-11,2015-06-01,351,هرمز,FOHZ
1394-03-12,2015-06-02,353,هرمز,FOHZ
1394-03-16,2015-06-06,360,هرمز,FOHZ
1394-03-17,2015-06-07,359,هرمز,FOHZ
1394-03-18,2015-06-08,359,هرمز,FOHZ
1394-03-19,2015-06-09,359,هرمز,FOHZ
1394-03-20,2015-06-10,365,هرمز,FOHZ
1394-03-23,2015-06-13,365,هرمز,FOHZ
1394-03-24,2015-06-14,366,هرمز,FOHZ
1394-03-25,2015-06-15,366,هرمز,FOHZ
1394-03-26,2015-06-16,366,هرمز,FOHZ
1394-03-27,2015-06-17,366,هرمز,FOHZ
1394-04-07,2015-06-28,341,هرمز,FOHZ
1394-04-08,2015-06-29,351,هرمز,FOHZ
1394-04-09,2015-06-30,355,هرمز,FOHZ
1394-04-10,2015-07-01,346,هرمز,FOHZ
1394-04-13,2015-07-04,343,هرمز,FOHZ
1394-04-14,2015-07-05,334,هرمز,FOHZ
1394-04-15,2015-07-06,341,هرمز,FOHZ
1394-04-16,2015-07-07,350,هرمز,FOHZ
1394-04-20,2015-07-11,363,هرمز,FOHZ
1394-04-21,2015-07-12,355,هرمز,FOHZ
1394-04-22,2015-07-13,359,هرمز,FOHZ
1394-04-23,2015-07-14,358,هرمز,FOHZ
1394-04-24,2015-07-15,338,هرمز,FOHZ
1394-04-29,2015-07-20,332,هرمز,FOHZ
1394-04-30,2015-07-21,345,هرمز,FOHZ
1394-04-31,2015-07-22,340,هرمز,FOHZ
1394-05-03,2015-07-25,339,هرمز,FOHZ
1394-05-04,2015-07-26,336,هرمز,FOHZ
