J-Date,Date,Adj Close,Ticker,Ticker(4)
1385-12-20,2007-03-11,10,فولاد,FOLD
1385-12-21,2007-03-12,10,فولاد,FOLD
1385-12-22,2007-03-13,10,فولاد,FOLD
1385-12-23,2007-03-14,10,فولاد,FOLD
1385-12-26,2007-03-17,10,فولاد,FOLD
1385-12-28,2007-03-19,10,فولاد,FOLD
1386-01-05,2007-03-25,10,فولاد,FOLD
1386-01-06,2007-03-26,10,فولاد,FOLD
1386-01-07,2007-03-27,10,فولاد,FOLD
1386-01-08,2007-03-28,10,فولاد,FOLD
1386-01-11,2007-03-31,10,فولاد,FOLD
1386-01-14,2007-04-03,10,فولاد,FOLD
1386-01-15,2007-04-04,10,فولاد,FOLD
1386-01-18,2007-04-07,10,فولاد,FOLD
1386-01-19,2007-04-08,10,فولاد,FOLD
1386-01-20,2007-04-09,10,فولاد,FOLD
1386-01-21,2007-04-10,10,فولاد,FOLD
1386-01-22,2007-04-11,10,فولاد,FOLD
1386-01-25,2007-04-14,10,فولاد,FOLD
1386-01-26,2007-04-15,10,فولاد,FOLD
1386-01-27,2007-04-16,10,فولاد,FOLD
1386-01-28,2007-04-17,10,فولاد,FOLD
1386-01-29,2007-04-18,10,فولاد,FOLD
1386-02-01,2007-04-21,10,فولاد,FOLD
1386-02-02,2007-04-22,10,فولاد,FOLD
1386-02-03,2007-04-23,10,فولاد,FOLD
1386-02-04,2007-04-24,10,فولاد,FOLD
1386-02-05,2007-04-25,10,فولاد,FOLD
1386-02-08,2007-04-28,10,فولاد,FOLD
1386-02-09,2007-04-29,10,فولاد,FOLD
1386-02-10,2007-04-30,10,فولاد,FOLD
1386-02-11,2007-05-01,10,فولاد,FOLD
1386-02-12,2007-05-02,10,فولاد,FOLD
1386-02-15,2007-05-05,10,فولاد,FOLD
1386-02-16,2007-05-06,10,فولاد,FOLD
1386-02-17,2007-05-07,10,فولاد,FOLD
1386-02-18,2007-05-08,10,فولاد,FOLD
1386-02-19,2007-05-09,10,فولاد,FOLD
