J-Date,Date,Adj Close,Ticker,Ticker(4)
1381-03-25,2002-06-15,88,فرآور,FRVR
1381-03-26,2002-06-16,93,فرآور,FRVR
1381-03-27,2002-06-17,97,فرآور,FRVR
1381-03-28,2002-06-18,102,فرآور,FRVR
1381-03-29,2002-06-19,105,فرآور,FRVR
1381-04-01,2002-06-22,104,فرآور,FRVR
1381-04-02,2002-06-23,102,فرآور,FRVR
1381-04-03,2002-06-24,99,فرآور,FRVR
1381-04-26,2002-07-17,96,فرآور,FRVR
1381-04-29,2002-07-20,96,فرآور,FRVR
1381-04-30,2002-07-21,101,فرآور,FRVR
1381-05-01,2002-07-23,99,فرآور,FRVR
1381-05-02,2002-07-24,98,فرآور,FRVR
1381-05-05,2002-07-27,95,فرآور,FRVR
1381-05-06,2002-07-28,95,فرآور,FRVR
1381-05-08,2002-07-30,95,فرآور,FRVR
1381-05-09,2002-07-31,95,فرآور,FRVR
1381-05-12,2002-08-03,96,فرآور,FRVR
1381-05-13,2002-08-04,96,فرآور,FRVR
1381-05-14,2002-08-05,98,فرآور,FRVR
1381-05-19,2002-08-10,98,فرآور,FRVR
1381-05-20,2002-08-11,98,فرآور,FRVR
1381-05-22,2002-08-13,98,فرآور,FRVR
1381-05-23,2002-08-14,98,فرآور,FRVR
1381-05-27,2002-08-18,98,فرآور,FRVR
1381-05-29,2002-08-20,95,فرآور,FRVR
1381-05-30,2002-08-21,95,فرآور,FRVR
1381-06-02,2002-08-24,95,فرآور,FRVR
1381-06-13,2002-09-04,91,فرآور,FRVR
1381-06-17,2002-09-08,91,فرآور,FRVR
1381-06-18,2002-09-09,90,فرآور,FRVR
1381-06-20,2002-09-11,90,فرآور,FRVR
1381-06-26,2002-09-17,86,فرآور,FRVR
1381-07-01,2002-09-23,82,فرآور,FRVR
1381-07-07,2002-09-29,82,فرآور,FRVR
1381-07-09,2002-10-01,82,فرآور,FRVR
1381-07-22,2002-10-14,86,فرآور,FRVR
1381-07-23,2002-10-15,88,فرآور,FRVR
1381-07-24,2002-10-16,93,فرآور,FRVR
1381-07-27,2002-10-19,97,فرآور,FRVR
1381-07-28,2002-10-20,97,فرآور,FRVR
1381-07-29,2002-10-21,99,فرآور,FRVR
1381-08-01,2002-10-23,101,فرآور,FRVR
1381-08-04,2002-10-26,103,فرآور,FRVR
1381-08-05,2002-10-27,105,فرآور,FRVR
1381-08-06,2002-10-28,106,فرآور,FRVR
1381-08-07,2002-10-29,107,فرآور,FRVR
1381-08-08,2002-10-30,107,فرآور,FRVR
1381-08-11,2002-11-02,108,فرآور,FRVR
1381-08-12,2002-11-03,108,فرآور,FRVR
1381-08-13,2002-11-04,108,فرآور,FRVR
1381-08-14,2002-11-05,108,فرآور,FRVR
1381-08-15,2002-11-06,110,فرآور,FRVR
1381-08-18,2002-11-09,112,فرآور,FRVR
1381-08-19,2002-11-10,115,فرآور,FRVR
1381-08-22,2002-11-13,117,فرآور,FRVR
1381-08-25,2002-11-16,119,فرآور,FRVR
1381-08-26,2002-11-17,122,فرآور,FRVR
1381-08-27,2002-11-18,124,فرآور,FRVR
1381-08-28,2002-11-19,130,فرآور,FRVR
1381-08-29,2002-11-20,134,فرآور,FRVR
1381-09-02,2002-11-23,136,فرآور,FRVR
1381-09-09,2002-11-30,136,فرآور,FRVR
1381-09-18,2002-12-09,136,فرآور,FRVR
1381-09-19,2002-12-10,143,فرآور,FRVR
1381-09-20,2002-12-11,143,فرآور,FRVR
1381-09-23,2002-12-14,148,فرآور,FRVR
1381-09-24,2002-12-15,148,فرآور,FRVR
1381-09-25,2002-12-16,148,فرآور,FRVR
1381-09-26,2002-12-17,141,فرآور,FRVR
1381-09-27,2002-12-18,140,فرآور,FRVR
1381-10-01,2002-12-22,133,فرآور,FRVR
1381-10-07,2002-12-28,126,فرآور,FRVR
1381-10-10,2002-12-31,126,فرآور,FRVR
1381-11-01,2003-01-21,123,فرآور,FRVR
1381-11-12,2003-02-01,123,فرآور,FRVR
1381-11-13,2003-02-02,123,فرآور,FRVR
1381-12-17,2003-03-08,119,فرآور,FRVR
1381-12-19,2003-03-10,122,فرآور,FRVR
1381-12-27,2003-03-18,116,فرآور,FRVR
1382-02-24,2003-05-14,124,فرآور,FRVR
1382-03-26,2003-06-16,124,فرآور,FRVR
1382-03-27,2003-06-17,124,فرآور,FRVR
1382-06-03,2003-08-25,127,فرآور,FRVR
1382-06-05,2003-08-27,129,فرآور,FRVR
1382-07-09,2003-10-01,126,فرآور,FRVR
1382-09-11,2003-12-02,123,فرآور,FRVR
1382-10-03,2003-12-24,117,فرآور,FRVR
1382-10-07,2003-12-28,111,فرآور,FRVR
1382-10-14,2004-01-04,110,فرآور,FRVR
1382-10-21,2004-01-11,107,فرآور,FRVR
1382-10-22,2004-01-12,110,فرآور,FRVR
1382-10-23,2004-01-13,110,فرآور,FRVR
1382-10-27,2004-01-17,116,فرآور,FRVR
1382-10-28,2004-01-18,117,فرآور,FRVR
1382-11-01,2004-01-21,123,فرآور,FRVR
1382-11-04,2004-01-24,123,فرآور,FRVR
1382-11-06,2004-01-26,130,فرآور,FRVR
1382-11-07,2004-01-27,136,فرآور,FRVR
1382-11-12,2004-02-01,136,فرآور,FRVR
1382-11-19,2004-02-08,136,فرآور,FRVR
1382-11-20,2004-02-09,143,فرآور,FRVR
1382-11-25,2004-02-14,150,فرآور,FRVR
1382-12-02,2004-02-21,253,فرآور,FRVR
1382-12-03,2004-02-22,253,فرآور,FRVR
1382-12-04,2004-02-23,253,فرآور,FRVR
1382-12-09,2004-02-28,242,فرآور,FRVR
1382-12-10,2004-02-29,242,فرآور,FRVR
1382-12-13,2004-03-03,254,فرآور,FRVR
1382-12-16,2004-03-06,254,فرآور,FRVR
1382-12-17,2004-03-07,254,فرآور,FRVR
1382-12-18,2004-03-08,254,فرآور,FRVR
1382-12-19,2004-03-09,254,فرآور,FRVR
1382-12-20,2004-03-10,254,فرآور,FRVR
1382-12-23,2004-03-13,249,فرآور,FRVR
1382-12-24,2004-03-14,248,فرآور,FRVR
1382-12-25,2004-03-15,244,فرآور,FRVR
1382-12-26,2004-03-16,244,فرآور,FRVR
1382-12-27,2004-03-17,244,فرآور,FRVR
1383-01-08,2004-03-27,256,فرآور,FRVR
1383-01-09,2004-03-28,269,فرآور,FRVR
